# _root_ Ám csak egy banktól lehet igényelni a termények — búza , kukorica , rozs és árpa — termelési költségeire felvett éven belüli hitel törlesztésének halasztását .
#goldHeads=5,6,4,6,0,5,8,19,19,16,16,16,16,16,16,19,19,19,20,23,22,23,24,5,6,5,
#predictedHeads=5,6,4,6,0,5,8,19,19,12,12,19,19,19,19,19,19,19,20,21,22,23,24,25,6,5,
(0,1),-2.96191 # DEPENDENCYPART_ARC
(0,2),-3.13217 # DEPENDENCYPART_ARC
(0,3),-3.2381 # DEPENDENCYPART_ARC
(0,4),-3.90696 # DEPENDENCYPART_ARC
(0,5),-2.09407 # DEPENDENCYPART_ARC
(0,6),-4.26213 # DEPENDENCYPART_ARC
(1,2),-1.21568 # DEPENDENCYPART_ARC
(1,3),-1.20834 # DEPENDENCYPART_ARC
(1,4),-1.46979 # DEPENDENCYPART_ARC
(1,5),-0.317081 # DEPENDENCYPART_ARC
(1,6),-1.34515 # DEPENDENCYPART_ARC
(1,25),-2.34858 # DEPENDENCYPART_ARC
(1,26),-1.3613 # DEPENDENCYPART_ARC
(2,1),-0.281222 # DEPENDENCYPART_ARC
(2,3),-0.591983 # DEPENDENCYPART_ARC
(2,4),-0.760698 # DEPENDENCYPART_ARC
(2,5),-0.836977 # DEPENDENCYPART_ARC
(2,6),-1.08313 # DEPENDENCYPART_ARC
(2,23),-2.29472 # DEPENDENCYPART_ARC
(2,24),-2.292 # DEPENDENCYPART_ARC
(2,25),-2.34132 # DEPENDENCYPART_ARC
(2,26),-0.666937 # DEPENDENCYPART_ARC
(3,1),-1.12914 # DEPENDENCYPART_ARC
(3,2),-0.301605 # DEPENDENCYPART_ARC
(3,5),-0.582658 # DEPENDENCYPART_ARC
(3,6),-1.3369 # DEPENDENCYPART_ARC
(3,26),-1.27294 # DEPENDENCYPART_ARC
(4,1),-0.416167 # DEPENDENCYPART_ARC
(4,2),0.0533431 # DEPENDENCYPART_ARC
(4,3),1.84208 # DEPENDENCYPART_ARC
(4,5),-1.09943 # DEPENDENCYPART_ARC
(4,6),-1.31945 # DEPENDENCYPART_ARC
(4,26),-1.52527 # DEPENDENCYPART_ARC
(5,1),0.240879 # DEPENDENCYPART_ARC
(5,2),0.497909 # DEPENDENCYPART_ARC
(5,3),-0.779043 # DEPENDENCYPART_ARC
(5,4),1.45979 # DEPENDENCYPART_ARC
(5,6),3.26343 # DEPENDENCYPART_ARC
(5,7),-1.48635 # DEPENDENCYPART_ARC
(5,8),0.039192 # DEPENDENCYPART_ARC
(5,9),-0.324031 # DEPENDENCYPART_ARC
(5,10),-0.285763 # DEPENDENCYPART_ARC
(5,11),-0.38767 # DEPENDENCYPART_ARC
(5,12),-1.12705 # DEPENDENCYPART_ARC
(5,13),-0.695547 # DEPENDENCYPART_ARC
(5,15),-0.706705 # DEPENDENCYPART_ARC
(5,17),-1.38071 # DEPENDENCYPART_ARC
(5,18),-2.1054 # DEPENDENCYPART_ARC
(5,20),-2.12346 # DEPENDENCYPART_ARC
(5,21),-3.23301 # DEPENDENCYPART_ARC
(5,22),-2.19865 # DEPENDENCYPART_ARC
(5,23),-2.82965 # DEPENDENCYPART_ARC
(5,24),-2.06395 # DEPENDENCYPART_ARC
(5,25),-2.59106 # DEPENDENCYPART_ARC
(5,26),-1.03203 # DEPENDENCYPART_ARC
(6,1),-0.409294 # DEPENDENCYPART_ARC
(6,2),0.55336 # DEPENDENCYPART_ARC
(6,3),-0.0769736 # DEPENDENCYPART_ARC
(6,4),1.92647 # DEPENDENCYPART_ARC
(6,5),0.113512 # DEPENDENCYPART_ARC
(6,7),-0.624541 # DEPENDENCYPART_ARC
(6,8),0.54295 # DEPENDENCYPART_ARC
(6,9),-0.654228 # DEPENDENCYPART_ARC
(6,10),-0.149191 # DEPENDENCYPART_ARC
(6,11),-0.635718 # DEPENDENCYPART_ARC
(6,12),-0.997527 # DEPENDENCYPART_ARC
(6,13),-0.922212 # DEPENDENCYPART_ARC
(6,16),-1.69867 # DEPENDENCYPART_ARC
(6,19),-2.24079 # DEPENDENCYPART_ARC
(6,20),-1.53191 # DEPENDENCYPART_ARC
(6,21),-2.44358 # DEPENDENCYPART_ARC
(6,22),-1.62376 # DEPENDENCYPART_ARC
(6,23),-2.61754 # DEPENDENCYPART_ARC
(6,24),-1.70622 # DEPENDENCYPART_ARC
(6,25),-0.635684 # DEPENDENCYPART_ARC
(6,26),-0.962787 # DEPENDENCYPART_ARC
(8,3),-1.97302 # DEPENDENCYPART_ARC
(8,6),0.209204 # DEPENDENCYPART_ARC
(8,7),1.76697 # DEPENDENCYPART_ARC
(8,25),-3.50826 # DEPENDENCYPART_ARC
(10,1),-1.13873 # DEPENDENCYPART_ARC
(10,2),-1.65961 # DEPENDENCYPART_ARC
(10,3),-1.2137 # DEPENDENCYPART_ARC
(10,4),-3.12847 # DEPENDENCYPART_ARC
(10,5),-1.80562 # DEPENDENCYPART_ARC
(10,6),0.0604415 # DEPENDENCYPART_ARC
(10,7),0.0801281 # DEPENDENCYPART_ARC
(10,8),-0.330216 # DEPENDENCYPART_ARC
(10,9),-0.0480098 # DEPENDENCYPART_ARC
(10,11),-0.459739 # DEPENDENCYPART_ARC
(10,12),-1.20591 # DEPENDENCYPART_ARC
(10,19),-2.40064 # DEPENDENCYPART_ARC
(10,21),-2.44368 # DEPENDENCYPART_ARC
(10,23),-1.93125 # DEPENDENCYPART_ARC
(10,24),-2.41009 # DEPENDENCYPART_ARC
(10,25),-2.65569 # DEPENDENCYPART_ARC
(10,26),-1.64514 # DEPENDENCYPART_ARC
(12,2),-1.76815 # DEPENDENCYPART_ARC
(12,3),-1.56949 # DEPENDENCYPART_ARC
(12,5),-2.10229 # DEPENDENCYPART_ARC
(12,6),-0.299043 # DEPENDENCYPART_ARC
(12,7),-0.529115 # DEPENDENCYPART_ARC
(12,8),-1.73583 # DEPENDENCYPART_ARC
(12,9),-0.579558 # DEPENDENCYPART_ARC
(12,10),0.337781 # DEPENDENCYPART_ARC
(12,11),-0.0933116 # DEPENDENCYPART_ARC
(12,13),-0.541849 # DEPENDENCYPART_ARC
(12,21),-2.28096 # DEPENDENCYPART_ARC
(12,23),-1.87884 # DEPENDENCYPART_ARC
(12,24),-2.4196 # DEPENDENCYPART_ARC
(12,25),-2.67663 # DEPENDENCYPART_ARC
(12,26),-1.81341 # DEPENDENCYPART_ARC
(14,7),-0.972449 # DEPENDENCYPART_ARC
(14,10),-1.27871 # DEPENDENCYPART_ARC
(14,12),0.0389319 # DEPENDENCYPART_ARC
(14,13),-0.456946 # DEPENDENCYPART_ARC
(15,1),-1.00568 # DEPENDENCYPART_ARC
(15,5),-1.04139 # DEPENDENCYPART_ARC
(15,6),-1.96031 # DEPENDENCYPART_ARC
(15,14),-0.915275 # DEPENDENCYPART_ARC
(15,16),-0.975088 # DEPENDENCYPART_ARC
(15,18),-1.54081 # DEPENDENCYPART_ARC
(15,19),-1.64343 # DEPENDENCYPART_ARC
(15,23),-1.88491 # DEPENDENCYPART_ARC
(15,24),-1.93468 # DEPENDENCYPART_ARC
(15,25),-2.21862 # DEPENDENCYPART_ARC
(16,7),-1.21586 # DEPENDENCYPART_ARC
(16,8),-2.74866 # DEPENDENCYPART_ARC
(16,9),-0.514445 # DEPENDENCYPART_ARC
(16,10),-1.68592 # DEPENDENCYPART_ARC
(16,11),-0.589868 # DEPENDENCYPART_ARC
(16,12),-0.997351 # DEPENDENCYPART_ARC
(16,13),-0.322085 # DEPENDENCYPART_ARC
(16,14),0.513108 # DEPENDENCYPART_ARC
(16,15),0.242371 # DEPENDENCYPART_ARC
(16,17),-0.449431 # DEPENDENCYPART_ARC
(16,18),-1.59974 # DEPENDENCYPART_ARC
(16,19),-1.7034 # DEPENDENCYPART_ARC
(16,21),-1.79033 # DEPENDENCYPART_ARC
(16,23),-1.41917 # DEPENDENCYPART_ARC
(16,24),-1.95552 # DEPENDENCYPART_ARC
(16,25),-2.24971 # DEPENDENCYPART_ARC
(16,26),-1.46744 # DEPENDENCYPART_ARC
(18,2),-2.06117 # DEPENDENCYPART_ARC
(18,5),-1.86621 # DEPENDENCYPART_ARC
(18,14),-1.42694 # DEPENDENCYPART_ARC
(18,15),-0.55157 # DEPENDENCYPART_ARC
(18,16),-0.932874 # DEPENDENCYPART_ARC
(18,17),-0.0742736 # DEPENDENCYPART_ARC
(18,20),-1.42269 # DEPENDENCYPART_ARC
(19,7),-2.15439 # DEPENDENCYPART_ARC
(19,8),-1.56222 # DEPENDENCYPART_ARC
(19,9),-0.810875 # DEPENDENCYPART_ARC
(19,10),-1.45672 # DEPENDENCYPART_ARC
(19,11),-0.93207 # DEPENDENCYPART_ARC
(19,12),-1.12029 # DEPENDENCYPART_ARC
(19,13),-0.899453 # DEPENDENCYPART_ARC
