# _root_ A Gazdasági_Minisztérium utasítja az ITD_Hungary vezérigazgatóját , hogy dolgozzanak ki olyan térségi programokat , amelyek lehetővé teszik a bányászok foglalkoztatását .
#goldHeads=2,3,0,5,6,3,3,3,3,9,13,13,9,9,17,17,11,19,20,17,3,
#predictedHeads=2,3,0,5,6,3,3,3,3,9,13,13,9,9,17,17,11,19,20,17,3,
(0,2),-2.99376 # DEPENDENCYPART_ARC
(0,3),-1.3634 # DEPENDENCYPART_ARC
(0,8),-3.58648 # DEPENDENCYPART_ARC
(0,9),-3.44188 # DEPENDENCYPART_ARC
(0,10),-4.26993 # DEPENDENCYPART_ARC
(0,11),-4.47892 # DEPENDENCYPART_ARC
(0,17),-3.11391 # DEPENDENCYPART_ARC
(1,6),-1.82317 # DEPENDENCYPART_ARC
(2,1),0.955156 # DEPENDENCYPART_ARC
(2,3),-0.777066 # DEPENDENCYPART_ARC
(2,5),-1.26957 # DEPENDENCYPART_ARC
(2,6),-1.61367 # DEPENDENCYPART_ARC
(2,7),-1.07108 # DEPENDENCYPART_ARC
(2,8),-1.33091 # DEPENDENCYPART_ARC
(2,9),-1.75831 # DEPENDENCYPART_ARC
(2,11),-2.09552 # DEPENDENCYPART_ARC
(2,13),-2.42679 # DEPENDENCYPART_ARC
(2,17),-1.59591 # DEPENDENCYPART_ARC
(2,21),-1.67559 # DEPENDENCYPART_ARC
(3,1),-0.812173 # DEPENDENCYPART_ARC
(3,2),2.45991 # DEPENDENCYPART_ARC
(3,4),-1.14311 # DEPENDENCYPART_ARC
(3,5),0.305961 # DEPENDENCYPART_ARC
(3,6),1.84221 # DEPENDENCYPART_ARC
(3,7),0.116602 # DEPENDENCYPART_ARC
(3,8),1.07235 # DEPENDENCYPART_ARC
(3,9),0.405876 # DEPENDENCYPART_ARC
(3,10),-0.850426 # DEPENDENCYPART_ARC
(3,11),-1.87069 # DEPENDENCYPART_ARC
(3,12),-1.56033 # DEPENDENCYPART_ARC
(3,13),-0.468823 # DEPENDENCYPART_ARC
(3,14),-0.120363 # DEPENDENCYPART_ARC
(3,15),-2.43555 # DEPENDENCYPART_ARC
(3,16),-1.02421 # DEPENDENCYPART_ARC
(3,17),-1.09065 # DEPENDENCYPART_ARC
(3,19),-2.89733 # DEPENDENCYPART_ARC
(3,20),-1.15277 # DEPENDENCYPART_ARC
(3,21),-0.831897 # DEPENDENCYPART_ARC
(5,1),-1.45985 # DEPENDENCYPART_ARC
(5,4),1.21711 # DEPENDENCYPART_ARC
(5,9),-1.74797 # DEPENDENCYPART_ARC
(6,1),-2.19992 # DEPENDENCYPART_ARC
(6,2),-0.356501 # DEPENDENCYPART_ARC
(6,3),-2.62792 # DEPENDENCYPART_ARC
(6,4),0.0510587 # DEPENDENCYPART_ARC
(6,5),2.87589 # DEPENDENCYPART_ARC
(6,7),-0.863434 # DEPENDENCYPART_ARC
(6,9),-2.17642 # DEPENDENCYPART_ARC
(6,13),-2.10334 # DEPENDENCYPART_ARC
(6,17),-2.43743 # DEPENDENCYPART_ARC
(6,20),-3.21308 # DEPENDENCYPART_ARC
(6,21),-1.90118 # DEPENDENCYPART_ARC
(8,2),-1.26041 # DEPENDENCYPART_ARC
(8,3),-2.29318 # DEPENDENCYPART_ARC
(8,5),-0.203335 # DEPENDENCYPART_ARC
(8,6),-0.470015 # DEPENDENCYPART_ARC
(8,7),0.2218 # DEPENDENCYPART_ARC
(8,9),-0.133739 # DEPENDENCYPART_ARC
(8,10),-1.27001 # DEPENDENCYPART_ARC
(8,12),-1.58384 # DEPENDENCYPART_ARC
(8,13),-1.81834 # DEPENDENCYPART_ARC
(8,14),-0.765793 # DEPENDENCYPART_ARC
(8,16),-1.84105 # DEPENDENCYPART_ARC
(8,17),-1.23739 # DEPENDENCYPART_ARC
(8,20),-2.4059 # DEPENDENCYPART_ARC
(8,21),-0.448504 # DEPENDENCYPART_ARC
(9,1),-2.70876 # DEPENDENCYPART_ARC
(9,2),-1.90152 # DEPENDENCYPART_ARC
(9,3),-1.64539 # DEPENDENCYPART_ARC
(9,4),-2.24097 # DEPENDENCYPART_ARC
(9,5),-1.36769 # DEPENDENCYPART_ARC
(9,6),-1.31076 # DEPENDENCYPART_ARC
(9,7),-0.988931 # DEPENDENCYPART_ARC
(9,8),-0.804433 # DEPENDENCYPART_ARC
(9,10),1.43693 # DEPENDENCYPART_ARC
(9,11),0.121975 # DEPENDENCYPART_ARC
(9,12),-0.22457 # DEPENDENCYPART_ARC
(9,13),1.76651 # DEPENDENCYPART_ARC
(9,14),0.406487 # DEPENDENCYPART_ARC
(9,15),-1.05727 # DEPENDENCYPART_ARC
(9,16),-0.000319278 # DEPENDENCYPART_ARC
(9,17),-0.19567 # DEPENDENCYPART_ARC
(9,19),-0.959218 # DEPENDENCYPART_ARC
(9,20),-0.535147 # DEPENDENCYPART_ARC
(9,21),-0.680292 # DEPENDENCYPART_ARC
(10,3),-1.50139 # DEPENDENCYPART_ARC
