# _root_ A Kreml 234 szobáját egy 180_millió dolláros megrendelés keretében rekordidő , nyolc hónap alatt varázsolta újjá , s ezért magától Jelcintől vehetett át kitüntetést .
#goldHeads=2,4,4,15,8,7,8,9,15,14,14,13,14,15,18,15,18,0,22,22,22,18,22,22,18,
#predictedHeads=2,4,4,15,8,7,8,9,15,15,15,13,14,15,18,15,18,0,22,21,22,18,22,22,18,
(0,15),-2.14752 # DEPENDENCYPART_ARC
(0,16),-4.78848 # DEPENDENCYPART_ARC
(0,18),-1.96831 # DEPENDENCYPART_ARC
(0,19),-4.6493 # DEPENDENCYPART_ARC
(0,20),-5.07189 # DEPENDENCYPART_ARC
(0,22),-3.2124 # DEPENDENCYPART_ARC
(2,1),1.30882 # DEPENDENCYPART_ARC
(2,3),-0.699717 # DEPENDENCYPART_ARC
(2,4),-1.23454 # DEPENDENCYPART_ARC
(2,9),-1.74521 # DEPENDENCYPART_ARC
(2,10),-1.17539 # DEPENDENCYPART_ARC
(2,11),-0.496081 # DEPENDENCYPART_ARC
(2,12),-1.18691 # DEPENDENCYPART_ARC
(2,22),-1.75476 # DEPENDENCYPART_ARC
(2,25),-1.46653 # DEPENDENCYPART_ARC
(3,1),-0.76899 # DEPENDENCYPART_ARC
(3,2),-0.0952127 # DEPENDENCYPART_ARC
(3,25),-1.51882 # DEPENDENCYPART_ARC
(4,1),-0.497104 # DEPENDENCYPART_ARC
(4,2),1.57818 # DEPENDENCYPART_ARC
(4,3),2.09459 # DEPENDENCYPART_ARC
(4,6),-1.34478 # DEPENDENCYPART_ARC
(4,7),-1.28492 # DEPENDENCYPART_ARC
(4,8),-1.24799 # DEPENDENCYPART_ARC
(4,9),-2.00671 # DEPENDENCYPART_ARC
(4,10),-1.44636 # DEPENDENCYPART_ARC
(4,11),-0.615189 # DEPENDENCYPART_ARC
(4,12),-1.55847 # DEPENDENCYPART_ARC
(4,13),-1.74503 # DEPENDENCYPART_ARC
(4,14),-1.3497 # DEPENDENCYPART_ARC
(4,15),-1.87383 # DEPENDENCYPART_ARC
(4,17),-1.02397 # DEPENDENCYPART_ARC
(4,18),-1.16878 # DEPENDENCYPART_ARC
(4,22),-1.82836 # DEPENDENCYPART_ARC
(4,25),-1.37497 # DEPENDENCYPART_ARC
(5,7),-0.533793 # DEPENDENCYPART_ARC
(6,4),-1.8342 # DEPENDENCYPART_ARC
(6,12),-1.59337 # DEPENDENCYPART_ARC
(6,25),-1.3798 # DEPENDENCYPART_ARC
(7,1),-1.24363 # DEPENDENCYPART_ARC
(7,2),-1.19981 # DEPENDENCYPART_ARC
(7,3),-0.324203 # DEPENDENCYPART_ARC
(7,4),-0.355717 # DEPENDENCYPART_ARC
(7,5),-0.456218 # DEPENDENCYPART_ARC
(7,6),1.34996 # DEPENDENCYPART_ARC
(8,1),-0.853604 # DEPENDENCYPART_ARC
(8,2),-0.717607 # DEPENDENCYPART_ARC
(8,3),-0.646649 # DEPENDENCYPART_ARC
(8,4),-3.27687 # DEPENDENCYPART_ARC
(8,5),0.541685 # DEPENDENCYPART_ARC
(8,6),0.782391 # DEPENDENCYPART_ARC
(8,7),2.28693 # DEPENDENCYPART_ARC
(9,1),-1.95507 # DEPENDENCYPART_ARC
(9,2),-0.897707 # DEPENDENCYPART_ARC
(9,3),-1.18193 # DEPENDENCYPART_ARC
(9,4),-3.74728 # DEPENDENCYPART_ARC
(9,5),-0.41005 # DEPENDENCYPART_ARC
