# _root_ — Ha bármilyen módon tudomásunkra jutott , hogy egy elhunyt nem járul hozzá szervei átültetéséhez , eddig sem nyúltunk a tetemhez .
#goldHeads=19,19,4,6,6,19,6,6,10,12,12,6,12,15,12,19,19,19,0,21,19,19,
#predictedHeads=6,6,4,6,6,0,6,6,10,12,12,6,12,15,12,12,19,19,12,21,19,6,
(0,2),-2.99338 # DEPENDENCYPART_ARC
(0,4),-4.00876 # DEPENDENCYPART_ARC
(0,5),-4.46165 # DEPENDENCYPART_ARC
(0,6),-2.00895 # DEPENDENCYPART_ARC
(0,8),-3.7417 # DEPENDENCYPART_ARC
(0,11),-3.99378 # DEPENDENCYPART_ARC
(0,12),-3.21553 # DEPENDENCYPART_ARC
(0,13),-4.33781 # DEPENDENCYPART_ARC
(0,17),-4.51663 # DEPENDENCYPART_ARC
(0,19),-3.72675 # DEPENDENCYPART_ARC
(2,1),0.159129 # DEPENDENCYPART_ARC
(2,4),-1.41453 # DEPENDENCYPART_ARC
(2,5),-1.72753 # DEPENDENCYPART_ARC
(2,6),-0.586821 # DEPENDENCYPART_ARC
(2,7),-1.08016 # DEPENDENCYPART_ARC
(2,8),-0.980722 # DEPENDENCYPART_ARC
(2,10),-1.96932 # DEPENDENCYPART_ARC
(2,12),-1.51321 # DEPENDENCYPART_ARC
(2,14),-1.83127 # DEPENDENCYPART_ARC
(2,16),-0.836393 # DEPENDENCYPART_ARC
(2,19),-1.71164 # DEPENDENCYPART_ARC
(2,21),-2.36179 # DEPENDENCYPART_ARC
(2,22),-1.04449 # DEPENDENCYPART_ARC
(4,1),-0.848682 # DEPENDENCYPART_ARC
(4,2),-0.706407 # DEPENDENCYPART_ARC
(4,3),1.52547 # DEPENDENCYPART_ARC
(4,5),-1.44079 # DEPENDENCYPART_ARC
(5,1),-0.817973 # DEPENDENCYPART_ARC
(5,2),-0.728309 # DEPENDENCYPART_ARC
(5,3),0.338873 # DEPENDENCYPART_ARC
(5,4),-1.03771 # DEPENDENCYPART_ARC
(5,7),-1.03734 # DEPENDENCYPART_ARC
(5,12),-1.89082 # DEPENDENCYPART_ARC
(5,19),-2.31863 # DEPENDENCYPART_ARC
(5,22),-1.89119 # DEPENDENCYPART_ARC
(6,1),-0.394258 # DEPENDENCYPART_ARC
(6,2),-0.245471 # DEPENDENCYPART_ARC
(6,3),0.842281 # DEPENDENCYPART_ARC
(6,4),2.11551 # DEPENDENCYPART_ARC
(6,5),3.17258 # DEPENDENCYPART_ARC
(6,7),0.348314 # DEPENDENCYPART_ARC
(6,8),1.91405 # DEPENDENCYPART_ARC
(6,10),-1.24022 # DEPENDENCYPART_ARC
(6,11),-0.785069 # DEPENDENCYPART_ARC
(6,12),0.133132 # DEPENDENCYPART_ARC
(6,13),-1.03578 # DEPENDENCYPART_ARC
(6,14),-2.07285 # DEPENDENCYPART_ARC
(6,15),-1.05762 # DEPENDENCYPART_ARC
(6,16),-0.657121 # DEPENDENCYPART_ARC
(6,17),-2.07483 # DEPENDENCYPART_ARC
(6,18),-1.89348 # DEPENDENCYPART_ARC
(6,19),-1.04495 # DEPENDENCYPART_ARC
(6,21),-2.57557 # DEPENDENCYPART_ARC
(6,22),-1.18841 # DEPENDENCYPART_ARC
(8,1),-1.02498 # DEPENDENCYPART_ARC
(8,2),-0.476139 # DEPENDENCYPART_ARC
(8,4),-0.905958 # DEPENDENCYPART_ARC
(8,5),-0.667811 # DEPENDENCYPART_ARC
(8,6),-1.82012 # DEPENDENCYPART_ARC
(8,7),0.216438 # DEPENDENCYPART_ARC
(8,10),-0.948867 # DEPENDENCYPART_ARC
(8,12),-0.300782 # DEPENDENCYPART_ARC
(8,13),-1.26427 # DEPENDENCYPART_ARC
(8,14),-1.38271 # DEPENDENCYPART_ARC
(8,15),-1.66031 # DEPENDENCYPART_ARC
(8,16),-0.676351 # DEPENDENCYPART_ARC
(8,19),-1.03784 # DEPENDENCYPART_ARC
(8,21),-2.17699 # DEPENDENCYPART_ARC
(8,22),-0.470611 # DEPENDENCYPART_ARC
(10,3),-1.6616 # DEPENDENCYPART_ARC
(10,6),-1.20342 # DEPENDENCYPART_ARC
(10,7),-1.13259 # DEPENDENCYPART_ARC
(10,8),-0.965856 # DEPENDENCYPART_ARC
(10,9),1.86773 # DEPENDENCYPART_ARC
(10,15),-2.0432 # DEPENDENCYPART_ARC
(11,1),-1.35866 # DEPENDENCYPART_ARC
(11,4),-1.68165 # DEPENDENCYPART_ARC
(11,6),-1.30227 # DEPENDENCYPART_ARC
(11,7),-1.18434 # DEPENDENCYPART_ARC
(11,8),-0.816996 # DEPENDENCYPART_ARC
(11,10),-0.279518 # DEPENDENCYPART_ARC
(11,14),-1.39604 # DEPENDENCYPART_ARC
(11,15),-1.32669 # DEPENDENCYPART_ARC
(11,16),-1.01616 # DEPENDENCYPART_ARC
(11,19),-1.50599 # DEPENDENCYPART_ARC
(11,21),-1.92252 # DEPENDENCYPART_ARC
(11,22),-1.7984 # DEPENDENCYPART_ARC
(12,1),-0.87681 # DEPENDENCYPART_ARC
(12,2),-0.34752 # DEPENDENCYPART_ARC
(12,3),-1.13327 # DEPENDENCYPART_ARC
(12,4),-0.29069 # DEPENDENCYPART_ARC
(12,5),-0.0181521 # DEPENDENCYPART_ARC
(12,6),-0.731301 # DEPENDENCYPART_ARC
(12,7),-0.283392 # DEPENDENCYPART_ARC
(12,8),-0.344389 # DEPENDENCYPART_ARC
(12,9),-0.842235 # DEPENDENCYPART_ARC
(12,10),1.41813 # DEPENDENCYPART_ARC
(12,11),2.2298 # DEPENDENCYPART_ARC
(12,13),1.50171 # DEPENDENCYPART_ARC
(12,14),1.07355 # DEPENDENCYPART_ARC
(12,15),1.57629 # DEPENDENCYPART_ARC
(12,16),0.21949 # DEPENDENCYPART_ARC
(12,17),-0.51289 # DEPENDENCYPART_ARC
(12,18),-0.531764 # DEPENDENCYPART_ARC
(12,19),0.204002 # DEPENDENCYPART_ARC
(12,20),-2.12653 # DEPENDENCYPART_ARC
(12,21),-0.83852 # DEPENDENCYPART_ARC
(12,22),-0.77925 # DEPENDENCYPART_ARC
(13,1),-1.17696 # DEPENDENCYPART_ARC
(13,2),-0.807003 # DEPENDENCYPART_ARC
(13,4),-1.73012 # DEPENDENCYPART_ARC
(13,6),-1.45784 # DEPENDENCYPART_ARC
(13,7),-1.27501 # DEPENDENCYPART_ARC
(13,8),-1.18139 # DEPENDENCYPART_ARC
(13,10),-1.03731 # DEPENDENCYPART_ARC
(13,11),-0.837695 # DEPENDENCYPART_ARC
(13,12),-0.332661 # DEPENDENCYPART_ARC
(13,14),-1.03295 # DEPENDENCYPART_ARC
(13,15),-1.10575 # DEPENDENCYPART_ARC
(13,16),-0.778027 # DEPENDENCYPART_ARC
(13,21),-2.06349 # DEPENDENCYPART_ARC
(14,2),-1.57815 # DEPENDENCYPART_ARC
(14,9),-1.76065 # DEPENDENCYPART_ARC
(14,10),-0.32326 # DEPENDENCYPART_ARC
(14,11),-1.20328 # DEPENDENCYPART_ARC
(14,12),-2.28825 # DEPENDENCYPART_ARC
(14,13),-0.0772952 # DEPENDENCYPART_ARC
(14,15),-1.93404 # DEPENDENCYPART_ARC
(14,17),-1.63926 # DEPENDENCYPART_ARC
(14,19),-1.5561 # DEPENDENCYPART_ARC
(15,2),-1.12881 # DEPENDENCYPART_ARC
(15,4),-3.24293 # DEPENDENCYPART_ARC
(15,6),-3.09218 # DEPENDENCYPART_ARC
(15,7),-1.13473 # DEPENDENCYPART_ARC
(15,8),-1.06427 # DEPENDENCYPART_ARC
(15,9),-1.21437 # DEPENDENCYPART_ARC
(15,10),-0.0361488 # DEPENDENCYPART_ARC
(15,11),-1.05224 # DEPENDENCYPART_ARC
(15,12),-2.76529 # DEPENDENCYPART_ARC
(15,13),-0.30195 # DEPENDENCYPART_ARC
(15,14),2.52021 # DEPENDENCYPART_ARC
(15,16),-0.647212 # DEPENDENCYPART_ARC
(15,17),-1.59916 # DEPENDENCYPART_ARC
(15,19),-1.61204 # DEPENDENCYPART_ARC
(15,21),-2.53502 # DEPENDENCYPART_ARC
(15,22),-1.7368 # DEPENDENCYPART_ARC
(17,6),-1.61814 # DEPENDENCYPART_ARC
(17,8),-1.33396 # DEPENDENCYPART_ARC
(17,12),-1.45831 # DEPENDENCYPART_ARC
(17,14),-1.29682 # DEPENDENCYPART_ARC
(17,15),-1.33583 # DEPENDENCYPART_ARC
(17,16),-0.840171 # DEPENDENCYPART_ARC
(17,19),-0.80796 # DEPENDENCYPART_ARC
(17,21),-1.26393 # DEPENDENCYPART_ARC
(17,22),-1.39445 # DEPENDENCYPART_ARC
(18,1),-1.23217 # DEPENDENCYPART_ARC
(18,10),-2.07017 # DEPENDENCYPART_ARC
(18,11),-1.58325 # DEPENDENCYPART_ARC
