# _root_ Bár sokan emlegetik következő áldozatként a Hyundait , elemzők rámutatnak , hogy helyzete több szempontból sem hasonlítható a Daewooéhoz .
#goldHeads=10,3,10,5,3,7,3,10,10,0,10,10,10,15,10,10,10,19,10,10,
#predictedHeads=10,3,10,5,3,7,3,10,10,0,10,10,10,15,17,17,10,19,17,10,
(0,1),-3.16482 # DEPENDENCYPART_ARC
(0,2),-3.19769 # DEPENDENCYPART_ARC
(0,3),-1.85827 # DEPENDENCYPART_ARC
(0,4),-3.83326 # DEPENDENCYPART_ARC
(0,5),-4.02749 # DEPENDENCYPART_ARC
(0,10),-3.19905 # DEPENDENCYPART_ARC
(0,12),-4.21266 # DEPENDENCYPART_ARC
(0,16),-4.78671 # DEPENDENCYPART_ARC
(0,17),-4.09257 # DEPENDENCYPART_ARC
(0,19),-5.52308 # DEPENDENCYPART_ARC
(1,2),-1.10674 # DEPENDENCYPART_ARC
(1,3),-0.494078 # DEPENDENCYPART_ARC
(1,4),-1.4258 # DEPENDENCYPART_ARC
(1,5),-1.57381 # DEPENDENCYPART_ARC
(1,7),-1.62434 # DEPENDENCYPART_ARC
(1,8),-0.547953 # DEPENDENCYPART_ARC
(1,10),-1.58071 # DEPENDENCYPART_ARC
(1,11),-0.681694 # DEPENDENCYPART_ARC
(1,12),-1.35932 # DEPENDENCYPART_ARC
(1,13),-1.94261 # DEPENDENCYPART_ARC
(1,15),-2.20488 # DEPENDENCYPART_ARC
(1,17),-1.98759 # DEPENDENCYPART_ARC
(1,20),-1.22478 # DEPENDENCYPART_ARC
(2,1),-0.509215 # DEPENDENCYPART_ARC
(2,3),-0.777374 # DEPENDENCYPART_ARC
(2,4),-1.18702 # DEPENDENCYPART_ARC
(2,5),-1.30104 # DEPENDENCYPART_ARC
(2,7),-1.46463 # DEPENDENCYPART_ARC
(2,8),-1.18007 # DEPENDENCYPART_ARC
(2,10),-1.40602 # DEPENDENCYPART_ARC
(2,12),-1.08673 # DEPENDENCYPART_ARC
(2,20),-1.70217 # DEPENDENCYPART_ARC
(3,1),0.396084 # DEPENDENCYPART_ARC
(3,2),1.95685 # DEPENDENCYPART_ARC
(3,4),0.797153 # DEPENDENCYPART_ARC
(3,5),0.672511 # DEPENDENCYPART_ARC
(3,6),-1.46501 # DEPENDENCYPART_ARC
(3,7),1.25618 # DEPENDENCYPART_ARC
(3,8),0.229063 # DEPENDENCYPART_ARC
(3,9),-0.465761 # DEPENDENCYPART_ARC
(3,10),0.332734 # DEPENDENCYPART_ARC
(3,11),-0.0976861 # DEPENDENCYPART_ARC
(3,12),0.0670912 # DEPENDENCYPART_ARC
(3,13),-1.91553 # DEPENDENCYPART_ARC
(3,14),-1.6068 # DEPENDENCYPART_ARC
(3,15),-1.99494 # DEPENDENCYPART_ARC
(3,16),-1.19913 # DEPENDENCYPART_ARC
(3,17),-1.68235 # DEPENDENCYPART_ARC
(3,19),-1.73672 # DEPENDENCYPART_ARC
(3,20),-0.511967 # DEPENDENCYPART_ARC
(4,1),-0.956412 # DEPENDENCYPART_ARC
(4,2),-0.689577 # DEPENDENCYPART_ARC
(4,3),0.0727915 # DEPENDENCYPART_ARC
(4,7),-1.83329 # DEPENDENCYPART_ARC
(5,1),-0.847542 # DEPENDENCYPART_ARC
(5,2),-0.899987 # DEPENDENCYPART_ARC
(5,3),-0.609452 # DEPENDENCYPART_ARC
(5,4),2.18259 # DEPENDENCYPART_ARC
(5,6),-1.41688 # DEPENDENCYPART_ARC
(5,7),-1.31028 # DEPENDENCYPART_ARC
(5,8),-0.747747 # DEPENDENCYPART_ARC
(5,9),-1.54943 # DEPENDENCYPART_ARC
(5,10),-1.43116 # DEPENDENCYPART_ARC
(5,13),-2.3339 # DEPENDENCYPART_ARC
(5,14),-1.79735 # DEPENDENCYPART_ARC
(5,15),-2.70218 # DEPENDENCYPART_ARC
(5,20),-1.60482 # DEPENDENCYPART_ARC
(6,4),-1.44261 # DEPENDENCYPART_ARC
(7,4),-2.05946 # DEPENDENCYPART_ARC
(7,5),-2.20803 # DEPENDENCYPART_ARC
(7,6),1.13023 # DEPENDENCYPART_ARC
(7,8),-0.888732 # DEPENDENCYPART_ARC
(7,9),-1.91297 # DEPENDENCYPART_ARC
(7,10),-1.69564 # DEPENDENCYPART_ARC
(7,14),-1.91433 # DEPENDENCYPART_ARC
(7,19),-3.40692 # DEPENDENCYPART_ARC
(9,1),-1.27049 # DEPENDENCYPART_ARC
(9,2),-1.73046 # DEPENDENCYPART_ARC
(9,3),-1.89657 # DEPENDENCYPART_ARC
(9,4),-1.27876 # DEPENDENCYPART_ARC
(9,5),-2.65442 # DEPENDENCYPART_ARC
(9,6),-0.141123 # DEPENDENCYPART_ARC
(9,7),-0.381258 # DEPENDENCYPART_ARC
(9,8),-0.312243 # DEPENDENCYPART_ARC
(9,11),-0.886328 # DEPENDENCYPART_ARC
(9,13),-2.06607 # DEPENDENCYPART_ARC
(9,14),-1.65874 # DEPENDENCYPART_ARC
(9,15),-2.64619 # DEPENDENCYPART_ARC
(9,17),-2.02461 # DEPENDENCYPART_ARC
(9,19),-3.00413 # DEPENDENCYPART_ARC
(10,1),0.727378 # DEPENDENCYPART_ARC
(10,2),0.0761735 # DEPENDENCYPART_ARC
(10,3),-0.476672 # DEPENDENCYPART_ARC
(10,4),-1.22699 # DEPENDENCYPART_ARC
(10,5),1.12665 # DEPENDENCYPART_ARC
(10,6),-1.00536 # DEPENDENCYPART_ARC
(10,7),0.0996517 # DEPENDENCYPART_ARC
(10,8),0.512517 # DEPENDENCYPART_ARC
(10,9),3.25635 # DEPENDENCYPART_ARC
(10,11),0.251731 # DEPENDENCYPART_ARC
(10,12),1.97876 # DEPENDENCYPART_ARC
(10,13),-0.967345 # DEPENDENCYPART_ARC
(10,14),-1.23602 # DEPENDENCYPART_ARC
(10,15),-1.24433 # DEPENDENCYPART_ARC
(10,16),-1.00919 # DEPENDENCYPART_ARC
(10,17),-1.47498 # DEPENDENCYPART_ARC
(10,18),-2.36844 # DEPENDENCYPART_ARC
(10,19),-1.29549 # DEPENDENCYPART_ARC
(10,20),-0.787629 # DEPENDENCYPART_ARC
(12,1),-0.855162 # DEPENDENCYPART_ARC
(12,2),-1.52734 # DEPENDENCYPART_ARC
(12,3),-2.82632 # DEPENDENCYPART_ARC
(12,4),-1.33331 # DEPENDENCYPART_ARC
(12,5),-1.81726 # DEPENDENCYPART_ARC
(12,7),-1.89986 # DEPENDENCYPART_ARC
(12,8),-1.51035 # DEPENDENCYPART_ARC
(12,9),-0.897133 # DEPENDENCYPART_ARC
(12,10),-1.72842 # DEPENDENCYPART_ARC
(12,11),0.196221 # DEPENDENCYPART_ARC
(12,13),-1.18926 # DEPENDENCYPART_ARC
(12,14),-1.32278 # DEPENDENCYPART_ARC
(12,15),-1.89528 # DEPENDENCYPART_ARC
(12,17),-1.87196 # DEPENDENCYPART_ARC
(12,19),-2.31163 # DEPENDENCYPART_ARC
(12,20),-0.674552 # DEPENDENCYPART_ARC
(13,6),-2.57471 # DEPENDENCYPART_ARC
(13,11),-1.3179 # DEPENDENCYPART_ARC
(13,12),-0.977402 # DEPENDENCYPART_ARC
(13,14),-0.885416 # DEPENDENCYPART_ARC
(13,15),-1.67985 # DEPENDENCYPART_ARC
(13,17),-1.44947 # DEPENDENCYPART_ARC
(13,19),-2.13703 # DEPENDENCYPART_ARC
(13,20),-1.2419 # DEPENDENCYPART_ARC
(14,1),-1.36609 # DEPENDENCYPART_ARC
(14,10),-1.25244 # DEPENDENCYPART_ARC
(14,11),-1.19676 # DEPENDENCYPART_ARC
(14,12),-0.721289 # DEPENDENCYPART_ARC
(14,13),-0.536074 # DEPENDENCYPART_ARC
(14,19),-2.05113 # DEPENDENCYPART_ARC
(14,20),-1.33222 # DEPENDENCYPART_ARC
(15,3),-2.82266 # DEPENDENCYPART_ARC
(15,6),-1.91663 # DEPENDENCYPART_ARC
(15,7),-3.70333 # DEPENDENCYPART_ARC
(15,8),-1.71964 # DEPENDENCYPART_ARC
(15,9),-2.92459 # DEPENDENCYPART_ARC
(15,10),-2.50021 # DEPENDENCYPART_ARC
(15,11),-1.17485 # DEPENDENCYPART_ARC
(15,12),-1.34052 # DEPENDENCYPART_ARC
(15,13),-0.676386 # DEPENDENCYPART_ARC
(15,14),1.48642 # DEPENDENCYPART_ARC
(15,19),-2.31419 # DEPENDENCYPART_ARC
(16,5),-2.0196 # DEPENDENCYPART_ARC
(16,9),-1.69606 # DEPENDENCYPART_ARC
(16,11),-1.47815 # DEPENDENCYPART_ARC
(16,12),-1.08134 # DEPENDENCYPART_ARC
(16,13),-1.0731 # DEPENDENCYPART_ARC
(16,15),-0.230081 # DEPENDENCYPART_ARC
(16,17),-0.911682 # DEPENDENCYPART_ARC
(16,20),-0.982461 # DEPENDENCYPART_ARC
(17,1),-0.82007 # DEPENDENCYPART_ARC
(17,2),-1.77782 # DEPENDENCYPART_ARC
(17,3),-1.1487 # DEPENDENCYPART_ARC
(17,5),-1.68391 # DEPENDENCYPART_ARC
(17,7),-1.21371 # DEPENDENCYPART_ARC
(17,8),-0.970312 # DEPENDENCYPART_ARC
(17,9),-2.19299 # DEPENDENCYPART_ARC
(17,10),-1.12697 # DEPENDENCYPART_ARC
(17,11),-0.698447 # DEPENDENCYPART_ARC
(17,12),-0.646973 # DEPENDENCYPART_ARC
(17,13),-1.2086 # DEPENDENCYPART_ARC
(17,14),-0.305723 # DEPENDENCYPART_ARC
(17,15),0.601714 # DEPENDENCYPART_ARC
(17,16),0.908585 # DEPENDENCYPART_ARC
(17,19),-0.511148 # DEPENDENCYPART_ARC
(17,20),-0.702108 # DEPENDENCYPART_ARC
(18,17),-0.788673 # DEPENDENCYPART_ARC
(19,15),-3.42363 # DEPENDENCYPART_ARC
(19,17),-1.22468 # DEPENDENCYPART_ARC
(19,18),1.37582 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0684677 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.124807 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0576941 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0821819 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.124807 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.151449 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0728076 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0576784 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0821819 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.110354 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0339609 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0275201 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.110354 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.104375 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0407858 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0339533 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0275201 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.133801 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.110094 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.246243 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.265643 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0996619 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.133026 # DEPENDENCYPART_SIBL
