# _root_ Olyanok is egyszerűen együtt élnek csak , akiknek semmi kifogásuk sincs sem az egyházi , sem a világi esküvő ellen — írja Trost .
#goldHeads=5,5,5,5,22,5,5,11,10,11,1,11,11,13,11,11,19,19,20,11,22,0,22,22,
#predictedHeads=5,5,5,5,22,5,5,11,10,11,22,11,14,11,22,22,19,19,20,22,22,0,22,22,
(0,1),-3.03215 # DEPENDENCYPART_ARC
(0,2),-3.04879 # DEPENDENCYPART_ARC
(0,3),-3.26458 # DEPENDENCYPART_ARC
(0,4),-3.31768 # DEPENDENCYPART_ARC
(0,5),-2.02465 # DEPENDENCYPART_ARC
(0,6),-3.52035 # DEPENDENCYPART_ARC
(0,11),-2.87605 # DEPENDENCYPART_ARC
(0,12),-3.2553 # DEPENDENCYPART_ARC
(0,16),-3.17374 # DEPENDENCYPART_ARC
(0,22),-2.5822 # DEPENDENCYPART_ARC
(1,2),-0.860195 # DEPENDENCYPART_ARC
(1,3),-1.25829 # DEPENDENCYPART_ARC
(1,4),-1.02554 # DEPENDENCYPART_ARC
(1,5),-0.0308524 # DEPENDENCYPART_ARC
(1,6),-1.26099 # DEPENDENCYPART_ARC
(1,7),-0.501662 # DEPENDENCYPART_ARC
(1,8),-1.01256 # DEPENDENCYPART_ARC
(1,9),-1.07331 # DEPENDENCYPART_ARC
(1,10),-1.07168 # DEPENDENCYPART_ARC
(1,11),0.191797 # DEPENDENCYPART_ARC
(1,12),-0.468759 # DEPENDENCYPART_ARC
(1,14),-1.08657 # DEPENDENCYPART_ARC
(1,15),-0.416048 # DEPENDENCYPART_ARC
(1,16),-0.444804 # DEPENDENCYPART_ARC
(1,18),-1.04323 # DEPENDENCYPART_ARC
(1,19),-1.27382 # DEPENDENCYPART_ARC
(1,20),-0.961095 # DEPENDENCYPART_ARC
(1,21),-0.639598 # DEPENDENCYPART_ARC
(1,22),-0.642991 # DEPENDENCYPART_ARC
(1,23),-1.69559 # DEPENDENCYPART_ARC
(1,24),-2.04989 # DEPENDENCYPART_ARC
(2,1),-0.767211 # DEPENDENCYPART_ARC
(2,3),-1.34921 # DEPENDENCYPART_ARC
(2,4),-1.56567 # DEPENDENCYPART_ARC
(2,5),-0.695419 # DEPENDENCYPART_ARC
(2,6),-1.78432 # DEPENDENCYPART_ARC
