# _root_ Orbán egyetlen " házon belüli " kritikusa , Tölgyessy_Péter már hónapokkal ezelőtt jelezte , hogy a kormányfő megválasztása után egyfajta elnöki rendszer kiépítésébe fogott .
#goldHeads=7,7,7,5,7,7,13,13,13,13,12,13,0,13,13,17,24,19,24,22,22,23,24,13,13,
#predictedHeads=2,4,4,5,7,7,13,13,13,13,12,13,0,13,13,17,18,19,24,22,22,23,24,13,13,
(0,1),-2.74142 # DEPENDENCYPART_ARC
(0,2),-3.45192 # DEPENDENCYPART_ARC
(0,4),-4.18775 # DEPENDENCYPART_ARC
(0,5),-3.93362 # DEPENDENCYPART_ARC
(0,7),-4.95886 # DEPENDENCYPART_ARC
(0,10),-3.89298 # DEPENDENCYPART_ARC
(0,13),-2.25539 # DEPENDENCYPART_ARC
(0,15),-4.11092 # DEPENDENCYPART_ARC
(0,24),-3.64679 # DEPENDENCYPART_ARC
(1,3),-0.805141 # DEPENDENCYPART_ARC
(1,13),-1.7064 # DEPENDENCYPART_ARC
(1,24),-2.05732 # DEPENDENCYPART_ARC
(1,25),-1.23491 # DEPENDENCYPART_ARC
(2,1),0.623734 # DEPENDENCYPART_ARC
(2,3),-0.0670148 # DEPENDENCYPART_ARC
(2,4),-0.907135 # DEPENDENCYPART_ARC
(2,5),-1.35764 # DEPENDENCYPART_ARC
(2,6),-0.538095 # DEPENDENCYPART_ARC
(2,7),-1.44304 # DEPENDENCYPART_ARC
(2,8),-0.714046 # DEPENDENCYPART_ARC
(2,13),-1.39422 # DEPENDENCYPART_ARC
(2,24),-1.80508 # DEPENDENCYPART_ARC
(2,25),-1.40419 # DEPENDENCYPART_ARC
(4,1),-0.19408 # DEPENDENCYPART_ARC
(4,2),0.720088 # DEPENDENCYPART_ARC
(4,3),0.396346 # DEPENDENCYPART_ARC
(4,6),-0.8224 # DEPENDENCYPART_ARC
(4,8),-0.804292 # DEPENDENCYPART_ARC
(4,9),-1.5817 # DEPENDENCYPART_ARC
(4,12),-1.42675 # DEPENDENCYPART_ARC
(4,13),-1.48771 # DEPENDENCYPART_ARC
(4,24),-1.81935 # DEPENDENCYPART_ARC
(4,25),-1.3963 # DEPENDENCYPART_ARC
(5,1),-0.734054 # DEPENDENCYPART_ARC
(5,2),-0.702234 # DEPENDENCYPART_ARC
(5,3),-0.346067 # DEPENDENCYPART_ARC
(5,4),1.84172 # DEPENDENCYPART_ARC
(5,6),-0.103923 # DEPENDENCYPART_ARC
(5,7),-1.05885 # DEPENDENCYPART_ARC
(5,8),-0.613578 # DEPENDENCYPART_ARC
(5,9),-1.36426 # DEPENDENCYPART_ARC
(5,11),-1.93994 # DEPENDENCYPART_ARC
(5,13),-1.26236 # DEPENDENCYPART_ARC
(5,14),-1.13129 # DEPENDENCYPART_ARC
(5,20),-1.94149 # DEPENDENCYPART_ARC
(5,24),-1.67996 # DEPENDENCYPART_ARC
(5,25),-1.35631 # DEPENDENCYPART_ARC
(7,1),0.103032 # DEPENDENCYPART_ARC
(7,2),-0.664669 # DEPENDENCYPART_ARC
(7,3),-0.182977 # DEPENDENCYPART_ARC
(7,4),-0.788996 # DEPENDENCYPART_ARC
(7,5),0.864837 # DEPENDENCYPART_ARC
(7,6),0.904144 # DEPENDENCYPART_ARC
(7,8),-0.654156 # DEPENDENCYPART_ARC
(7,9),-1.27033 # DEPENDENCYPART_ARC
(7,10),-1.74856 # DEPENDENCYPART_ARC
(7,11),-1.89627 # DEPENDENCYPART_ARC
(7,12),-1.59264 # DEPENDENCYPART_ARC
(7,19),-2.02286 # DEPENDENCYPART_ARC
(7,24),-1.91097 # DEPENDENCYPART_ARC
(7,25),-1.93931 # DEPENDENCYPART_ARC
(9,2),-2.35692 # DEPENDENCYPART_ARC
(9,3),-1.10025 # DEPENDENCYPART_ARC
(9,4),-2.65604 # DEPENDENCYPART_ARC
(9,5),-1.63002 # DEPENDENCYPART_ARC
(9,6),-0.614621 # DEPENDENCYPART_ARC
(9,7),-0.998373 # DEPENDENCYPART_ARC
(9,8),-0.388216 # DEPENDENCYPART_ARC
(9,11),-1.63585 # DEPENDENCYPART_ARC
(9,12),-0.983634 # DEPENDENCYPART_ARC
(9,19),-1.46042 # DEPENDENCYPART_ARC
(9,25),-1.61363 # DEPENDENCYPART_ARC
(10,7),-1.26078 # DEPENDENCYPART_ARC
(10,9),-0.283111 # DEPENDENCYPART_ARC
(10,11),-1.11522 # DEPENDENCYPART_ARC
(10,12),-1.13069 # DEPENDENCYPART_ARC
(10,15),-1.34449 # DEPENDENCYPART_ARC
(10,19),-1.50329 # DEPENDENCYPART_ARC
(10,22),-2.36099 # DEPENDENCYPART_ARC
(10,24),-1.73167 # DEPENDENCYPART_ARC
(10,25),-1.20823 # DEPENDENCYPART_ARC
(11,1),-2.74903 # DEPENDENCYPART_ARC
(11,2),-1.52529 # DEPENDENCYPART_ARC
(11,3),-1.16025 # DEPENDENCYPART_ARC
(11,4),-3.27528 # DEPENDENCYPART_ARC
(11,5),-1.09991 # DEPENDENCYPART_ARC
(11,6),-0.909786 # DEPENDENCYPART_ARC
(11,7),-2.67789 # DEPENDENCYPART_ARC
(11,8),-0.737542 # DEPENDENCYPART_ARC
(11,9),-0.14544 # DEPENDENCYPART_ARC
(11,10),-0.228865 # DEPENDENCYPART_ARC
(11,19),-1.62467 # DEPENDENCYPART_ARC
(12,1),-1.44282 # DEPENDENCYPART_ARC
(12,2),-1.36506 # DEPENDENCYPART_ARC
(12,3),-0.940921 # DEPENDENCYPART_ARC
(12,4),-1.03374 # DEPENDENCYPART_ARC
(12,5),-1.21449 # DEPENDENCYPART_ARC
(12,6),-0.761022 # DEPENDENCYPART_ARC
(12,7),-0.395932 # DEPENDENCYPART_ARC
(12,8),-0.343778 # DEPENDENCYPART_ARC
(12,9),0.108527 # DEPENDENCYPART_ARC
(12,10),-0.035702 # DEPENDENCYPART_ARC
(12,11),2.61361 # DEPENDENCYPART_ARC
(12,17),-1.64216 # DEPENDENCYPART_ARC
(12,22),-1.69955 # DEPENDENCYPART_ARC
(12,24),-1.62273 # DEPENDENCYPART_ARC
(13,1),-0.401496 # DEPENDENCYPART_ARC
(13,2),-1.82629 # DEPENDENCYPART_ARC
(13,3),-0.459807 # DEPENDENCYPART_ARC
(13,4),-0.00427559 # DEPENDENCYPART_ARC
(13,5),-1.36841 # DEPENDENCYPART_ARC
(13,6),-0.332715 # DEPENDENCYPART_ARC
(13,7),0.050624 # DEPENDENCYPART_ARC
(13,8),0.169362 # DEPENDENCYPART_ARC
(13,9),1.30105 # DEPENDENCYPART_ARC
(13,10),1.33186 # DEPENDENCYPART_ARC
(13,11),0.0433766 # DEPENDENCYPART_ARC
(13,12),2.14901 # DEPENDENCYPART_ARC
(13,14),0.687219 # DEPENDENCYPART_ARC
(13,15),1.88481 # DEPENDENCYPART_ARC
(13,16),-1.69812 # DEPENDENCYPART_ARC
(13,17),-1.1286 # DEPENDENCYPART_ARC
(13,18),-0.967489 # DEPENDENCYPART_ARC
