# _root_ A Realbank kárvallott , körülbelül 2600 részvényesének soraiban még nem tört ki a pereskedési láz , de várható .
#goldHeads=2,7,7,7,7,7,8,11,11,11,17,11,15,15,11,17,0,17,17,
#predictedHeads=2,7,7,7,7,7,11,11,11,11,17,11,15,15,11,17,0,17,17,
(0,2),-2.90846 # DEPENDENCYPART_ARC
(0,3),-3.49513 # DEPENDENCYPART_ARC
(0,5),-3.73872 # DEPENDENCYPART_ARC
(0,9),-4.15604 # DEPENDENCYPART_ARC
(0,10),-3.78302 # DEPENDENCYPART_ARC
(0,11),-2.24663 # DEPENDENCYPART_ARC
(0,12),-4.40507 # DEPENDENCYPART_ARC
(0,17),-1.71071 # DEPENDENCYPART_ARC
(0,18),-4.12345 # DEPENDENCYPART_ARC
(1,3),-0.954483 # DEPENDENCYPART_ARC
(2,1),1.28647 # DEPENDENCYPART_ARC
(2,4),-0.820439 # DEPENDENCYPART_ARC
(2,6),-1.14737 # DEPENDENCYPART_ARC
(2,7),-1.61987 # DEPENDENCYPART_ARC
(2,11),-1.53022 # DEPENDENCYPART_ARC
(2,18),-2.00478 # DEPENDENCYPART_ARC
(3,1),-0.619524 # DEPENDENCYPART_ARC
(3,2),0.924754 # DEPENDENCYPART_ARC
(3,4),-0.493971 # DEPENDENCYPART_ARC
(3,5),-1.30788 # DEPENDENCYPART_ARC
(3,6),-1.18663 # DEPENDENCYPART_ARC
(3,7),-1.5085 # DEPENDENCYPART_ARC
(3,8),-1.74025 # DEPENDENCYPART_ARC
(3,10),-1.61479 # DEPENDENCYPART_ARC
(3,11),-1.35328 # DEPENDENCYPART_ARC
(3,15),-2.11575 # DEPENDENCYPART_ARC
(3,16),-1.43204 # DEPENDENCYPART_ARC
(3,17),-1.54826 # DEPENDENCYPART_ARC
(3,18),-2.19741 # DEPENDENCYPART_ARC
(3,19),-1.60956 # DEPENDENCYPART_ARC
(5,2),-1.2582 # DEPENDENCYPART_ARC
(5,3),-1.34642 # DEPENDENCYPART_ARC
(5,4),-0.868987 # DEPENDENCYPART_ARC
(5,6),-0.75204 # DEPENDENCYPART_ARC
(5,7),-0.942819 # DEPENDENCYPART_ARC
