# _root_ Aki elsőnek ér a tájékozódási pontokra , azé a tojás , és a legtöbb tojás tulajdonosa lesz a tojáskereső verseny győztese .
#goldHeads=3,3,8,6,6,3,8,12,10,8,12,0,15,15,16,17,12,20,20,21,17,12,
#predictedHeads=3,3,12,6,6,3,3,10,10,3,12,0,15,15,16,17,12,20,20,21,17,12,
(0,2),-3.2295 # DEPENDENCYPART_ARC
(0,3),-1.66056 # DEPENDENCYPART_ARC
(0,8),-4.39356 # DEPENDENCYPART_ARC
(0,12),-3.14756 # DEPENDENCYPART_ARC
(0,17),-3.33435 # DEPENDENCYPART_ARC
(1,5),-0.96103 # DEPENDENCYPART_ARC
(1,6),-1.44133 # DEPENDENCYPART_ARC
(1,10),-1.14671 # DEPENDENCYPART_ARC
(1,15),-1.35877 # DEPENDENCYPART_ARC
(1,16),-1.32271 # DEPENDENCYPART_ARC
(2,3),-0.44445 # DEPENDENCYPART_ARC
(2,6),-2.03008 # DEPENDENCYPART_ARC
(2,10),-2.04513 # DEPENDENCYPART_ARC
(3,1),1.07747 # DEPENDENCYPART_ARC
(3,2),1.69584 # DEPENDENCYPART_ARC
(3,4),-1.11362 # DEPENDENCYPART_ARC
(3,5),-0.200028 # DEPENDENCYPART_ARC
(3,6),1.2165 # DEPENDENCYPART_ARC
(3,7),0.502125 # DEPENDENCYPART_ARC
(3,8),-1.34181 # DEPENDENCYPART_ARC
(3,9),-1.97535 # DEPENDENCYPART_ARC
(3,10),-8.05071e-05 # DEPENDENCYPART_ARC
(3,11),-0.317883 # DEPENDENCYPART_ARC
(3,12),-0.59609 # DEPENDENCYPART_ARC
(3,14),-1.3258 # DEPENDENCYPART_ARC
(3,15),-1.60296 # DEPENDENCYPART_ARC
(3,16),-1.27085 # DEPENDENCYPART_ARC
(3,17),-0.397073 # DEPENDENCYPART_ARC
(3,20),-1.83616 # DEPENDENCYPART_ARC
(3,21),-1.1838 # DEPENDENCYPART_ARC
(3,22),-0.431396 # DEPENDENCYPART_ARC
(4,5),-0.561239 # DEPENDENCYPART_ARC
(4,7),-0.66527 # DEPENDENCYPART_ARC
(5,1),-2.10804 # DEPENDENCYPART_ARC
(5,3),-1.48459 # DEPENDENCYPART_ARC
(5,4),-0.482892 # DEPENDENCYPART_ARC
(5,7),-1.04929 # DEPENDENCYPART_ARC
