# _root_ 1998 márciusában az ÁPTF a Riverbank név használatát sem engedélyezte egy kft számára , mondván , nem végez pénzügyi szolgáltatási tevékenységet .
#goldHeads=2,10,4,10,7,7,8,10,10,0,12,13,10,10,10,10,18,15,20,21,18,10,
#predictedHeads=2,10,4,10,7,7,8,10,10,0,12,13,10,10,10,10,18,10,21,21,18,10,
(0,1),-2.57596 # DEPENDENCYPART_ARC
(0,2),-3.42926 # DEPENDENCYPART_ARC
(0,4),-3.53436 # DEPENDENCYPART_ARC
(0,9),-4.43966 # DEPENDENCYPART_ARC
(0,10),-2.00143 # DEPENDENCYPART_ARC
(0,12),-3.6057 # DEPENDENCYPART_ARC
(0,15),-4.57091 # DEPENDENCYPART_ARC
(0,17),-4.12607 # DEPENDENCYPART_ARC
(0,18),-3.36756 # DEPENDENCYPART_ARC
(0,19),-4.09542 # DEPENDENCYPART_ARC
(1,4),-1.49601 # DEPENDENCYPART_ARC
(1,6),-1.69848 # DEPENDENCYPART_ARC
(1,7),-1.80431 # DEPENDENCYPART_ARC
(1,8),-2.14046 # DEPENDENCYPART_ARC
(1,10),-1.47412 # DEPENDENCYPART_ARC
(1,18),-1.44757 # DEPENDENCYPART_ARC
(1,19),-2.03927 # DEPENDENCYPART_ARC
(1,22),-1.53251 # DEPENDENCYPART_ARC
(2,1),1.63905 # DEPENDENCYPART_ARC
(2,3),-1.60483 # DEPENDENCYPART_ARC
(2,4),-0.82529 # DEPENDENCYPART_ARC
(2,6),-1.0399 # DEPENDENCYPART_ARC
(2,7),-1.429 # DEPENDENCYPART_ARC
(2,8),-1.98474 # DEPENDENCYPART_ARC
(2,10),-2.12761 # DEPENDENCYPART_ARC
(2,12),-1.67737 # DEPENDENCYPART_ARC
(2,13),-1.6148 # DEPENDENCYPART_ARC
(2,14),-1.29866 # DEPENDENCYPART_ARC
(2,15),-1.87884 # DEPENDENCYPART_ARC
(2,18),-2.3409 # DEPENDENCYPART_ARC
(2,19),-2.05627 # DEPENDENCYPART_ARC
(2,21),-2.37636 # DEPENDENCYPART_ARC
(2,22),-1.57795 # DEPENDENCYPART_ARC
(4,2),-2.75319 # DEPENDENCYPART_ARC
(4,3),1.38126 # DEPENDENCYPART_ARC
(4,6),-1.0045 # DEPENDENCYPART_ARC
(4,7),-0.91459 # DEPENDENCYPART_ARC
(4,8),-1.54248 # DEPENDENCYPART_ARC
(4,10),-1.46133 # DEPENDENCYPART_ARC
(4,13),-1.43401 # DEPENDENCYPART_ARC
(4,21),-2.23309 # DEPENDENCYPART_ARC
(4,22),-1.53451 # DEPENDENCYPART_ARC
(6,3),-1.13099 # DEPENDENCYPART_ARC
(6,4),-0.909852 # DEPENDENCYPART_ARC
(6,5),0.981136 # DEPENDENCYPART_ARC
