# _root_ Az ezredfordulón nemcsak a közlekedés és a hírközlés , de a háztartás , a munka és a szórakozás tempója is a sokszorosa a száz évvel ezelőttinek .
#goldHeads=2,20,20,5,6,20,8,6,20,20,12,19,19,15,19,19,18,19,20,0,22,20,26,25,26,20,20,
#predictedHeads=2,3,10,5,6,10,8,6,10,0,12,19,19,15,19,19,18,19,20,26,22,26,25,25,26,10,10,
(0,2),-3.44529 # DEPENDENCYPART_ARC
(0,3),-3.37097 # DEPENDENCYPART_ARC
(0,6),-3.60557 # DEPENDENCYPART_ARC
(0,10),-2.86818 # DEPENDENCYPART_ARC
(0,16),-4.54562 # DEPENDENCYPART_ARC
(0,26),-3.99824 # DEPENDENCYPART_ARC
(1,3),-0.954171 # DEPENDENCYPART_ARC
(1,5),-1.51784 # DEPENDENCYPART_ARC
(2,1),1.75643 # DEPENDENCYPART_ARC
(2,5),-1.55403 # DEPENDENCYPART_ARC
(2,10),-1.44382 # DEPENDENCYPART_ARC
(2,27),-2.29861 # DEPENDENCYPART_ARC
(3,1),-1.33423 # DEPENDENCYPART_ARC
(3,2),-0.51616 # DEPENDENCYPART_ARC
(3,4),-1.3497 # DEPENDENCYPART_ARC
(3,5),-1.02541 # DEPENDENCYPART_ARC
(3,6),-1.32505 # DEPENDENCYPART_ARC
(3,8),-1.33598 # DEPENDENCYPART_ARC
(3,9),-1.2613 # DEPENDENCYPART_ARC
(3,10),-1.49938 # DEPENDENCYPART_ARC
(3,12),-1.67035 # DEPENDENCYPART_ARC
(3,13),-1.34221 # DEPENDENCYPART_ARC
(3,16),-1.71021 # DEPENDENCYPART_ARC
(3,19),-2.17163 # DEPENDENCYPART_ARC
(3,20),-1.97748 # DEPENDENCYPART_ARC
(3,24),-1.63269 # DEPENDENCYPART_ARC
(3,25),-2.52727 # DEPENDENCYPART_ARC
(3,26),-2.31154 # DEPENDENCYPART_ARC
(3,27),-1.98165 # DEPENDENCYPART_ARC
(4,3),-0.70719 # DEPENDENCYPART_ARC
(4,6),-0.992793 # DEPENDENCYPART_ARC
(4,8),-1.60886 # DEPENDENCYPART_ARC
(5,1),-0.969775 # DEPENDENCYPART_ARC
(5,2),-2.34986 # DEPENDENCYPART_ARC
(5,3),-1.04056 # DEPENDENCYPART_ARC
(5,4),1.77168 # DEPENDENCYPART_ARC
(5,8),-1.52591 # DEPENDENCYPART_ARC
(6,1),-1.90645 # DEPENDENCYPART_ARC
(6,2),-1.51957 # DEPENDENCYPART_ARC
(6,3),-0.566554 # DEPENDENCYPART_ARC
(6,4),-1.40153 # DEPENDENCYPART_ARC
(6,5),-0.476806 # DEPENDENCYPART_ARC
(6,7),-1.09059 # DEPENDENCYPART_ARC
(6,8),-0.528412 # DEPENDENCYPART_ARC
(6,9),-0.945901 # DEPENDENCYPART_ARC
(6,10),-1.28027 # DEPENDENCYPART_ARC
(6,12),-1.23624 # DEPENDENCYPART_ARC
(6,13),-1.1103 # DEPENDENCYPART_ARC
(6,15),-1.71059 # DEPENDENCYPART_ARC
(6,16),-1.47458 # DEPENDENCYPART_ARC
(6,18),-1.87965 # DEPENDENCYPART_ARC
(6,19),-1.98754 # DEPENDENCYPART_ARC
(6,20),-1.72347 # DEPENDENCYPART_ARC
(6,22),-1.96478 # DEPENDENCYPART_ARC
(6,24),-1.5564 # DEPENDENCYPART_ARC
(6,25),-2.39513 # DEPENDENCYPART_ARC
(6,26),-2.40252 # DEPENDENCYPART_ARC
(6,27),-2.62333 # DEPENDENCYPART_ARC
(7,6),-0.761988 # DEPENDENCYPART_ARC
(7,9),-0.864821 # DEPENDENCYPART_ARC
(7,12),-1.71877 # DEPENDENCYPART_ARC
(8,1),-1.82392 # DEPENDENCYPART_ARC
(8,2),-3.30146 # DEPENDENCYPART_ARC
(8,4),-0.747836 # DEPENDENCYPART_ARC
(8,5),-1.21605 # DEPENDENCYPART_ARC
(8,6),-0.779686 # DEPENDENCYPART_ARC
(8,7),1.91587 # DEPENDENCYPART_ARC
(8,9),-0.752286 # DEPENDENCYPART_ARC
(8,12),-1.45968 # DEPENDENCYPART_ARC
(8,13),-1.21056 # DEPENDENCYPART_ARC
(8,26),-2.68929 # DEPENDENCYPART_ARC
(8,27),-2.12444 # DEPENDENCYPART_ARC
(10,2),-2.0073 # DEPENDENCYPART_ARC
(10,3),-0.844638 # DEPENDENCYPART_ARC
(10,5),-1.67409 # DEPENDENCYPART_ARC
(10,6),-0.721117 # DEPENDENCYPART_ARC
(10,7),-1.39484 # DEPENDENCYPART_ARC
(10,8),-1.2372 # DEPENDENCYPART_ARC
(10,9),0.391689 # DEPENDENCYPART_ARC
(10,11),-1.01482 # DEPENDENCYPART_ARC
(10,12),-0.846809 # DEPENDENCYPART_ARC
(10,13),-0.909607 # DEPENDENCYPART_ARC
(10,15),-1.57779 # DEPENDENCYPART_ARC
(10,16),-1.05467 # DEPENDENCYPART_ARC
(10,18),-1.6817 # DEPENDENCYPART_ARC
(10,19),-1.76391 # DEPENDENCYPART_ARC
(10,20),-1.42284 # DEPENDENCYPART_ARC
(10,22),-1.84874 # DEPENDENCYPART_ARC
(10,24),-1.20629 # DEPENDENCYPART_ARC
(10,25),-2.19233 # DEPENDENCYPART_ARC
(10,26),-1.69377 # DEPENDENCYPART_ARC
(10,27),0.294586 # DEPENDENCYPART_ARC
