# _root_ A laikus már-már azt hinné : a megbírált játékos serényen magába száll , s a legközelebbi buszjárattal kolostorba vonul , hogy csöndes magányban felülvizsgálja nézeteit a védekezést illetően .
#goldHeads=2,5,5,5,0,5,9,9,12,12,12,4,4,4,17,17,19,19,4,19,19,23,24,19,24,27,28,24,5,
#predictedHeads=2,5,5,5,0,5,9,9,12,12,12,4,12,4,17,17,19,19,4,19,19,23,24,4,24,27,28,24,5,
(0,2),-3.19104 # DEPENDENCYPART_ARC
(0,3),-3.49155 # DEPENDENCYPART_ARC
(0,4),-4.12052 # DEPENDENCYPART_ARC
(0,5),-1.64343 # DEPENDENCYPART_ARC
(0,12),-2.6201 # DEPENDENCYPART_ARC
(0,14),-2.37861 # DEPENDENCYPART_ARC
(0,19),-2.89799 # DEPENDENCYPART_ARC
(0,21),-5.40703 # DEPENDENCYPART_ARC
(0,24),-3.2898 # DEPENDENCYPART_ARC
(2,1),1.67277 # DEPENDENCYPART_ARC
(2,3),-1.17596 # DEPENDENCYPART_ARC
(3,2),-0.364888 # DEPENDENCYPART_ARC
(3,5),-0.717889 # DEPENDENCYPART_ARC
(3,6),-0.600091 # DEPENDENCYPART_ARC
(3,9),-1.51674 # DEPENDENCYPART_ARC
(3,12),-1.12875 # DEPENDENCYPART_ARC
(3,19),-1.19746 # DEPENDENCYPART_ARC
(3,24),-1.34581 # DEPENDENCYPART_ARC
(3,29),-1.5912 # DEPENDENCYPART_ARC
(4,2),-1.04572 # DEPENDENCYPART_ARC
(4,3),-0.297571 # DEPENDENCYPART_ARC
(4,5),0.741193 # DEPENDENCYPART_ARC
(4,6),-0.23114 # DEPENDENCYPART_ARC
(4,8),-0.204028 # DEPENDENCYPART_ARC
(4,9),-0.0846792 # DEPENDENCYPART_ARC
(4,10),-0.372704 # DEPENDENCYPART_ARC
(4,12),1.06809 # DEPENDENCYPART_ARC
(4,13),0.363687 # DEPENDENCYPART_ARC
(4,14),0.611683 # DEPENDENCYPART_ARC
(4,16),0.140718 # DEPENDENCYPART_ARC
(4,17),-0.824646 # DEPENDENCYPART_ARC
(4,18),-0.74458 # DEPENDENCYPART_ARC
(4,19),1.11807 # DEPENDENCYPART_ARC
(4,20),0.275976 # DEPENDENCYPART_ARC
(4,21),0.222939 # DEPENDENCYPART_ARC
(4,22),-0.222871 # DEPENDENCYPART_ARC
(4,23),-0.435367 # DEPENDENCYPART_ARC
(4,24),0.497676 # DEPENDENCYPART_ARC
(4,25),-1.13312 # DEPENDENCYPART_ARC
(4,27),-0.91879 # DEPENDENCYPART_ARC
(4,28),-0.526388 # DEPENDENCYPART_ARC
