# _root_ Külön biztató , hogy a részvények nemcsak a hazai , hanem a külföldi befektetők számára is újra vonzóak .
#goldHeads=4,4,4,0,6,18,18,18,8,18,18,14,14,15,18,18,18,4,4,
#predictedHeads=4,4,4,0,6,7,4,14,14,11,4,14,14,15,18,18,18,11,4,
(0,1),-2.78443 # DEPENDENCYPART_ARC
(0,2),-3.28496 # DEPENDENCYPART_ARC
(0,4),-2.5772 # DEPENDENCYPART_ARC
(0,7),-3.24585 # DEPENDENCYPART_ARC
(0,11),-2.64893 # DEPENDENCYPART_ARC
(0,15),-4.4286 # DEPENDENCYPART_ARC
(0,16),-3.92903 # DEPENDENCYPART_ARC
(0,17),-3.96531 # DEPENDENCYPART_ARC
(0,18),-3.78683 # DEPENDENCYPART_ARC
(1,2),-0.965684 # DEPENDENCYPART_ARC
(1,3),-1.01547 # DEPENDENCYPART_ARC
(1,4),-0.972481 # DEPENDENCYPART_ARC
(1,6),-1.63041 # DEPENDENCYPART_ARC
(1,7),-1.09027 # DEPENDENCYPART_ARC
(1,11),-1.26792 # DEPENDENCYPART_ARC
(1,14),-2.23194 # DEPENDENCYPART_ARC
(1,15),-1.25957 # DEPENDENCYPART_ARC
(1,16),-1.59141 # DEPENDENCYPART_ARC
(1,19),-1.72767 # DEPENDENCYPART_ARC
(2,1),0.473822 # DEPENDENCYPART_ARC
(2,3),-0.578788 # DEPENDENCYPART_ARC
(2,4),-1.41424 # DEPENDENCYPART_ARC
(2,6),-1.83443 # DEPENDENCYPART_ARC
(2,9),-1.88271 # DEPENDENCYPART_ARC
(2,10),-1.08094 # DEPENDENCYPART_ARC
(2,11),-1.56387 # DEPENDENCYPART_ARC
(2,14),-2.35945 # DEPENDENCYPART_ARC
(2,16),-1.80374 # DEPENDENCYPART_ARC
(2,18),-1.96532 # DEPENDENCYPART_ARC
(2,19),-1.28662 # DEPENDENCYPART_ARC
(4,1),0.143926 # DEPENDENCYPART_ARC
(4,2),0.318022 # DEPENDENCYPART_ARC
(4,3),0.224408 # DEPENDENCYPART_ARC
(4,6),-1.23712 # DEPENDENCYPART_ARC
(4,7),-0.814491 # DEPENDENCYPART_ARC
(4,9),-1.65432 # DEPENDENCYPART_ARC
(4,10),-1.12513 # DEPENDENCYPART_ARC
(4,11),-0.938913 # DEPENDENCYPART_ARC
(4,13),-1.871 # DEPENDENCYPART_ARC
(4,14),-1.94343 # DEPENDENCYPART_ARC
(4,16),-1.31596 # DEPENDENCYPART_ARC
(4,17),-1.50083 # DEPENDENCYPART_ARC
(4,18),-1.935 # DEPENDENCYPART_ARC
(4,19),-0.244361 # DEPENDENCYPART_ARC
(6,1),-2.08641 # DEPENDENCYPART_ARC
(6,2),-1.44619 # DEPENDENCYPART_ARC
(6,3),-1.16993 # DEPENDENCYPART_ARC
(6,4),-1.24663 # DEPENDENCYPART_ARC
(6,5),1.83566 # DEPENDENCYPART_ARC
(6,15),-1.57812 # DEPENDENCYPART_ARC
(6,17),-1.91923 # DEPENDENCYPART_ARC
(7,1),-1.16853 # DEPENDENCYPART_ARC
(7,2),-1.59119 # DEPENDENCYPART_ARC
(7,3),-1.13154 # DEPENDENCYPART_ARC
(7,4),-0.79619 # DEPENDENCYPART_ARC
(7,5),-1.42661 # DEPENDENCYPART_ARC
(7,6),-0.488086 # DEPENDENCYPART_ARC
(7,8),-1.36856 # DEPENDENCYPART_ARC
(7,9),-1.30934 # DEPENDENCYPART_ARC
(7,10),-1.15974 # DEPENDENCYPART_ARC
(7,11),-1.47801 # DEPENDENCYPART_ARC
(7,13),-1.70238 # DEPENDENCYPART_ARC
(7,14),-1.56298 # DEPENDENCYPART_ARC
(7,15),-1.61983 # DEPENDENCYPART_ARC
(7,16),-1.53634 # DEPENDENCYPART_ARC
(7,17),-1.85011 # DEPENDENCYPART_ARC
(7,18),-1.69856 # DEPENDENCYPART_ARC
(7,19),-1.41592 # DEPENDENCYPART_ARC
(8,7),-0.714869 # DEPENDENCYPART_ARC
(8,9),-0.514542 # DEPENDENCYPART_ARC
(8,13),-1.23445 # DEPENDENCYPART_ARC
(9,1),-2.22468 # DEPENDENCYPART_ARC
(9,4),-1.70586 # DEPENDENCYPART_ARC
(9,5),-2.13427 # DEPENDENCYPART_ARC
(9,6),-2.12357 # DEPENDENCYPART_ARC
(9,7),-1.21034 # DEPENDENCYPART_ARC
(9,8),-0.70914 # DEPENDENCYPART_ARC
(9,10),-0.673928 # DEPENDENCYPART_ARC
(9,14),-2.07923 # DEPENDENCYPART_ARC
(9,16),-1.79064 # DEPENDENCYPART_ARC
(9,18),-1.98904 # DEPENDENCYPART_ARC
(9,19),-1.60127 # DEPENDENCYPART_ARC
(11,1),-0.961885 # DEPENDENCYPART_ARC
(11,2),-1.78619 # DEPENDENCYPART_ARC
(11,3),-1.48634 # DEPENDENCYPART_ARC
(11,4),-1.12558 # DEPENDENCYPART_ARC
(11,6),-1.6613 # DEPENDENCYPART_ARC
(11,7),-0.748643 # DEPENDENCYPART_ARC
(11,8),-1.49445 # DEPENDENCYPART_ARC
(11,9),-1.07787 # DEPENDENCYPART_ARC
(11,10),0.247573 # DEPENDENCYPART_ARC
(11,12),-1.09958 # DEPENDENCYPART_ARC
(11,13),-1.06401 # DEPENDENCYPART_ARC
(11,14),-1.07617 # DEPENDENCYPART_ARC
(11,15),-1.13019 # DEPENDENCYPART_ARC
(11,16),-1.12163 # DEPENDENCYPART_ARC
(11,17),-1.42062 # DEPENDENCYPART_ARC
(11,18),-1.28297 # DEPENDENCYPART_ARC
(11,19),-0.0587834 # DEPENDENCYPART_ARC
(12,13),-0.543996 # DEPENDENCYPART_ARC
(12,18),-1.23451 # DEPENDENCYPART_ARC
(13,8),-2.25501 # DEPENDENCYPART_ARC
(13,12),-0.619287 # DEPENDENCYPART_ARC
(13,15),-1.40598 # DEPENDENCYPART_ARC
(14,1),-1.94538 # DEPENDENCYPART_ARC
(14,2),-2.09688 # DEPENDENCYPART_ARC
(14,3),-1.13188 # DEPENDENCYPART_ARC
(14,5),-1.49416 # DEPENDENCYPART_ARC
(14,6),-2.54953 # DEPENDENCYPART_ARC
(14,7),-1.10927 # DEPENDENCYPART_ARC
(14,8),-0.426281 # DEPENDENCYPART_ARC
(14,9),-0.16153 # DEPENDENCYPART_ARC
(14,10),-0.214557 # DEPENDENCYPART_ARC
(14,11),-0.410072 # DEPENDENCYPART_ARC
(14,12),1.63358 # DEPENDENCYPART_ARC
(14,13),2.45096 # DEPENDENCYPART_ARC
(14,15),-1.03581 # DEPENDENCYPART_ARC
(14,17),-1.58977 # DEPENDENCYPART_ARC
(15,2),-1.56098 # DEPENDENCYPART_ARC
(15,3),-1.13595 # DEPENDENCYPART_ARC
(15,6),-0.802567 # DEPENDENCYPART_ARC
(15,7),-0.448842 # DEPENDENCYPART_ARC
(15,9),-1.19173 # DEPENDENCYPART_ARC
(15,10),-0.823314 # DEPENDENCYPART_ARC
(15,11),-0.290091 # DEPENDENCYPART_ARC
(15,12),-0.890006 # DEPENDENCYPART_ARC
(15,13),-0.140527 # DEPENDENCYPART_ARC
(15,14),2.38517 # DEPENDENCYPART_ARC
(15,16),-1.09211 # DEPENDENCYPART_ARC
(15,17),-1.39847 # DEPENDENCYPART_ARC
(15,18),-1.44952 # DEPENDENCYPART_ARC
(15,19),-1.67181 # DEPENDENCYPART_ARC
(16,1),-1.16183 # DEPENDENCYPART_ARC
(16,2),-1.789 # DEPENDENCYPART_ARC
(16,3),-1.72056 # DEPENDENCYPART_ARC
(16,4),-1.65611 # DEPENDENCYPART_ARC
(16,7),-0.947419 # DEPENDENCYPART_ARC
