# _root_ Szívet melengető érzés , hogy Európában még mindig mekkora kultusza van , és a mostani negyvenévesek milyen nosztalgiával emlegetik őt .
#goldHeads=2,3,5,5,0,11,11,11,10,11,13,13,5,16,16,19,18,19,13,19,5,
#predictedHeads=2,3,5,5,13,11,11,11,10,11,13,13,0,16,16,19,18,19,13,19,13,
(0,1),-3.31819 # DEPENDENCYPART_ARC
(0,3),-4.02037 # DEPENDENCYPART_ARC
(0,5),-3.31302 # DEPENDENCYPART_ARC
(0,7),-4.1794 # DEPENDENCYPART_ARC
(0,11),-2.49419 # DEPENDENCYPART_ARC
(0,13),-2.90404 # DEPENDENCYPART_ARC
(0,16),-4.27717 # DEPENDENCYPART_ARC
(0,19),-3.46345 # DEPENDENCYPART_ARC
(0,20),-5.34663 # DEPENDENCYPART_ARC
(1,2),-1.30741 # DEPENDENCYPART_ARC
(1,3),-1.34749 # DEPENDENCYPART_ARC
(1,4),-0.825811 # DEPENDENCYPART_ARC
(1,6),-2.03858 # DEPENDENCYPART_ARC
(1,7),-1.69508 # DEPENDENCYPART_ARC
(1,11),-1.76577 # DEPENDENCYPART_ARC
(1,13),-1.20997 # DEPENDENCYPART_ARC
(1,19),-2.2352 # DEPENDENCYPART_ARC
(1,21),-1.8348 # DEPENDENCYPART_ARC
(2,1),1.20483 # DEPENDENCYPART_ARC
(2,5),-1.53291 # DEPENDENCYPART_ARC
(2,6),-1.52329 # DEPENDENCYPART_ARC
(2,11),-1.74212 # DEPENDENCYPART_ARC
(3,1),-0.69063 # DEPENDENCYPART_ARC
(3,2),2.71543 # DEPENDENCYPART_ARC
(3,4),-0.655819 # DEPENDENCYPART_ARC
(3,6),-1.92592 # DEPENDENCYPART_ARC
(3,7),-1.8179 # DEPENDENCYPART_ARC
(3,11),-1.49852 # DEPENDENCYPART_ARC
(3,19),-1.85944 # DEPENDENCYPART_ARC
(3,21),-2.06756 # DEPENDENCYPART_ARC
(5,1),-0.732247 # DEPENDENCYPART_ARC
(5,2),0.0330294 # DEPENDENCYPART_ARC
(5,3),-0.230131 # DEPENDENCYPART_ARC
(5,4),0.277564 # DEPENDENCYPART_ARC
(5,6),-1.17861 # DEPENDENCYPART_ARC
(5,7),-1.33445 # DEPENDENCYPART_ARC
(5,10),-1.92758 # DEPENDENCYPART_ARC
(5,11),-0.691031 # DEPENDENCYPART_ARC
(5,12),-1.00057 # DEPENDENCYPART_ARC
(5,13),-0.95817 # DEPENDENCYPART_ARC
(5,15),-1.92912 # DEPENDENCYPART_ARC
(5,16),-2.01557 # DEPENDENCYPART_ARC
(5,19),-1.54388 # DEPENDENCYPART_ARC
(5,20),-1.58778 # DEPENDENCYPART_ARC
(5,21),-0.419232 # DEPENDENCYPART_ARC
(6,2),-2.00936 # DEPENDENCYPART_ARC
(6,3),-2.5321 # DEPENDENCYPART_ARC
(6,4),-1.44926 # DEPENDENCYPART_ARC
(6,5),-1.09928 # DEPENDENCYPART_ARC
(6,10),-1.5754 # DEPENDENCYPART_ARC
(6,15),-1.67262 # DEPENDENCYPART_ARC
(6,21),-1.69202 # DEPENDENCYPART_ARC
(7,1),-1.74234 # DEPENDENCYPART_ARC
(7,3),-1.77052 # DEPENDENCYPART_ARC
(7,4),-1.2671 # DEPENDENCYPART_ARC
(7,5),-1.26182 # DEPENDENCYPART_ARC
(7,6),-0.64573 # DEPENDENCYPART_ARC
