# _root_ De például a májjal már más a helyzet : a sertés mája más enzimeket termel , mint az emberé , más nagyságú vörösvérsejteket hoz létre és így tovább .
#goldHeads=0,6,4,6,6,1,8,6,1,11,12,15,14,15,26,15,15,19,15,26,22,23,24,26,24,1,28,26,1,
#predictedHeads=0,15,4,2,15,8,8,15,1,11,12,15,14,15,1,15,15,19,24,24,23,23,24,26,24,13,28,24,1,
(0,1),-2.98131 # DEPENDENCYPART_ARC
(0,2),-3.19058 # DEPENDENCYPART_ARC
(0,4),-4.11819 # DEPENDENCYPART_ARC
(0,5),-3.58856 # DEPENDENCYPART_ARC
(0,6),-4.041 # DEPENDENCYPART_ARC
(0,8),-4.57392 # DEPENDENCYPART_ARC
(0,13),-4.59597 # DEPENDENCYPART_ARC
(0,15),-2.90391 # DEPENDENCYPART_ARC
(0,17),-4.35261 # DEPENDENCYPART_ARC
(0,21),-4.93984 # DEPENDENCYPART_ARC
(0,24),-3.51848 # DEPENDENCYPART_ARC
(0,25),-5.01123 # DEPENDENCYPART_ARC
(0,26),-4.49503 # DEPENDENCYPART_ARC
(0,27),-3.07983 # DEPENDENCYPART_ARC
(0,28),-4.8513 # DEPENDENCYPART_ARC
(1,2),-1.3123 # DEPENDENCYPART_ARC
(1,4),-1.61596 # DEPENDENCYPART_ARC
(1,5),-1.66524 # DEPENDENCYPART_ARC
(1,8),-1.77964 # DEPENDENCYPART_ARC
(1,9),-0.672121 # DEPENDENCYPART_ARC
(1,12),-2.09338 # DEPENDENCYPART_ARC
(1,15),-0.657417 # DEPENDENCYPART_ARC
(1,16),-0.976106 # DEPENDENCYPART_ARC
(1,17),-1.54174 # DEPENDENCYPART_ARC
(1,20),-0.991091 # DEPENDENCYPART_ARC
(1,22),-1.90629 # DEPENDENCYPART_ARC
(1,24),-1.59278 # DEPENDENCYPART_ARC
(1,29),0.0278209 # DEPENDENCYPART_ARC
(2,1),-0.0976537 # DEPENDENCYPART_ARC
(2,4),-0.68083 # DEPENDENCYPART_ARC
(2,5),-0.800633 # DEPENDENCYPART_ARC
(2,8),-1.05619 # DEPENDENCYPART_ARC
(2,9),-0.501926 # DEPENDENCYPART_ARC
(2,11),-1.53099 # DEPENDENCYPART_ARC
(2,12),-1.4751 # DEPENDENCYPART_ARC
(2,14),-1.75451 # DEPENDENCYPART_ARC
(2,15),-0.981234 # DEPENDENCYPART_ARC
(2,16),-0.818224 # DEPENDENCYPART_ARC
(2,19),-1.84582 # DEPENDENCYPART_ARC
(2,20),-0.853902 # DEPENDENCYPART_ARC
(2,24),-1.15118 # DEPENDENCYPART_ARC
(2,26),-0.712054 # DEPENDENCYPART_ARC
(2,29),-1.43788 # DEPENDENCYPART_ARC
(4,1),-1.10631 # DEPENDENCYPART_ARC
(4,2),-1.15513 # DEPENDENCYPART_ARC
(4,3),1.44869 # DEPENDENCYPART_ARC
(5,1),-1.22061 # DEPENDENCYPART_ARC
(5,2),-0.887691 # DEPENDENCYPART_ARC
(5,4),-0.589786 # DEPENDENCYPART_ARC
(5,8),-0.986122 # DEPENDENCYPART_ARC
(5,9),-0.683245 # DEPENDENCYPART_ARC
(5,11),-1.62355 # DEPENDENCYPART_ARC
(5,12),-1.69199 # DEPENDENCYPART_ARC
(5,14),-1.78473 # DEPENDENCYPART_ARC
(5,15),-1.11492 # DEPENDENCYPART_ARC
(5,17),-1.1105 # DEPENDENCYPART_ARC
(5,24),-1.35021 # DEPENDENCYPART_ARC
(5,26),-1.03063 # DEPENDENCYPART_ARC
(5,29),-0.945184 # DEPENDENCYPART_ARC
(6,5),-0.0899756 # DEPENDENCYPART_ARC
(6,8),-0.774664 # DEPENDENCYPART_ARC
(6,9),-0.710738 # DEPENDENCYPART_ARC
(6,11),-1.06967 # DEPENDENCYPART_ARC
(6,12),-0.905192 # DEPENDENCYPART_ARC
(6,13),-1.30052 # DEPENDENCYPART_ARC
(6,14),-1.70627 # DEPENDENCYPART_ARC
(6,15),-0.0802768 # DEPENDENCYPART_ARC
(6,16),-0.515373 # DEPENDENCYPART_ARC
(6,19),-1.29711 # DEPENDENCYPART_ARC
(6,20),-0.876534 # DEPENDENCYPART_ARC
(6,24),-0.00184778 # DEPENDENCYPART_ARC
(8,1),-1.13762 # DEPENDENCYPART_ARC
(8,2),-1.92138 # DEPENDENCYPART_ARC
(8,3),-0.856502 # DEPENDENCYPART_ARC
(8,4),-2.87973 # DEPENDENCYPART_ARC
(8,5),-1.423 # DEPENDENCYPART_ARC
(8,6),0.696233 # DEPENDENCYPART_ARC
(8,7),1.95392 # DEPENDENCYPART_ARC
(8,9),-0.497679 # DEPENDENCYPART_ARC
(8,11),-1.19519 # DEPENDENCYPART_ARC
(8,12),-1.40257 # DEPENDENCYPART_ARC
(8,14),-2.11237 # DEPENDENCYPART_ARC
(8,28),-1.91079 # DEPENDENCYPART_ARC
(8,29),-1.86984 # DEPENDENCYPART_ARC
(11,3),-2.02835 # DEPENDENCYPART_ARC
(11,6),-0.920912 # DEPENDENCYPART_ARC
(11,7),-0.886163 # DEPENDENCYPART_ARC
(11,10),1.65383 # DEPENDENCYPART_ARC
(12,1),-0.790541 # DEPENDENCYPART_ARC
(12,2),-1.6148 # DEPENDENCYPART_ARC
(12,3),-2.65168 # DEPENDENCYPART_ARC
(12,4),-3.77769 # DEPENDENCYPART_ARC
(12,5),-1.63737 # DEPENDENCYPART_ARC
(12,6),-1.21874 # DEPENDENCYPART_ARC
(12,7),-1.67604 # DEPENDENCYPART_ARC
(12,8),-0.173822 # DEPENDENCYPART_ARC
(12,9),-0.90878 # DEPENDENCYPART_ARC
(12,10),0.162228 # DEPENDENCYPART_ARC
(12,11),2.84199 # DEPENDENCYPART_ARC
(12,14),-1.35081 # DEPENDENCYPART_ARC
(12,28),-1.81241 # DEPENDENCYPART_ARC
(13,12),-0.31016 # DEPENDENCYPART_ARC
(13,14),-1.26949 # DEPENDENCYPART_ARC
(13,16),-0.61371 # DEPENDENCYPART_ARC
(13,19),-1.06378 # DEPENDENCYPART_ARC
(13,21),-1.23098 # DEPENDENCYPART_ARC
(13,23),-1.84147 # DEPENDENCYPART_ARC
(13,24),-0.138656 # DEPENDENCYPART_ARC
(13,26),-0.441063 # DEPENDENCYPART_ARC
(14,2),-1.54894 # DEPENDENCYPART_ARC
(14,4),-4.19072 # DEPENDENCYPART_ARC
(14,5),-1.45757 # DEPENDENCYPART_ARC
(14,6),-1.22079 # DEPENDENCYPART_ARC
(14,7),-1.37681 # DEPENDENCYPART_ARC
(14,8),-2.47781 # DEPENDENCYPART_ARC
(14,10),-0.505287 # DEPENDENCYPART_ARC
(14,11),-0.912136 # DEPENDENCYPART_ARC
(14,12),-0.805235 # DEPENDENCYPART_ARC
(14,13),1.77252 # DEPENDENCYPART_ARC
(14,28),-1.89666 # DEPENDENCYPART_ARC
(15,1),0.34741 # DEPENDENCYPART_ARC
(15,2),0.0930249 # DEPENDENCYPART_ARC
(15,3),-1.86387 # DEPENDENCYPART_ARC
(15,4),-0.967899 # DEPENDENCYPART_ARC
(15,5),0.0124567 # DEPENDENCYPART_ARC
(15,6),-0.616181 # DEPENDENCYPART_ARC
(15,7),-1.6337 # DEPENDENCYPART_ARC
(15,8),-0.621723 # DEPENDENCYPART_ARC
(15,9),-0.205238 # DEPENDENCYPART_ARC
(15,10),-1.45431 # DEPENDENCYPART_ARC
(15,11),0.463315 # DEPENDENCYPART_ARC
(15,12),1.13696 # DEPENDENCYPART_ARC
(15,13),1.06242 # DEPENDENCYPART_ARC
(15,14),2.06499 # DEPENDENCYPART_ARC
(15,16),0.220373 # DEPENDENCYPART_ARC
(15,17),1.61788 # DEPENDENCYPART_ARC
(15,18),-2.03828 # DEPENDENCYPART_ARC
(15,19),-0.594523 # DEPENDENCYPART_ARC
(15,20),-0.303855 # DEPENDENCYPART_ARC
(15,21),-2.05636 # DEPENDENCYPART_ARC
(15,22),-1.65087 # DEPENDENCYPART_ARC
(15,23),-2.49843 # DEPENDENCYPART_ARC
(15,24),-0.228599 # DEPENDENCYPART_ARC
(15,25),-1.37316 # DEPENDENCYPART_ARC
(15,26),-1.53673 # DEPENDENCYPART_ARC
(15,27),-1.77714 # DEPENDENCYPART_ARC
(15,28),-1.93078 # DEPENDENCYPART_ARC
(15,29),-1.12579 # DEPENDENCYPART_ARC
(17,1),-0.310203 # DEPENDENCYPART_ARC
(17,2),-1.64694 # DEPENDENCYPART_ARC
(17,4),-1.78655 # DEPENDENCYPART_ARC
(17,5),-1.73878 # DEPENDENCYPART_ARC
(17,6),-1.16509 # DEPENDENCYPART_ARC
(17,8),-1.45951 # DEPENDENCYPART_ARC
(17,9),-1.37387 # DEPENDENCYPART_ARC
(17,11),-1.17424 # DEPENDENCYPART_ARC
(17,12),-0.730781 # DEPENDENCYPART_ARC
(17,13),-0.680983 # DEPENDENCYPART_ARC
(17,14),-1.29183 # DEPENDENCYPART_ARC
(17,15),-2.04474 # DEPENDENCYPART_ARC
(17,16),0.182383 # DEPENDENCYPART_ARC
(17,19),-0.773946 # DEPENDENCYPART_ARC
(17,20),-0.709481 # DEPENDENCYPART_ARC
(17,22),-1.44795 # DEPENDENCYPART_ARC
(17,23),-1.66384 # DEPENDENCYPART_ARC
(17,24),-0.657443 # DEPENDENCYPART_ARC
(17,25),-1.39099 # DEPENDENCYPART_ARC
(17,26),-1.04821 # DEPENDENCYPART_ARC
(17,28),-1.42867 # DEPENDENCYPART_ARC
(17,29),-0.681456 # DEPENDENCYPART_ARC
(19,6),-2.04761 # DEPENDENCYPART_ARC
(19,13),-1.43397 # DEPENDENCYPART_ARC
(19,16),-0.944417 # DEPENDENCYPART_ARC
(19,17),-0.768724 # DEPENDENCYPART_ARC
(19,18),2.19131 # DEPENDENCYPART_ARC
(19,20),-0.600146 # DEPENDENCYPART_ARC
(19,22),-1.81289 # DEPENDENCYPART_ARC
(19,23),-1.68023 # DEPENDENCYPART_ARC
(19,28),-1.92337 # DEPENDENCYPART_ARC
(21,22),-0.938958 # DEPENDENCYPART_ARC
(21,23),-1.496 # DEPENDENCYPART_ARC
(21,26),-0.905515 # DEPENDENCYPART_ARC
(22,18),-1.58086 # DEPENDENCYPART_ARC
(22,19),-1.29842 # DEPENDENCYPART_ARC
(22,20),-0.890512 # DEPENDENCYPART_ARC
(22,21),-0.107462 # DEPENDENCYPART_ARC
(23,11),-3.00132 # DEPENDENCYPART_ARC
(23,13),-1.38595 # DEPENDENCYPART_ARC
(23,14),-3.59139 # DEPENDENCYPART_ARC
(23,16),-0.911236 # DEPENDENCYPART_ARC
(23,17),-0.703373 # DEPENDENCYPART_ARC
(23,18),-0.148551 # DEPENDENCYPART_ARC
(23,19),-1.51876 # DEPENDENCYPART_ARC
(23,20),-0.652661 # DEPENDENCYPART_ARC
(23,21),0.59217 # DEPENDENCYPART_ARC
(23,22),2.54486 # DEPENDENCYPART_ARC
(23,27),-1.75338 # DEPENDENCYPART_ARC
(23,28),-1.86888 # DEPENDENCYPART_ARC
(24,1),0.538452 # DEPENDENCYPART_ARC
(24,2),-1.18209 # DEPENDENCYPART_ARC
(24,4),-1.75549 # DEPENDENCYPART_ARC
(24,5),-1.2067 # DEPENDENCYPART_ARC
(24,6),-2.23606 # DEPENDENCYPART_ARC
(24,8),-1.78916 # DEPENDENCYPART_ARC
(24,9),-0.519457 # DEPENDENCYPART_ARC
(24,11),-1.25462 # DEPENDENCYPART_ARC
(24,12),-0.846029 # DEPENDENCYPART_ARC
(24,13),-1.82672 # DEPENDENCYPART_ARC
(24,14),-1.0012 # DEPENDENCYPART_ARC
(24,15),-0.943259 # DEPENDENCYPART_ARC
(24,16),-0.28709 # DEPENDENCYPART_ARC
(24,17),-0.135855 # DEPENDENCYPART_ARC
(24,18),-1.49146 # DEPENDENCYPART_ARC
(24,19),-0.320419 # DEPENDENCYPART_ARC
(24,20),-0.055455 # DEPENDENCYPART_ARC
(24,21),1.05803 # DEPENDENCYPART_ARC
(24,22),-0.0292525 # DEPENDENCYPART_ARC
(24,23),1.69551 # DEPENDENCYPART_ARC
(24,25),1.5911 # DEPENDENCYPART_ARC
(24,26),0.181149 # DEPENDENCYPART_ARC
(24,27),-0.131154 # DEPENDENCYPART_ARC
(24,28),-0.0293679 # DEPENDENCYPART_ARC
(24,29),-0.526834 # DEPENDENCYPART_ARC
(25,22),-1.29732 # DEPENDENCYPART_ARC
(25,23),-0.955129 # DEPENDENCYPART_ARC
(26,1),-0.188731 # DEPENDENCYPART_ARC
(26,9),-1.31804 # DEPENDENCYPART_ARC
(26,13),-2.7247 # DEPENDENCYPART_ARC
(26,15),-1.19445 # DEPENDENCYPART_ARC
(26,16),-1.60228 # DEPENDENCYPART_ARC
(26,17),-1.19824 # DEPENDENCYPART_ARC
(26,19),-2.40939 # DEPENDENCYPART_ARC
(26,20),-1.306 # DEPENDENCYPART_ARC
(26,21),-2.13347 # DEPENDENCYPART_ARC
(26,22),-1.83105 # DEPENDENCYPART_ARC
(26,23),-1.77824 # DEPENDENCYPART_ARC
(26,24),0.224965 # DEPENDENCYPART_ARC
(26,27),-1.25011 # DEPENDENCYPART_ARC
(26,28),-1.47074 # DEPENDENCYPART_ARC
(26,29),-0.565945 # DEPENDENCYPART_ARC
(27,15),-1.53953 # DEPENDENCYPART_ARC
(27,17),-1.23351 # DEPENDENCYPART_ARC
(27,23),-1.38891 # DEPENDENCYPART_ARC
(27,24),-1.06136 # DEPENDENCYPART_ARC
(27,26),-0.313568 # DEPENDENCYPART_ARC
(27,29),-1.04506 # DEPENDENCYPART_ARC
(28,15),-1.30595 # DEPENDENCYPART_ARC
(28,17),-0.903686 # DEPENDENCYPART_ARC
(28,19),-1.63997 # DEPENDENCYPART_ARC
(28,22),-1.40435 # DEPENDENCYPART_ARC
(28,23),-1.23175 # DEPENDENCYPART_ARC
(28,26),-0.663804 # DEPENDENCYPART_ARC
(28,27),0.191602 # DEPENDENCYPART_ARC
(28,29),-0.596803 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0644545 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.079498 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0677406 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0612648 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0795262 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0612648 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.144146 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.162985 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0612648 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.144146 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.0678228 # DEPENDENCYPART_SIBL
