# _root_ Európában elsősorban az olaszok és a franciák híresek kávézóikról , ahol a fekete ital számos változatát készítik , fogyasztásuk pedig mindennapos szertartássá vált .
#goldHeads=9,9,4,5,9,7,5,9,0,9,17,14,14,16,16,17,9,17,23,23,22,23,17,9,
#predictedHeads=17,23,4,5,17,7,8,9,5,23,17,14,14,16,16,17,0,17,23,23,22,23,17,17,
(0,1),-2.91223 # DEPENDENCYPART_ARC
(0,2),-3.29862 # DEPENDENCYPART_ARC
(0,5),-3.60074 # DEPENDENCYPART_ARC
(0,11),-4.30533 # DEPENDENCYPART_ARC
(0,17),-2.99217 # DEPENDENCYPART_ARC
(0,20),-3.43368 # DEPENDENCYPART_ARC
(0,23),-2.93111 # DEPENDENCYPART_ARC
(1,4),-1.58334 # DEPENDENCYPART_ARC
(1,9),-2.44227 # DEPENDENCYPART_ARC
(1,10),-1.11753 # DEPENDENCYPART_ARC
(1,17),-2.46747 # DEPENDENCYPART_ARC
(1,23),-2.8876 # DEPENDENCYPART_ARC
(1,24),-1.86195 # DEPENDENCYPART_ARC
(2,1),-0.00546022 # DEPENDENCYPART_ARC
(2,4),-0.852819 # DEPENDENCYPART_ARC
(2,5),-0.664728 # DEPENDENCYPART_ARC
(2,7),-1.15287 # DEPENDENCYPART_ARC
(2,9),-1.2148 # DEPENDENCYPART_ARC
(2,10),-0.857193 # DEPENDENCYPART_ARC
(2,11),-1.08716 # DEPENDENCYPART_ARC
(2,14),-1.76073 # DEPENDENCYPART_ARC
(2,16),-1.78979 # DEPENDENCYPART_ARC
(2,17),-1.09752 # DEPENDENCYPART_ARC
(2,18),-1.33056 # DEPENDENCYPART_ARC
(2,19),-2.06514 # DEPENDENCYPART_ARC
(2,20),-1.15562 # DEPENDENCYPART_ARC
(2,23),-1.24874 # DEPENDENCYPART_ARC
(2,24),-1.26687 # DEPENDENCYPART_ARC
(4,1),-1.73675 # DEPENDENCYPART_ARC
(4,2),-0.967931 # DEPENDENCYPART_ARC
(4,3),1.84528 # DEPENDENCYPART_ARC
(5,1),-1.11321 # DEPENDENCYPART_ARC
(5,2),-0.952348 # DEPENDENCYPART_ARC
(5,3),-1.32867 # DEPENDENCYPART_ARC
(5,4),-0.428419 # DEPENDENCYPART_ARC
(5,6),-1.09692 # DEPENDENCYPART_ARC
(5,7),-0.60223 # DEPENDENCYPART_ARC
(5,8),-1.08642 # DEPENDENCYPART_ARC
(5,9),-0.805821 # DEPENDENCYPART_ARC
(5,10),-1.05443 # DEPENDENCYPART_ARC
(5,11),-1.57227 # DEPENDENCYPART_ARC
(5,13),-1.64401 # DEPENDENCYPART_ARC
(5,14),-1.53989 # DEPENDENCYPART_ARC
(5,15),-1.40873 # DEPENDENCYPART_ARC
(5,16),-1.80929 # DEPENDENCYPART_ARC
(5,17),-1.52466 # DEPENDENCYPART_ARC
(5,18),-0.956963 # DEPENDENCYPART_ARC
(5,20),-1.75088 # DEPENDENCYPART_ARC
(5,23),-2.42641 # DEPENDENCYPART_ARC
(5,24),-2.29049 # DEPENDENCYPART_ARC
(7,3),-0.773485 # DEPENDENCYPART_ARC
(7,4),-1.99124 # DEPENDENCYPART_ARC
(7,5),-0.798336 # DEPENDENCYPART_ARC
(7,6),1.98568 # DEPENDENCYPART_ARC
(8,1),-0.763002 # DEPENDENCYPART_ARC
(8,2),-1.24549 # DEPENDENCYPART_ARC
(8,3),-0.467069 # DEPENDENCYPART_ARC
(8,4),-0.859844 # DEPENDENCYPART_ARC
(8,5),-0.179539 # DEPENDENCYPART_ARC
(8,6),0.261043 # DEPENDENCYPART_ARC
(8,7),0.893571 # DEPENDENCYPART_ARC
(9,1),-3.76522 # DEPENDENCYPART_ARC
(9,2),-1.25251 # DEPENDENCYPART_ARC
(9,3),-0.686372 # DEPENDENCYPART_ARC
(9,4),-1.56228 # DEPENDENCYPART_ARC
(9,5),-0.317369 # DEPENDENCYPART_ARC
(9,6),0.628794 # DEPENDENCYPART_ARC
(9,7),0.26556 # DEPENDENCYPART_ARC
(9,8),1.70579 # DEPENDENCYPART_ARC
(9,10),-0.63339 # DEPENDENCYPART_ARC
(9,14),-2.11239 # DEPENDENCYPART_ARC
(9,15),-1.97703 # DEPENDENCYPART_ARC
(9,24),-1.83798 # DEPENDENCYPART_ARC
(11,4),-1.40981 # DEPENDENCYPART_ARC
(11,7),-1.03062 # DEPENDENCYPART_ARC
(11,9),-0.994243 # DEPENDENCYPART_ARC
(11,10),-0.459722 # DEPENDENCYPART_ARC
(11,14),-0.725786 # DEPENDENCYPART_ARC
(11,16),-0.968631 # DEPENDENCYPART_ARC
(11,17),-0.797585 # DEPENDENCYPART_ARC
(11,18),-0.827527 # DEPENDENCYPART_ARC
(11,19),-1.5323 # DEPENDENCYPART_ARC
(11,22),-1.70031 # DEPENDENCYPART_ARC
(11,23),-1.20738 # DEPENDENCYPART_ARC
(11,24),-1.39875 # DEPENDENCYPART_ARC
(12,13),-0.63923 # DEPENDENCYPART_ARC
(13,9),-1.90403 # DEPENDENCYPART_ARC
(13,11),-1.13048 # DEPENDENCYPART_ARC
(13,12),-0.511825 # DEPENDENCYPART_ARC
(14,1),-3.90356 # DEPENDENCYPART_ARC
(14,2),-1.64638 # DEPENDENCYPART_ARC
(14,3),-1.80332 # DEPENDENCYPART_ARC
(14,4),-3.07376 # DEPENDENCYPART_ARC
(14,5),-1.04913 # DEPENDENCYPART_ARC
(14,6),-0.880367 # DEPENDENCYPART_ARC
(14,7),-2.37732 # DEPENDENCYPART_ARC
(14,8),-1.98598 # DEPENDENCYPART_ARC
(14,9),-3.62255 # DEPENDENCYPART_ARC
(14,10),-1.08972 # DEPENDENCYPART_ARC
(14,11),-0.820061 # DEPENDENCYPART_ARC
(14,12),1.3728 # DEPENDENCYPART_ARC
(14,13),2.29151 # DEPENDENCYPART_ARC
(14,15),-1.04726 # DEPENDENCYPART_ARC
(14,16),-1.5779 # DEPENDENCYPART_ARC
(14,19),-1.76332 # DEPENDENCYPART_ARC
(14,20),-1.23759 # DEPENDENCYPART_ARC
(14,23),-1.49768 # DEPENDENCYPART_ARC
(14,24),-1.45739 # DEPENDENCYPART_ARC
(15,9),-1.96067 # DEPENDENCYPART_ARC
(15,11),-1.04041 # DEPENDENCYPART_ARC
(15,12),-1.02913 # DEPENDENCYPART_ARC
(15,13),-1.15608 # DEPENDENCYPART_ARC
(15,14),-0.116903 # DEPENDENCYPART_ARC
(15,18),-1.09092 # DEPENDENCYPART_ARC
(15,19),-1.80081 # DEPENDENCYPART_ARC
(15,20),-1.48698 # DEPENDENCYPART_ARC
(15,23),-1.51639 # DEPENDENCYPART_ARC
(15,24),-1.44969 # DEPENDENCYPART_ARC
(16,1),-5.07351 # DEPENDENCYPART_ARC
(16,2),-1.5235 # DEPENDENCYPART_ARC
(16,3),-3.30182 # DEPENDENCYPART_ARC
(16,5),-1.02712 # DEPENDENCYPART_ARC
(16,6),-2.49658 # DEPENDENCYPART_ARC
(16,7),-0.660985 # DEPENDENCYPART_ARC
(16,8),-2.71831 # DEPENDENCYPART_ARC
(16,9),-2.78875 # DEPENDENCYPART_ARC
(16,10),-1.10817 # DEPENDENCYPART_ARC
(16,11),-1.09929 # DEPENDENCYPART_ARC
(16,12),-1.09991 # DEPENDENCYPART_ARC
(16,13),-0.323886 # DEPENDENCYPART_ARC
(16,14),1.59682 # DEPENDENCYPART_ARC
(16,15),2.01227 # DEPENDENCYPART_ARC
(16,19),-2.14903 # DEPENDENCYPART_ARC
(16,23),-2.05835 # DEPENDENCYPART_ARC
(17,1),0.0039609 # DEPENDENCYPART_ARC
(17,2),0.191049 # DEPENDENCYPART_ARC
(17,3),-1.49318 # DEPENDENCYPART_ARC
(17,4),-0.112974 # DEPENDENCYPART_ARC
(17,5),0.1086 # DEPENDENCYPART_ARC
(17,6),-1.61052 # DEPENDENCYPART_ARC
(17,7),-0.083183 # DEPENDENCYPART_ARC
(17,8),-0.575354 # DEPENDENCYPART_ARC
(17,9),0.0232335 # DEPENDENCYPART_ARC
(17,10),-0.212685 # DEPENDENCYPART_ARC
(17,11),1.10157 # DEPENDENCYPART_ARC
(17,12),-1.29386 # DEPENDENCYPART_ARC
(17,13),-1.05785 # DEPENDENCYPART_ARC
(17,14),0.608456 # DEPENDENCYPART_ARC
(17,15),-0.232392 # DEPENDENCYPART_ARC
(17,16),2.75947 # DEPENDENCYPART_ARC
(17,18),0.467685 # DEPENDENCYPART_ARC
(17,19),-0.425267 # DEPENDENCYPART_ARC
(17,20),-0.244488 # DEPENDENCYPART_ARC
(17,21),-0.90818 # DEPENDENCYPART_ARC
(17,22),-1.2075 # DEPENDENCYPART_ARC
(17,23),0.519725 # DEPENDENCYPART_ARC
(17,24),-0.942347 # DEPENDENCYPART_ARC
(19,12),-1.62637 # DEPENDENCYPART_ARC
(19,13),-1.83375 # DEPENDENCYPART_ARC
(19,14),-2.22861 # DEPENDENCYPART_ARC
(19,15),-1.16505 # DEPENDENCYPART_ARC
(19,16),-5.17865 # DEPENDENCYPART_ARC
(19,17),-1.46619 # DEPENDENCYPART_ARC
(19,18),-0.465178 # DEPENDENCYPART_ARC
(19,20),-1.22235 # DEPENDENCYPART_ARC
(19,21),-1.63836 # DEPENDENCYPART_ARC
(19,22),-1.57665 # DEPENDENCYPART_ARC
(20,2),-2.29815 # DEPENDENCYPART_ARC
(20,10),-1.85914 # DEPENDENCYPART_ARC
(20,15),-1.44694 # DEPENDENCYPART_ARC
(20,16),-2.10537 # DEPENDENCYPART_ARC
(20,17),-0.0904193 # DEPENDENCYPART_ARC
(20,18),-1.03943 # DEPENDENCYPART_ARC
(20,19),-0.6079 # DEPENDENCYPART_ARC
(20,21),-1.23803 # DEPENDENCYPART_ARC
(20,22),-1.22605 # DEPENDENCYPART_ARC
(20,23),-0.529001 # DEPENDENCYPART_ARC
(20,24),-1.60593 # DEPENDENCYPART_ARC
(21,15),-1.46423 # DEPENDENCYPART_ARC
(21,16),-1.307 # DEPENDENCYPART_ARC
(21,17),-1.01486 # DEPENDENCYPART_ARC
(21,18),-0.729324 # DEPENDENCYPART_ARC
(21,19),-0.98315 # DEPENDENCYPART_ARC
(21,20),-0.0346365 # DEPENDENCYPART_ARC
(22,5),-1.20707 # DEPENDENCYPART_ARC
(22,6),-2.55333 # DEPENDENCYPART_ARC
(22,7),-3.85018 # DEPENDENCYPART_ARC
(22,8),-3.19311 # DEPENDENCYPART_ARC
(22,12),-1.3142 # DEPENDENCYPART_ARC
(22,13),-1.19823 # DEPENDENCYPART_ARC
(22,14),-2.16273 # DEPENDENCYPART_ARC
(22,15),-1.10501 # DEPENDENCYPART_ARC
(22,16),-3.72782 # DEPENDENCYPART_ARC
(22,17),-1.42371 # DEPENDENCYPART_ARC
(22,18),-0.367121 # DEPENDENCYPART_ARC
(22,19),-0.488676 # DEPENDENCYPART_ARC
(22,20),-0.0704561 # DEPENDENCYPART_ARC
(22,21),2.29502 # DEPENDENCYPART_ARC
(23,1),-0.117995 # DEPENDENCYPART_ARC
(23,2),-0.0760292 # DEPENDENCYPART_ARC
(23,3),-1.40707 # DEPENDENCYPART_ARC
(23,4),-0.943581 # DEPENDENCYPART_ARC
(23,5),-0.0292958 # DEPENDENCYPART_ARC
(23,7),-1.10698 # DEPENDENCYPART_ARC
(23,8),-1.52483 # DEPENDENCYPART_ARC
(23,9),-1.37406 # DEPENDENCYPART_ARC
(23,10),-0.364498 # DEPENDENCYPART_ARC
(23,11),0.369883 # DEPENDENCYPART_ARC
(23,12),-1.64857 # DEPENDENCYPART_ARC
(23,13),-1.60673 # DEPENDENCYPART_ARC
(23,14),0.216572 # DEPENDENCYPART_ARC
(23,15),-1.18498 # DEPENDENCYPART_ARC
(23,16),0.00807502 # DEPENDENCYPART_ARC
(23,17),-0.441775 # DEPENDENCYPART_ARC
(23,18),-0.0661438 # DEPENDENCYPART_ARC
(23,19),1.31779 # DEPENDENCYPART_ARC
(23,20),1.35164 # DEPENDENCYPART_ARC
