# _root_ Önkéntesek hordták a vizet és az élelmet , a törmelék elszállítását — ha kellett , puszta kézzel — maguk szervezték meg .
#goldHeads=2,0,4,2,2,7,2,2,10,11,20,13,20,13,14,17,14,13,20,2,20,2,
#predictedHeads=2,0,4,2,2,7,2,2,10,11,2,13,2,2,14,17,20,20,20,2,20,2,
(0,1),-3.2678 # DEPENDENCYPART_ARC
(0,2),-1.42178 # DEPENDENCYPART_ARC
(0,5),-3.27187 # DEPENDENCYPART_ARC
(0,13),-4.08289 # DEPENDENCYPART_ARC
(0,14),-3.06911 # DEPENDENCYPART_ARC
(0,19),-5.03174 # DEPENDENCYPART_ARC
(0,20),-3.30991 # DEPENDENCYPART_ARC
(0,21),-5.22355 # DEPENDENCYPART_ARC
(1,2),-0.840652 # DEPENDENCYPART_ARC
(1,4),-1.91846 # DEPENDENCYPART_ARC
(1,17),-2.89292 # DEPENDENCYPART_ARC
(1,20),-1.90629 # DEPENDENCYPART_ARC
(1,22),-1.59682 # DEPENDENCYPART_ARC
(2,1),2.58405 # DEPENDENCYPART_ARC
(2,3),-0.807642 # DEPENDENCYPART_ARC
(2,4),1.44546 # DEPENDENCYPART_ARC
(2,5),0.416725 # DEPENDENCYPART_ARC
(2,6),-1.46845 # DEPENDENCYPART_ARC
(2,7),1.28764 # DEPENDENCYPART_ARC
(2,8),-0.0701472 # DEPENDENCYPART_ARC
(2,9),-1.77175 # DEPENDENCYPART_ARC
(2,10),-1.53234 # DEPENDENCYPART_ARC
(2,11),0.842011 # DEPENDENCYPART_ARC
(2,12),-0.554655 # DEPENDENCYPART_ARC
(2,13),0.430151 # DEPENDENCYPART_ARC
(2,14),0.26024 # DEPENDENCYPART_ARC
(2,15),-0.881964 # DEPENDENCYPART_ARC
(2,16),-2.11268 # DEPENDENCYPART_ARC
(2,17),-1.99348 # DEPENDENCYPART_ARC
(2,18),-0.355822 # DEPENDENCYPART_ARC
(2,20),-0.851926 # DEPENDENCYPART_ARC
(2,21),-1.566 # DEPENDENCYPART_ARC
(2,22),-0.551877 # DEPENDENCYPART_ARC
(4,2),-1.38272 # DEPENDENCYPART_ARC
(4,3),1.50622 # DEPENDENCYPART_ARC
(4,7),-2.13308 # DEPENDENCYPART_ARC
(5,1),-1.63037 # DEPENDENCYPART_ARC
(5,2),0.0253055 # DEPENDENCYPART_ARC
(5,3),-1.42114 # DEPENDENCYPART_ARC
(5,4),-0.693789 # DEPENDENCYPART_ARC
(5,6),-1.1019 # DEPENDENCYPART_ARC
(5,7),-0.67975 # DEPENDENCYPART_ARC
(5,8),-0.873639 # DEPENDENCYPART_ARC
(5,10),-1.22994 # DEPENDENCYPART_ARC
(5,11),-1.32753 # DEPENDENCYPART_ARC
(5,12),-1.01832 # DEPENDENCYPART_ARC
(5,13),-1.25375 # DEPENDENCYPART_ARC
(5,14),-1.22832 # DEPENDENCYPART_ARC
(5,15),-1.06882 # DEPENDENCYPART_ARC
(5,17),-2.03722 # DEPENDENCYPART_ARC
(5,18),-1.05614 # DEPENDENCYPART_ARC
(5,20),-2.42511 # DEPENDENCYPART_ARC
(5,22),-1.90577 # DEPENDENCYPART_ARC
(6,5),-0.656107 # DEPENDENCYPART_ARC
(6,11),-1.87527 # DEPENDENCYPART_ARC
(7,3),-0.773023 # DEPENDENCYPART_ARC
(7,4),-2.28445 # DEPENDENCYPART_ARC
(7,5),-0.570621 # DEPENDENCYPART_ARC
(7,6),1.93231 # DEPENDENCYPART_ARC
(7,8),-0.646082 # DEPENDENCYPART_ARC
(7,10),-1.84615 # DEPENDENCYPART_ARC
(7,11),-2.09093 # DEPENDENCYPART_ARC
(7,12),-1.16977 # DEPENDENCYPART_ARC
(7,14),-1.74448 # DEPENDENCYPART_ARC
(7,15),-1.42744 # DEPENDENCYPART_ARC
(7,17),-2.57827 # DEPENDENCYPART_ARC
(7,20),-2.20954 # DEPENDENCYPART_ARC
(7,22),-1.76353 # DEPENDENCYPART_ARC
(10,3),-1.92347 # DEPENDENCYPART_ARC
(10,4),-3.82716 # DEPENDENCYPART_ARC
(10,5),-1.4869 # DEPENDENCYPART_ARC
(10,6),-0.624872 # DEPENDENCYPART_ARC
(10,7),-2.88297 # DEPENDENCYPART_ARC
(10,8),-1.24126 # DEPENDENCYPART_ARC
(10,9),1.72604 # DEPENDENCYPART_ARC
(10,17),-2.46182 # DEPENDENCYPART_ARC
(11,1),-1.46826 # DEPENDENCYPART_ARC
(11,2),-2.46584 # DEPENDENCYPART_ARC
(11,3),-2.59256 # DEPENDENCYPART_ARC
(11,4),-3.0196 # DEPENDENCYPART_ARC
(11,5),-0.388834 # DEPENDENCYPART_ARC
(11,6),-1.5958 # DEPENDENCYPART_ARC
(11,7),-2.37836 # DEPENDENCYPART_ARC
(11,8),-0.482555 # DEPENDENCYPART_ARC
(11,9),0.200774 # DEPENDENCYPART_ARC
(11,10),3.19352 # DEPENDENCYPART_ARC
(11,12),-0.892831 # DEPENDENCYPART_ARC
(11,14),-1.59649 # DEPENDENCYPART_ARC
(11,15),-1.34692 # DEPENDENCYPART_ARC
