# _root_ Még inkább meglepődtek a vizsgálódók azon , hogy az idősek és fiatalok értékválasztása alig különbözött : az 55 éven felüliek 97 százaléka , a 15-24 évesek 93 százaléka említette első helyen a családot .
#goldHeads=2,3,0,5,3,3,3,3,10,13,13,13,15,15,6,3,20,19,20,22,22,29,29,26,26,28,28,29,3,31,29,33,29,3,
#predictedHeads=3,3,0,5,3,3,3,3,10,15,13,13,15,15,3,15,19,19,20,22,22,29,29,26,26,28,28,29,15,31,29,33,29,3,
(0,1),-2.97507 # DEPENDENCYPART_ARC
(0,2),-3.22246 # DEPENDENCYPART_ARC
(0,3),-1.87331 # DEPENDENCYPART_ARC
(0,6),-4.30048 # DEPENDENCYPART_ARC
(0,8),-3.25802 # DEPENDENCYPART_ARC
(0,11),-3.35836 # DEPENDENCYPART_ARC
(0,15),-3.02522 # DEPENDENCYPART_ARC
(0,29),-3.44473 # DEPENDENCYPART_ARC
(1,2),-1.07276 # DEPENDENCYPART_ARC
(1,3),-1.18102 # DEPENDENCYPART_ARC
(1,5),-1.42625 # DEPENDENCYPART_ARC
(1,8),-1.26005 # DEPENDENCYPART_ARC
(1,15),-1.66144 # DEPENDENCYPART_ARC
(1,34),-2.46523 # DEPENDENCYPART_ARC
(2,1),-0.196878 # DEPENDENCYPART_ARC
(2,3),-0.873184 # DEPENDENCYPART_ARC
(2,5),-1.37351 # DEPENDENCYPART_ARC
(2,15),-1.66101 # DEPENDENCYPART_ARC
(2,34),-1.37288 # DEPENDENCYPART_ARC
(3,1),1.16027 # DEPENDENCYPART_ARC
(3,2),1.97143 # DEPENDENCYPART_ARC
(3,4),-0.659237 # DEPENDENCYPART_ARC
(3,5),0.482051 # DEPENDENCYPART_ARC
(3,6),-0.210225 # DEPENDENCYPART_ARC
(3,7),0.390861 # DEPENDENCYPART_ARC
(3,8),1.80725 # DEPENDENCYPART_ARC
(3,9),-1.60157 # DEPENDENCYPART_ARC
(3,10),-0.827342 # DEPENDENCYPART_ARC
(3,11),-0.416032 # DEPENDENCYPART_ARC
(3,12),-0.657515 # DEPENDENCYPART_ARC
(3,13),-0.777088 # DEPENDENCYPART_ARC
(3,14),-0.810782 # DEPENDENCYPART_ARC
(3,15),-0.170126 # DEPENDENCYPART_ARC
(3,16),-0.551211 # DEPENDENCYPART_ARC
(3,18),-1.5274 # DEPENDENCYPART_ARC
(3,19),-2.07147 # DEPENDENCYPART_ARC
(3,20),-1.55939 # DEPENDENCYPART_ARC
(3,21),-1.51684 # DEPENDENCYPART_ARC
(3,22),-1.02593 # DEPENDENCYPART_ARC
(3,23),-0.70413 # DEPENDENCYPART_ARC
(3,25),-1.57257 # DEPENDENCYPART_ARC
(3,26),-2.40867 # DEPENDENCYPART_ARC
(3,27),-1.56279 # DEPENDENCYPART_ARC
(3,28),-2.26533 # DEPENDENCYPART_ARC
(3,29),-0.891123 # DEPENDENCYPART_ARC
(3,31),-1.89118 # DEPENDENCYPART_ARC
(3,33),-2.15206 # DEPENDENCYPART_ARC
(3,34),0.0933197 # DEPENDENCYPART_ARC
(4,5),-0.545923 # DEPENDENCYPART_ARC
(5,1),-1.52894 # DEPENDENCYPART_ARC
(5,2),-1.2616 # DEPENDENCYPART_ARC
(5,3),-1.42121 # DEPENDENCYPART_ARC
(5,4),0.525882 # DEPENDENCYPART_ARC
(5,7),-0.73806 # DEPENDENCYPART_ARC
(5,15),-0.945942 # DEPENDENCYPART_ARC
(5,34),-1.16313 # DEPENDENCYPART_ARC
(6,1),-1.23927 # DEPENDENCYPART_ARC
(6,2),-1.10994 # DEPENDENCYPART_ARC
(6,3),0.181148 # DEPENDENCYPART_ARC
(6,5),-0.475135 # DEPENDENCYPART_ARC
(6,7),-0.463656 # DEPENDENCYPART_ARC
(6,8),-0.901759 # DEPENDENCYPART_ARC
(6,10),-0.779868 # DEPENDENCYPART_ARC
(6,11),-0.814874 # DEPENDENCYPART_ARC
(6,12),-0.759207 # DEPENDENCYPART_ARC
(6,13),-0.708615 # DEPENDENCYPART_ARC
(6,14),-0.824977 # DEPENDENCYPART_ARC
(6,15),0.387919 # DEPENDENCYPART_ARC
(6,16),-0.506126 # DEPENDENCYPART_ARC
(6,18),-0.911903 # DEPENDENCYPART_ARC
(6,19),-1.39012 # DEPENDENCYPART_ARC
(6,20),-0.942884 # DEPENDENCYPART_ARC
(6,21),-0.890693 # DEPENDENCYPART_ARC
(6,22),-0.998038 # DEPENDENCYPART_ARC
(6,23),-0.874382 # DEPENDENCYPART_ARC
(6,25),-0.824926 # DEPENDENCYPART_ARC
(6,26),-1.21101 # DEPENDENCYPART_ARC
(6,27),-0.866931 # DEPENDENCYPART_ARC
(6,28),-1.13637 # DEPENDENCYPART_ARC
(6,29),-0.0158211 # DEPENDENCYPART_ARC
(6,31),-1.64455 # DEPENDENCYPART_ARC
(6,33),-1.74561 # DEPENDENCYPART_ARC
(6,34),-2.25884 # DEPENDENCYPART_ARC
(8,1),-1.05281 # DEPENDENCYPART_ARC
(8,2),-1.11789 # DEPENDENCYPART_ARC
(8,3),-2.26837 # DEPENDENCYPART_ARC
(8,5),-0.200523 # DEPENDENCYPART_ARC
(8,6),-0.400225 # DEPENDENCYPART_ARC
(8,7),0.0835261 # DEPENDENCYPART_ARC
(8,10),-1.22524 # DEPENDENCYPART_ARC
(8,11),-0.74986 # DEPENDENCYPART_ARC
(8,12),-1.40431 # DEPENDENCYPART_ARC
(8,13),-1.64858 # DEPENDENCYPART_ARC
(8,14),-1.32959 # DEPENDENCYPART_ARC
(8,15),-0.814222 # DEPENDENCYPART_ARC
(8,16),-0.736538 # DEPENDENCYPART_ARC
(8,20),-1.97114 # DEPENDENCYPART_ARC
(8,23),-0.992976 # DEPENDENCYPART_ARC
(8,29),-1.40326 # DEPENDENCYPART_ARC
(8,34),-0.618465 # DEPENDENCYPART_ARC
(9,10),-0.39183 # DEPENDENCYPART_ARC
(10,4),-0.983721 # DEPENDENCYPART_ARC
(10,6),-1.24465 # DEPENDENCYPART_ARC
(10,8),-0.955775 # DEPENDENCYPART_ARC
(10,9),0.698396 # DEPENDENCYPART_ARC
(11,1),-1.75016 # DEPENDENCYPART_ARC
(11,2),-1.85071 # DEPENDENCYPART_ARC
(11,3),-0.709565 # DEPENDENCYPART_ARC
(11,5),-2.01071 # DEPENDENCYPART_ARC
(11,6),-2.10042 # DEPENDENCYPART_ARC
(11,7),-0.859145 # DEPENDENCYPART_ARC
(11,8),-1.04187 # DEPENDENCYPART_ARC
(11,9),-1.39577 # DEPENDENCYPART_ARC
(11,10),-0.563994 # DEPENDENCYPART_ARC
(11,12),-0.987222 # DEPENDENCYPART_ARC
(11,13),-1.26006 # DEPENDENCYPART_ARC
(11,15),-0.723694 # DEPENDENCYPART_ARC
(11,16),-1.08878 # DEPENDENCYPART_ARC
(11,23),-1.25322 # DEPENDENCYPART_ARC
(11,29),-2.23323 # DEPENDENCYPART_ARC
(11,34),-2.57603 # DEPENDENCYPART_ARC
(12,4),-1.69658 # DEPENDENCYPART_ARC
(12,5),-2.69861 # DEPENDENCYPART_ARC
(12,6),-2.12259 # DEPENDENCYPART_ARC
(12,7),-1.31244 # DEPENDENCYPART_ARC
(12,9),-0.168238 # DEPENDENCYPART_ARC
(12,10),-0.430768 # DEPENDENCYPART_ARC
(12,11),0.328896 # DEPENDENCYPART_ARC
(12,13),-1.70266 # DEPENDENCYPART_ARC
(13,4),-2.23827 # DEPENDENCYPART_ARC
(13,5),-2.90238 # DEPENDENCYPART_ARC
(13,6),-2.32302 # DEPENDENCYPART_ARC
(13,7),-1.0163 # DEPENDENCYPART_ARC
(13,8),-1.17032 # DEPENDENCYPART_ARC
(13,9),-1.00843 # DEPENDENCYPART_ARC
(13,10),-1.43387 # DEPENDENCYPART_ARC
(13,11),0.157843 # DEPENDENCYPART_ARC
(13,12),2.99971 # DEPENDENCYPART_ARC
(13,14),-1.22633 # DEPENDENCYPART_ARC
(14,3),-1.44232 # DEPENDENCYPART_ARC
(14,7),-1.30192 # DEPENDENCYPART_ARC
(14,8),-0.953999 # DEPENDENCYPART_ARC
(14,10),-1.29323 # DEPENDENCYPART_ARC
(14,11),-0.75355 # DEPENDENCYPART_ARC
(14,12),-0.911166 # DEPENDENCYPART_ARC
(14,13),-0.216061 # DEPENDENCYPART_ARC
(14,16),-1.01815 # DEPENDENCYPART_ARC
(14,19),-1.64393 # DEPENDENCYPART_ARC
(14,22),-1.81875 # DEPENDENCYPART_ARC
(14,29),-1.6952 # DEPENDENCYPART_ARC
(15,1),-0.885405 # DEPENDENCYPART_ARC
(15,2),-0.580905 # DEPENDENCYPART_ARC
(15,3),-0.773316 # DEPENDENCYPART_ARC
(15,4),-1.6814 # DEPENDENCYPART_ARC
(15,5),-0.929394 # DEPENDENCYPART_ARC
(15,6),-1.01794 # DEPENDENCYPART_ARC
(15,7),-0.315816 # DEPENDENCYPART_ARC
(15,8),-0.660287 # DEPENDENCYPART_ARC
(15,9),-1.29948 # DEPENDENCYPART_ARC
(15,10),-0.292878 # DEPENDENCYPART_ARC
(15,11),0.330393 # DEPENDENCYPART_ARC
(15,12),0.851459 # DEPENDENCYPART_ARC
(15,13),1.96665 # DEPENDENCYPART_ARC
(15,14),2.43633 # DEPENDENCYPART_ARC
