# _root_ Mert csupán úgy adták elő a falhoz tapadó , földön vonagló vagy ölelkező " koreográfiákat " , amilyen szinten prózai színészektől kitelik .
#goldHeads=4,4,4,0,4,7,8,15,15,11,15,15,15,15,4,15,4,19,22,21,22,4,4,
#predictedHeads=4,4,4,0,4,7,8,15,4,11,15,15,15,15,4,15,4,22,20,21,22,4,4,
(0,1),-3.20927 # DEPENDENCYPART_ARC
(0,2),-3.24303 # DEPENDENCYPART_ARC
(0,3),-3.42765 # DEPENDENCYPART_ARC
(0,4),-1.89988 # DEPENDENCYPART_ARC
(0,5),-3.76742 # DEPENDENCYPART_ARC
(0,8),-4.06934 # DEPENDENCYPART_ARC
(0,12),-3.3194 # DEPENDENCYPART_ARC
(0,22),-3.86947 # DEPENDENCYPART_ARC
(1,2),-1.2337 # DEPENDENCYPART_ARC
(1,4),-0.639064 # DEPENDENCYPART_ARC
(1,5),-1.73555 # DEPENDENCYPART_ARC
(1,9),-0.620646 # DEPENDENCYPART_ARC
(1,16),-0.829852 # DEPENDENCYPART_ARC
(1,17),-0.817619 # DEPENDENCYPART_ARC
(1,22),-1.99828 # DEPENDENCYPART_ARC
(1,23),-0.969365 # DEPENDENCYPART_ARC
(2,1),-0.747821 # DEPENDENCYPART_ARC
(2,4),-0.955291 # DEPENDENCYPART_ARC
(2,12),-0.869707 # DEPENDENCYPART_ARC
(2,22),-1.44197 # DEPENDENCYPART_ARC
(2,23),-1.66405 # DEPENDENCYPART_ARC
(3,1),-0.947561 # DEPENDENCYPART_ARC
(3,2),-0.0683624 # DEPENDENCYPART_ARC
(3,4),-0.59584 # DEPENDENCYPART_ARC
(3,23),-1.54881 # DEPENDENCYPART_ARC
(4,1),0.0660822 # DEPENDENCYPART_ARC
(4,2),1.07786 # DEPENDENCYPART_ARC
(4,3),1.84666 # DEPENDENCYPART_ARC
(4,5),2.18048 # DEPENDENCYPART_ARC
(4,6),-0.519962 # DEPENDENCYPART_ARC
(4,7),0.866788 # DEPENDENCYPART_ARC
(4,8),-0.0614985 # DEPENDENCYPART_ARC
(4,9),0.669016 # DEPENDENCYPART_ARC
(4,10),0.07171 # DEPENDENCYPART_ARC
(4,11),-0.765485 # DEPENDENCYPART_ARC
(4,12),0.19504 # DEPENDENCYPART_ARC
(4,13),-0.742269 # DEPENDENCYPART_ARC
(4,14),-0.0423039 # DEPENDENCYPART_ARC
(4,15),0.988791 # DEPENDENCYPART_ARC
(4,16),-0.0898999 # DEPENDENCYPART_ARC
(4,17),0.328132 # DEPENDENCYPART_ARC
(4,18),-1.87728 # DEPENDENCYPART_ARC
(4,19),-1.64789 # DEPENDENCYPART_ARC
(4,20),-1.42759 # DEPENDENCYPART_ARC
(4,21),-1.07582 # DEPENDENCYPART_ARC
(4,22),0.536997 # DEPENDENCYPART_ARC
(4,23),-0.295926 # DEPENDENCYPART_ARC
(5,1),-0.887677 # DEPENDENCYPART_ARC
(5,2),-0.605932 # DEPENDENCYPART_ARC
(5,4),-0.277759 # DEPENDENCYPART_ARC
(5,7),-0.86121 # DEPENDENCYPART_ARC
(5,10),-1.30532 # DEPENDENCYPART_ARC
(5,15),-1.5543 # DEPENDENCYPART_ARC
(5,16),-0.910637 # DEPENDENCYPART_ARC
(5,17),-1.30274 # DEPENDENCYPART_ARC
(5,19),-2.09784 # DEPENDENCYPART_ARC
(5,23),-1.41883 # DEPENDENCYPART_ARC
(7,5),-1.05975 # DEPENDENCYPART_ARC
(7,6),1.87541 # DEPENDENCYPART_ARC
(8,1),-0.827845 # DEPENDENCYPART_ARC
