# _root_ Nem volt nagy , ám a másodikhoz már elkelt a segítség , én nyúltam alá a merítőhálóval .
#goldHeads=2,5,2,5,0,7,9,9,5,11,9,5,14,5,14,17,14,5,
#predictedHeads=2,5,2,5,0,7,9,9,5,11,9,9,14,5,14,17,14,5,
(0,1),-2.90177 # DEPENDENCYPART_ARC
(0,2),-1.28266 # DEPENDENCYPART_ARC
(0,3),-3.55758 # DEPENDENCYPART_ARC
(0,5),-1.94357 # DEPENDENCYPART_ARC
(0,9),-2.6132 # DEPENDENCYPART_ARC
(0,13),-4.22196 # DEPENDENCYPART_ARC
(0,14),-2.88586 # DEPENDENCYPART_ARC
(0,15),-4.27588 # DEPENDENCYPART_ARC
(1,2),-0.726371 # DEPENDENCYPART_ARC
(1,3),-1.14969 # DEPENDENCYPART_ARC
(1,4),-0.984818 # DEPENDENCYPART_ARC
(1,5),-1.06999 # DEPENDENCYPART_ARC
(1,7),-1.85329 # DEPENDENCYPART_ARC
(1,9),-1.53452 # DEPENDENCYPART_ARC
(1,11),-1.90818 # DEPENDENCYPART_ARC
(1,12),-1.33107 # DEPENDENCYPART_ARC
(1,14),-1.61257 # DEPENDENCYPART_ARC
(1,18),-1.87166 # DEPENDENCYPART_ARC
(2,1),2.36153 # DEPENDENCYPART_ARC
(2,3),1.02312 # DEPENDENCYPART_ARC
(2,4),0.397956 # DEPENDENCYPART_ARC
(2,5),0.0566794 # DEPENDENCYPART_ARC
(2,6),-1.52627 # DEPENDENCYPART_ARC
(2,7),-0.198602 # DEPENDENCYPART_ARC
(2,8),-0.643524 # DEPENDENCYPART_ARC
(2,9),0.116061 # DEPENDENCYPART_ARC
(2,10),-1.97593 # DEPENDENCYPART_ARC
(2,11),-0.952364 # DEPENDENCYPART_ARC
(2,12),-0.151983 # DEPENDENCYPART_ARC
(2,14),-0.774251 # DEPENDENCYPART_ARC
(2,15),-1.15993 # DEPENDENCYPART_ARC
(2,17),-2.44618 # DEPENDENCYPART_ARC
(2,18),-1.11028 # DEPENDENCYPART_ARC
(3,1),-0.976476 # DEPENDENCYPART_ARC
(3,2),-0.846897 # DEPENDENCYPART_ARC
(3,4),-0.612279 # DEPENDENCYPART_ARC
(3,5),-1.62907 # DEPENDENCYPART_ARC
(3,7),-1.68784 # DEPENDENCYPART_ARC
(3,9),-1.28214 # DEPENDENCYPART_ARC
(3,11),-1.97545 # DEPENDENCYPART_ARC
(3,12),-1.23594 # DEPENDENCYPART_ARC
(3,14),-1.61531 # DEPENDENCYPART_ARC
(3,17),-2.30328 # DEPENDENCYPART_ARC
(3,18),-1.34421 # DEPENDENCYPART_ARC
(5,1),-0.987138 # DEPENDENCYPART_ARC
(5,2),0.384114 # DEPENDENCYPART_ARC
(5,3),-1.05036 # DEPENDENCYPART_ARC
(5,4),0.273767 # DEPENDENCYPART_ARC
(5,6),-1.08546 # DEPENDENCYPART_ARC
(5,7),-1.20518 # DEPENDENCYPART_ARC
(5,8),-1.34054 # DEPENDENCYPART_ARC
(5,9),-0.0657567 # DEPENDENCYPART_ARC
(5,11),-1.51244 # DEPENDENCYPART_ARC
(5,12),-0.958827 # DEPENDENCYPART_ARC
(5,14),-0.772733 # DEPENDENCYPART_ARC
(5,17),-2.18339 # DEPENDENCYPART_ARC
(5,18),0.404558 # DEPENDENCYPART_ARC
(6,3),-1.99748 # DEPENDENCYPART_ARC
(6,5),-0.637017 # DEPENDENCYPART_ARC
(6,11),-1.75716 # DEPENDENCYPART_ARC
