# _root_ Kouchnerhez hasonlóan a tanács többi tagja sem tudja még , miképpen lehetne szavatolni a szerb kisebbség biztonságát , s így a kérdés valószínűleg még többször napirendre kerül a testület ülésein .
#goldHeads=2,8,4,6,6,8,8,19,8,8,13,8,12,16,16,17,13,19,0,27,22,27,27,27,27,27,19,29,30,27,19,
#predictedHeads=2,8,4,6,6,8,8,19,8,8,12,8,12,16,16,17,13,19,0,27,22,27,27,26,26,27,19,29,30,27,19,
(0,2),-3.34961 # DEPENDENCYPART_ARC
(0,7),-4.19519 # DEPENDENCYPART_ARC
(0,8),-2.33425 # DEPENDENCYPART_ARC
(0,9),-4.36997 # DEPENDENCYPART_ARC
(0,12),-3.26768 # DEPENDENCYPART_ARC
(0,13),-4.77286 # DEPENDENCYPART_ARC
(0,19),-1.6665 # DEPENDENCYPART_ARC
(0,20),-3.39817 # DEPENDENCYPART_ARC
(0,27),-4.48223 # DEPENDENCYPART_ARC
(1,4),-1.30345 # DEPENDENCYPART_ARC
(1,6),-1.53117 # DEPENDENCYPART_ARC
(1,8),-1.86903 # DEPENDENCYPART_ARC
(1,12),-2.22944 # DEPENDENCYPART_ARC
(1,31),-1.82483 # DEPENDENCYPART_ARC
(2,1),0.820919 # DEPENDENCYPART_ARC
(2,4),-0.954569 # DEPENDENCYPART_ARC
(2,5),-1.20742 # DEPENDENCYPART_ARC
(2,6),-1.33916 # DEPENDENCYPART_ARC
(2,7),-1.46614 # DEPENDENCYPART_ARC
(2,8),-1.80594 # DEPENDENCYPART_ARC
(2,10),-0.996765 # DEPENDENCYPART_ARC
(2,12),-1.74072 # DEPENDENCYPART_ARC
(2,13),-1.73521 # DEPENDENCYPART_ARC
(2,17),-2.07876 # DEPENDENCYPART_ARC
(2,19),-1.36276 # DEPENDENCYPART_ARC
(2,27),-2.52386 # DEPENDENCYPART_ARC
(2,31),-1.11163 # DEPENDENCYPART_ARC
(3,2),-0.915504 # DEPENDENCYPART_ARC
(4,1),-1.50003 # DEPENDENCYPART_ARC
(4,2),-2.53325 # DEPENDENCYPART_ARC
(4,3),1.67821 # DEPENDENCYPART_ARC
(4,6),-1.12233 # DEPENDENCYPART_ARC
(5,1),-0.173127 # DEPENDENCYPART_ARC
(5,2),-0.506008 # DEPENDENCYPART_ARC
(5,3),-0.587663 # DEPENDENCYPART_ARC
(5,4),0.825466 # DEPENDENCYPART_ARC
(5,7),-1.58567 # DEPENDENCYPART_ARC
(6,1),-1.7214 # DEPENDENCYPART_ARC
(6,2),-3.6019 # DEPENDENCYPART_ARC
(6,3),-0.350498 # DEPENDENCYPART_ARC
(6,4),1.78579 # DEPENDENCYPART_ARC
(6,5),2.17917 # DEPENDENCYPART_ARC
(7,4),-0.804829 # DEPENDENCYPART_ARC
(7,5),-0.906723 # DEPENDENCYPART_ARC
(7,6),-0.182534 # DEPENDENCYPART_ARC
(7,10),-0.623841 # DEPENDENCYPART_ARC
(7,12),-1.16583 # DEPENDENCYPART_ARC
(7,13),-1.17673 # DEPENDENCYPART_ARC
(7,17),-1.66304 # DEPENDENCYPART_ARC
(7,19),-1.01917 # DEPENDENCYPART_ARC
(7,31),-1.41433 # DEPENDENCYPART_ARC
(8,1),-0.506853 # DEPENDENCYPART_ARC
(8,2),0.00139687 # DEPENDENCYPART_ARC
(8,3),-1.7686 # DEPENDENCYPART_ARC
(8,4),0.16748 # DEPENDENCYPART_ARC
(8,5),-0.786472 # DEPENDENCYPART_ARC
(8,6),1.3112 # DEPENDENCYPART_ARC
(8,7),2.06953 # DEPENDENCYPART_ARC
(8,9),2.0153 # DEPENDENCYPART_ARC
(8,10),0.691944 # DEPENDENCYPART_ARC
(8,11),-0.222959 # DEPENDENCYPART_ARC
(8,12),1.31607 # DEPENDENCYPART_ARC
(8,13),1.21975 # DEPENDENCYPART_ARC
(8,14),-1.99567 # DEPENDENCYPART_ARC
(8,15),-1.23454 # DEPENDENCYPART_ARC
(8,16),-1.21047 # DEPENDENCYPART_ARC
(8,17),0.134303 # DEPENDENCYPART_ARC
(8,18),-0.003301 # DEPENDENCYPART_ARC
(8,19),-0.449802 # DEPENDENCYPART_ARC
(8,20),-0.890579 # DEPENDENCYPART_ARC
(8,22),-2.26894 # DEPENDENCYPART_ARC
(8,23),-1.19144 # DEPENDENCYPART_ARC
(8,24),-1.33768 # DEPENDENCYPART_ARC
(8,25),-0.922203 # DEPENDENCYPART_ARC
(8,26),-2.54991 # DEPENDENCYPART_ARC
(8,27),-0.48843 # DEPENDENCYPART_ARC
(8,29),-2.54116 # DEPENDENCYPART_ARC
(8,30),-2.22447 # DEPENDENCYPART_ARC
(8,31),-0.793912 # DEPENDENCYPART_ARC
(9,1),-1.35767 # DEPENDENCYPART_ARC
(9,6),-0.99647 # DEPENDENCYPART_ARC
(9,7),-0.78278 # DEPENDENCYPART_ARC
(9,8),-0.452045 # DEPENDENCYPART_ARC
(9,10),-0.854018 # DEPENDENCYPART_ARC
(9,12),-1.22984 # DEPENDENCYPART_ARC
(9,13),-1.49986 # DEPENDENCYPART_ARC
(9,27),-1.80122 # DEPENDENCYPART_ARC
(9,31),-2.78134 # DEPENDENCYPART_ARC
(11,9),-0.856518 # DEPENDENCYPART_ARC
(11,10),-0.619415 # DEPENDENCYPART_ARC
(12,1),-1.96812 # DEPENDENCYPART_ARC
(12,2),-1.23411 # DEPENDENCYPART_ARC
(12,4),-1.56017 # DEPENDENCYPART_ARC
(12,5),-2.36181 # DEPENDENCYPART_ARC
(12,6),-0.996298 # DEPENDENCYPART_ARC
(12,7),-0.639244 # DEPENDENCYPART_ARC
(12,8),-0.673717 # DEPENDENCYPART_ARC
(12,9),-0.284179 # DEPENDENCYPART_ARC
(12,10),-0.21012 # DEPENDENCYPART_ARC
(12,11),1.64951 # DEPENDENCYPART_ARC
(12,13),3.3757 # DEPENDENCYPART_ARC
(12,14),-1.18791 # DEPENDENCYPART_ARC
(12,15),-0.303172 # DEPENDENCYPART_ARC
(12,16),-0.210776 # DEPENDENCYPART_ARC
(12,17),0.456685 # DEPENDENCYPART_ARC
(12,18),0.255203 # DEPENDENCYPART_ARC
(12,19),0.0622849 # DEPENDENCYPART_ARC
(12,20),-0.541409 # DEPENDENCYPART_ARC
(12,22),-1.54642 # DEPENDENCYPART_ARC
(12,23),-0.996605 # DEPENDENCYPART_ARC
(12,24),-1.16204 # DEPENDENCYPART_ARC
(12,25),-0.834051 # DEPENDENCYPART_ARC
(12,26),-1.85404 # DEPENDENCYPART_ARC
(12,27),-0.602807 # DEPENDENCYPART_ARC
(12,29),-2.05467 # DEPENDENCYPART_ARC
(12,30),-1.72399 # DEPENDENCYPART_ARC
(12,31),-0.0479218 # DEPENDENCYPART_ARC
(13,1),-0.751714 # DEPENDENCYPART_ARC
(13,2),0.0749381 # DEPENDENCYPART_ARC
(13,3),-1.73811 # DEPENDENCYPART_ARC
(13,4),-1.41308 # DEPENDENCYPART_ARC
(13,5),-0.696544 # DEPENDENCYPART_ARC
(13,6),-0.659416 # DEPENDENCYPART_ARC
(13,7),-0.500367 # DEPENDENCYPART_ARC
(13,8),-1.55959 # DEPENDENCYPART_ARC
(13,9),-0.218622 # DEPENDENCYPART_ARC
(13,10),0.0370229 # DEPENDENCYPART_ARC
(13,11),0.898335 # DEPENDENCYPART_ARC
(13,12),-0.00647025 # DEPENDENCYPART_ARC
(13,14),-0.428427 # DEPENDENCYPART_ARC
(13,15),0.517791 # DEPENDENCYPART_ARC
(13,16),-0.000351764 # DEPENDENCYPART_ARC
(13,17),2.09764 # DEPENDENCYPART_ARC
(13,18),-0.243331 # DEPENDENCYPART_ARC
(13,19),-0.480558 # DEPENDENCYPART_ARC
(13,20),-1.03246 # DEPENDENCYPART_ARC
(13,21),-1.39507 # DEPENDENCYPART_ARC
(13,22),-1.54079 # DEPENDENCYPART_ARC
(13,23),-1.36062 # DEPENDENCYPART_ARC
(13,24),-1.57257 # DEPENDENCYPART_ARC
(13,25),-1.15635 # DEPENDENCYPART_ARC
(13,26),-1.32376 # DEPENDENCYPART_ARC
(13,27),-1.0461 # DEPENDENCYPART_ARC
(13,29),-2.54202 # DEPENDENCYPART_ARC
(13,30),-0.996791 # DEPENDENCYPART_ARC
(13,31),-1.06597 # DEPENDENCYPART_ARC
(14,15),-0.552308 # DEPENDENCYPART_ARC
(15,14),-0.534092 # DEPENDENCYPART_ARC
(16,3),-1.89584 # DEPENDENCYPART_ARC
(16,9),-1.61683 # DEPENDENCYPART_ARC
(16,13),0.550728 # DEPENDENCYPART_ARC
(16,14),1.3656 # DEPENDENCYPART_ARC
(16,15),2.34922 # DEPENDENCYPART_ARC
(17,7),-1.54818 # DEPENDENCYPART_ARC
(17,9),-1.57801 # DEPENDENCYPART_ARC
(17,10),-1.08401 # DEPENDENCYPART_ARC
(17,14),-0.324632 # DEPENDENCYPART_ARC
(17,15),0.761032 # DEPENDENCYPART_ARC
(17,16),3.25793 # DEPENDENCYPART_ARC
(17,18),-0.760697 # DEPENDENCYPART_ARC
(17,19),-1.64671 # DEPENDENCYPART_ARC
(17,27),-2.11854 # DEPENDENCYPART_ARC
(19,1),-1.78348 # DEPENDENCYPART_ARC
(19,2),-1.92295 # DEPENDENCYPART_ARC
(19,4),-2.12715 # DEPENDENCYPART_ARC
(19,5),-2.16931 # DEPENDENCYPART_ARC
(19,6),-2.32444 # DEPENDENCYPART_ARC
(19,7),-1.81045 # DEPENDENCYPART_ARC
(19,8),-1.1224 # DEPENDENCYPART_ARC
(19,9),-1.49589 # DEPENDENCYPART_ARC
(19,10),-1.50771 # DEPENDENCYPART_ARC
(19,12),-0.727479 # DEPENDENCYPART_ARC
(19,13),-1.39601 # DEPENDENCYPART_ARC
(19,14),-1.816 # DEPENDENCYPART_ARC
(19,15),-1.42477 # DEPENDENCYPART_ARC
(19,16),-1.1918 # DEPENDENCYPART_ARC
(19,17),-1.507 # DEPENDENCYPART_ARC
(19,18),0.500739 # DEPENDENCYPART_ARC
(19,20),-1.2488 # DEPENDENCYPART_ARC
(19,22),-1.51762 # DEPENDENCYPART_ARC
(19,23),-1.65599 # DEPENDENCYPART_ARC
(19,24),-1.72051 # DEPENDENCYPART_ARC
(19,25),-1.39266 # DEPENDENCYPART_ARC
(19,26),-2.11329 # DEPENDENCYPART_ARC
(19,27),-0.262344 # DEPENDENCYPART_ARC
(19,29),-1.95958 # DEPENDENCYPART_ARC
(19,30),-2.24011 # DEPENDENCYPART_ARC
(19,31),0.064163 # DEPENDENCYPART_ARC
(20,8),-1.20911 # DEPENDENCYPART_ARC
(20,12),-1.30772 # DEPENDENCYPART_ARC
(20,13),-1.13937 # DEPENDENCYPART_ARC
(20,15),-1.27963 # DEPENDENCYPART_ARC
(20,16),-1.02382 # DEPENDENCYPART_ARC
(20,17),-0.866027 # DEPENDENCYPART_ARC
(20,18),-0.822778 # DEPENDENCYPART_ARC
(20,19),-0.0290876 # DEPENDENCYPART_ARC
(20,22),-0.62985 # DEPENDENCYPART_ARC
(20,26),-1.2435 # DEPENDENCYPART_ARC
(20,27),-0.8812 # DEPENDENCYPART_ARC
(20,29),-1.549 # DEPENDENCYPART_ARC
(20,30),-1.43019 # DEPENDENCYPART_ARC
(20,31),-0.83936 # DEPENDENCYPART_ARC
(22,14),-1.96777 # DEPENDENCYPART_ARC
(22,20),-1.1225 # DEPENDENCYPART_ARC
(22,21),1.64663 # DEPENDENCYPART_ARC
(22,23),-1.19473 # DEPENDENCYPART_ARC
(22,24),-1.44202 # DEPENDENCYPART_ARC
(22,26),-1.82557 # DEPENDENCYPART_ARC
(23,8),-1.76038 # DEPENDENCYPART_ARC
(23,16),-1.96512 # DEPENDENCYPART_ARC
(23,17),-1.96858 # DEPENDENCYPART_ARC
(23,18),-1.59876 # DEPENDENCYPART_ARC
(23,20),-0.880917 # DEPENDENCYPART_ARC
(23,22),-0.607088 # DEPENDENCYPART_ARC
(23,24),-0.812416 # DEPENDENCYPART_ARC
(23,25),-1.10059 # DEPENDENCYPART_ARC
(23,26),-1.18174 # DEPENDENCYPART_ARC
(23,30),-1.73943 # DEPENDENCYPART_ARC
(24,16),-2.03245 # DEPENDENCYPART_ARC
(24,17),-2.09315 # DEPENDENCYPART_ARC
(24,18),-1.44528 # DEPENDENCYPART_ARC
(24,20),-1.19408 # DEPENDENCYPART_ARC
(24,22),-1.32095 # DEPENDENCYPART_ARC
(24,23),-0.478098 # DEPENDENCYPART_ARC
(24,25),-0.887188 # DEPENDENCYPART_ARC
(24,26),-1.11474 # DEPENDENCYPART_ARC
(24,27),-1.12146 # DEPENDENCYPART_ARC
(24,29),-1.60372 # DEPENDENCYPART_ARC
(24,30),-1.79112 # DEPENDENCYPART_ARC
(25,21),-1.42592 # DEPENDENCYPART_ARC
(25,22),-1.37776 # DEPENDENCYPART_ARC
(25,23),-1.09646 # DEPENDENCYPART_ARC
(25,24),-0.364703 # DEPENDENCYPART_ARC
(25,29),-1.92488 # DEPENDENCYPART_ARC
(25,30),-2.30379 # DEPENDENCYPART_ARC
(26,14),-2.3342 # DEPENDENCYPART_ARC
(26,15),-2.10862 # DEPENDENCYPART_ARC
(26,16),-2.58893 # DEPENDENCYPART_ARC
(26,18),-1.20039 # DEPENDENCYPART_ARC
(26,19),-0.43948 # DEPENDENCYPART_ARC
(26,20),-1.16333 # DEPENDENCYPART_ARC
(26,21),-0.853863 # DEPENDENCYPART_ARC
(26,22),-1.33529 # DEPENDENCYPART_ARC
(26,23),-0.586034 # DEPENDENCYPART_ARC
(26,24),0.204557 # DEPENDENCYPART_ARC
(26,25),0.924547 # DEPENDENCYPART_ARC
(26,29),-1.64194 # DEPENDENCYPART_ARC
(26,30),-2.31685 # DEPENDENCYPART_ARC
(27,1),-1.93623 # DEPENDENCYPART_ARC
(27,2),-1.20259 # DEPENDENCYPART_ARC
(27,4),-1.89582 # DEPENDENCYPART_ARC
(27,5),-2.25555 # DEPENDENCYPART_ARC
(27,6),-1.36459 # DEPENDENCYPART_ARC
(27,7),-2.03855 # DEPENDENCYPART_ARC
(27,8),-0.978987 # DEPENDENCYPART_ARC
(27,9),-2.44802 # DEPENDENCYPART_ARC
(27,10),-0.713734 # DEPENDENCYPART_ARC
(27,12),-0.445451 # DEPENDENCYPART_ARC
(27,13),-0.0467804 # DEPENDENCYPART_ARC
(27,15),-1.88547 # DEPENDENCYPART_ARC
(27,16),-0.916806 # DEPENDENCYPART_ARC
(27,17),-1.46478 # DEPENDENCYPART_ARC
(27,18),-0.632096 # DEPENDENCYPART_ARC
