# _root_ Wrighték repülésének évében Henry_Ford autógyárat alapított , ahol 1924-ig 10_millió , 1927-ig 15_millió darab készült a legendás T-modellből .
#goldHeads=2,6,6,6,6,0,6,6,6,6,6,15,14,15,6,18,18,15,6,
#predictedHeads=2,6,6,5,6,0,6,15,10,12,12,15,14,15,6,18,18,15,6,
(0,1),-2.9373 # DEPENDENCYPART_ARC
(0,2),-3.75338 # DEPENDENCYPART_ARC
(0,3),-4.12654 # DEPENDENCYPART_ARC
(0,5),-4.42867 # DEPENDENCYPART_ARC
(0,6),-1.95585 # DEPENDENCYPART_ARC
(0,8),-4.38949 # DEPENDENCYPART_ARC
(0,9),-4.41042 # DEPENDENCYPART_ARC
(0,10),-4.15958 # DEPENDENCYPART_ARC
(0,12),-4.64588 # DEPENDENCYPART_ARC
(0,15),-3.27826 # DEPENDENCYPART_ARC
(1,2),-1.72857 # DEPENDENCYPART_ARC
(1,3),-2.17028 # DEPENDENCYPART_ARC
(1,4),-1.84654 # DEPENDENCYPART_ARC
(1,5),-2.02969 # DEPENDENCYPART_ARC
(1,6),-1.84447 # DEPENDENCYPART_ARC
(1,15),-2.14848 # DEPENDENCYPART_ARC
(1,19),-1.72258 # DEPENDENCYPART_ARC
(2,1),3.26663 # DEPENDENCYPART_ARC
(2,3),-1.7754 # DEPENDENCYPART_ARC
(2,4),-1.32271 # DEPENDENCYPART_ARC
(2,6),-1.67552 # DEPENDENCYPART_ARC
(3,1),1.81175 # DEPENDENCYPART_ARC
(3,2),0.28366 # DEPENDENCYPART_ARC
(3,4),-0.785444 # DEPENDENCYPART_ARC
(3,5),-1.57941 # DEPENDENCYPART_ARC
(3,6),-1.5681 # DEPENDENCYPART_ARC
(3,7),-1.03146 # DEPENDENCYPART_ARC
(3,10),-1.84239 # DEPENDENCYPART_ARC
(3,15),-2.10005 # DEPENDENCYPART_ARC
(3,18),-3.15052 # DEPENDENCYPART_ARC
(4,1),-1.08772 # DEPENDENCYPART_ARC
(4,2),-1.09177 # DEPENDENCYPART_ARC
(4,3),-0.67379 # DEPENDENCYPART_ARC
(4,5),-1.24047 # DEPENDENCYPART_ARC
(4,6),-1.41367 # DEPENDENCYPART_ARC
(4,15),-1.9184 # DEPENDENCYPART_ARC
(5,1),-0.966912 # DEPENDENCYPART_ARC
(5,2),-2.00952 # DEPENDENCYPART_ARC
(5,3),-1.4167 # DEPENDENCYPART_ARC
(5,4),1.90726 # DEPENDENCYPART_ARC
(5,7),-1.02109 # DEPENDENCYPART_ARC
(5,9),-1.7521 # DEPENDENCYPART_ARC
(5,10),-1.82936 # DEPENDENCYPART_ARC
(5,11),-1.08589 # DEPENDENCYPART_ARC
(5,12),-1.87636 # DEPENDENCYPART_ARC
(5,13),-1.88997 # DEPENDENCYPART_ARC
(5,14),-2.45096 # DEPENDENCYPART_ARC
(5,15),-1.75162 # DEPENDENCYPART_ARC
(5,18),-3.08681 # DEPENDENCYPART_ARC
(5,19),-1.43102 # DEPENDENCYPART_ARC
(6,1),0.81287 # DEPENDENCYPART_ARC
(6,2),1.53462 # DEPENDENCYPART_ARC
(6,3),1.6392 # DEPENDENCYPART_ARC
(6,4),1.86747 # DEPENDENCYPART_ARC
(6,5),2.32801 # DEPENDENCYPART_ARC
(6,7),0.3673 # DEPENDENCYPART_ARC
(6,8),-0.3699 # DEPENDENCYPART_ARC
(6,9),-0.528694 # DEPENDENCYPART_ARC
(6,10),-1.19815 # DEPENDENCYPART_ARC
(6,11),-0.560012 # DEPENDENCYPART_ARC
(6,12),-1.05082 # DEPENDENCYPART_ARC
(6,13),-1.71325 # DEPENDENCYPART_ARC
(6,14),-2.18627 # DEPENDENCYPART_ARC
(6,15),-0.174761 # DEPENDENCYPART_ARC
(6,17),-2.14627 # DEPENDENCYPART_ARC
(6,18),-2.39317 # DEPENDENCYPART_ARC
(6,19),-1.16487 # DEPENDENCYPART_ARC
(8,2),-1.63801 # DEPENDENCYPART_ARC
(8,3),-1.55394 # DEPENDENCYPART_ARC
(8,5),-1.21757 # DEPENDENCYPART_ARC
(8,7),-0.572139 # DEPENDENCYPART_ARC
(8,11),-0.446102 # DEPENDENCYPART_ARC
(8,14),-1.39507 # DEPENDENCYPART_ARC
(8,15),-1.10313 # DEPENDENCYPART_ARC
(8,18),-1.63902 # DEPENDENCYPART_ARC
(8,19),-1.19603 # DEPENDENCYPART_ARC
(9,3),-2.13158 # DEPENDENCYPART_ARC
(9,4),-1.60935 # DEPENDENCYPART_ARC
(9,5),-1.85793 # DEPENDENCYPART_ARC
(9,6),-1.29118 # DEPENDENCYPART_ARC
(9,7),-1.26439 # DEPENDENCYPART_ARC
(9,8),-0.297026 # DEPENDENCYPART_ARC
(9,10),-1.16795 # DEPENDENCYPART_ARC
(9,11),-0.739225 # DEPENDENCYPART_ARC
(9,12),-1.52435 # DEPENDENCYPART_ARC
(9,13),-1.6099 # DEPENDENCYPART_ARC
(9,14),-1.63377 # DEPENDENCYPART_ARC
(9,15),-0.932727 # DEPENDENCYPART_ARC
(9,18),-1.9932 # DEPENDENCYPART_ARC
(9,19),-1.07296 # DEPENDENCYPART_ARC
(10,1),-1.20067 # DEPENDENCYPART_ARC
(10,4),-1.15978 # DEPENDENCYPART_ARC
(10,5),-1.62917 # DEPENDENCYPART_ARC
(10,6),-0.455717 # DEPENDENCYPART_ARC
(10,7),-0.432417 # DEPENDENCYPART_ARC
(10,8),-0.327013 # DEPENDENCYPART_ARC
(10,9),0.361682 # DEPENDENCYPART_ARC
(10,11),-0.459979 # DEPENDENCYPART_ARC
(10,12),-1.46119 # DEPENDENCYPART_ARC
(10,13),-1.42636 # DEPENDENCYPART_ARC
(10,14),-1.52529 # DEPENDENCYPART_ARC
(10,15),-0.837604 # DEPENDENCYPART_ARC
(10,17),-1.79187 # DEPENDENCYPART_ARC
(10,18),-2.05219 # DEPENDENCYPART_ARC
(10,19),-1.00674 # DEPENDENCYPART_ARC
(12,1),-1.74945 # DEPENDENCYPART_ARC
(12,4),-1.60249 # DEPENDENCYPART_ARC
(12,7),-1.20234 # DEPENDENCYPART_ARC
(12,8),-1.0929 # DEPENDENCYPART_ARC
(12,9),-0.82519 # DEPENDENCYPART_ARC
(12,10),-0.328496 # DEPENDENCYPART_ARC
(12,11),-0.263267 # DEPENDENCYPART_ARC
(12,13),-0.986729 # DEPENDENCYPART_ARC
(12,14),-0.99455 # DEPENDENCYPART_ARC
(12,15),-0.651713 # DEPENDENCYPART_ARC
(12,17),-1.49496 # DEPENDENCYPART_ARC
(12,18),-1.68437 # DEPENDENCYPART_ARC
(12,19),-0.984104 # DEPENDENCYPART_ARC
(13,7),-1.06584 # DEPENDENCYPART_ARC
(13,8),-1.20885 # DEPENDENCYPART_ARC
(13,9),-1.34397 # DEPENDENCYPART_ARC
(13,10),-0.918775 # DEPENDENCYPART_ARC
(13,11),-1.01289 # DEPENDENCYPART_ARC
(13,12),-0.164211 # DEPENDENCYPART_ARC
(13,18),-2.14957 # DEPENDENCYPART_ARC
(13,19),-1.48277 # DEPENDENCYPART_ARC
(14,1),-2.79808 # DEPENDENCYPART_ARC
(14,2),-4.00734 # DEPENDENCYPART_ARC
(14,3),-4.43878 # DEPENDENCYPART_ARC
(14,4),-1.46854 # DEPENDENCYPART_ARC
(14,6),-1.13687 # DEPENDENCYPART_ARC
(14,7),-1.14332 # DEPENDENCYPART_ARC
(14,8),-0.739565 # DEPENDENCYPART_ARC
(14,9),-1.37818 # DEPENDENCYPART_ARC
(14,10),-0.137619 # DEPENDENCYPART_ARC
(14,11),-0.436718 # DEPENDENCYPART_ARC
(14,12),-0.199024 # DEPENDENCYPART_ARC
(14,13),2.01587 # DEPENDENCYPART_ARC
(14,18),-2.05381 # DEPENDENCYPART_ARC
(15,1),-1.08171 # DEPENDENCYPART_ARC
(15,2),-0.547273 # DEPENDENCYPART_ARC
(15,3),-0.695309 # DEPENDENCYPART_ARC
(15,4),-0.771705 # DEPENDENCYPART_ARC
(15,5),-0.909804 # DEPENDENCYPART_ARC
(15,6),-1.08342 # DEPENDENCYPART_ARC
(15,7),-0.559481 # DEPENDENCYPART_ARC
(15,8),0.286923 # DEPENDENCYPART_ARC
(15,9),0.199941 # DEPENDENCYPART_ARC
(15,10),-1.05476 # DEPENDENCYPART_ARC
(15,11),-0.225205 # DEPENDENCYPART_ARC
(15,12),0.939095 # DEPENDENCYPART_ARC
(15,13),-0.0785234 # DEPENDENCYPART_ARC
(15,14),2.4092 # DEPENDENCYPART_ARC
(15,16),-0.975745 # DEPENDENCYPART_ARC
(15,17),-0.138442 # DEPENDENCYPART_ARC
(15,18),1.02632 # DEPENDENCYPART_ARC
(15,19),-0.39998 # DEPENDENCYPART_ARC
(16,17),-0.560126 # DEPENDENCYPART_ARC
(17,9),-1.90174 # DEPENDENCYPART_ARC
(17,12),-1.58612 # DEPENDENCYPART_ARC
