# _root_ 1994-ben Márkus_Gyulával közösen alapítója volt a privatizációk lebonyolítására szakosodott Márkus_Pénzügyi_Gazdasági_Tanácsadó_Kft.-nek , amely utóbb fiktív cégnek bizonyult ( HVG , 1998. február 28. ) .
#goldHeads=5,3,5,5,0,7,8,9,10,5,5,16,16,15,16,5,18,5,18,22,22,18,18,5,
#predictedHeads=5,3,5,5,0,7,8,9,10,5,5,16,16,15,16,5,18,16,18,22,22,18,18,5,
(0,1),-2.70476 # DEPENDENCYPART_ARC
(0,2),-3.14212 # DEPENDENCYPART_ARC
(0,3),-3.50117 # DEPENDENCYPART_ARC
(0,4),-4.01591 # DEPENDENCYPART_ARC
(0,5),-1.95666 # DEPENDENCYPART_ARC
(0,9),-4.00398 # DEPENDENCYPART_ARC
(0,13),-4.42705 # DEPENDENCYPART_ARC
(0,16),-2.92077 # DEPENDENCYPART_ARC
(1,2),-0.748818 # DEPENDENCYPART_ARC
(1,3),-1.15635 # DEPENDENCYPART_ARC
(1,4),-1.04167 # DEPENDENCYPART_ARC
(1,5),-0.890156 # DEPENDENCYPART_ARC
(1,7),-1.73926 # DEPENDENCYPART_ARC
(1,8),-1.66057 # DEPENDENCYPART_ARC
(1,9),-1.66962 # DEPENDENCYPART_ARC
(1,10),-1.70181 # DEPENDENCYPART_ARC
(1,11),-1.07129 # DEPENDENCYPART_ARC
(1,16),-1.55004 # DEPENDENCYPART_ARC
(1,17),-0.871973 # DEPENDENCYPART_ARC
(1,19),-1.12374 # DEPENDENCYPART_ARC
(1,23),-0.903177 # DEPENDENCYPART_ARC
(1,24),-0.743256 # DEPENDENCYPART_ARC
(2,1),-0.0648704 # DEPENDENCYPART_ARC
(2,3),-1.28218 # DEPENDENCYPART_ARC
(2,4),-1.30964 # DEPENDENCYPART_ARC
(2,5),-1.6593 # DEPENDENCYPART_ARC
(2,7),-1.76963 # DEPENDENCYPART_ARC
(2,10),-1.78306 # DEPENDENCYPART_ARC
(2,11),-0.919365 # DEPENDENCYPART_ARC
(2,16),-2.30015 # DEPENDENCYPART_ARC
(2,22),-2.46111 # DEPENDENCYPART_ARC
(2,23),-0.714408 # DEPENDENCYPART_ARC
(2,24),-1.23177 # DEPENDENCYPART_ARC
(3,1),-0.0276438 # DEPENDENCYPART_ARC
(3,2),1.30453 # DEPENDENCYPART_ARC
(4,1),-1.7936 # DEPENDENCYPART_ARC
(4,2),-0.347629 # DEPENDENCYPART_ARC
(4,3),-0.676058 # DEPENDENCYPART_ARC
(4,8),-2.00826 # DEPENDENCYPART_ARC
(4,10),-1.68057 # DEPENDENCYPART_ARC
(4,13),-2.00895 # DEPENDENCYPART_ARC
(4,24),-1.55823 # DEPENDENCYPART_ARC
(5,1),1.2134 # DEPENDENCYPART_ARC
(5,2),0.719753 # DEPENDENCYPART_ARC
(5,3),1.78766 # DEPENDENCYPART_ARC
(5,4),3.04862 # DEPENDENCYPART_ARC
(5,6),-1.01693 # DEPENDENCYPART_ARC
(5,7),0.349145 # DEPENDENCYPART_ARC
(5,8),0.489987 # DEPENDENCYPART_ARC
(5,9),-0.781138 # DEPENDENCYPART_ARC
(5,10),1.68582 # DEPENDENCYPART_ARC
(5,11),0.396216 # DEPENDENCYPART_ARC
(5,12),-1.52023 # DEPENDENCYPART_ARC
(5,13),-0.874245 # DEPENDENCYPART_ARC
(5,14),-1.43852 # DEPENDENCYPART_ARC
(5,15),-0.446394 # DEPENDENCYPART_ARC
(5,16),-0.0869179 # DEPENDENCYPART_ARC
(5,17),-0.829824 # DEPENDENCYPART_ARC
(5,18),-1.01165 # DEPENDENCYPART_ARC
(5,19),-0.632293 # DEPENDENCYPART_ARC
(5,21),-2.55792 # DEPENDENCYPART_ARC
(5,22),-1.2187 # DEPENDENCYPART_ARC
(5,23),-0.773616 # DEPENDENCYPART_ARC
(5,24),-1.0318 # DEPENDENCYPART_ARC
(7,5),-1.21206 # DEPENDENCYPART_ARC
(7,6),1.57565 # DEPENDENCYPART_ARC
(8,1),-3.63296 # DEPENDENCYPART_ARC
(8,2),-3.70976 # DEPENDENCYPART_ARC
(8,3),-4.51702 # DEPENDENCYPART_ARC
(8,4),-1.57379 # DEPENDENCYPART_ARC
(8,5),-2.65315 # DEPENDENCYPART_ARC
