# _root_ Óriási tévedés azt gondolni , hogy szórólapot terjeszteni semmivel sem nehezebb , mint mondjuk influenzát .
#goldHeads=2,4,4,0,4,4,8,3,8,8,8,8,8,3,14,4,
#predictedHeads=2,4,4,0,4,4,8,3,8,8,8,3,3,3,14,4,
(0,1),-3.16373 # DEPENDENCYPART_ARC
(0,2),-3.26549 # DEPENDENCYPART_ARC
(0,3),-4.19881 # DEPENDENCYPART_ARC
(0,4),-3.40717 # DEPENDENCYPART_ARC
(0,6),-2.92532 # DEPENDENCYPART_ARC
(0,8),-4.41487 # DEPENDENCYPART_ARC
(0,10),-4.18233 # DEPENDENCYPART_ARC
(0,13),-3.31621 # DEPENDENCYPART_ARC
(0,14),-3.914 # DEPENDENCYPART_ARC
(1,4),-1.41685 # DEPENDENCYPART_ARC
(1,5),-1.2128 # DEPENDENCYPART_ARC
(1,6),-1.75666 # DEPENDENCYPART_ARC
(1,8),-1.8542 # DEPENDENCYPART_ARC
(1,9),-2.19305 # DEPENDENCYPART_ARC
(1,10),-1.90385 # DEPENDENCYPART_ARC
(2,1),2.424 # DEPENDENCYPART_ARC
(2,4),-0.958147 # DEPENDENCYPART_ARC
(2,5),-0.854677 # DEPENDENCYPART_ARC
(2,7),-1.88775 # DEPENDENCYPART_ARC
(2,8),-1.33175 # DEPENDENCYPART_ARC
(2,11),-1.87688 # DEPENDENCYPART_ARC
(2,15),-2.6683 # DEPENDENCYPART_ARC
(2,16),-1.69424 # DEPENDENCYPART_ARC
(3,1),-0.655198 # DEPENDENCYPART_ARC
(3,2),-0.384365 # DEPENDENCYPART_ARC
(3,4),-0.253111 # DEPENDENCYPART_ARC
(3,5),-0.0607079 # DEPENDENCYPART_ARC
(3,6),0.0839698 # DEPENDENCYPART_ARC
(3,7),-0.601866 # DEPENDENCYPART_ARC
(3,8),0.0122436 # DEPENDENCYPART_ARC
(3,9),-0.555923 # DEPENDENCYPART_ARC
(3,10),-0.258857 # DEPENDENCYPART_ARC
(3,11),0.393097 # DEPENDENCYPART_ARC
(3,12),0.279054 # DEPENDENCYPART_ARC
(3,13),0.251222 # DEPENDENCYPART_ARC
(3,14),1.36223 # DEPENDENCYPART_ARC
(3,15),-0.880214 # DEPENDENCYPART_ARC
(3,16),-1.11951 # DEPENDENCYPART_ARC
(4,1),0.707336 # DEPENDENCYPART_ARC
(4,2),1.1181 # DEPENDENCYPART_ARC
(4,3),3.12657 # DEPENDENCYPART_ARC
(4,5),0.838591 # DEPENDENCYPART_ARC
(4,6),0.340682 # DEPENDENCYPART_ARC
(4,7),-0.168071 # DEPENDENCYPART_ARC
(4,8),-0.104453 # DEPENDENCYPART_ARC
(4,9),-1.04157 # DEPENDENCYPART_ARC
(4,10),-1.43934 # DEPENDENCYPART_ARC
