# _root_ A jogszabályok nem voltak ilyen szabadok , de utasításba adtam , hogy minden kétes esetben a kutató javára kell dönteni .
#goldHeads=2,4,4,8,6,4,8,0,10,8,10,10,15,15,20,17,18,20,10,19,8,
#predictedHeads=2,4,4,8,4,4,8,0,10,8,10,10,15,15,20,17,18,20,10,19,8,
(0,3),-3.45453 # DEPENDENCYPART_ARC
(0,4),-1.77296 # DEPENDENCYPART_ARC
(0,5),-3.82753 # DEPENDENCYPART_ARC
(0,6),-3.72985 # DEPENDENCYPART_ARC
(0,8),-1.85673 # DEPENDENCYPART_ARC
(0,10),-2.26415 # DEPENDENCYPART_ARC
(0,12),-3.87767 # DEPENDENCYPART_ARC
(0,19),-3.33701 # DEPENDENCYPART_ARC
(0,20),-5.05066 # DEPENDENCYPART_ARC
(2,1),1.82509 # DEPENDENCYPART_ARC
(3,2),-0.326173 # DEPENDENCYPART_ARC
(3,19),-1.63011 # DEPENDENCYPART_ARC
(3,20),-1.73692 # DEPENDENCYPART_ARC
(3,21),-1.92873 # DEPENDENCYPART_ARC
(4,1),-1.01126 # DEPENDENCYPART_ARC
(4,2),1.8715 # DEPENDENCYPART_ARC
(4,3),2.30855 # DEPENDENCYPART_ARC
(4,5),1.3557 # DEPENDENCYPART_ARC
(4,6),0.648279 # DEPENDENCYPART_ARC
(4,7),0.145855 # DEPENDENCYPART_ARC
(4,8),-0.100238 # DEPENDENCYPART_ARC
(4,9),-0.0302393 # DEPENDENCYPART_ARC
(4,10),-0.0637461 # DEPENDENCYPART_ARC
(4,11),-0.408045 # DEPENDENCYPART_ARC
(4,12),0.184879 # DEPENDENCYPART_ARC
(4,13),-1.86929 # DEPENDENCYPART_ARC
(4,14),-1.45452 # DEPENDENCYPART_ARC
(4,15),-1.34934 # DEPENDENCYPART_ARC
(4,17),-2.52342 # DEPENDENCYPART_ARC
(4,18),-1.73443 # DEPENDENCYPART_ARC
(4,19),-0.649306 # DEPENDENCYPART_ARC
(4,20),0.105803 # DEPENDENCYPART_ARC
(4,21),-1.08877 # DEPENDENCYPART_ARC
(5,2),-1.11755 # DEPENDENCYPART_ARC
(5,4),-0.423755 # DEPENDENCYPART_ARC
(5,6),-1.01197 # DEPENDENCYPART_ARC
(5,7),-1.06375 # DEPENDENCYPART_ARC
(5,8),-1.04484 # DEPENDENCYPART_ARC
(5,9),-1.53301 # DEPENDENCYPART_ARC
(5,10),-1.29026 # DEPENDENCYPART_ARC
(5,19),-1.56928 # DEPENDENCYPART_ARC
(5,20),-1.57917 # DEPENDENCYPART_ARC
(6,1),-0.920033 # DEPENDENCYPART_ARC
(6,2),-1.38009 # DEPENDENCYPART_ARC
(6,3),-0.762947 # DEPENDENCYPART_ARC
(6,4),-0.842273 # DEPENDENCYPART_ARC
(6,5),0.929625 # DEPENDENCYPART_ARC
(6,7),-0.438537 # DEPENDENCYPART_ARC
(6,8),-1.31011 # DEPENDENCYPART_ARC
(6,9),-1.19054 # DEPENDENCYPART_ARC
(6,10),-0.83724 # DEPENDENCYPART_ARC
(6,11),-1.12853 # DEPENDENCYPART_ARC
(6,12),-1.21684 # DEPENDENCYPART_ARC
(6,13),-1.73967 # DEPENDENCYPART_ARC
(6,14),-1.71452 # DEPENDENCYPART_ARC
(6,15),-1.57722 # DEPENDENCYPART_ARC
(6,17),-1.92368 # DEPENDENCYPART_ARC
(6,18),-1.51792 # DEPENDENCYPART_ARC
(6,19),-1.18282 # DEPENDENCYPART_ARC
(6,20),-1.77586 # DEPENDENCYPART_ARC
(6,21),-1.15027 # DEPENDENCYPART_ARC
(8,2),-2.05586 # DEPENDENCYPART_ARC
(8,3),-1.43472 # DEPENDENCYPART_ARC
(8,4),0.386532 # DEPENDENCYPART_ARC
(8,5),-0.551397 # DEPENDENCYPART_ARC
(8,6),-0.895096 # DEPENDENCYPART_ARC
(8,7),0.425741 # DEPENDENCYPART_ARC
(8,9),-1.27971 # DEPENDENCYPART_ARC
(8,10),0.197213 # DEPENDENCYPART_ARC
(8,11),-1.0871 # DEPENDENCYPART_ARC
(8,12),-1.3595 # DEPENDENCYPART_ARC
(8,14),-1.77341 # DEPENDENCYPART_ARC
(8,15),-2.24065 # DEPENDENCYPART_ARC
(8,17),-2.23364 # DEPENDENCYPART_ARC
(8,18),-2.3949 # DEPENDENCYPART_ARC
(8,19),-0.996837 # DEPENDENCYPART_ARC
(8,20),-1.74303 # DEPENDENCYPART_ARC
(8,21),-0.642208 # DEPENDENCYPART_ARC
(9,1),-1.95116 # DEPENDENCYPART_ARC
(9,3),-1.67692 # DEPENDENCYPART_ARC
(9,4),-1.93717 # DEPENDENCYPART_ARC
(9,5),-1.35592 # DEPENDENCYPART_ARC
(9,6),-1.62784 # DEPENDENCYPART_ARC
(9,7),-0.259569 # DEPENDENCYPART_ARC
(9,8),0.0398965 # DEPENDENCYPART_ARC
(9,15),-2.19639 # DEPENDENCYPART_ARC
(9,19),-1.26933 # DEPENDENCYPART_ARC
(9,20),-1.5707 # DEPENDENCYPART_ARC
(9,21),-1.57763 # DEPENDENCYPART_ARC
(10,1),-1.87867 # DEPENDENCYPART_ARC
(10,2),-1.38341 # DEPENDENCYPART_ARC
(10,3),-0.367821 # DEPENDENCYPART_ARC
(10,4),-0.399763 # DEPENDENCYPART_ARC
(10,5),0.0668626 # DEPENDENCYPART_ARC
(10,6),-0.713302 # DEPENDENCYPART_ARC
(10,7),-0.150951 # DEPENDENCYPART_ARC
(10,8),0.722141 # DEPENDENCYPART_ARC
(10,9),2.10585 # DEPENDENCYPART_ARC
(10,11),0.394011 # DEPENDENCYPART_ARC
(10,12),1.73114 # DEPENDENCYPART_ARC
(10,13),-1.5403 # DEPENDENCYPART_ARC
(10,14),-0.896408 # DEPENDENCYPART_ARC
(10,15),-0.958568 # DEPENDENCYPART_ARC
(10,16),-1.99078 # DEPENDENCYPART_ARC
(10,17),-1.90146 # DEPENDENCYPART_ARC
(10,18),-1.63218 # DEPENDENCYPART_ARC
(10,19),0.452969 # DEPENDENCYPART_ARC
(10,20),0.239246 # DEPENDENCYPART_ARC
(10,21),-1.00383 # DEPENDENCYPART_ARC
(12,2),-1.80093 # DEPENDENCYPART_ARC
(12,3),-1.40912 # DEPENDENCYPART_ARC
(12,4),-2.60037 # DEPENDENCYPART_ARC
(12,5),-1.09651 # DEPENDENCYPART_ARC
(12,6),-0.967279 # DEPENDENCYPART_ARC
(12,7),-1.22902 # DEPENDENCYPART_ARC
(12,8),-0.135967 # DEPENDENCYPART_ARC
(12,9),-0.679837 # DEPENDENCYPART_ARC
(12,10),-1.81359 # DEPENDENCYPART_ARC
(12,11),0.256394 # DEPENDENCYPART_ARC
(12,14),-1.29006 # DEPENDENCYPART_ARC
(12,15),-1.65079 # DEPENDENCYPART_ARC
(12,17),-1.75139 # DEPENDENCYPART_ARC
(12,18),-2.01823 # DEPENDENCYPART_ARC
(12,19),-0.437863 # DEPENDENCYPART_ARC
(12,20),-1.17458 # DEPENDENCYPART_ARC
(12,21),-0.38537 # DEPENDENCYPART_ARC
(14,5),-1.44976 # DEPENDENCYPART_ARC
(14,9),-1.32722 # DEPENDENCYPART_ARC
(14,10),-1.23791 # DEPENDENCYPART_ARC
(14,11),-0.804241 # DEPENDENCYPART_ARC
(14,12),-0.623398 # DEPENDENCYPART_ARC
(14,13),0.144584 # DEPENDENCYPART_ARC
(14,17),-1.69175 # DEPENDENCYPART_ARC
(14,18),-1.48034 # DEPENDENCYPART_ARC
(15,1),-1.85606 # DEPENDENCYPART_ARC
(15,2),-3.62358 # DEPENDENCYPART_ARC
(15,4),-2.04638 # DEPENDENCYPART_ARC
(15,6),-2.29111 # DEPENDENCYPART_ARC
(15,7),-0.759222 # DEPENDENCYPART_ARC
(15,8),-1.09954 # DEPENDENCYPART_ARC
(15,9),-2.96544 # DEPENDENCYPART_ARC
(15,10),-1.05261 # DEPENDENCYPART_ARC
(15,11),-0.849042 # DEPENDENCYPART_ARC
(15,12),-0.803961 # DEPENDENCYPART_ARC
(15,13),0.829026 # DEPENDENCYPART_ARC
(15,14),2.48272 # DEPENDENCYPART_ARC
(15,16),-1.43341 # DEPENDENCYPART_ARC
(15,17),-1.33249 # DEPENDENCYPART_ARC
(15,18),-1.70286 # DEPENDENCYPART_ARC
(15,21),-1.33132 # DEPENDENCYPART_ARC
(17,13),-0.825358 # DEPENDENCYPART_ARC
(17,14),-1.07028 # DEPENDENCYPART_ARC
(17,15),-1.77938 # DEPENDENCYPART_ARC
(17,16),1.51945 # DEPENDENCYPART_ARC
(17,18),-1.76627 # DEPENDENCYPART_ARC
(18,11),-1.14814 # DEPENDENCYPART_ARC
(18,12),-1.01818 # DEPENDENCYPART_ARC
(18,13),-1.05325 # DEPENDENCYPART_ARC
(18,14),-1.38091 # DEPENDENCYPART_ARC
(18,15),-2.20326 # DEPENDENCYPART_ARC
(18,16),-0.25047 # DEPENDENCYPART_ARC
(18,17),2.77389 # DEPENDENCYPART_ARC
(19,2),-2.28373 # DEPENDENCYPART_ARC
(19,3),-1.29661 # DEPENDENCYPART_ARC
(19,4),-1.58018 # DEPENDENCYPART_ARC
(19,5),-1.96943 # DEPENDENCYPART_ARC
(19,6),-2.12368 # DEPENDENCYPART_ARC
(19,7),-1.45672 # DEPENDENCYPART_ARC
(19,8),-0.342906 # DEPENDENCYPART_ARC
(19,9),-1.69457 # DEPENDENCYPART_ARC
(19,10),-1.5547 # DEPENDENCYPART_ARC
(19,11),-0.827732 # DEPENDENCYPART_ARC
(19,12),-0.698868 # DEPENDENCYPART_ARC
(19,13),-0.835572 # DEPENDENCYPART_ARC
(19,14),-1.29046 # DEPENDENCYPART_ARC
(19,15),0.670819 # DEPENDENCYPART_ARC
(19,16),-1.57274 # DEPENDENCYPART_ARC
(19,17),0.476855 # DEPENDENCYPART_ARC
(19,18),1.51895 # DEPENDENCYPART_ARC
(19,20),3.44029 # DEPENDENCYPART_ARC
(19,21),-0.245483 # DEPENDENCYPART_ARC
(20,2),-1.85951 # DEPENDENCYPART_ARC
(20,3),-1.37768 # DEPENDENCYPART_ARC
(20,4),-2.42031 # DEPENDENCYPART_ARC
(20,5),-1.66711 # DEPENDENCYPART_ARC
(20,6),-1.38742 # DEPENDENCYPART_ARC
(20,7),-0.974366 # DEPENDENCYPART_ARC
(20,8),-0.863002 # DEPENDENCYPART_ARC
(20,9),0.000973008 # DEPENDENCYPART_ARC
(20,10),-2.09157 # DEPENDENCYPART_ARC
(20,11),-0.573766 # DEPENDENCYPART_ARC
(20,12),-0.699492 # DEPENDENCYPART_ARC
(20,13),-0.940563 # DEPENDENCYPART_ARC
(20,14),-0.281158 # DEPENDENCYPART_ARC
(20,15),1.74561 # DEPENDENCYPART_ARC
(20,16),-1.04268 # DEPENDENCYPART_ARC
(20,17),0.119404 # DEPENDENCYPART_ARC
(20,18),2.29364 # DEPENDENCYPART_ARC
(20,19),-0.0361253 # DEPENDENCYPART_ARC
(20,21),-0.585189 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.105781 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0588761 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0239133 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.147757 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.112223 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.11733 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.119226 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.113672 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.113289 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.134648 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.253525 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.249427 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.2687 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.25638 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.246993 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0361008 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.147979 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.115986 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.112034 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.121618 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.117435 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0995312 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.0886095 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.083936 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0764402 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.0886116 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.144148 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.165387 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.146144 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.142378 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.265529 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.252418 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.243032 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.128809 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.128566 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.251556 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0612943 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0351619 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.101229 # DEPENDENCYPART_SIBL
(3,19),(3,20),-0.0226731 # DEPENDENCYPART_SIBL
(3,19),(3,21),0.0973447 # DEPENDENCYPART_SIBL
(3,20),(3,21),0.0574287 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0144207 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.083729 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0283273 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0139762 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0732135 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0928249 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.00746503 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0203547 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0732135 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0612792 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0322148 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0139759 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0147467 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.00603585 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0094515 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0137067 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0171444 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0575452 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0275031 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0586624 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00597741 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0583404 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.106209 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0161074 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0400427 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0583404 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.066897 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0575332 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.00597768 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0242493 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.00412138 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0174029 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.00405234 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.0314211 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.00347188 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0363798 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00127207 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0901652 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.169424 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00636476 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.020935 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0901652 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0381788 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0105143 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.00127307 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0110415 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0110377 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.00132315 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0246644 # DEPENDENCYPART_SIBL
