# _root_ — Azt a határtalan boldogságot nem lehet leírni , amikor a bagi fiúk a második vonalba jutottak — mondja Lajtos_István , a RO-LA_Kft. egyik társtulajdonosa .
#goldHeads=19,5,5,5,8,7,19,7,7,17,13,13,17,16,16,17,2,19,0,19,19,23,25,25,19,19,
#predictedHeads=19,8,5,5,8,7,19,7,19,17,13,13,17,16,16,17,19,19,0,19,19,23,25,25,19,19,
(0,2),-3.89449 # DEPENDENCYPART_ARC
(0,5),-4.45887 # DEPENDENCYPART_ARC
(0,6),-3.82235 # DEPENDENCYPART_ARC
(0,7),-2.30344 # DEPENDENCYPART_ARC
(0,8),-4.37142 # DEPENDENCYPART_ARC
(0,10),-4.1472 # DEPENDENCYPART_ARC
(0,17),-3.23719 # DEPENDENCYPART_ARC
(0,19),-1.87483 # DEPENDENCYPART_ARC
(2,1),-0.400036 # DEPENDENCYPART_ARC
(2,4),-0.276764 # DEPENDENCYPART_ARC
(2,5),-0.614312 # DEPENDENCYPART_ARC
(2,6),-0.562671 # DEPENDENCYPART_ARC
(2,7),0.524429 # DEPENDENCYPART_ARC
(2,8),-0.0336085 # DEPENDENCYPART_ARC
(2,9),0.277734 # DEPENDENCYPART_ARC
(2,10),-0.432323 # DEPENDENCYPART_ARC
(2,12),-0.318307 # DEPENDENCYPART_ARC
(2,13),-0.469965 # DEPENDENCYPART_ARC
(2,16),-0.840614 # DEPENDENCYPART_ARC
(2,17),1.10405 # DEPENDENCYPART_ARC
(2,18),-0.131054 # DEPENDENCYPART_ARC
(2,19),0.118305 # DEPENDENCYPART_ARC
(2,20),-0.628332 # DEPENDENCYPART_ARC
(2,21),0.106777 # DEPENDENCYPART_ARC
(2,23),-0.699367 # DEPENDENCYPART_ARC
(2,24),-0.539071 # DEPENDENCYPART_ARC
(2,25),-0.540988 # DEPENDENCYPART_ARC
(2,26),-1.66395 # DEPENDENCYPART_ARC
(3,1),-1.33302 # DEPENDENCYPART_ARC
(3,4),-0.520972 # DEPENDENCYPART_ARC
(4,1),-1.36823 # DEPENDENCYPART_ARC
(4,2),-1.13169 # DEPENDENCYPART_ARC
(4,3),-0.566579 # DEPENDENCYPART_ARC
(5,1),-0.966692 # DEPENDENCYPART_ARC
(5,2),-0.143786 # DEPENDENCYPART_ARC
(5,3),1.32779 # DEPENDENCYPART_ARC
(5,4),2.45334 # DEPENDENCYPART_ARC
(5,7),-1.39522 # DEPENDENCYPART_ARC
(5,13),-2.04792 # DEPENDENCYPART_ARC
(5,26),-1.43395 # DEPENDENCYPART_ARC
(6,1),-1.17695 # DEPENDENCYPART_ARC
(6,4),-0.949874 # DEPENDENCYPART_ARC
(6,5),-0.165978 # DEPENDENCYPART_ARC
(6,7),-0.609945 # DEPENDENCYPART_ARC
(6,8),-0.963382 # DEPENDENCYPART_ARC
(6,9),-0.701544 # DEPENDENCYPART_ARC
(6,13),-1.65488 # DEPENDENCYPART_ARC
(6,17),-1.38566 # DEPENDENCYPART_ARC
(6,19),-1.54604 # DEPENDENCYPART_ARC
(6,26),-1.65911 # DEPENDENCYPART_ARC
(7,1),-0.358324 # DEPENDENCYPART_ARC
(7,2),-0.137924 # DEPENDENCYPART_ARC
(7,3),-1.75376 # DEPENDENCYPART_ARC
(7,4),-0.9785 # DEPENDENCYPART_ARC
