# _root_ E párt a gyakorlatban szigorúan hierarchikus rendet szab , még akkor is , ha hivatalos ideológiája — mint a kommunistáké — egalitárius .
#goldHeads=2,8,4,8,6,7,8,0,8,14,14,14,14,8,16,22,18,22,20,18,18,14,8,
#predictedHeads=2,8,4,8,6,7,8,0,8,18,8,8,8,8,16,18,18,8,20,22,22,18,8,
(0,1),-3.28267 # DEPENDENCYPART_ARC
(0,2),-3.03748 # DEPENDENCYPART_ARC
(0,5),-3.68444 # DEPENDENCYPART_ARC
(0,8),-2.10458 # DEPENDENCYPART_ARC
(0,10),-4.27094 # DEPENDENCYPART_ARC
(0,11),-4.0907 # DEPENDENCYPART_ARC
(0,12),-3.76406 # DEPENDENCYPART_ARC
(0,14),-3.45289 # DEPENDENCYPART_ARC
(0,18),-3.99623 # DEPENDENCYPART_ARC
(0,22),-4.10392 # DEPENDENCYPART_ARC
(1,2),-0.675856 # DEPENDENCYPART_ARC
(1,4),-0.743984 # DEPENDENCYPART_ARC
(1,5),-1.36357 # DEPENDENCYPART_ARC
(1,6),-1.15207 # DEPENDENCYPART_ARC
(1,7),-1.51141 # DEPENDENCYPART_ARC
(1,8),-0.103936 # DEPENDENCYPART_ARC
(1,9),-0.515472 # DEPENDENCYPART_ARC
(1,10),-1.03666 # DEPENDENCYPART_ARC
(1,11),-1.02527 # DEPENDENCYPART_ARC
(1,12),-0.758701 # DEPENDENCYPART_ARC
(1,13),-0.677634 # DEPENDENCYPART_ARC
(1,14),-0.57594 # DEPENDENCYPART_ARC
(1,15),-1.10014 # DEPENDENCYPART_ARC
(1,16),-1.28125 # DEPENDENCYPART_ARC
(1,17),-0.774949 # DEPENDENCYPART_ARC
(1,18),-0.824232 # DEPENDENCYPART_ARC
(1,20),-1.52378 # DEPENDENCYPART_ARC
(1,21),-0.951167 # DEPENDENCYPART_ARC
(1,22),-1.16461 # DEPENDENCYPART_ARC
(1,23),-2.05251 # DEPENDENCYPART_ARC
(2,1),1.66677 # DEPENDENCYPART_ARC
(2,3),-1.15864 # DEPENDENCYPART_ARC
(2,4),-1.14463 # DEPENDENCYPART_ARC
(2,5),-1.49487 # DEPENDENCYPART_ARC
(2,6),-1.42304 # DEPENDENCYPART_ARC
(2,7),-1.31858 # DEPENDENCYPART_ARC
(2,8),-0.952101 # DEPENDENCYPART_ARC
(2,9),-0.678083 # DEPENDENCYPART_ARC
(2,16),-1.89147 # DEPENDENCYPART_ARC
(2,22),-2.03936 # DEPENDENCYPART_ARC
(2,23),-1.32922 # DEPENDENCYPART_ARC
(4,1),-1.00448 # DEPENDENCYPART_ARC
(4,2),-1.31286 # DEPENDENCYPART_ARC
(4,3),1.74521 # DEPENDENCYPART_ARC
(5,1),-0.926 # DEPENDENCYPART_ARC
(5,2),-1.68976 # DEPENDENCYPART_ARC
(5,3),-0.529798 # DEPENDENCYPART_ARC
(5,4),0.907489 # DEPENDENCYPART_ARC
(5,6),-1.06463 # DEPENDENCYPART_ARC
(5,23),-1.49366 # DEPENDENCYPART_ARC
(6,1),-1.42241 # DEPENDENCYPART_ARC
(6,2),-1.67948 # DEPENDENCYPART_ARC
(6,3),-1.13189 # DEPENDENCYPART_ARC
(6,4),0.267563 # DEPENDENCYPART_ARC
(6,5),1.05276 # DEPENDENCYPART_ARC
(7,1),-0.404379 # DEPENDENCYPART_ARC
(7,2),-1.41829 # DEPENDENCYPART_ARC
(7,3),0.114427 # DEPENDENCYPART_ARC
(7,4),-1.35326 # DEPENDENCYPART_ARC
(7,5),-0.218673 # DEPENDENCYPART_ARC
(7,6),2.55878 # DEPENDENCYPART_ARC
(7,11),-1.82925 # DEPENDENCYPART_ARC
(7,22),-2.38952 # DEPENDENCYPART_ARC
(8,1),0.156686 # DEPENDENCYPART_ARC
(8,2),0.988636 # DEPENDENCYPART_ARC
(8,3),-1.33131 # DEPENDENCYPART_ARC
(8,4),0.943473 # DEPENDENCYPART_ARC
(8,5),1.04743 # DEPENDENCYPART_ARC
(8,6),0.148708 # DEPENDENCYPART_ARC
(8,7),2.22685 # DEPENDENCYPART_ARC
(8,9),0.359776 # DEPENDENCYPART_ARC
(8,10),-0.348714 # DEPENDENCYPART_ARC
(8,11),-0.669993 # DEPENDENCYPART_ARC
(8,12),-0.429999 # DEPENDENCYPART_ARC
(8,13),-0.594437 # DEPENDENCYPART_ARC
(8,14),0.471264 # DEPENDENCYPART_ARC
(8,15),-1.45041 # DEPENDENCYPART_ARC
(8,16),-1.3912 # DEPENDENCYPART_ARC
(8,17),-0.947538 # DEPENDENCYPART_ARC
(8,18),-0.333643 # DEPENDENCYPART_ARC
(8,20),-2.84466 # DEPENDENCYPART_ARC
(8,21),-1.37419 # DEPENDENCYPART_ARC
(8,22),-2.18016 # DEPENDENCYPART_ARC
(8,23),-0.992693 # DEPENDENCYPART_ARC
(10,7),-1.7369 # DEPENDENCYPART_ARC
(10,8),-1.44408 # DEPENDENCYPART_ARC
(10,9),-1.06658 # DEPENDENCYPART_ARC
(10,12),-1.09877 # DEPENDENCYPART_ARC
(10,13),-0.869498 # DEPENDENCYPART_ARC
(10,14),-1.01432 # DEPENDENCYPART_ARC
(10,16),-1.70363 # DEPENDENCYPART_ARC
(10,17),-1.01928 # DEPENDENCYPART_ARC
(10,18),-1.06595 # DEPENDENCYPART_ARC
(10,20),-1.98425 # DEPENDENCYPART_ARC
(10,21),-1.26503 # DEPENDENCYPART_ARC
(10,23),-1.80138 # DEPENDENCYPART_ARC
(11,7),-1.62211 # DEPENDENCYPART_ARC
(11,8),-1.12539 # DEPENDENCYPART_ARC
(11,9),-1.44362 # DEPENDENCYPART_ARC
(11,10),-0.309822 # DEPENDENCYPART_ARC
(11,12),-0.831597 # DEPENDENCYPART_ARC
(11,13),-1.00499 # DEPENDENCYPART_ARC
