# _root_ — A kérdés provokatív , ám — bár ezt senki nem mondta ki — a le nem fektetett etikai normákból kiolvasható , hogy egy MÁV-vezérnek nem illik lecövekelni egyetlen párt mellé sem .
#goldHeads=6,3,4,6,6,0,23,23,12,12,12,23,12,23,20,18,18,20,20,23,23,23,6,25,28,27,23,27,30,31,28,27,6,
#predictedHeads=8,3,8,8,8,8,12,0,12,12,12,8,12,12,20,18,18,20,20,21,23,23,8,25,27,27,23,27,30,31,28,12,8,
(0,4),-3.81769 # DEPENDENCYPART_ARC
(0,6),-2.20366 # DEPENDENCYPART_ARC
(0,8),-2.9782 # DEPENDENCYPART_ARC
(0,9),-4.65523 # DEPENDENCYPART_ARC
(0,12),-1.71122 # DEPENDENCYPART_ARC
(0,13),-4.36488 # DEPENDENCYPART_ARC
(0,16),-4.23152 # DEPENDENCYPART_ARC
(0,23),-5.01869 # DEPENDENCYPART_ARC
(0,26),-4.06876 # DEPENDENCYPART_ARC
(0,27),-4.20226 # DEPENDENCYPART_ARC
(0,28),-5.69054 # DEPENDENCYPART_ARC
(0,32),-5.36481 # DEPENDENCYPART_ARC
(2,1),-0.693778 # DEPENDENCYPART_ARC
(2,4),-0.913211 # DEPENDENCYPART_ARC
(2,5),-0.637634 # DEPENDENCYPART_ARC
(3,2),1.69629 # DEPENDENCYPART_ARC
(3,31),-1.87036 # DEPENDENCYPART_ARC
(4,1),-0.524629 # DEPENDENCYPART_ARC
(4,2),-0.638294 # DEPENDENCYPART_ARC
(4,3),0.752206 # DEPENDENCYPART_ARC
(4,5),-0.498766 # DEPENDENCYPART_ARC
(4,6),-1.49735 # DEPENDENCYPART_ARC
(4,7),-0.845694 # DEPENDENCYPART_ARC
(4,10),-1.84163 # DEPENDENCYPART_ARC
(4,12),-1.24253 # DEPENDENCYPART_ARC
(4,33),-1.25874 # DEPENDENCYPART_ARC
(6,1),-0.876741 # DEPENDENCYPART_ARC
(6,2),-1.44047 # DEPENDENCYPART_ARC
(6,3),-0.887886 # DEPENDENCYPART_ARC
(6,4),-0.73369 # DEPENDENCYPART_ARC
(6,5),0.34918 # DEPENDENCYPART_ARC
(6,7),-0.675515 # DEPENDENCYPART_ARC
(6,8),-1.1554 # DEPENDENCYPART_ARC
(6,9),-2.12214 # DEPENDENCYPART_ARC
(6,11),-1.72013 # DEPENDENCYPART_ARC
(6,12),-0.40932 # DEPENDENCYPART_ARC
(6,14),-0.873484 # DEPENDENCYPART_ARC
(6,17),-1.77794 # DEPENDENCYPART_ARC
(6,21),-1.94618 # DEPENDENCYPART_ARC
(6,22),-1.23985 # DEPENDENCYPART_ARC
(6,23),-1.12633 # DEPENDENCYPART_ARC
(6,26),-1.86951 # DEPENDENCYPART_ARC
(6,27),-1.78629 # DEPENDENCYPART_ARC
(6,28),-2.59318 # DEPENDENCYPART_ARC
(6,29),-1.71053 # DEPENDENCYPART_ARC
(6,32),-1.71824 # DEPENDENCYPART_ARC
(6,33),0.906056 # DEPENDENCYPART_ARC
(8,1),-0.965095 # DEPENDENCYPART_ARC
(8,3),-0.517411 # DEPENDENCYPART_ARC
(8,4),-0.175727 # DEPENDENCYPART_ARC
(8,5),-0.332116 # DEPENDENCYPART_ARC
(8,6),0.0458264 # DEPENDENCYPART_ARC
(8,7),0.575449 # DEPENDENCYPART_ARC
(8,12),-0.361313 # DEPENDENCYPART_ARC
(8,13),-1.46463 # DEPENDENCYPART_ARC
(8,14),-0.269058 # DEPENDENCYPART_ARC
(8,16),-1.48526 # DEPENDENCYPART_ARC
(8,21),-1.86991 # DEPENDENCYPART_ARC
(8,22),-0.78618 # DEPENDENCYPART_ARC
(8,23),-0.917908 # DEPENDENCYPART_ARC
(8,27),-1.59968 # DEPENDENCYPART_ARC
(8,28),-2.04358 # DEPENDENCYPART_ARC
(8,33),-0.0376203 # DEPENDENCYPART_ARC
(9,3),-1.74336 # DEPENDENCYPART_ARC
(9,4),-1.55535 # DEPENDENCYPART_ARC
(9,5),-1.41984 # DEPENDENCYPART_ARC
(9,6),-1.18937 # DEPENDENCYPART_ARC
(9,8),-0.602092 # DEPENDENCYPART_ARC
(9,10),-0.883453 # DEPENDENCYPART_ARC
(9,11),-0.947711 # DEPENDENCYPART_ARC
(9,12),0.300692 # DEPENDENCYPART_ARC
(9,13),-0.944493 # DEPENDENCYPART_ARC
(9,16),-0.741544 # DEPENDENCYPART_ARC
(9,17),-0.648542 # DEPENDENCYPART_ARC
(9,18),-0.866183 # DEPENDENCYPART_ARC
(9,19),-0.82799 # DEPENDENCYPART_ARC
