# _root_ Azt azonban elárulja , hogy az áremelés lehetetlen helyzetbe hozná a csapat költségvetését , hiszen a teljes kézilabdapénz egynegyedét a két kubai játékosra kellene fordítani .
#goldHeads=3,3,0,3,3,7,10,9,10,1,12,13,10,1,1,18,18,19,25,23,23,23,25,1,24,3,
#predictedHeads=3,3,0,3,3,7,10,9,10,1,12,13,10,15,0,18,18,19,24,23,23,23,25,1,24,15,
(0,1),-3.41167 # DEPENDENCYPART_ARC
(0,2),-2.94579 # DEPENDENCYPART_ARC
(0,3),-1.23183 # DEPENDENCYPART_ARC
(0,5),-3.11533 # DEPENDENCYPART_ARC
(0,10),-2.60605 # DEPENDENCYPART_ARC
(0,15),-1.56183 # DEPENDENCYPART_ARC
(0,19),-4.60558 # DEPENDENCYPART_ARC
(0,24),-3.29461 # DEPENDENCYPART_ARC
(0,25),-5.03401 # DEPENDENCYPART_ARC
(1,2),-0.275221 # DEPENDENCYPART_ARC
(1,3),0.229937 # DEPENDENCYPART_ARC
(1,4),-0.104364 # DEPENDENCYPART_ARC
(1,5),-0.299542 # DEPENDENCYPART_ARC
(1,7),-0.194546 # DEPENDENCYPART_ARC
(1,8),-0.362552 # DEPENDENCYPART_ARC
(1,9),-0.778202 # DEPENDENCYPART_ARC
(1,10),1.02215 # DEPENDENCYPART_ARC
(1,12),-0.455946 # DEPENDENCYPART_ARC
(1,13),-1.15311 # DEPENDENCYPART_ARC
(1,14),-0.242796 # DEPENDENCYPART_ARC
(1,15),-0.142572 # DEPENDENCYPART_ARC
(1,17),-0.546198 # DEPENDENCYPART_ARC
(1,18),-0.496547 # DEPENDENCYPART_ARC
(1,21),-0.568625 # DEPENDENCYPART_ARC
(1,22),-0.57559 # DEPENDENCYPART_ARC
(1,23),-1.14759 # DEPENDENCYPART_ARC
(1,24),1.36249 # DEPENDENCYPART_ARC
(1,25),-0.712661 # DEPENDENCYPART_ARC
(1,26),-2.02507 # DEPENDENCYPART_ARC
(2,1),-0.820055 # DEPENDENCYPART_ARC
(2,3),0.212811 # DEPENDENCYPART_ARC
(2,4),-0.877066 # DEPENDENCYPART_ARC
(2,5),-1.12967 # DEPENDENCYPART_ARC
(2,9),-1.71199 # DEPENDENCYPART_ARC
(2,10),-1.37423 # DEPENDENCYPART_ARC
