# _root_ Drága mulatság a washoku , de a legfinomabb alapanyagokból készítik , és elképesztő dúskálást lehet vele csapni .
#goldHeads=2,12,4,2,12,12,9,9,10,12,12,0,14,17,12,17,15,12,
#predictedHeads=2,10,4,10,12,12,9,9,10,12,12,0,14,17,12,17,15,12,
(0,2),-3.20545 # DEPENDENCYPART_ARC
(0,4),-3.34776 # DEPENDENCYPART_ARC
(0,6),-2.26552 # DEPENDENCYPART_ARC
(0,10),-2.45423 # DEPENDENCYPART_ARC
(0,12),-2.67197 # DEPENDENCYPART_ARC
(0,14),-5.35527 # DEPENDENCYPART_ARC
(0,15),-3.08384 # DEPENDENCYPART_ARC
(0,17),-4.8769 # DEPENDENCYPART_ARC
(1,15),-1.8982 # DEPENDENCYPART_ARC
(1,18),-1.56545 # DEPENDENCYPART_ARC
(2,1),2.44073 # DEPENDENCYPART_ARC
(2,3),-1.41416 # DEPENDENCYPART_ARC
(2,4),-1.26943 # DEPENDENCYPART_ARC
(2,5),-0.8767 # DEPENDENCYPART_ARC
(2,6),-1.24364 # DEPENDENCYPART_ARC
(2,9),-2.19265 # DEPENDENCYPART_ARC
(2,10),-1.40998 # DEPENDENCYPART_ARC
(2,11),-1.30066 # DEPENDENCYPART_ARC
(2,12),-1.15802 # DEPENDENCYPART_ARC
(2,14),-2.3429 # DEPENDENCYPART_ARC
(2,15),-1.73381 # DEPENDENCYPART_ARC
(2,17),-1.79836 # DEPENDENCYPART_ARC
(2,18),-1.61611 # DEPENDENCYPART_ARC
(3,1),-1.45325 # DEPENDENCYPART_ARC
(3,5),-0.644786 # DEPENDENCYPART_ARC
(3,8),-1.32532 # DEPENDENCYPART_ARC
(4,1),-0.676416 # DEPENDENCYPART_ARC
(4,2),-0.356238 # DEPENDENCYPART_ARC
(4,3),0.776968 # DEPENDENCYPART_ARC
(4,5),-0.314249 # DEPENDENCYPART_ARC
(4,6),-0.956973 # DEPENDENCYPART_ARC
(4,9),-1.31899 # DEPENDENCYPART_ARC
(4,10),-1.20839 # DEPENDENCYPART_ARC
(4,11),-0.918569 # DEPENDENCYPART_ARC
(4,12),-1.03132 # DEPENDENCYPART_ARC
(4,14),-1.59794 # DEPENDENCYPART_ARC
(6,1),-1.54182 # DEPENDENCYPART_ARC
(6,2),-1.4793 # DEPENDENCYPART_ARC
(6,3),-1.43166 # DEPENDENCYPART_ARC
(6,4),-0.746405 # DEPENDENCYPART_ARC
(6,5),0.377779 # DEPENDENCYPART_ARC
(6,7),-1.10302 # DEPENDENCYPART_ARC
(6,8),-1.07736 # DEPENDENCYPART_ARC
(6,9),-1.38831 # DEPENDENCYPART_ARC
(6,10),0.0105025 # DEPENDENCYPART_ARC
(6,11),-1.12025 # DEPENDENCYPART_ARC
(6,12),-1.15041 # DEPENDENCYPART_ARC
(6,13),-1.67038 # DEPENDENCYPART_ARC
(6,14),-1.93376 # DEPENDENCYPART_ARC
(6,15),-0.821148 # DEPENDENCYPART_ARC
(6,17),-1.50012 # DEPENDENCYPART_ARC
(6,18),-0.598791 # DEPENDENCYPART_ARC
(7,6),-0.586003 # DEPENDENCYPART_ARC
(7,8),-0.613342 # DEPENDENCYPART_ARC
(8,2),-3.59977 # DEPENDENCYPART_ARC
(8,3),-1.90823 # DEPENDENCYPART_ARC
(8,4),-1.48424 # DEPENDENCYPART_ARC
(8,7),-0.178003 # DEPENDENCYPART_ARC
(9,1),-1.0116 # DEPENDENCYPART_ARC
(9,2),-2.47713 # DEPENDENCYPART_ARC
(9,3),-0.753728 # DEPENDENCYPART_ARC
(9,4),-0.645008 # DEPENDENCYPART_ARC
(9,5),-0.800961 # DEPENDENCYPART_ARC
(9,6),-0.183073 # DEPENDENCYPART_ARC
(9,7),1.28137 # DEPENDENCYPART_ARC
(9,8),2.63761 # DEPENDENCYPART_ARC
(9,14),-2.38459 # DEPENDENCYPART_ARC
(9,15),-2.11955 # DEPENDENCYPART_ARC
(9,17),-1.77848 # DEPENDENCYPART_ARC
(10,1),-1.51613 # DEPENDENCYPART_ARC
(10,2),0.131402 # DEPENDENCYPART_ARC
(10,3),-1.18198 # DEPENDENCYPART_ARC
(10,4),-0.137857 # DEPENDENCYPART_ARC
(10,5),-0.175466 # DEPENDENCYPART_ARC
(10,6),0.420575 # DEPENDENCYPART_ARC
(10,7),-0.727509 # DEPENDENCYPART_ARC
(10,8),0.223601 # DEPENDENCYPART_ARC
(10,9),3.30886 # DEPENDENCYPART_ARC
(10,11),0.347649 # DEPENDENCYPART_ARC
(10,12),0.0443466 # DEPENDENCYPART_ARC
(10,13),-0.794802 # DEPENDENCYPART_ARC
(10,14),-0.465554 # DEPENDENCYPART_ARC
(10,15),0.600804 # DEPENDENCYPART_ARC
(10,16),-0.965279 # DEPENDENCYPART_ARC
(10,17),0.261522 # DEPENDENCYPART_ARC
(10,18),-1.17436 # DEPENDENCYPART_ARC
(12,1),-2.43765 # DEPENDENCYPART_ARC
(12,2),-2.4111 # DEPENDENCYPART_ARC
(12,4),-1.59139 # DEPENDENCYPART_ARC
(12,5),-1.16889 # DEPENDENCYPART_ARC
(12,6),-0.608908 # DEPENDENCYPART_ARC
(12,7),-2.10834 # DEPENDENCYPART_ARC
(12,8),-1.78374 # DEPENDENCYPART_ARC
(12,9),-1.70308 # DEPENDENCYPART_ARC
(12,10),0.44211 # DEPENDENCYPART_ARC
(12,11),0.572624 # DEPENDENCYPART_ARC
(12,13),-0.706432 # DEPENDENCYPART_ARC
(12,14),-0.946485 # DEPENDENCYPART_ARC
(12,15),0.238922 # DEPENDENCYPART_ARC
(12,16),-1.31176 # DEPENDENCYPART_ARC
(12,17),-0.881938 # DEPENDENCYPART_ARC
(12,18),0.122908 # DEPENDENCYPART_ARC
(13,7),-2.11969 # DEPENDENCYPART_ARC
(13,9),-1.28903 # DEPENDENCYPART_ARC
(13,10),-0.949639 # DEPENDENCYPART_ARC
(13,11),-0.910148 # DEPENDENCYPART_ARC
(13,12),-0.212804 # DEPENDENCYPART_ARC
(13,17),-1.62398 # DEPENDENCYPART_ARC
(13,18),-1.60804 # DEPENDENCYPART_ARC
(14,1),-1.97149 # DEPENDENCYPART_ARC
(14,2),-3.16329 # DEPENDENCYPART_ARC
(14,3),-1.78234 # DEPENDENCYPART_ARC
(14,4),-0.959724 # DEPENDENCYPART_ARC
(14,5),-1.0617 # DEPENDENCYPART_ARC
(14,6),-0.709269 # DEPENDENCYPART_ARC
(14,7),-0.72156 # DEPENDENCYPART_ARC
(14,8),-0.495906 # DEPENDENCYPART_ARC
(14,9),-3.07974 # DEPENDENCYPART_ARC
(14,10),-1.48591 # DEPENDENCYPART_ARC
(14,11),-0.183521 # DEPENDENCYPART_ARC
(14,12),0.357351 # DEPENDENCYPART_ARC
(14,13),2.42403 # DEPENDENCYPART_ARC
(14,15),-1.16739 # DEPENDENCYPART_ARC
(14,17),-1.33925 # DEPENDENCYPART_ARC
(14,18),-1.62028 # DEPENDENCYPART_ARC
(15,1),-2.5601 # DEPENDENCYPART_ARC
(15,2),-0.912209 # DEPENDENCYPART_ARC
(15,3),-2.1903 # DEPENDENCYPART_ARC
(15,4),-1.27139 # DEPENDENCYPART_ARC
(15,5),-0.809026 # DEPENDENCYPART_ARC
(15,6),-0.117545 # DEPENDENCYPART_ARC
(15,7),-2.06183 # DEPENDENCYPART_ARC
(15,8),-1.62036 # DEPENDENCYPART_ARC
(15,9),-0.377278 # DEPENDENCYPART_ARC
(15,10),-0.810035 # DEPENDENCYPART_ARC
(15,11),-0.425951 # DEPENDENCYPART_ARC
(15,12),-0.227987 # DEPENDENCYPART_ARC
(15,13),-0.377473 # DEPENDENCYPART_ARC
(15,14),1.47331 # DEPENDENCYPART_ARC
(15,16),1.45537 # DEPENDENCYPART_ARC
(15,17),2.75079 # DEPENDENCYPART_ARC
(15,18),-0.58422 # DEPENDENCYPART_ARC
(16,10),-1.36343 # DEPENDENCYPART_ARC
(16,11),-1.35968 # DEPENDENCYPART_ARC
(16,12),-0.979276 # DEPENDENCYPART_ARC
(16,13),-1.09983 # DEPENDENCYPART_ARC
(16,14),-0.749864 # DEPENDENCYPART_ARC
(16,15),-0.306838 # DEPENDENCYPART_ARC
(16,17),-0.741394 # DEPENDENCYPART_ARC
(16,18),-1.56304 # DEPENDENCYPART_ARC
(17,1),-1.35352 # DEPENDENCYPART_ARC
(17,2),-1.30296 # DEPENDENCYPART_ARC
(17,3),-1.55352 # DEPENDENCYPART_ARC
(17,4),-0.889089 # DEPENDENCYPART_ARC
(17,5),-0.637993 # DEPENDENCYPART_ARC
(17,6),-0.943007 # DEPENDENCYPART_ARC
(17,7),-1.47816 # DEPENDENCYPART_ARC
(17,8),-0.926088 # DEPENDENCYPART_ARC
(17,9),0.425368 # DEPENDENCYPART_ARC
(17,10),-1.99817 # DEPENDENCYPART_ARC
(17,11),-0.25172 # DEPENDENCYPART_ARC
(17,12),-0.920237 # DEPENDENCYPART_ARC
(17,13),-0.0685247 # DEPENDENCYPART_ARC
(17,14),2.00236 # DEPENDENCYPART_ARC
(17,15),-0.904351 # DEPENDENCYPART_ARC
(17,16),2.2498 # DEPENDENCYPART_ARC
(17,18),-0.426039 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.0139653 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.158434 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.107518 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.120009 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0661097 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.122401 # DEPENDENCYPART_SIBL
