# _root_ Elébb egy , majd két téesz alakult a falu földjein : a Dózsa és a Petőfi , majd ezek egyesültek a nagy Egyetértésben .
#goldHeads=2,4,4,18,6,7,4,9,10,7,4,13,14,4,16,14,18,0,20,18,23,23,20,18,
#predictedHeads=4,4,4,0,6,7,4,9,10,7,7,13,14,7,16,14,18,7,20,18,23,23,20,4,
(0,1),-2.81169 # DEPENDENCYPART_ARC
(0,2),-2.93456 # DEPENDENCYPART_ARC
(0,4),-2.27468 # DEPENDENCYPART_ARC
(0,6),-4.05567 # DEPENDENCYPART_ARC
(0,7),-1.98648 # DEPENDENCYPART_ARC
(0,14),-3.41497 # DEPENDENCYPART_ARC
(0,18),-2.80839 # DEPENDENCYPART_ARC
(0,19),-4.69561 # DEPENDENCYPART_ARC
(0,20),-3.31711 # DEPENDENCYPART_ARC
(1,2),-0.602803 # DEPENDENCYPART_ARC
(1,3),-0.661741 # DEPENDENCYPART_ARC
(1,4),-0.690769 # DEPENDENCYPART_ARC
(1,5),-0.907085 # DEPENDENCYPART_ARC
(1,6),-1.3 # DEPENDENCYPART_ARC
(1,7),-1.1274 # DEPENDENCYPART_ARC
(1,9),-1.71483 # DEPENDENCYPART_ARC
(1,10),-1.69799 # DEPENDENCYPART_ARC
(1,11),-0.726565 # DEPENDENCYPART_ARC
(1,14),-1 # DEPENDENCYPART_ARC
(1,17),-1.37681 # DEPENDENCYPART_ARC
(1,18),-1.06067 # DEPENDENCYPART_ARC
(1,20),-1.31963 # DEPENDENCYPART_ARC
(1,24),-1.21816 # DEPENDENCYPART_ARC
(2,1),0.116972 # DEPENDENCYPART_ARC
(2,3),-0.430748 # DEPENDENCYPART_ARC
(2,4),-1.071 # DEPENDENCYPART_ARC
(2,5),-1.3616 # DEPENDENCYPART_ARC
(2,6),-1.45161 # DEPENDENCYPART_ARC
(2,7),-0.842859 # DEPENDENCYPART_ARC
(2,9),-1.76241 # DEPENDENCYPART_ARC
(2,10),-2.23961 # DEPENDENCYPART_ARC
(2,11),-1.0581 # DEPENDENCYPART_ARC
(2,13),-1.96286 # DEPENDENCYPART_ARC
(2,16),-2.00452 # DEPENDENCYPART_ARC
(2,17),-1.30977 # DEPENDENCYPART_ARC
(2,20),-1.56375 # DEPENDENCYPART_ARC
(2,24),-0.910097 # DEPENDENCYPART_ARC
(4,1),-0.348313 # DEPENDENCYPART_ARC
(4,2),-0.565817 # DEPENDENCYPART_ARC
(4,3),0.310399 # DEPENDENCYPART_ARC
(4,5),-0.723317 # DEPENDENCYPART_ARC
(4,6),-0.957118 # DEPENDENCYPART_ARC
(4,7),0.17732 # DEPENDENCYPART_ARC
(4,9),-1.48728 # DEPENDENCYPART_ARC
(4,10),-1.5513 # DEPENDENCYPART_ARC
(4,11),-0.759014 # DEPENDENCYPART_ARC
(4,13),-1.82479 # DEPENDENCYPART_ARC
(4,14),-1.17568 # DEPENDENCYPART_ARC
(4,16),-1.89206 # DEPENDENCYPART_ARC
(4,17),-1.07211 # DEPENDENCYPART_ARC
(4,18),-1.51536 # DEPENDENCYPART_ARC
(4,20),-1.47747 # DEPENDENCYPART_ARC
(4,22),-1.81703 # DEPENDENCYPART_ARC
(4,23),-2.21331 # DEPENDENCYPART_ARC
