# _root_ Akkoriban a cég — átmeneti sikerrel — megszerezte a Magyar_Nemzet , az Esti_Hírlap és az Expressz kiadói jogát , 1997 végén pedig megindította a Napi_Magyarország című napilapot .
#goldHeads=8,3,8,8,6,8,8,0,10,18,18,13,18,18,16,18,18,8,8,21,23,23,8,27,26,27,23,8,
#predictedHeads=8,3,8,8,6,8,8,0,10,8,8,13,18,18,16,18,18,8,8,21,23,23,8,27,26,27,23,8,
(0,1),-2.92826 # DEPENDENCYPART_ARC
(0,3),-3.72775 # DEPENDENCYPART_ARC
(0,5),-3.88031 # DEPENDENCYPART_ARC
(0,6),-4.68634 # DEPENDENCYPART_ARC
(0,8),-1.85047 # DEPENDENCYPART_ARC
(0,14),-3.39206 # DEPENDENCYPART_ARC
(0,22),-3.44784 # DEPENDENCYPART_ARC
(0,23),-3.36416 # DEPENDENCYPART_ARC
(1,3),-0.483766 # DEPENDENCYPART_ARC
(1,4),-0.325875 # DEPENDENCYPART_ARC
(1,5),-0.90077 # DEPENDENCYPART_ARC
(1,6),-0.925904 # DEPENDENCYPART_ARC
(1,7),-0.520055 # DEPENDENCYPART_ARC
(1,8),-0.967508 # DEPENDENCYPART_ARC
(1,11),-1.04618 # DEPENDENCYPART_ARC
(1,28),-1.14495 # DEPENDENCYPART_ARC
(2,4),-0.651669 # DEPENDENCYPART_ARC
(2,6),-1.43356 # DEPENDENCYPART_ARC
(3,1),-0.698624 # DEPENDENCYPART_ARC
(3,2),2.28125 # DEPENDENCYPART_ARC
(3,4),-0.619885 # DEPENDENCYPART_ARC
(3,6),-1.55112 # DEPENDENCYPART_ARC
(3,7),-0.944874 # DEPENDENCYPART_ARC
(3,8),-1.30238 # DEPENDENCYPART_ARC
(3,28),-1.71913 # DEPENDENCYPART_ARC
(5,1),-0.974267 # DEPENDENCYPART_ARC
(5,2),-1.12746 # DEPENDENCYPART_ARC
(5,3),-0.768411 # DEPENDENCYPART_ARC
(5,4),-0.0629188 # DEPENDENCYPART_ARC
(5,7),-0.588382 # DEPENDENCYPART_ARC
(5,8),-0.921082 # DEPENDENCYPART_ARC
(5,10),-1.47079 # DEPENDENCYPART_ARC
(5,23),-1.80107 # DEPENDENCYPART_ARC
(5,28),-1.26974 # DEPENDENCYPART_ARC
(6,1),-1.03475 # DEPENDENCYPART_ARC
(6,2),0.0127102 # DEPENDENCYPART_ARC
(6,3),-0.827792 # DEPENDENCYPART_ARC
(6,4),-0.333723 # DEPENDENCYPART_ARC
(6,5),2.71375 # DEPENDENCYPART_ARC
(6,7),-0.518292 # DEPENDENCYPART_ARC
(6,8),-1.43179 # DEPENDENCYPART_ARC
(6,10),-1.70357 # DEPENDENCYPART_ARC
(6,11),-1.17925 # DEPENDENCYPART_ARC
(6,22),-1.54357 # DEPENDENCYPART_ARC
(6,23),-2.34071 # DEPENDENCYPART_ARC
(6,28),-1.79411 # DEPENDENCYPART_ARC
(8,1),0.0761818 # DEPENDENCYPART_ARC
(8,2),-1.65299 # DEPENDENCYPART_ARC
(8,3),-0.314494 # DEPENDENCYPART_ARC
(8,4),0.146771 # DEPENDENCYPART_ARC
(8,5),-0.750154 # DEPENDENCYPART_ARC
(8,6),0.0283854 # DEPENDENCYPART_ARC
(8,7),0.721162 # DEPENDENCYPART_ARC
(8,9),-0.712678 # DEPENDENCYPART_ARC
(8,10),1.51332 # DEPENDENCYPART_ARC
(8,11),0.616928 # DEPENDENCYPART_ARC
(8,12),-1.40565 # DEPENDENCYPART_ARC
(8,13),-0.312046 # DEPENDENCYPART_ARC
(8,14),0.105586 # DEPENDENCYPART_ARC
(8,15),-1.72908 # DEPENDENCYPART_ARC
(8,16),-1.35469 # DEPENDENCYPART_ARC
(8,17),-1.37383 # DEPENDENCYPART_ARC
(8,18),1.13722 # DEPENDENCYPART_ARC
(8,19),-0.145361 # DEPENDENCYPART_ARC
(8,20),-1.36918 # DEPENDENCYPART_ARC
(8,21),-0.870476 # DEPENDENCYPART_ARC
(8,22),-0.397606 # DEPENDENCYPART_ARC
(8,23),-0.15137 # DEPENDENCYPART_ARC
(8,25),-2.63144 # DEPENDENCYPART_ARC
(8,26),-2.24805 # DEPENDENCYPART_ARC
(8,27),-0.63056 # DEPENDENCYPART_ARC
(8,28),-0.070222 # DEPENDENCYPART_ARC
(10,9),1.18213 # DEPENDENCYPART_ARC
(10,11),-0.572631 # DEPENDENCYPART_ARC
(10,13),-1.33721 # DEPENDENCYPART_ARC
(10,18),-1.89959 # DEPENDENCYPART_ARC
(10,19),-1.12381 # DEPENDENCYPART_ARC
(10,20),-1.50376 # DEPENDENCYPART_ARC
(10,23),-2.10157 # DEPENDENCYPART_ARC
(10,27),-2.53189 # DEPENDENCYPART_ARC
(12,11),-0.674645 # DEPENDENCYPART_ARC
(13,9),-1.1764 # DEPENDENCYPART_ARC
(13,12),1.38492 # DEPENDENCYPART_ARC
(13,18),-1.95341 # DEPENDENCYPART_ARC
(14,1),-2.20067 # DEPENDENCYPART_ARC
(14,3),-2.47873 # DEPENDENCYPART_ARC
(14,4),-1.38637 # DEPENDENCYPART_ARC
(14,6),-2.29387 # DEPENDENCYPART_ARC
(14,7),-1.17412 # DEPENDENCYPART_ARC
(14,8),-0.538099 # DEPENDENCYPART_ARC
(14,9),-1.9782 # DEPENDENCYPART_ARC
(14,10),-1.26429 # DEPENDENCYPART_ARC
(14,11),-0.549681 # DEPENDENCYPART_ARC
(14,12),-1.29819 # DEPENDENCYPART_ARC
(14,13),-0.368409 # DEPENDENCYPART_ARC
(14,15),-1.13707 # DEPENDENCYPART_ARC
(14,16),-0.655069 # DEPENDENCYPART_ARC
(14,17),-1.28297 # DEPENDENCYPART_ARC
(14,18),-0.971909 # DEPENDENCYPART_ARC
(14,19),-1.05715 # DEPENDENCYPART_ARC
(14,20),-1.34523 # DEPENDENCYPART_ARC
(14,21),-1.67942 # DEPENDENCYPART_ARC
(14,22),-1.37446 # DEPENDENCYPART_ARC
(14,23),-1.25442 # DEPENDENCYPART_ARC
(14,25),-1.69984 # DEPENDENCYPART_ARC
(14,27),-1.9945 # DEPENDENCYPART_ARC
(14,28),-2.34361 # DEPENDENCYPART_ARC
(15,14),-0.508835 # DEPENDENCYPART_ARC
(16,9),-2.28494 # DEPENDENCYPART_ARC
(16,12),-1.12971 # DEPENDENCYPART_ARC
(16,15),1.5638 # DEPENDENCYPART_ARC
(16,21),-1.9924 # DEPENDENCYPART_ARC
(16,23),-1.6476 # DEPENDENCYPART_ARC
