# _root_ Azon fáradozunk , hogy az utánpótlás-nevelésre fordítható öszszeg évről évre emelkedjen , ezzel is segítve a hazai labdarúgás kimozdulását a mély kátyúból .
#goldHeads=2,0,2,2,6,7,8,11,11,11,1,11,15,11,11,18,18,19,15,22,22,15,2,
#predictedHeads=2,0,2,2,6,7,9,9,11,11,1,11,15,15,1,18,18,19,15,22,22,15,2,
(0,1),-3.38308 # DEPENDENCYPART_ARC
(0,2),-1.47465 # DEPENDENCYPART_ARC
(0,4),-2.98999 # DEPENDENCYPART_ARC
(0,8),-3.43103 # DEPENDENCYPART_ARC
(0,11),-3.18444 # DEPENDENCYPART_ARC
(1,2),0.357888 # DEPENDENCYPART_ARC
(1,3),-0.196528 # DEPENDENCYPART_ARC
(1,4),0.0208394 # DEPENDENCYPART_ARC
(1,6),-0.803773 # DEPENDENCYPART_ARC
(1,7),-0.557445 # DEPENDENCYPART_ARC
(1,8),-0.347336 # DEPENDENCYPART_ARC
(1,9),-0.729718 # DEPENDENCYPART_ARC
(1,10),-0.993221 # DEPENDENCYPART_ARC
(1,11),1.58901 # DEPENDENCYPART_ARC
(1,12),-0.0446378 # DEPENDENCYPART_ARC
(1,13),-0.728069 # DEPENDENCYPART_ARC
(1,14),-0.0740835 # DEPENDENCYPART_ARC
(1,15),-0.473368 # DEPENDENCYPART_ARC
(1,17),-0.77314 # DEPENDENCYPART_ARC
(1,18),-0.590497 # DEPENDENCYPART_ARC
(1,19),-1.17189 # DEPENDENCYPART_ARC
(1,21),-0.857526 # DEPENDENCYPART_ARC
(1,22),-1.04811 # DEPENDENCYPART_ARC
(1,23),-1.6657 # DEPENDENCYPART_ARC
(2,1),1.76061 # DEPENDENCYPART_ARC
(2,3),1.02151 # DEPENDENCYPART_ARC
(2,4),2.16802 # DEPENDENCYPART_ARC
(2,5),-1.77376 # DEPENDENCYPART_ARC
(2,6),-0.983447 # DEPENDENCYPART_ARC
(2,7),-1.3039 # DEPENDENCYPART_ARC
(2,8),-1.04069 # DEPENDENCYPART_ARC
(2,9),-1.12958 # DEPENDENCYPART_ARC
(2,10),-1.25246 # DEPENDENCYPART_ARC
(2,11),0.717859 # DEPENDENCYPART_ARC
(2,12),-0.377647 # DEPENDENCYPART_ARC
(2,13),-2.28851 # DEPENDENCYPART_ARC
(2,14),-1.60327 # DEPENDENCYPART_ARC
(2,15),-1.80343 # DEPENDENCYPART_ARC
(2,17),-2.40953 # DEPENDENCYPART_ARC
(2,18),-3.20535 # DEPENDENCYPART_ARC
