# _root_ Szép_Tibor egyelőre nem kívánt nyilatkozni lapunknak , de annyit elmondott , hogy a munkakör betöltésének napjáig a munkavállaló visszaléphet .
#goldHeads=4,4,4,8,4,5,8,0,10,8,10,10,14,15,19,19,18,19,9,8,
#predictedHeads=4,4,4,8,4,5,8,0,10,8,10,10,14,15,19,19,18,19,9,8,
(0,1),-2.77755 # DEPENDENCYPART_ARC
(0,2),-3.30527 # DEPENDENCYPART_ARC
(0,3),-3.43501 # DEPENDENCYPART_ARC
(0,4),-1.70412 # DEPENDENCYPART_ARC
(0,5),-4.04046 # DEPENDENCYPART_ARC
(0,8),-1.61385 # DEPENDENCYPART_ARC
(0,9),-4.64449 # DEPENDENCYPART_ARC
(0,10),-2.4228 # DEPENDENCYPART_ARC
(0,12),-4.45823 # DEPENDENCYPART_ARC
(0,19),-3.45354 # DEPENDENCYPART_ARC
(1,4),-1.25079 # DEPENDENCYPART_ARC
(1,6),-1.78093 # DEPENDENCYPART_ARC
(1,9),-2.17813 # DEPENDENCYPART_ARC
(1,19),-1.88055 # DEPENDENCYPART_ARC
(2,1),-0.309375 # DEPENDENCYPART_ARC
(2,4),-0.934038 # DEPENDENCYPART_ARC
(2,5),-1.06356 # DEPENDENCYPART_ARC
(2,6),-1.14928 # DEPENDENCYPART_ARC
(2,7),-0.997899 # DEPENDENCYPART_ARC
(2,8),-0.978749 # DEPENDENCYPART_ARC
(2,10),-1.29347 # DEPENDENCYPART_ARC
(2,19),-1.41458 # DEPENDENCYPART_ARC
(2,20),-1.50646 # DEPENDENCYPART_ARC
(3,1),-1.05834 # DEPENDENCYPART_ARC
(3,2),-0.276112 # DEPENDENCYPART_ARC
(3,5),-1.15536 # DEPENDENCYPART_ARC
(3,6),-1.20522 # DEPENDENCYPART_ARC
(3,7),-1.03568 # DEPENDENCYPART_ARC
(3,8),-1.14684 # DEPENDENCYPART_ARC
(3,10),-1.4224 # DEPENDENCYPART_ARC
(3,12),-1.06984 # DEPENDENCYPART_ARC
(3,19),-1.74881 # DEPENDENCYPART_ARC
(3,20),-1.85954 # DEPENDENCYPART_ARC
(4,1),1.03471 # DEPENDENCYPART_ARC
(4,2),0.920681 # DEPENDENCYPART_ARC
(4,3),1.96197 # DEPENDENCYPART_ARC
(4,5),3.14108 # DEPENDENCYPART_ARC
(4,6),1.59818 # DEPENDENCYPART_ARC
(4,7),0.200968 # DEPENDENCYPART_ARC
(4,8),-0.154685 # DEPENDENCYPART_ARC
(4,9),-1.21182 # DEPENDENCYPART_ARC
(4,10),-0.149158 # DEPENDENCYPART_ARC
(4,11),-0.502248 # DEPENDENCYPART_ARC
(4,12),-0.0934659 # DEPENDENCYPART_ARC
(4,14),-2.34761 # DEPENDENCYPART_ARC
(4,15),-1.48079 # DEPENDENCYPART_ARC
(4,16),-2.2714 # DEPENDENCYPART_ARC
(4,18),-2.72502 # DEPENDENCYPART_ARC
(4,19),-0.483252 # DEPENDENCYPART_ARC
(4,20),-1.00237 # DEPENDENCYPART_ARC
(5,1),-0.265858 # DEPENDENCYPART_ARC
(5,2),0.615445 # DEPENDENCYPART_ARC
(5,3),0.683616 # DEPENDENCYPART_ARC
(5,4),-0.187863 # DEPENDENCYPART_ARC
(5,6),2.2668 # DEPENDENCYPART_ARC
(5,7),-0.0857788 # DEPENDENCYPART_ARC
(5,8),-0.550064 # DEPENDENCYPART_ARC
(5,9),-0.874587 # DEPENDENCYPART_ARC
(5,10),-0.718772 # DEPENDENCYPART_ARC
(5,11),-1.17984 # DEPENDENCYPART_ARC
(5,12),-2.09455 # DEPENDENCYPART_ARC
(5,14),-2.91103 # DEPENDENCYPART_ARC
(5,15),-1.89756 # DEPENDENCYPART_ARC
(5,16),-1.93084 # DEPENDENCYPART_ARC
(5,19),-1.42659 # DEPENDENCYPART_ARC
(5,20),-1.31668 # DEPENDENCYPART_ARC
(6,1),-2.38157 # DEPENDENCYPART_ARC
(6,2),-1.59077 # DEPENDENCYPART_ARC
(6,3),-1.31597 # DEPENDENCYPART_ARC
(6,4),-2.03944 # DEPENDENCYPART_ARC
(6,5),1.29787 # DEPENDENCYPART_ARC
(6,7),-0.736629 # DEPENDENCYPART_ARC
(6,10),-1.56226 # DEPENDENCYPART_ARC
(8,1),-1.91123 # DEPENDENCYPART_ARC
(8,2),-1.45079 # DEPENDENCYPART_ARC
(8,3),-1.34056 # DEPENDENCYPART_ARC
(8,4),0.135471 # DEPENDENCYPART_ARC
(8,5),-0.773605 # DEPENDENCYPART_ARC
(8,6),-1.4405 # DEPENDENCYPART_ARC
(8,7),0.507415 # DEPENDENCYPART_ARC
(8,9),-1.59276 # DEPENDENCYPART_ARC
(8,10),0.373874 # DEPENDENCYPART_ARC
(8,11),-0.779792 # DEPENDENCYPART_ARC
(8,12),-0.884183 # DEPENDENCYPART_ARC
(8,14),-1.7012 # DEPENDENCYPART_ARC
(8,15),-1.67874 # DEPENDENCYPART_ARC
(8,16),-1.86353 # DEPENDENCYPART_ARC
(8,18),-1.95352 # DEPENDENCYPART_ARC
(8,19),-0.615224 # DEPENDENCYPART_ARC
(8,20),-0.00259099 # DEPENDENCYPART_ARC
(9,2),-1.31175 # DEPENDENCYPART_ARC
(9,4),-0.385908 # DEPENDENCYPART_ARC
(9,5),-0.944069 # DEPENDENCYPART_ARC
(9,6),-1.52351 # DEPENDENCYPART_ARC
(9,7),-1.11492 # DEPENDENCYPART_ARC
(9,8),-0.330559 # DEPENDENCYPART_ARC
(9,10),0.765329 # DEPENDENCYPART_ARC
(9,11),-0.406324 # DEPENDENCYPART_ARC
(9,12),-0.222606 # DEPENDENCYPART_ARC
(9,14),-0.450249 # DEPENDENCYPART_ARC
(9,15),-0.635661 # DEPENDENCYPART_ARC
(9,16),-0.880751 # DEPENDENCYPART_ARC
(9,18),-0.562543 # DEPENDENCYPART_ARC
(9,19),0.95594 # DEPENDENCYPART_ARC
(9,20),-1.25915 # DEPENDENCYPART_ARC
(10,1),-0.10997 # DEPENDENCYPART_ARC
(10,2),-0.493101 # DEPENDENCYPART_ARC
(10,3),-0.681831 # DEPENDENCYPART_ARC
(10,4),-0.573568 # DEPENDENCYPART_ARC
(10,5),0.534971 # DEPENDENCYPART_ARC
