# _root_ Mint mondja , ősszel ők ketten lőtték a csapat góljainak felét , és ők vittek látványosságot a játékba .
#goldHeads=2,0,2,7,7,7,2,9,10,7,7,2,2,15,2,15,18,15,2,
#predictedHeads=2,13,2,7,7,7,13,9,10,7,7,13,0,15,13,15,18,15,13,
(0,1),-2.92703 # DEPENDENCYPART_ARC
(0,2),-1.35956 # DEPENDENCYPART_ARC
(0,4),-3.68523 # DEPENDENCYPART_ARC
(0,5),-3.81519 # DEPENDENCYPART_ARC
(0,6),-3.72708 # DEPENDENCYPART_ARC
(0,7),-2.4467 # DEPENDENCYPART_ARC
(0,13),-2.34008 # DEPENDENCYPART_ARC
(0,14),-4.29422 # DEPENDENCYPART_ARC
(0,15),-3.01601 # DEPENDENCYPART_ARC
(1,3),-0.689883 # DEPENDENCYPART_ARC
(1,7),-1.12511 # DEPENDENCYPART_ARC
(1,10),-1.77244 # DEPENDENCYPART_ARC
(1,11),-1.70076 # DEPENDENCYPART_ARC
(1,12),-1.04583 # DEPENDENCYPART_ARC
(1,15),-1.10074 # DEPENDENCYPART_ARC
(1,19),-2.26876 # DEPENDENCYPART_ARC
(2,1),1.96127 # DEPENDENCYPART_ARC
(2,3),0.722387 # DEPENDENCYPART_ARC
(2,4),-0.246203 # DEPENDENCYPART_ARC
(2,5),-1.33878 # DEPENDENCYPART_ARC
(2,6),-0.65447 # DEPENDENCYPART_ARC
(2,7),0.182144 # DEPENDENCYPART_ARC
(2,9),-2.22109 # DEPENDENCYPART_ARC
(2,10),-1.81135 # DEPENDENCYPART_ARC
(2,11),-0.998365 # DEPENDENCYPART_ARC
(2,12),-0.660144 # DEPENDENCYPART_ARC
(2,13),-0.817878 # DEPENDENCYPART_ARC
(2,15),-0.717044 # DEPENDENCYPART_ARC
(2,16),-2.41531 # DEPENDENCYPART_ARC
(2,18),-2.7786 # DEPENDENCYPART_ARC
(2,19),-0.231936 # DEPENDENCYPART_ARC
(4,1),-1.25693 # DEPENDENCYPART_ARC
(4,2),-1.31254 # DEPENDENCYPART_ARC
(4,3),-0.963508 # DEPENDENCYPART_ARC
(4,6),-0.999183 # DEPENDENCYPART_ARC
(4,7),-0.911808 # DEPENDENCYPART_ARC
(4,9),-1.40427 # DEPENDENCYPART_ARC
(4,10),-1.61994 # DEPENDENCYPART_ARC
(4,11),-1.55609 # DEPENDENCYPART_ARC
(4,12),-0.996675 # DEPENDENCYPART_ARC
(4,13),-0.933496 # DEPENDENCYPART_ARC
(4,15),-1.34184 # DEPENDENCYPART_ARC
(4,16),-2.07573 # DEPENDENCYPART_ARC
(4,18),-2.05945 # DEPENDENCYPART_ARC
(4,19),-1.45364 # DEPENDENCYPART_ARC
(5,2),-0.211371 # DEPENDENCYPART_ARC
(5,3),-0.886437 # DEPENDENCYPART_ARC
(5,7),-0.120875 # DEPENDENCYPART_ARC
(5,9),-0.692733 # DEPENDENCYPART_ARC
(5,10),-0.801799 # DEPENDENCYPART_ARC
(5,11),-0.91145 # DEPENDENCYPART_ARC
(5,15),0.516573 # DEPENDENCYPART_ARC
