# _root_ A képmutató terminus technicus jelentése , hogy az egyik etnikum fegyveres alakulatai tömegesen elüldözik a másik népcsoport civil lakosságát , hogy egy adott területet a sajátjai számára " megtisztítson " .
#goldHeads=4,4,4,5,7,7,0,10,10,12,12,14,14,7,17,17,19,19,14,14,14,24,24,29,26,27,29,29,14,29,7,
#predictedHeads=3,3,5,5,7,7,0,10,10,12,12,14,14,7,17,17,19,19,14,14,14,24,24,29,26,27,29,29,14,29,7,
(0,4),-3.21675 # DEPENDENCYPART_ARC
(0,7),-3.1748 # DEPENDENCYPART_ARC
(0,9),-4.1803 # DEPENDENCYPART_ARC
(0,11),-3.97735 # DEPENDENCYPART_ARC
(0,13),-3.97002 # DEPENDENCYPART_ARC
(0,14),-2.4216 # DEPENDENCYPART_ARC
(0,21),-5.2002 # DEPENDENCYPART_ARC
(0,29),-3.89324 # DEPENDENCYPART_ARC
(1,2),-0.571087 # DEPENDENCYPART_ARC
(2,1),-0.489248 # DEPENDENCYPART_ARC
(3,1),1.22734 # DEPENDENCYPART_ARC
(3,2),2.2973 # DEPENDENCYPART_ARC
(3,4),-1.11057 # DEPENDENCYPART_ARC
(3,5),-1.23123 # DEPENDENCYPART_ARC
(3,14),-1.63816 # DEPENDENCYPART_ARC
(3,27),-1.74954 # DEPENDENCYPART_ARC
(3,31),-1.46658 # DEPENDENCYPART_ARC
(4,1),0.0866397 # DEPENDENCYPART_ARC
(4,2),0.0432978 # DEPENDENCYPART_ARC
(4,3),1.04155 # DEPENDENCYPART_ARC
(4,5),-0.632933 # DEPENDENCYPART_ARC
(4,6),-0.614502 # DEPENDENCYPART_ARC
(4,7),-0.829554 # DEPENDENCYPART_ARC
(4,10),-1.37159 # DEPENDENCYPART_ARC
(4,12),-1.45845 # DEPENDENCYPART_ARC
(4,17),-1.71038 # DEPENDENCYPART_ARC
(5,1),-0.642631 # DEPENDENCYPART_ARC
(5,2),-0.108383 # DEPENDENCYPART_ARC
(5,3),1.78075 # DEPENDENCYPART_ARC
(5,4),1.14053 # DEPENDENCYPART_ARC
(5,6),-0.631189 # DEPENDENCYPART_ARC
(5,14),-1.67711 # DEPENDENCYPART_ARC
(5,24),-2.48675 # DEPENDENCYPART_ARC
(5,27),-1.77133 # DEPENDENCYPART_ARC
(5,29),-2.71025 # DEPENDENCYPART_ARC
(5,30),-1.90482 # DEPENDENCYPART_ARC
(5,31),-1.49025 # DEPENDENCYPART_ARC
(7,2),-0.637515 # DEPENDENCYPART_ARC
(7,3),-0.477509 # DEPENDENCYPART_ARC
(7,4),-0.568134 # DEPENDENCYPART_ARC
(7,5),0.0281534 # DEPENDENCYPART_ARC
(7,6),0.0858886 # DEPENDENCYPART_ARC
(7,10),-1.39647 # DEPENDENCYPART_ARC
(7,11),-1.50625 # DEPENDENCYPART_ARC
(7,12),-1.52003 # DEPENDENCYPART_ARC
(7,13),-1.71139 # DEPENDENCYPART_ARC
(7,14),-0.697278 # DEPENDENCYPART_ARC
(7,20),-1.21821 # DEPENDENCYPART_ARC
(7,21),-1.49596 # DEPENDENCYPART_ARC
(7,28),-1.07776 # DEPENDENCYPART_ARC
(7,29),-2.00997 # DEPENDENCYPART_ARC
(7,30),-1.19605 # DEPENDENCYPART_ARC
(7,31),-0.803186 # DEPENDENCYPART_ARC
(8,11),-0.77778 # DEPENDENCYPART_ARC
(8,13),-1.05616 # DEPENDENCYPART_ARC
(9,8),-0.208178 # DEPENDENCYPART_ARC
(9,14),-0.765326 # DEPENDENCYPART_ARC
(9,16),-1.47098 # DEPENDENCYPART_ARC
(9,19),-1.77323 # DEPENDENCYPART_ARC
(9,20),-0.847461 # DEPENDENCYPART_ARC
(9,29),-0.0541493 # DEPENDENCYPART_ARC
(10,1),-1.52965 # DEPENDENCYPART_ARC
(10,2),-1.66293 # DEPENDENCYPART_ARC
(10,3),-2.21235 # DEPENDENCYPART_ARC
(10,4),-0.95641 # DEPENDENCYPART_ARC
(10,5),-2.38213 # DEPENDENCYPART_ARC
(10,6),-1.28925 # DEPENDENCYPART_ARC
(10,7),-1.01156 # DEPENDENCYPART_ARC
(10,8),1.01183 # DEPENDENCYPART_ARC
(10,9),1.78378 # DEPENDENCYPART_ARC
(10,11),-1.30736 # DEPENDENCYPART_ARC
(10,12),-1.13354 # DEPENDENCYPART_ARC
(10,27),-1.53913 # DEPENDENCYPART_ARC
(10,31),-1.16633 # DEPENDENCYPART_ARC
(11,3),-2.0193 # DEPENDENCYPART_ARC
(11,4),-1.03209 # DEPENDENCYPART_ARC
(11,5),-1.99731 # DEPENDENCYPART_ARC
(11,6),-1.00195 # DEPENDENCYPART_ARC
(11,7),-0.758103 # DEPENDENCYPART_ARC
(11,8),-1.1341 # DEPENDENCYPART_ARC
(11,9),-0.526155 # DEPENDENCYPART_ARC
(11,10),0.456718 # DEPENDENCYPART_ARC
(12,1),-1.90318 # DEPENDENCYPART_ARC
(12,2),-1.39077 # DEPENDENCYPART_ARC
(12,3),-0.986968 # DEPENDENCYPART_ARC
(12,4),-0.808301 # DEPENDENCYPART_ARC
(12,5),-1.9627 # DEPENDENCYPART_ARC
(12,6),-1.18468 # DEPENDENCYPART_ARC
(12,7),-1.05329 # DEPENDENCYPART_ARC
(12,8),-0.172906 # DEPENDENCYPART_ARC
(12,9),-0.277065 # DEPENDENCYPART_ARC
(12,10),1.72442 # DEPENDENCYPART_ARC
(12,11),2.34068 # DEPENDENCYPART_ARC
(12,13),-1.4822 # DEPENDENCYPART_ARC
(12,27),-1.70195 # DEPENDENCYPART_ARC
(13,3),-2.62435 # DEPENDENCYPART_ARC
(13,4),-1.0822 # DEPENDENCYPART_ARC
(13,5),-2.60288 # DEPENDENCYPART_ARC
(13,6),-0.998372 # DEPENDENCYPART_ARC
(13,7),-0.749709 # DEPENDENCYPART_ARC
(13,8),-1.20099 # DEPENDENCYPART_ARC
(13,10),-1.50136 # DEPENDENCYPART_ARC
(13,11),-0.384329 # DEPENDENCYPART_ARC
(13,12),-0.500452 # DEPENDENCYPART_ARC
(13,17),-1.50051 # DEPENDENCYPART_ARC
(13,19),-2.02358 # DEPENDENCYPART_ARC
(13,21),-1.34369 # DEPENDENCYPART_ARC
(13,29),-2.21642 # DEPENDENCYPART_ARC
(13,31),-1.21974 # DEPENDENCYPART_ARC
(14,1),-1.66385 # DEPENDENCYPART_ARC
(14,2),-2.08916 # DEPENDENCYPART_ARC
(14,3),-1.14408 # DEPENDENCYPART_ARC
(14,4),-0.661116 # DEPENDENCYPART_ARC
(14,5),-1.21184 # DEPENDENCYPART_ARC
(14,6),-0.513107 # DEPENDENCYPART_ARC
(14,7),-0.294704 # DEPENDENCYPART_ARC
(14,8),-1.3803 # DEPENDENCYPART_ARC
(14,9),-0.183517 # DEPENDENCYPART_ARC
(14,10),0.0578031 # DEPENDENCYPART_ARC
(14,11),-0.71601 # DEPENDENCYPART_ARC
(14,12),1.5349 # DEPENDENCYPART_ARC
(14,13),2.14493 # DEPENDENCYPART_ARC
(14,15),-1.11151 # DEPENDENCYPART_ARC
(14,16),-0.535405 # DEPENDENCYPART_ARC
(14,17),-0.564234 # DEPENDENCYPART_ARC
(14,18),-0.902768 # DEPENDENCYPART_ARC
(14,19),1.59938 # DEPENDENCYPART_ARC
(14,20),-0.0768271 # DEPENDENCYPART_ARC
(14,21),0.702494 # DEPENDENCYPART_ARC
(14,23),-1.64204 # DEPENDENCYPART_ARC
(14,24),-0.04326 # DEPENDENCYPART_ARC
(14,26),-1.12796 # DEPENDENCYPART_ARC
(14,27),-0.60479 # DEPENDENCYPART_ARC
(14,28),-1.07688 # DEPENDENCYPART_ARC
(14,29),0.268436 # DEPENDENCYPART_ARC
