# _root_ Az egynapos betétekre a múlt hét elején az üzletek zömét 13 7/8 százalékon kötötték , a hét vége felé viszont már a jegybank egynapos betéti kamatának szintjén , 12 3/4 százalékon .
#goldHeads=3,3,14,6,6,7,14,9,10,14,13,13,14,0,14,17,18,19,21,21,14,23,26,26,26,27,21,27,31,31,27,14,
#predictedHeads=3,3,14,6,6,7,14,9,10,14,13,13,14,0,14,17,18,19,14,26,24,23,26,26,26,27,14,14,31,31,14,14,
(0,3),-3.79638 # DEPENDENCYPART_ARC
(0,7),-4.82553 # DEPENDENCYPART_ARC
(0,11),-4.14648 # DEPENDENCYPART_ARC
(0,12),-4.34155 # DEPENDENCYPART_ARC
(0,14),-1.97591 # DEPENDENCYPART_ARC
(0,20),-3.30249 # DEPENDENCYPART_ARC
(0,21),-4.05852 # DEPENDENCYPART_ARC
(0,24),-4.22921 # DEPENDENCYPART_ARC
(1,2),-0.552774 # DEPENDENCYPART_ARC
(1,5),-1.07319 # DEPENDENCYPART_ARC
(1,6),-1.51286 # DEPENDENCYPART_ARC
(2,1),-0.310164 # DEPENDENCYPART_ARC
(3,1),1.17587 # DEPENDENCYPART_ARC
(3,2),2.30014 # DEPENDENCYPART_ARC
(3,4),-1.34303 # DEPENDENCYPART_ARC
(3,5),-1.35277 # DEPENDENCYPART_ARC
(3,6),-1.64827 # DEPENDENCYPART_ARC
(3,7),-2.46786 # DEPENDENCYPART_ARC
(3,9),-1.73014 # DEPENDENCYPART_ARC
(3,10),-2.58085 # DEPENDENCYPART_ARC
(3,13),-2.5104 # DEPENDENCYPART_ARC
(3,14),-2.14422 # DEPENDENCYPART_ARC
(3,19),-1.67005 # DEPENDENCYPART_ARC
(3,28),-0.852518 # DEPENDENCYPART_ARC
(3,32),-1.42132 # DEPENDENCYPART_ARC
(4,5),-0.510663 # DEPENDENCYPART_ARC
(5,1),-1.97795 # DEPENDENCYPART_ARC
(5,3),-1.14274 # DEPENDENCYPART_ARC
(5,4),-0.742371 # DEPENDENCYPART_ARC
(6,1),-0.612692 # DEPENDENCYPART_ARC
(6,2),-0.317861 # DEPENDENCYPART_ARC
(6,3),-2.28596 # DEPENDENCYPART_ARC
(6,4),1.16933 # DEPENDENCYPART_ARC
(6,5),2.18656 # DEPENDENCYPART_ARC
(7,1),-1.74618 # DEPENDENCYPART_ARC
(7,2),-1.46364 # DEPENDENCYPART_ARC
(7,3),-1.97312 # DEPENDENCYPART_ARC
(7,4),-0.530483 # DEPENDENCYPART_ARC
(7,5),0.318508 # DEPENDENCYPART_ARC
(7,6),2.53715 # DEPENDENCYPART_ARC
(7,8),-1.55093 # DEPENDENCYPART_ARC
(7,9),-0.769209 # DEPENDENCYPART_ARC
(7,10),-1.51157 # DEPENDENCYPART_ARC
(7,11),-1.46387 # DEPENDENCYPART_ARC
(7,12),-1.55115 # DEPENDENCYPART_ARC
(7,13),-2.10702 # DEPENDENCYPART_ARC
(7,15),-0.88533 # DEPENDENCYPART_ARC
(7,19),-1.69356 # DEPENDENCYPART_ARC
(7,26),-2.29616 # DEPENDENCYPART_ARC
(7,28),-0.936149 # DEPENDENCYPART_ARC
(7,32),-1.40804 # DEPENDENCYPART_ARC
(9,1),-1.81679 # DEPENDENCYPART_ARC
(9,4),-1.10731 # DEPENDENCYPART_ARC
(9,5),-1.31575 # DEPENDENCYPART_ARC
(9,6),-1.34455 # DEPENDENCYPART_ARC
(9,7),-2.26473 # DEPENDENCYPART_ARC
(9,8),1.64895 # DEPENDENCYPART_ARC
(10,1),-2.55797 # DEPENDENCYPART_ARC
(10,3),-2.6838 # DEPENDENCYPART_ARC
(10,4),-1.67909 # DEPENDENCYPART_ARC
(10,5),-1.50319 # DEPENDENCYPART_ARC
(10,6),0.256282 # DEPENDENCYPART_ARC
(10,7),-2.88359 # DEPENDENCYPART_ARC
(10,8),0.0703435 # DEPENDENCYPART_ARC
(10,9),3.15824 # DEPENDENCYPART_ARC
(10,11),-1.28606 # DEPENDENCYPART_ARC
(10,12),-1.54934 # DEPENDENCYPART_ARC
(10,13),-2.04058 # DEPENDENCYPART_ARC
(10,19),-1.61879 # DEPENDENCYPART_ARC
(10,27),-3.15158 # DEPENDENCYPART_ARC
(10,32),-1.44775 # DEPENDENCYPART_ARC
(11,6),-1.22392 # DEPENDENCYPART_ARC
(11,7),-1.74103 # DEPENDENCYPART_ARC
(11,8),-0.966518 # DEPENDENCYPART_ARC
(11,9),-0.438242 # DEPENDENCYPART_ARC
(11,10),-0.552516 # DEPENDENCYPART_ARC
(11,13),-1.23378 # DEPENDENCYPART_ARC
(11,14),-0.673932 # DEPENDENCYPART_ARC
(11,15),-0.749718 # DEPENDENCYPART_ARC
(11,18),-1.51683 # DEPENDENCYPART_ARC
(11,24),-1.70445 # DEPENDENCYPART_ARC
(11,29),-1.56866 # DEPENDENCYPART_ARC
(11,32),-0.663269 # DEPENDENCYPART_ARC
(12,3),-1.73595 # DEPENDENCYPART_ARC
(12,6),-1.4583 # DEPENDENCYPART_ARC
(12,7),-2.04371 # DEPENDENCYPART_ARC
(12,9),-0.866085 # DEPENDENCYPART_ARC
(12,10),-1.49273 # DEPENDENCYPART_ARC
(12,11),0.10636 # DEPENDENCYPART_ARC
(13,1),-2.36912 # DEPENDENCYPART_ARC
(13,3),-4.38086 # DEPENDENCYPART_ARC
