# _root_ Ugyanaz év júniusában a felügyelet felszólította a Bank_Austria_Creditanstalt_Hungary_Rt.-t , hogy tudatosítsa hirdetményeiben : a Nonstopbank nem különálló vállalkozása , hanem csak egy szolgáltatása .
#goldHeads=2,3,6,5,6,0,8,6,6,6,6,11,11,15,11,18,18,15,11,11,11,23,21,6,
#predictedHeads=2,3,6,5,6,0,8,6,6,6,6,11,6,15,18,17,18,11,20,6,20,23,21,6,
(0,1),-3.22925 # DEPENDENCYPART_ARC
(0,2),-3.06763 # DEPENDENCYPART_ARC
(0,3),-3.78984 # DEPENDENCYPART_ARC
(0,6),-1.57332 # DEPENDENCYPART_ARC
(0,10),-4.1281 # DEPENDENCYPART_ARC
(0,11),-3.0179 # DEPENDENCYPART_ARC
(0,16),-4.07241 # DEPENDENCYPART_ARC
(0,20),-3.138 # DEPENDENCYPART_ARC
(0,21),-4.40023 # DEPENDENCYPART_ARC
(1,2),-0.636883 # DEPENDENCYPART_ARC
(1,3),-0.778864 # DEPENDENCYPART_ARC
(1,5),-1.01911 # DEPENDENCYPART_ARC
(1,6),-0.169502 # DEPENDENCYPART_ARC
(1,8),-1.76034 # DEPENDENCYPART_ARC
(1,9),-0.550189 # DEPENDENCYPART_ARC
(1,10),-0.765335 # DEPENDENCYPART_ARC
(1,11),0.62213 # DEPENDENCYPART_ARC
(1,12),-1.18362 # DEPENDENCYPART_ARC
(1,13),-0.649203 # DEPENDENCYPART_ARC
(1,15),-1.56512 # DEPENDENCYPART_ARC
(1,16),-0.973538 # DEPENDENCYPART_ARC
(1,17),-1.31396 # DEPENDENCYPART_ARC
(1,18),-1.2616 # DEPENDENCYPART_ARC
(1,19),-0.602433 # DEPENDENCYPART_ARC
(1,20),-0.111154 # DEPENDENCYPART_ARC
(1,21),-1.07893 # DEPENDENCYPART_ARC
(1,23),-1.39672 # DEPENDENCYPART_ARC
(1,24),-2.32561 # DEPENDENCYPART_ARC
(2,1),1.61418 # DEPENDENCYPART_ARC
(2,3),-1.5062 # DEPENDENCYPART_ARC
(2,5),-1.26702 # DEPENDENCYPART_ARC
(3,1),-0.157477 # DEPENDENCYPART_ARC
(3,2),2.14817 # DEPENDENCYPART_ARC
(3,4),-1.59977 # DEPENDENCYPART_ARC
(3,5),-1.18948 # DEPENDENCYPART_ARC
(3,6),-1.71896 # DEPENDENCYPART_ARC
(3,8),-1.38293 # DEPENDENCYPART_ARC
(3,9),-1.04254 # DEPENDENCYPART_ARC
(3,11),-2.86577 # DEPENDENCYPART_ARC
(3,18),-2.22866 # DEPENDENCYPART_ARC
(3,21),-1.84534 # DEPENDENCYPART_ARC
(3,24),-1.53379 # DEPENDENCYPART_ARC
(5,1),-1.0486 # DEPENDENCYPART_ARC
(5,2),-1.36191 # DEPENDENCYPART_ARC
(5,3),-2.52351 # DEPENDENCYPART_ARC
(5,4),1.52029 # DEPENDENCYPART_ARC
(5,8),-1.76061 # DEPENDENCYPART_ARC
(6,1),0.367785 # DEPENDENCYPART_ARC
(6,2),0.568292 # DEPENDENCYPART_ARC
(6,3),1.52496 # DEPENDENCYPART_ARC
(6,4),-0.837203 # DEPENDENCYPART_ARC
(6,5),2.30803 # DEPENDENCYPART_ARC
(6,7),-0.899285 # DEPENDENCYPART_ARC
(6,8),2.03625 # DEPENDENCYPART_ARC
(6,9),0.343547 # DEPENDENCYPART_ARC
(6,10),1.46543 # DEPENDENCYPART_ARC
(6,11),1.11418 # DEPENDENCYPART_ARC
(6,12),-0.299238 # DEPENDENCYPART_ARC
(6,13),-0.25202 # DEPENDENCYPART_ARC
(6,14),-1.98221 # DEPENDENCYPART_ARC
(6,15),-2.37343 # DEPENDENCYPART_ARC
(6,16),-0.920382 # DEPENDENCYPART_ARC
(6,17),-1.7699 # DEPENDENCYPART_ARC
(6,18),-1.20212 # DEPENDENCYPART_ARC
(6,19),-0.614053 # DEPENDENCYPART_ARC
(6,20),-0.886767 # DEPENDENCYPART_ARC
(6,21),-1.63311 # DEPENDENCYPART_ARC
(6,23),-2.42023 # DEPENDENCYPART_ARC
(6,24),-0.753499 # DEPENDENCYPART_ARC
(8,4),-1.57038 # DEPENDENCYPART_ARC
(8,7),1.20988 # DEPENDENCYPART_ARC
(8,9),-0.802448 # DEPENDENCYPART_ARC
(8,11),-2.04143 # DEPENDENCYPART_ARC
(8,12),-2.3356 # DEPENDENCYPART_ARC
(10,1),-1.40176 # DEPENDENCYPART_ARC
(10,2),-1.59706 # DEPENDENCYPART_ARC
(10,3),-1.23628 # DEPENDENCYPART_ARC
(10,5),-1.04856 # DEPENDENCYPART_ARC
(10,6),-2.22024 # DEPENDENCYPART_ARC
(10,7),-1.08874 # DEPENDENCYPART_ARC
(10,8),-0.775087 # DEPENDENCYPART_ARC
(10,9),0.158977 # DEPENDENCYPART_ARC
(10,11),-0.0869953 # DEPENDENCYPART_ARC
(10,12),-1.21687 # DEPENDENCYPART_ARC
(10,13),-0.731212 # DEPENDENCYPART_ARC
(10,17),-1.78643 # DEPENDENCYPART_ARC
(10,19),-1.0913 # DEPENDENCYPART_ARC
(10,20),-1.2479 # DEPENDENCYPART_ARC
(10,21),-1.37603 # DEPENDENCYPART_ARC
(10,24),-0.622271 # DEPENDENCYPART_ARC
(11,1),-2.27423 # DEPENDENCYPART_ARC
(11,2),-1.99863 # DEPENDENCYPART_ARC
(11,3),-1.17552 # DEPENDENCYPART_ARC
(11,5),-1.53304 # DEPENDENCYPART_ARC
(11,6),-1.66893 # DEPENDENCYPART_ARC
(11,7),-2.33154 # DEPENDENCYPART_ARC
(11,8),-0.565076 # DEPENDENCYPART_ARC
(11,9),-0.884244 # DEPENDENCYPART_ARC
(11,10),-0.865126 # DEPENDENCYPART_ARC
(11,12),2.07379 # DEPENDENCYPART_ARC
(11,13),0.424823 # DEPENDENCYPART_ARC
(11,14),-1.64408 # DEPENDENCYPART_ARC
(11,15),-0.745426 # DEPENDENCYPART_ARC
(11,16),-0.391263 # DEPENDENCYPART_ARC
(11,17),-1.12969 # DEPENDENCYPART_ARC
(11,18),-0.0990602 # DEPENDENCYPART_ARC
(11,19),-0.256008 # DEPENDENCYPART_ARC
(11,20),-0.419259 # DEPENDENCYPART_ARC
(11,21),-1.15738 # DEPENDENCYPART_ARC
(11,23),-1.54143 # DEPENDENCYPART_ARC
(11,24),-0.730466 # DEPENDENCYPART_ARC
(12,1),-2.64398 # DEPENDENCYPART_ARC
(12,4),-2.3181 # DEPENDENCYPART_ARC
(12,5),-1.70298 # DEPENDENCYPART_ARC
(12,6),-3.01101 # DEPENDENCYPART_ARC
(12,7),-1.50172 # DEPENDENCYPART_ARC
(12,8),-2.93827 # DEPENDENCYPART_ARC
(12,9),-1.06012 # DEPENDENCYPART_ARC
(12,10),-0.959675 # DEPENDENCYPART_ARC
(12,11),-1.28508 # DEPENDENCYPART_ARC
(12,13),-0.477449 # DEPENDENCYPART_ARC
(12,15),-1.3951 # DEPENDENCYPART_ARC
(12,17),-1.51629 # DEPENDENCYPART_ARC
(12,18),-2.19889 # DEPENDENCYPART_ARC
(12,19),-0.949975 # DEPENDENCYPART_ARC
(12,20),-1.39055 # DEPENDENCYPART_ARC
(12,21),-1.7087 # DEPENDENCYPART_ARC
(12,23),-2.9823 # DEPENDENCYPART_ARC
(12,24),-1.71078 # DEPENDENCYPART_ARC
(15,14),1.25816 # DEPENDENCYPART_ARC
(15,18),-0.887788 # DEPENDENCYPART_ARC
(15,23),-1.82333 # DEPENDENCYPART_ARC
(16,2),-1.86963 # DEPENDENCYPART_ARC
(16,3),-1.85511 # DEPENDENCYPART_ARC
(16,10),-0.927232 # DEPENDENCYPART_ARC
(16,11),-1.13745 # DEPENDENCYPART_ARC
(16,12),-1.26246 # DEPENDENCYPART_ARC
(16,13),-0.853157 # DEPENDENCYPART_ARC
(16,15),-0.236134 # DEPENDENCYPART_ARC
(16,17),-0.756655 # DEPENDENCYPART_ARC
(16,18),-0.80571 # DEPENDENCYPART_ARC
(16,19),-0.701933 # DEPENDENCYPART_ARC
(16,20),-0.972602 # DEPENDENCYPART_ARC
(16,23),-1.65814 # DEPENDENCYPART_ARC
(16,24),-1.18424 # DEPENDENCYPART_ARC
(17,2),-2.85357 # DEPENDENCYPART_ARC
(17,3),-2.19969 # DEPENDENCYPART_ARC
(17,5),-2.72347 # DEPENDENCYPART_ARC
(17,6),-1.83464 # DEPENDENCYPART_ARC
(17,8),-1.42679 # DEPENDENCYPART_ARC
(17,9),-1.14997 # DEPENDENCYPART_ARC
