# _root_ Egy hétre 14 1/4 százalékon hangzottak el ajánlatok , hosszabb távra viszont drágábban , 14 1/2-3/8 százalékon lehetett pénzhez jutni .
#goldHeads=2,6,5,5,6,0,6,6,6,11,20,18,20,18,17,17,20,6,20,18,6,
#predictedHeads=2,6,5,5,6,0,6,6,6,11,20,18,20,6,17,17,20,6,20,18,6,
(0,1),-2.4425 # DEPENDENCYPART_ARC
(0,2),-3.16879 # DEPENDENCYPART_ARC
(0,3),-2.98968 # DEPENDENCYPART_ARC
(0,4),-3.17049 # DEPENDENCYPART_ARC
(0,5),-3.98544 # DEPENDENCYPART_ARC
(0,6),-1.97152 # DEPENDENCYPART_ARC
(0,7),-3.88666 # DEPENDENCYPART_ARC
(0,12),-2.83675 # DEPENDENCYPART_ARC
(0,18),-3.1195 # DEPENDENCYPART_ARC
(0,20),-4.96415 # DEPENDENCYPART_ARC
(1,3),-1.38964 # DEPENDENCYPART_ARC
(1,5),-1.88776 # DEPENDENCYPART_ARC
(1,6),-1.13265 # DEPENDENCYPART_ARC
(1,18),-1.44556 # DEPENDENCYPART_ARC
(1,20),-1.69408 # DEPENDENCYPART_ARC
(1,21),-1.18006 # DEPENDENCYPART_ARC
(2,1),1.88196 # DEPENDENCYPART_ARC
(2,3),-1.24424 # DEPENDENCYPART_ARC
(2,4),-1.51306 # DEPENDENCYPART_ARC
(2,5),-1.83576 # DEPENDENCYPART_ARC
(2,6),-1.48212 # DEPENDENCYPART_ARC
(2,20),-1.80907 # DEPENDENCYPART_ARC
(2,21),-1.53045 # DEPENDENCYPART_ARC
(3,1),-0.568894 # DEPENDENCYPART_ARC
(3,2),-0.0971623 # DEPENDENCYPART_ARC
(3,6),-0.667026 # DEPENDENCYPART_ARC
(3,8),-1.58606 # DEPENDENCYPART_ARC
(3,10),-1.52366 # DEPENDENCYPART_ARC
(3,13),-1.58344 # DEPENDENCYPART_ARC
(3,15),-1.59111 # DEPENDENCYPART_ARC
(3,18),-1.18373 # DEPENDENCYPART_ARC
(3,20),-1.43007 # DEPENDENCYPART_ARC
(3,21),-0.986283 # DEPENDENCYPART_ARC
(4,2),-0.923807 # DEPENDENCYPART_ARC
(4,3),0.121142 # DEPENDENCYPART_ARC
(5,1),0.342261 # DEPENDENCYPART_ARC
(5,2),-1.33243 # DEPENDENCYPART_ARC
(5,3),1.32456 # DEPENDENCYPART_ARC
(5,4),2.32554 # DEPENDENCYPART_ARC
(6,1),-1.21295 # DEPENDENCYPART_ARC
(6,2),0.679661 # DEPENDENCYPART_ARC
(6,3),-0.725247 # DEPENDENCYPART_ARC
(6,4),-0.373386 # DEPENDENCYPART_ARC
(6,5),2.76914 # DEPENDENCYPART_ARC
(6,7),1.73434 # DEPENDENCYPART_ARC
(6,8),1.6669 # DEPENDENCYPART_ARC
(6,9),0.286136 # DEPENDENCYPART_ARC
(6,10),-0.975512 # DEPENDENCYPART_ARC
(6,11),0.108915 # DEPENDENCYPART_ARC
(6,12),-0.349528 # DEPENDENCYPART_ARC
(6,13),-0.547227 # DEPENDENCYPART_ARC
(6,14),-0.496151 # DEPENDENCYPART_ARC
(6,15),-1.36956 # DEPENDENCYPART_ARC
(6,17),-1.16269 # DEPENDENCYPART_ARC
(6,18),-0.281193 # DEPENDENCYPART_ARC
(6,19),-1.52828 # DEPENDENCYPART_ARC
(6,20),0.363916 # DEPENDENCYPART_ARC
(6,21),-0.952156 # DEPENDENCYPART_ARC
(7,2),-1.38907 # DEPENDENCYPART_ARC
(7,5),-0.88567 # DEPENDENCYPART_ARC
(7,8),-1.1091 # DEPENDENCYPART_ARC
(7,11),-1.69813 # DEPENDENCYPART_ARC
(8,1),-2.01417 # DEPENDENCYPART_ARC
(8,3),-1.63989 # DEPENDENCYPART_ARC
(8,5),-2.04097 # DEPENDENCYPART_ARC
(8,7),-0.0437758 # DEPENDENCYPART_ARC
(8,9),-0.316615 # DEPENDENCYPART_ARC
(8,10),-1.4012 # DEPENDENCYPART_ARC
(8,11),-1.69933 # DEPENDENCYPART_ARC
(8,12),-1.31478 # DEPENDENCYPART_ARC
(8,13),-1.69513 # DEPENDENCYPART_ARC
(8,14),-0.872832 # DEPENDENCYPART_ARC
(8,15),-1.57108 # DEPENDENCYPART_ARC
(8,16),-1.61014 # DEPENDENCYPART_ARC
(8,17),-2.52983 # DEPENDENCYPART_ARC
(8,18),-1.50177 # DEPENDENCYPART_ARC
(8,20),-1.70038 # DEPENDENCYPART_ARC
(8,21),-1.43812 # DEPENDENCYPART_ARC
(10,5),-1.84819 # DEPENDENCYPART_ARC
(10,6),-1.79342 # DEPENDENCYPART_ARC
(10,8),-1.65861 # DEPENDENCYPART_ARC
