# _root_ A versenyeken továbbra is lassúak voltunk , és egy idő után arra a következtetésre jutottunk , hogy valószínűleg nem bennünk van a hiba .
#goldHeads=2,6,6,6,6,8,8,0,10,11,15,14,14,15,8,15,15,21,21,21,12,23,21,8,
#predictedHeads=2,6,6,6,6,8,8,0,10,11,15,14,14,15,8,15,15,21,21,21,12,23,21,8,
(0,3),-3.47382 # DEPENDENCYPART_ARC
(0,4),-3.22784 # DEPENDENCYPART_ARC
(0,5),-3.59428 # DEPENDENCYPART_ARC
(0,6),-1.83347 # DEPENDENCYPART_ARC
(0,8),-2.39966 # DEPENDENCYPART_ARC
(0,11),-4.29484 # DEPENDENCYPART_ARC
(0,12),-4.4101 # DEPENDENCYPART_ARC
(0,15),-2.84198 # DEPENDENCYPART_ARC
(0,17),-4.77863 # DEPENDENCYPART_ARC
(0,19),-3.77163 # DEPENDENCYPART_ARC
(0,21),-3.1882 # DEPENDENCYPART_ARC
(2,1),1.79983 # DEPENDENCYPART_ARC
(3,2),-0.340906 # DEPENDENCYPART_ARC
(3,4),-0.882746 # DEPENDENCYPART_ARC
(3,5),-1.1836 # DEPENDENCYPART_ARC
(3,11),-1.37964 # DEPENDENCYPART_ARC
(3,15),-1.58474 # DEPENDENCYPART_ARC
(3,24),-2.10754 # DEPENDENCYPART_ARC
(4,1),-1.97056 # DEPENDENCYPART_ARC
(4,2),-1.41215 # DEPENDENCYPART_ARC
(4,3),-0.583358 # DEPENDENCYPART_ARC
(4,5),-1.0064 # DEPENDENCYPART_ARC
(4,6),-0.53888 # DEPENDENCYPART_ARC
(4,7),-0.936971 # DEPENDENCYPART_ARC
(4,8),-1.53483 # DEPENDENCYPART_ARC
(4,10),-1.8343 # DEPENDENCYPART_ARC
(4,11),-1.74495 # DEPENDENCYPART_ARC
(4,12),-2.32086 # DEPENDENCYPART_ARC
(4,15),-1.67342 # DEPENDENCYPART_ARC
(4,17),-1.65668 # DEPENDENCYPART_ARC
(4,18),-2.01451 # DEPENDENCYPART_ARC
(4,19),-1.96632 # DEPENDENCYPART_ARC
(4,21),-1.98245 # DEPENDENCYPART_ARC
(4,24),-1.6722 # DEPENDENCYPART_ARC
(5,1),-0.382681 # DEPENDENCYPART_ARC
(5,2),-0.141657 # DEPENDENCYPART_ARC
(5,3),0.021434 # DEPENDENCYPART_ARC
(5,4),0.364431 # DEPENDENCYPART_ARC
(5,6),-0.0985603 # DEPENDENCYPART_ARC
(5,7),-0.886745 # DEPENDENCYPART_ARC
(5,8),-1.33731 # DEPENDENCYPART_ARC
(5,10),-1.52108 # DEPENDENCYPART_ARC
(5,14),-1.27319 # DEPENDENCYPART_ARC
(5,15),-1.03036 # DEPENDENCYPART_ARC
(5,16),-1.10353 # DEPENDENCYPART_ARC
(5,21),-1.20917 # DEPENDENCYPART_ARC
(5,23),-1.98338 # DEPENDENCYPART_ARC
