# _root_ Akkor voltak 350-en , most 250 körüli a létszáma a 310_millió forint jegyzett tőkéjű vállalkozásnak , amely ma tipikus középvállalkozásnak mondható — mondja Erdész_András elnök-vezérigazgató .
#goldHeads=2,23,2,23,23,7,5,9,5,15,12,15,14,15,5,5,21,21,20,21,5,23,0,25,23,23,
#predictedHeads=2,0,2,2,7,7,2,9,2,15,12,13,15,15,2,2,23,23,20,21,23,23,2,25,23,2,
(0,1),-2.8622 # DEPENDENCYPART_ARC
(0,2),-1.44607 # DEPENDENCYPART_ARC
(0,3),-3.31092 # DEPENDENCYPART_ARC
(0,18),-4.55639 # DEPENDENCYPART_ARC
(0,23),-2.15352 # DEPENDENCYPART_ARC
(1,4),-0.631089 # DEPENDENCYPART_ARC
(1,26),-0.995288 # DEPENDENCYPART_ARC
(2,1),2.17774 # DEPENDENCYPART_ARC
(2,3),1.13227 # DEPENDENCYPART_ARC
(2,4),0.791291 # DEPENDENCYPART_ARC
(2,5),-0.0541661 # DEPENDENCYPART_ARC
(2,6),-0.68016 # DEPENDENCYPART_ARC
(2,7),-0.491909 # DEPENDENCYPART_ARC
(2,8),-1.44998 # DEPENDENCYPART_ARC
(2,9),-0.316556 # DEPENDENCYPART_ARC
(2,10),-1.52378 # DEPENDENCYPART_ARC
(2,11),-1.10214 # DEPENDENCYPART_ARC
(2,12),-1.08014 # DEPENDENCYPART_ARC
(2,13),-1.37511 # DEPENDENCYPART_ARC
(2,14),-1.44553 # DEPENDENCYPART_ARC
(2,15),0.840522 # DEPENDENCYPART_ARC
(2,16),0.134417 # DEPENDENCYPART_ARC
(2,17),-1.56171 # DEPENDENCYPART_ARC
(2,18),-0.98185 # DEPENDENCYPART_ARC
(2,19),-1.55818 # DEPENDENCYPART_ARC
(2,20),-0.904408 # DEPENDENCYPART_ARC
(2,21),-1.56932 # DEPENDENCYPART_ARC
(2,22),-0.495946 # DEPENDENCYPART_ARC
(2,23),-0.62955 # DEPENDENCYPART_ARC
(2,24),-2.22894 # DEPENDENCYPART_ARC
(2,25),-1.9281 # DEPENDENCYPART_ARC
(2,26),0.125987 # DEPENDENCYPART_ARC
(3,2),0.110377 # DEPENDENCYPART_ARC
(3,4),-0.452896 # DEPENDENCYPART_ARC
(3,7),-1.51994 # DEPENDENCYPART_ARC
(3,21),-1.87594 # DEPENDENCYPART_ARC
(3,22),-1.1179 # DEPENDENCYPART_ARC
(3,23),-1.39631 # DEPENDENCYPART_ARC
(3,26),-0.871969 # DEPENDENCYPART_ARC
(5,1),-1.44188 # DEPENDENCYPART_ARC
(5,2),-1.226 # DEPENDENCYPART_ARC
(5,3),-1.14674 # DEPENDENCYPART_ARC
(5,4),-0.779444 # DEPENDENCYPART_ARC
(5,6),-0.791507 # DEPENDENCYPART_ARC
(5,7),-0.987291 # DEPENDENCYPART_ARC
(5,9),-1.17855 # DEPENDENCYPART_ARC
(5,15),-1.52449 # DEPENDENCYPART_ARC
(5,16),-1.02051 # DEPENDENCYPART_ARC
(5,20),-1.95728 # DEPENDENCYPART_ARC
(5,22),-1.16179 # DEPENDENCYPART_ARC
(5,23),-1.27481 # DEPENDENCYPART_ARC
(5,25),-2.19018 # DEPENDENCYPART_ARC
(5,26),-1.6857 # DEPENDENCYPART_ARC
(6,2),-1.09813 # DEPENDENCYPART_ARC
(6,3),-1.2776 # DEPENDENCYPART_ARC
(6,4),-1.19997 # DEPENDENCYPART_ARC
(6,5),-0.255918 # DEPENDENCYPART_ARC
(6,9),-1.24353 # DEPENDENCYPART_ARC
(6,23),-1.18813 # DEPENDENCYPART_ARC
(6,26),-1.03977 # DEPENDENCYPART_ARC
(7,1),-1.00077 # DEPENDENCYPART_ARC
(7,2),-1.28679 # DEPENDENCYPART_ARC
(7,3),-0.276579 # DEPENDENCYPART_ARC
(7,4),-0.331503 # DEPENDENCYPART_ARC
(7,5),0.236561 # DEPENDENCYPART_ARC
(7,6),1.27509 # DEPENDENCYPART_ARC
(7,9),-0.978882 # DEPENDENCYPART_ARC
(7,11),-1.05361 # DEPENDENCYPART_ARC
(7,12),-1.35871 # DEPENDENCYPART_ARC
(7,13),-1.63596 # DEPENDENCYPART_ARC
(7,15),-1.34244 # DEPENDENCYPART_ARC
(7,16),-0.779027 # DEPENDENCYPART_ARC
(7,19),-1.84219 # DEPENDENCYPART_ARC
(7,20),-1.80453 # DEPENDENCYPART_ARC
(7,21),-1.8079 # DEPENDENCYPART_ARC
(7,22),-0.882584 # DEPENDENCYPART_ARC
(7,23),-1.5017 # DEPENDENCYPART_ARC
(7,25),-1.92786 # DEPENDENCYPART_ARC
(7,26),-1.33879 # DEPENDENCYPART_ARC
(8,7),-0.930624 # DEPENDENCYPART_ARC
(9,5),-1.58937 # DEPENDENCYPART_ARC
(9,6),-0.723091 # DEPENDENCYPART_ARC
(9,7),-0.506995 # DEPENDENCYPART_ARC
(9,8),1.04092 # DEPENDENCYPART_ARC
(9,10),-1.60199 # DEPENDENCYPART_ARC
(9,12),-0.933096 # DEPENDENCYPART_ARC
(9,15),-1.30678 # DEPENDENCYPART_ARC
(9,16),-0.705115 # DEPENDENCYPART_ARC
(9,18),-1.72819 # DEPENDENCYPART_ARC
(9,23),-1.87479 # DEPENDENCYPART_ARC
(9,26),-1.39174 # DEPENDENCYPART_ARC
(10,13),-0.77882 # DEPENDENCYPART_ARC
(11,8),-1.63383 # DEPENDENCYPART_ARC
(11,10),-0.694148 # DEPENDENCYPART_ARC
(12,3),-2.60396 # DEPENDENCYPART_ARC
(12,5),-1.15014 # DEPENDENCYPART_ARC
(12,6),-1.13772 # DEPENDENCYPART_ARC
(12,7),-1.59887 # DEPENDENCYPART_ARC
(12,8),-0.857357 # DEPENDENCYPART_ARC
(12,9),-1.8583 # DEPENDENCYPART_ARC
(12,10),0.741368 # DEPENDENCYPART_ARC
(12,11),1.73682 # DEPENDENCYPART_ARC
(12,18),-1.71184 # DEPENDENCYPART_ARC
(12,20),-2.07619 # DEPENDENCYPART_ARC
(12,23),-1.49063 # DEPENDENCYPART_ARC
(13,1),-1.85233 # DEPENDENCYPART_ARC
(13,2),-1.72298 # DEPENDENCYPART_ARC
(13,3),-1.23945 # DEPENDENCYPART_ARC
(13,4),-1.10679 # DEPENDENCYPART_ARC
(13,5),-1.27908 # DEPENDENCYPART_ARC
(13,6),-1.00141 # DEPENDENCYPART_ARC
(13,7),-1.58527 # DEPENDENCYPART_ARC
