# _root_ Jelenleg a határőrség nyolc közösségi szállásán mintegy 1500 külföldit helyezhetnek el , ám igazán jó körülményeket csupán 500-nak nyújthatnak , miközben a tényleges létszám megközelíti az 1200-at .
#goldHeads=10,3,10,6,6,10,9,9,10,0,10,10,10,15,16,19,19,19,10,19,25,24,24,25,19,27,25,10,
#predictedHeads=10,3,6,6,6,10,9,9,10,13,10,13,0,19,16,19,19,19,13,19,25,24,24,25,19,27,25,13,
(0,10),-2.62007 # DEPENDENCYPART_ARC
(0,11),-4.3359 # DEPENDENCYPART_ARC
(0,13),-1.47446 # DEPENDENCYPART_ARC
(0,19),-3.62037 # DEPENDENCYPART_ARC
(0,25),-3.64446 # DEPENDENCYPART_ARC
(1,3),-0.803454 # DEPENDENCYPART_ARC
(1,4),-0.843714 # DEPENDENCYPART_ARC
(1,5),-1.02648 # DEPENDENCYPART_ARC
(1,6),-1.15173 # DEPENDENCYPART_ARC
(1,7),-1.02838 # DEPENDENCYPART_ARC
(1,8),-1.06515 # DEPENDENCYPART_ARC
(1,9),-1.4494 # DEPENDENCYPART_ARC
(1,10),-1.22339 # DEPENDENCYPART_ARC
(1,12),-1.12929 # DEPENDENCYPART_ARC
(1,13),-1.02038 # DEPENDENCYPART_ARC
(1,19),-1.44759 # DEPENDENCYPART_ARC
(1,20),-1.11522 # DEPENDENCYPART_ARC
(1,21),-1.23302 # DEPENDENCYPART_ARC
(1,25),-1.4886 # DEPENDENCYPART_ARC
(1,28),-1.80729 # DEPENDENCYPART_ARC
(3,1),-1.03821 # DEPENDENCYPART_ARC
(3,2),1.78592 # DEPENDENCYPART_ARC
(3,6),-1.79159 # DEPENDENCYPART_ARC
(4,1),-0.858779 # DEPENDENCYPART_ARC
(4,2),-0.743604 # DEPENDENCYPART_ARC
(4,3),0.0216519 # DEPENDENCYPART_ARC
(4,5),-0.956831 # DEPENDENCYPART_ARC
(4,8),-1.46523 # DEPENDENCYPART_ARC
(4,9),-1.87589 # DEPENDENCYPART_ARC
(4,19),-1.24597 # DEPENDENCYPART_ARC
(4,27),-1.93114 # DEPENDENCYPART_ARC
(4,28),-1.14445 # DEPENDENCYPART_ARC
(5,1),-0.883517 # DEPENDENCYPART_ARC
(5,2),-0.974216 # DEPENDENCYPART_ARC
(5,3),-0.536793 # DEPENDENCYPART_ARC
(5,4),1.04199 # DEPENDENCYPART_ARC
(6,1),-0.930299 # DEPENDENCYPART_ARC
(6,2),-0.202739 # DEPENDENCYPART_ARC
(6,3),0.944623 # DEPENDENCYPART_ARC
(6,4),1.27129 # DEPENDENCYPART_ARC
(6,5),2.25347 # DEPENDENCYPART_ARC
(6,9),-1.69178 # DEPENDENCYPART_ARC
(7,1),-0.963251 # DEPENDENCYPART_ARC
(7,3),-1.18301 # DEPENDENCYPART_ARC
(7,4),-0.989027 # DEPENDENCYPART_ARC
(7,5),-1.00195 # DEPENDENCYPART_ARC
(7,6),-0.374999 # DEPENDENCYPART_ARC
(7,8),-0.797653 # DEPENDENCYPART_ARC
(7,9),-0.987917 # DEPENDENCYPART_ARC
(7,10),-0.995303 # DEPENDENCYPART_ARC
(7,14),-1.26899 # DEPENDENCYPART_ARC
(7,16),-1.92759 # DEPENDENCYPART_ARC
(7,17),-1.2639 # DEPENDENCYPART_ARC
(7,18),-1.44216 # DEPENDENCYPART_ARC
(7,19),-1.52805 # DEPENDENCYPART_ARC
(7,21),-1.37165 # DEPENDENCYPART_ARC
(7,25),-1.53298 # DEPENDENCYPART_ARC
(8,4),-1.27539 # DEPENDENCYPART_ARC
(8,6),-1.61656 # DEPENDENCYPART_ARC
(8,7),-0.175633 # DEPENDENCYPART_ARC
(8,19),-1.40066 # DEPENDENCYPART_ARC
(8,27),-2.10053 # DEPENDENCYPART_ARC
(8,28),-1.48899 # DEPENDENCYPART_ARC
(9,1),-1.08971 # DEPENDENCYPART_ARC
(9,2),-0.812042 # DEPENDENCYPART_ARC
(9,3),-1.47025 # DEPENDENCYPART_ARC
(9,4),-0.312882 # DEPENDENCYPART_ARC
(9,5),-0.164382 # DEPENDENCYPART_ARC
(9,6),-2.35098 # DEPENDENCYPART_ARC
(9,7),0.486384 # DEPENDENCYPART_ARC
(9,8),2.09918 # DEPENDENCYPART_ARC
(10,1),0.8015 # DEPENDENCYPART_ARC
(10,2),-1.34313 # DEPENDENCYPART_ARC
(10,3),-0.165788 # DEPENDENCYPART_ARC
(10,4),-1.31843 # DEPENDENCYPART_ARC
(10,5),-1.04186 # DEPENDENCYPART_ARC
(10,6),1.41079 # DEPENDENCYPART_ARC
(10,7),0.78383 # DEPENDENCYPART_ARC
(10,8),-0.377891 # DEPENDENCYPART_ARC
(10,9),1.92995 # DEPENDENCYPART_ARC
(10,11),2.02535 # DEPENDENCYPART_ARC
(10,12),0.288141 # DEPENDENCYPART_ARC
(10,13),-0.391239 # DEPENDENCYPART_ARC
(10,14),-0.446938 # DEPENDENCYPART_ARC
(10,15),-0.840133 # DEPENDENCYPART_ARC
(10,16),-0.598481 # DEPENDENCYPART_ARC
(10,17),-0.77097 # DEPENDENCYPART_ARC
(10,18),-0.496691 # DEPENDENCYPART_ARC
(10,19),-0.329804 # DEPENDENCYPART_ARC
(10,20),-0.66545 # DEPENDENCYPART_ARC
(10,21),-1.48289 # DEPENDENCYPART_ARC
(10,23),-2.05199 # DEPENDENCYPART_ARC
(10,24),-2.70031 # DEPENDENCYPART_ARC
(10,25),-1.03575 # DEPENDENCYPART_ARC
(10,27),-1.13154 # DEPENDENCYPART_ARC
(10,28),-1.14209 # DEPENDENCYPART_ARC
(11,6),-1.03196 # DEPENDENCYPART_ARC
(11,7),-0.568823 # DEPENDENCYPART_ARC
(11,9),-0.536227 # DEPENDENCYPART_ARC
(11,12),-0.862544 # DEPENDENCYPART_ARC
