# _root_ Legalábbis ez volt az az elképzelés , amelyet a Királyi_városok programban tavaly meghirdettek , s amelyből a visegrádi palota 400_millió forinttal részesült volna .
#goldHeads=3,3,0,6,6,3,3,13,11,11,13,13,2,2,2,22,19,19,22,21,22,2,22,3,
#predictedHeads=3,3,15,6,6,3,3,13,11,11,13,13,4,15,0,22,19,19,22,21,22,4,22,15,
(0,1),-2.90782 # DEPENDENCYPART_ARC
(0,2),-3.49022 # DEPENDENCYPART_ARC
(0,3),-1.31469 # DEPENDENCYPART_ARC
(0,4),-3.7466 # DEPENDENCYPART_ARC
(0,6),-4.23641 # DEPENDENCYPART_ARC
(0,13),-3.09099 # DEPENDENCYPART_ARC
(0,15),-2.37598 # DEPENDENCYPART_ARC
(0,22),-3.25146 # DEPENDENCYPART_ARC
(0,23),-3.59254 # DEPENDENCYPART_ARC
(1,3),-0.740435 # DEPENDENCYPART_ARC
(1,6),-1.22325 # DEPENDENCYPART_ARC
(1,7),-0.716002 # DEPENDENCYPART_ARC
(1,13),-1.25044 # DEPENDENCYPART_ARC
(1,14),-1.15032 # DEPENDENCYPART_ARC
(1,15),-0.944169 # DEPENDENCYPART_ARC
(1,22),-1.33648 # DEPENDENCYPART_ARC
(1,24),-1.69569 # DEPENDENCYPART_ARC
(2,1),-0.453473 # DEPENDENCYPART_ARC
(2,3),0.0436823 # DEPENDENCYPART_ARC
(2,4),-1.28053 # DEPENDENCYPART_ARC
(2,6),-0.84826 # DEPENDENCYPART_ARC
(2,7),-0.728514 # DEPENDENCYPART_ARC
(2,8),-1.51345 # DEPENDENCYPART_ARC
(2,10),-1.12212 # DEPENDENCYPART_ARC
(2,11),-1.00812 # DEPENDENCYPART_ARC
(2,12),-0.795365 # DEPENDENCYPART_ARC
(2,13),0.849037 # DEPENDENCYPART_ARC
(2,14),-0.118334 # DEPENDENCYPART_ARC
(2,15),0.0674908 # DEPENDENCYPART_ARC
(2,16),-1.09424 # DEPENDENCYPART_ARC
(2,18),-0.968572 # DEPENDENCYPART_ARC
(2,19),-1.14962 # DEPENDENCYPART_ARC
(2,20),-0.859571 # DEPENDENCYPART_ARC
(2,21),-1.69605 # DEPENDENCYPART_ARC
(2,22),0.863777 # DEPENDENCYPART_ARC
(2,24),-2.09153 # DEPENDENCYPART_ARC
(3,1),1.25611 # DEPENDENCYPART_ARC
(3,2),1.85068 # DEPENDENCYPART_ARC
(3,4),0.213612 # DEPENDENCYPART_ARC
(3,5),-0.986429 # DEPENDENCYPART_ARC
(3,6),0.824253 # DEPENDENCYPART_ARC
(3,7),0.555632 # DEPENDENCYPART_ARC
(3,8),-1.06504 # DEPENDENCYPART_ARC
(3,9),-1.66276 # DEPENDENCYPART_ARC
(3,10),-1.06092 # DEPENDENCYPART_ARC
