# _root_ Egybehangzó kommentárok szerint az együttes nemcsak hogy hullámvölgybe került , hanem alapjaiban rendült meg , sőt széthullóban van .
#goldHeads=2,3,9,5,9,9,9,9,16,16,16,13,16,13,16,0,18,16,16,
#predictedHeads=2,3,9,5,9,9,9,9,16,13,13,13,16,13,16,0,18,16,16,
(0,3),-3.63832 # DEPENDENCYPART_ARC
(0,6),-3.23169 # DEPENDENCYPART_ARC
(0,7),-3.66653 # DEPENDENCYPART_ARC
(0,9),-2.17286 # DEPENDENCYPART_ARC
(0,11),-2.43508 # DEPENDENCYPART_ARC
(0,13),-2.88904 # DEPENDENCYPART_ARC
(0,14),-4.46728 # DEPENDENCYPART_ARC
(0,16),-2.31684 # DEPENDENCYPART_ARC
(0,17),-3.95057 # DEPENDENCYPART_ARC
(0,18),-2.98222 # DEPENDENCYPART_ARC
(1,19),-1.57456 # DEPENDENCYPART_ARC
(2,1),2.39641 # DEPENDENCYPART_ARC
(2,5),-1.73136 # DEPENDENCYPART_ARC
(3,1),0.154461 # DEPENDENCYPART_ARC
(3,2),2.76728 # DEPENDENCYPART_ARC
(3,5),-1.01141 # DEPENDENCYPART_ARC
(3,6),-0.861554 # DEPENDENCYPART_ARC
(3,8),-1.31543 # DEPENDENCYPART_ARC
(3,9),-1.12711 # DEPENDENCYPART_ARC
(3,10),-0.744566 # DEPENDENCYPART_ARC
(3,12),-1.50604 # DEPENDENCYPART_ARC
(3,13),-1.3257 # DEPENDENCYPART_ARC
(3,15),-0.792524 # DEPENDENCYPART_ARC
(3,18),-1.31053 # DEPENDENCYPART_ARC
(3,19),-1.22541 # DEPENDENCYPART_ARC
(5,1),-1.01731 # DEPENDENCYPART_ARC
(5,2),-1.74274 # DEPENDENCYPART_ARC
(5,3),-0.861345 # DEPENDENCYPART_ARC
(5,4),1.86683 # DEPENDENCYPART_ARC
(6,1),-1.82956 # DEPENDENCYPART_ARC
(6,2),-1.70231 # DEPENDENCYPART_ARC
(6,3),-1.23666 # DEPENDENCYPART_ARC
(6,4),-1.55755 # DEPENDENCYPART_ARC
(6,5),-0.853348 # DEPENDENCYPART_ARC
(6,7),-1.27726 # DEPENDENCYPART_ARC
(6,8),-1.75984 # DEPENDENCYPART_ARC
(6,9),-0.98399 # DEPENDENCYPART_ARC
(6,10),-1.4174 # DEPENDENCYPART_ARC
(6,11),-1.99198 # DEPENDENCYPART_ARC
(6,13),-1.8397 # DEPENDENCYPART_ARC
(6,15),-1.44725 # DEPENDENCYPART_ARC
(6,16),-2.06014 # DEPENDENCYPART_ARC
(6,17),-2.49948 # DEPENDENCYPART_ARC
(6,18),-2.48693 # DEPENDENCYPART_ARC
(6,19),-2.41818 # DEPENDENCYPART_ARC
(7,1),-0.85241 # DEPENDENCYPART_ARC
(7,2),-1.19655 # DEPENDENCYPART_ARC
(7,3),-1.09786 # DEPENDENCYPART_ARC
(7,4),-1.27965 # DEPENDENCYPART_ARC
(7,5),-0.573553 # DEPENDENCYPART_ARC
(7,6),0.0243794 # DEPENDENCYPART_ARC
(7,8),-1.47728 # DEPENDENCYPART_ARC
(7,9),-0.792701 # DEPENDENCYPART_ARC
(7,10),-1.1362 # DEPENDENCYPART_ARC
(7,11),-1.42844 # DEPENDENCYPART_ARC
(7,13),-1.77411 # DEPENDENCYPART_ARC
(7,15),-1.24583 # DEPENDENCYPART_ARC
(7,16),-1.64718 # DEPENDENCYPART_ARC
(7,17),-2.32559 # DEPENDENCYPART_ARC
(7,18),-2.32207 # DEPENDENCYPART_ARC
(7,19),-1.89537 # DEPENDENCYPART_ARC
(8,4),-1.51929 # DEPENDENCYPART_ARC
(8,5),-1.52733 # DEPENDENCYPART_ARC
(8,6),-1.09482 # DEPENDENCYPART_ARC
(8,7),-0.578544 # DEPENDENCYPART_ARC
(8,12),-2.18059 # DEPENDENCYPART_ARC
(8,17),-1.98425 # DEPENDENCYPART_ARC
(9,1),-1.02612 # DEPENDENCYPART_ARC
(9,2),-0.19668 # DEPENDENCYPART_ARC
(9,3),0.866997 # DEPENDENCYPART_ARC
(9,4),-1.19186 # DEPENDENCYPART_ARC
(9,5),0.964789 # DEPENDENCYPART_ARC
(9,6),1.02587 # DEPENDENCYPART_ARC
(9,7),0.452011 # DEPENDENCYPART_ARC
(9,8),2.27749 # DEPENDENCYPART_ARC
(9,10),0.122769 # DEPENDENCYPART_ARC
(9,11),-0.245276 # DEPENDENCYPART_ARC
(9,12),-0.644479 # DEPENDENCYPART_ARC
(9,13),0.284719 # DEPENDENCYPART_ARC
(9,14),-0.63638 # DEPENDENCYPART_ARC
(9,15),-0.864171 # DEPENDENCYPART_ARC
(9,16),-1.3499 # DEPENDENCYPART_ARC
(9,17),-1.11027 # DEPENDENCYPART_ARC
(9,18),-0.855811 # DEPENDENCYPART_ARC
(9,19),-1.42 # DEPENDENCYPART_ARC
(11,1),-2.25053 # DEPENDENCYPART_ARC
(11,2),-2.41495 # DEPENDENCYPART_ARC
(11,3),-1.78341 # DEPENDENCYPART_ARC
(11,5),-2.52139 # DEPENDENCYPART_ARC
(11,6),-0.91944 # DEPENDENCYPART_ARC
(11,7),-0.878142 # DEPENDENCYPART_ARC
(11,8),-1.81597 # DEPENDENCYPART_ARC
(11,9),0.52006 # DEPENDENCYPART_ARC
(11,10),0.25625 # DEPENDENCYPART_ARC
(11,12),-0.935133 # DEPENDENCYPART_ARC
(11,13),0.183687 # DEPENDENCYPART_ARC
(11,15),-1.0356 # DEPENDENCYPART_ARC
(11,16),-1.43562 # DEPENDENCYPART_ARC
(11,17),-1.82377 # DEPENDENCYPART_ARC
(11,18),-1.0847 # DEPENDENCYPART_ARC
(11,19),-0.36361 # DEPENDENCYPART_ARC
(12,4),-2.64248 # DEPENDENCYPART_ARC
(12,5),-1.52869 # DEPENDENCYPART_ARC
(12,7),-1.99289 # DEPENDENCYPART_ARC
(12,8),-2.19691 # DEPENDENCYPART_ARC
(12,9),-2.98443 # DEPENDENCYPART_ARC
(12,10),-0.720928 # DEPENDENCYPART_ARC
(12,11),0.108091 # DEPENDENCYPART_ARC
(12,16),-1.53732 # DEPENDENCYPART_ARC
(12,17),-1.73873 # DEPENDENCYPART_ARC
(12,18),-2.35624 # DEPENDENCYPART_ARC
(13,1),-1.96187 # DEPENDENCYPART_ARC
(13,2),-1.36117 # DEPENDENCYPART_ARC
(13,3),-0.188876 # DEPENDENCYPART_ARC
(13,4),-1.65201 # DEPENDENCYPART_ARC
(13,5),-0.421101 # DEPENDENCYPART_ARC
(13,6),0.421733 # DEPENDENCYPART_ARC
(13,7),0.0780125 # DEPENDENCYPART_ARC
(13,8),-0.141112 # DEPENDENCYPART_ARC
(13,9),-0.69126 # DEPENDENCYPART_ARC
(13,10),-0.0146165 # DEPENDENCYPART_ARC
(13,11),0.686169 # DEPENDENCYPART_ARC
(13,12),2.7078 # DEPENDENCYPART_ARC
(13,14),2.05293 # DEPENDENCYPART_ARC
(13,15),0.299521 # DEPENDENCYPART_ARC
(13,16),-0.297763 # DEPENDENCYPART_ARC
(13,17),-0.0378787 # DEPENDENCYPART_ARC
(13,18),0.338285 # DEPENDENCYPART_ARC
(13,19),-1.01395 # DEPENDENCYPART_ARC
(14,3),-1.03873 # DEPENDENCYPART_ARC
(14,6),-0.91042 # DEPENDENCYPART_ARC
(14,7),-0.867139 # DEPENDENCYPART_ARC
(14,8),-1.35386 # DEPENDENCYPART_ARC
(14,9),-1.34911 # DEPENDENCYPART_ARC
(14,10),-1.19338 # DEPENDENCYPART_ARC
(14,11),-0.695392 # DEPENDENCYPART_ARC
(14,12),-0.638467 # DEPENDENCYPART_ARC
(14,13),-0.300404 # DEPENDENCYPART_ARC
(14,15),-0.835641 # DEPENDENCYPART_ARC
(14,16),-1.16292 # DEPENDENCYPART_ARC
