# _root_ — Öt percet kaptunk , hogy elhagyjuk a lakásunkat — meséli egy asszony , akit az EBESZ-szóvivő találomra állít meg .
#goldHeads=11,3,4,11,4,4,4,9,7,11,0,13,11,11,19,17,19,19,11,19,11,
#predictedHeads=11,3,4,11,4,4,4,9,7,11,0,13,11,11,19,17,19,19,11,19,11,
(0,2),-3.29488 # DEPENDENCYPART_ARC
(0,3),-3.98588 # DEPENDENCYPART_ARC
(0,4),-2.13504 # DEPENDENCYPART_ARC
(0,6),-3.0325 # DEPENDENCYPART_ARC
(0,7),-3.51191 # DEPENDENCYPART_ARC
(0,11),-2.64916 # DEPENDENCYPART_ARC
(0,19),-3.82452 # DEPENDENCYPART_ARC
(0,20),-4.88176 # DEPENDENCYPART_ARC
(2,1),-0.300907 # DEPENDENCYPART_ARC
(2,3),-1.26946 # DEPENDENCYPART_ARC
(2,4),-1.12758 # DEPENDENCYPART_ARC
(2,5),-1.01391 # DEPENDENCYPART_ARC
(2,7),-1.41299 # DEPENDENCYPART_ARC
(2,9),-2.26675 # DEPENDENCYPART_ARC
(2,10),-1.17107 # DEPENDENCYPART_ARC
(2,11),-1.03824 # DEPENDENCYPART_ARC
(2,13),-2.02049 # DEPENDENCYPART_ARC
(2,14),-1.3454 # DEPENDENCYPART_ARC
(2,19),-1.28254 # DEPENDENCYPART_ARC
(2,21),-1.2354 # DEPENDENCYPART_ARC
(3,1),-0.556017 # DEPENDENCYPART_ARC
(3,2),1.85289 # DEPENDENCYPART_ARC
(3,4),-1.48302 # DEPENDENCYPART_ARC
(3,5),-1.19868 # DEPENDENCYPART_ARC
(3,7),-2.36613 # DEPENDENCYPART_ARC
(3,9),-2.32175 # DEPENDENCYPART_ARC
(3,11),-1.94222 # DEPENDENCYPART_ARC
(3,19),-2.20313 # DEPENDENCYPART_ARC
(3,21),-1.79849 # DEPENDENCYPART_ARC
(4,1),0.268798 # DEPENDENCYPART_ARC
(4,2),-0.405138 # DEPENDENCYPART_ARC
(4,3),2.33375 # DEPENDENCYPART_ARC
(4,5),0.372061 # DEPENDENCYPART_ARC
(4,6),2.09804 # DEPENDENCYPART_ARC
(4,7),1.28141 # DEPENDENCYPART_ARC
(4,8),-1.80324 # DEPENDENCYPART_ARC
(4,9),-0.725741 # DEPENDENCYPART_ARC
(4,10),-0.760238 # DEPENDENCYPART_ARC
(4,11),-0.468523 # DEPENDENCYPART_ARC
(4,13),-2.58907 # DEPENDENCYPART_ARC
(4,14),-0.569933 # DEPENDENCYPART_ARC
(4,15),-2.81551 # DEPENDENCYPART_ARC
(4,17),-4.07602 # DEPENDENCYPART_ARC
(4,18),-1.89597 # DEPENDENCYPART_ARC
(4,19),-0.616735 # DEPENDENCYPART_ARC
(4,20),-1.80464 # DEPENDENCYPART_ARC
(4,21),-1.02433 # DEPENDENCYPART_ARC
(6,1),-0.979133 # DEPENDENCYPART_ARC
(6,3),-1.03252 # DEPENDENCYPART_ARC
(6,4),-1.40715 # DEPENDENCYPART_ARC
(6,5),0.225302 # DEPENDENCYPART_ARC
(6,7),-0.115921 # DEPENDENCYPART_ARC
(6,9),-1.59967 # DEPENDENCYPART_ARC
(6,10),-0.771731 # DEPENDENCYPART_ARC
(6,11),-1.1265 # DEPENDENCYPART_ARC
(6,13),-1.77293 # DEPENDENCYPART_ARC
(6,14),-1.03174 # DEPENDENCYPART_ARC
(6,17),-2.18951 # DEPENDENCYPART_ARC
(6,18),-1.47402 # DEPENDENCYPART_ARC
(6,19),-1.61685 # DEPENDENCYPART_ARC
(6,21),-0.84206 # DEPENDENCYPART_ARC
(7,1),-1.28785 # DEPENDENCYPART_ARC
(7,2),-2.78435 # DEPENDENCYPART_ARC
(7,3),-0.464827 # DEPENDENCYPART_ARC
(7,4),-1.57593 # DEPENDENCYPART_ARC
(7,5),-0.990874 # DEPENDENCYPART_ARC
(7,6),-0.757207 # DEPENDENCYPART_ARC
(7,8),-0.790805 # DEPENDENCYPART_ARC
(7,9),2.80762 # DEPENDENCYPART_ARC
(7,10),-0.110871 # DEPENDENCYPART_ARC
(7,11),0.250551 # DEPENDENCYPART_ARC
(7,13),-1.27422 # DEPENDENCYPART_ARC
(7,14),0.0463492 # DEPENDENCYPART_ARC
(7,15),-1.90427 # DEPENDENCYPART_ARC
(7,17),-2.69114 # DEPENDENCYPART_ARC
(7,18),-1.41071 # DEPENDENCYPART_ARC
(7,19),-0.425881 # DEPENDENCYPART_ARC
(7,20),-1.43358 # DEPENDENCYPART_ARC
(7,21),-0.853081 # DEPENDENCYPART_ARC
(9,1),-1.86725 # DEPENDENCYPART_ARC
(9,2),-1.66718 # DEPENDENCYPART_ARC
(9,4),-3.15159 # DEPENDENCYPART_ARC
(9,5),-1.76875 # DEPENDENCYPART_ARC
(9,6),-1.73262 # DEPENDENCYPART_ARC
(9,7),-1.97799 # DEPENDENCYPART_ARC
(9,8),1.68601 # DEPENDENCYPART_ARC
(9,10),-0.671676 # DEPENDENCYPART_ARC
(9,11),-1.51199 # DEPENDENCYPART_ARC
(9,13),-1.95884 # DEPENDENCYPART_ARC
(9,17),-2.53535 # DEPENDENCYPART_ARC
(9,19),-1.9817 # DEPENDENCYPART_ARC
(9,21),-1.94367 # DEPENDENCYPART_ARC
(11,1),-0.275029 # DEPENDENCYPART_ARC
(11,2),-1.66336 # DEPENDENCYPART_ARC
