# _root_ Mint arról korábban beszámoltunk , márciusban csaknem kétszáz mázsa busa , harcsa és amur pusztult el a természetvédelmi területen található vajai őstóban .
#goldHeads=4,4,4,15,15,15,9,9,10,15,15,15,15,15,0,15,19,19,20,22,22,15,15,
#predictedHeads=4,4,4,15,15,15,9,9,10,12,12,15,15,15,0,15,19,19,20,21,22,15,15,
(0,1),-2.92037 # DEPENDENCYPART_ARC
(0,2),-3.69616 # DEPENDENCYPART_ARC
(0,3),-3.40873 # DEPENDENCYPART_ARC
(0,4),-2.21497 # DEPENDENCYPART_ARC
(0,7),-3.86547 # DEPENDENCYPART_ARC
(0,13),-3.20705 # DEPENDENCYPART_ARC
(0,15),-3.12311 # DEPENDENCYPART_ARC
(0,16),-4.5384 # DEPENDENCYPART_ARC
(1,4),-0.543162 # DEPENDENCYPART_ARC
(1,5),-0.555942 # DEPENDENCYPART_ARC
(1,6),-1.23713 # DEPENDENCYPART_ARC
(1,10),-1.57364 # DEPENDENCYPART_ARC
(1,11),-0.788818 # DEPENDENCYPART_ARC
(1,15),-1.00741 # DEPENDENCYPART_ARC
(1,23),-2.32308 # DEPENDENCYPART_ARC
(2,3),-0.855094 # DEPENDENCYPART_ARC
(2,4),0.46836 # DEPENDENCYPART_ARC
(2,5),-0.543306 # DEPENDENCYPART_ARC
(2,6),-0.849436 # DEPENDENCYPART_ARC
(2,7),-1.25771 # DEPENDENCYPART_ARC
(2,8),-0.8558 # DEPENDENCYPART_ARC
(2,9),-0.901869 # DEPENDENCYPART_ARC
(2,10),-0.961659 # DEPENDENCYPART_ARC
(2,11),-0.737417 # DEPENDENCYPART_ARC
(2,12),-1.08262 # DEPENDENCYPART_ARC
(2,13),-0.253676 # DEPENDENCYPART_ARC
(2,14),-1.17069 # DEPENDENCYPART_ARC
(2,15),0.744764 # DEPENDENCYPART_ARC
(2,16),-1.14299 # DEPENDENCYPART_ARC
(2,18),-1.05446 # DEPENDENCYPART_ARC
(2,19),-1.46719 # DEPENDENCYPART_ARC
(2,20),-1.05485 # DEPENDENCYPART_ARC
(2,21),-1.27457 # DEPENDENCYPART_ARC
(2,22),-1.29547 # DEPENDENCYPART_ARC
(2,23),-2.34102 # DEPENDENCYPART_ARC
(3,1),-0.668803 # DEPENDENCYPART_ARC
(3,2),-0.0703535 # DEPENDENCYPART_ARC
(3,15),-1.71117 # DEPENDENCYPART_ARC
(3,23),-1.91176 # DEPENDENCYPART_ARC
(4,1),0.763742 # DEPENDENCYPART_ARC
(4,2),1.0684 # DEPENDENCYPART_ARC
(4,3),2.21967 # DEPENDENCYPART_ARC
(4,5),0.307011 # DEPENDENCYPART_ARC
(4,6),0.0191089 # DEPENDENCYPART_ARC
(4,7),-0.796837 # DEPENDENCYPART_ARC
(4,8),-1.59011 # DEPENDENCYPART_ARC
(4,9),-1.60576 # DEPENDENCYPART_ARC
(4,10),-1.54473 # DEPENDENCYPART_ARC
(4,11),-0.831812 # DEPENDENCYPART_ARC
(4,12),-2.38369 # DEPENDENCYPART_ARC
(4,13),-1.04942 # DEPENDENCYPART_ARC
(4,14),-2.67163 # DEPENDENCYPART_ARC
(4,15),-0.66387 # DEPENDENCYPART_ARC
(4,16),-1.74524 # DEPENDENCYPART_ARC
(4,18),-2.6182 # DEPENDENCYPART_ARC
(4,20),-2.70392 # DEPENDENCYPART_ARC
(4,21),-2.6077 # DEPENDENCYPART_ARC
(4,22),-2.10216 # DEPENDENCYPART_ARC
(4,23),-2.49126 # DEPENDENCYPART_ARC
(6,1),-1.71035 # DEPENDENCYPART_ARC
(6,2),-1.58143 # DEPENDENCYPART_ARC
(6,3),-1.37383 # DEPENDENCYPART_ARC
(6,4),-1.0151 # DEPENDENCYPART_ARC
(6,5),-0.255802 # DEPENDENCYPART_ARC
(6,7),-1.09576 # DEPENDENCYPART_ARC
(6,8),-1.34986 # DEPENDENCYPART_ARC
(6,9),-1.40248 # DEPENDENCYPART_ARC
(6,10),-1.37744 # DEPENDENCYPART_ARC
(6,11),-0.70301 # DEPENDENCYPART_ARC
(6,15),-1.78652 # DEPENDENCYPART_ARC
(7,1),-1.27818 # DEPENDENCYPART_ARC
(7,3),-1.11911 # DEPENDENCYPART_ARC
(7,4),-0.959183 # DEPENDENCYPART_ARC
(7,6),-0.172553 # DEPENDENCYPART_ARC
(7,8),-0.782352 # DEPENDENCYPART_ARC
(7,9),-0.941532 # DEPENDENCYPART_ARC
