# _root_ Az a kérdés , hogy sikerül -e az előtt tárgyalóasztalhoz ültetni Szlobodan_Milosevicset , hogy a jugoszláv hadsereg teljesen kiűzi az albánokat a tartományból .
#goldHeads=5,3,5,5,0,5,6,9,11,11,6,11,6,6,17,17,19,19,6,21,19,23,19,5,
#predictedHeads=5,3,5,5,0,5,6,10,11,11,6,11,6,6,17,17,19,19,11,21,19,23,19,5,
(0,1),-3.15061 # DEPENDENCYPART_ARC
(0,3),-3.56606 # DEPENDENCYPART_ARC
(0,5),-3.29074 # DEPENDENCYPART_ARC
(0,6),-1.97771 # DEPENDENCYPART_ARC
(0,7),-3.80943 # DEPENDENCYPART_ARC
(0,11),-4.28293 # DEPENDENCYPART_ARC
(0,14),-4.66798 # DEPENDENCYPART_ARC
(0,19),-2.78588 # DEPENDENCYPART_ARC
(1,3),-0.63369 # DEPENDENCYPART_ARC
(1,4),-0.424357 # DEPENDENCYPART_ARC
(1,5),-0.800509 # DEPENDENCYPART_ARC
(1,6),0.0585131 # DEPENDENCYPART_ARC
(1,7),-0.793184 # DEPENDENCYPART_ARC
(1,9),-0.775984 # DEPENDENCYPART_ARC
(1,10),-1.37752 # DEPENDENCYPART_ARC
(1,11),-0.285472 # DEPENDENCYPART_ARC
(1,12),-1.70791 # DEPENDENCYPART_ARC
(1,13),-0.362522 # DEPENDENCYPART_ARC
(1,14),-0.67663 # DEPENDENCYPART_ARC
(1,16),-0.910955 # DEPENDENCYPART_ARC
(1,17),-1.12796 # DEPENDENCYPART_ARC
(1,18),-1.17621 # DEPENDENCYPART_ARC
(1,19),0.247318 # DEPENDENCYPART_ARC
(1,21),-1.97235 # DEPENDENCYPART_ARC
(1,23),-1.73383 # DEPENDENCYPART_ARC
(1,24),-2.01839 # DEPENDENCYPART_ARC
(2,4),-0.755442 # DEPENDENCYPART_ARC
(3,1),0.457268 # DEPENDENCYPART_ARC
(3,2),1.82259 # DEPENDENCYPART_ARC
(3,4),-0.767933 # DEPENDENCYPART_ARC
(3,6),-1.13622 # DEPENDENCYPART_ARC
(3,9),-1.72256 # DEPENDENCYPART_ARC
(3,11),-1.75007 # DEPENDENCYPART_ARC
(3,19),-1.90353 # DEPENDENCYPART_ARC
(3,24),-1.7731 # DEPENDENCYPART_ARC
(5,1),-0.241541 # DEPENDENCYPART_ARC
(5,2),-1.02135 # DEPENDENCYPART_ARC
(5,3),-0.19472 # DEPENDENCYPART_ARC
(5,4),0.231363 # DEPENDENCYPART_ARC
(5,6),0.0871466 # DEPENDENCYPART_ARC
(5,7),-1.28162 # DEPENDENCYPART_ARC
(5,10),-1.9144 # DEPENDENCYPART_ARC
(5,11),-1.1129 # DEPENDENCYPART_ARC
(5,12),-1.78702 # DEPENDENCYPART_ARC
(5,13),-1.09909 # DEPENDENCYPART_ARC
(5,14),-1.27051 # DEPENDENCYPART_ARC
(5,18),-2.05574 # DEPENDENCYPART_ARC
(5,19),-1.5044 # DEPENDENCYPART_ARC
(5,24),-0.599723 # DEPENDENCYPART_ARC
(6,1),-1.54265 # DEPENDENCYPART_ARC
(6,3),-1.35045 # DEPENDENCYPART_ARC
(6,4),-1.34115 # DEPENDENCYPART_ARC
(6,5),-1.1344 # DEPENDENCYPART_ARC
(6,7),1.59073 # DEPENDENCYPART_ARC
(6,8),-1.06551 # DEPENDENCYPART_ARC
(6,9),0.573671 # DEPENDENCYPART_ARC
(6,10),0.531 # DEPENDENCYPART_ARC
(6,11),2.03529 # DEPENDENCYPART_ARC
(6,12),-0.250869 # DEPENDENCYPART_ARC
(6,13),0.0931886 # DEPENDENCYPART_ARC
(6,14),0.671056 # DEPENDENCYPART_ARC
(6,16),-1.44588 # DEPENDENCYPART_ARC
(6,17),-1.54594 # DEPENDENCYPART_ARC
(6,18),-1.21992 # DEPENDENCYPART_ARC
(6,19),-0.71235 # DEPENDENCYPART_ARC
(6,21),-1.6277 # DEPENDENCYPART_ARC
(6,23),-1.19202 # DEPENDENCYPART_ARC
(6,24),-0.781165 # DEPENDENCYPART_ARC
(7,4),-0.931113 # DEPENDENCYPART_ARC
(7,5),-0.889829 # DEPENDENCYPART_ARC
(7,10),-1.01003 # DEPENDENCYPART_ARC
(9,3),-1.34552 # DEPENDENCYPART_ARC
(9,4),-1.33698 # DEPENDENCYPART_ARC
(9,8),0.243157 # DEPENDENCYPART_ARC
(9,10),-1.1722 # DEPENDENCYPART_ARC
(9,12),-1.63512 # DEPENDENCYPART_ARC
(9,17),-1.94306 # DEPENDENCYPART_ARC
(9,19),-1.81961 # DEPENDENCYPART_ARC
(10,1),-1.68338 # DEPENDENCYPART_ARC
(10,2),-1.61166 # DEPENDENCYPART_ARC
(10,3),-2.18895 # DEPENDENCYPART_ARC
(10,5),-1.22414 # DEPENDENCYPART_ARC
(10,6),-1.93533 # DEPENDENCYPART_ARC
(10,8),1.13447 # DEPENDENCYPART_ARC
(10,9),0.321847 # DEPENDENCYPART_ARC
(10,12),-1.45128 # DEPENDENCYPART_ARC
(10,13),-0.794464 # DEPENDENCYPART_ARC
(10,17),-1.92718 # DEPENDENCYPART_ARC
(10,19),-1.83039 # DEPENDENCYPART_ARC
(10,21),-2.25365 # DEPENDENCYPART_ARC
(10,23),-2.78365 # DEPENDENCYPART_ARC
(10,24),-1.6183 # DEPENDENCYPART_ARC
(11,1),-1.33363 # DEPENDENCYPART_ARC
(11,2),-1.39448 # DEPENDENCYPART_ARC
(11,3),-1.59439 # DEPENDENCYPART_ARC
(11,4),-0.30931 # DEPENDENCYPART_ARC
(11,5),-0.733197 # DEPENDENCYPART_ARC
(11,6),-1.53709 # DEPENDENCYPART_ARC
(11,7),0.90923 # DEPENDENCYPART_ARC
(11,8),-0.487657 # DEPENDENCYPART_ARC
(11,9),1.17915 # DEPENDENCYPART_ARC
(11,10),2.87739 # DEPENDENCYPART_ARC
(11,12),2.55382 # DEPENDENCYPART_ARC
(11,13),0.220759 # DEPENDENCYPART_ARC
(11,14),-0.178907 # DEPENDENCYPART_ARC
(11,15),-1.02327 # DEPENDENCYPART_ARC
(11,16),-0.170955 # DEPENDENCYPART_ARC
(11,17),-1.42284 # DEPENDENCYPART_ARC
(11,18),-0.508483 # DEPENDENCYPART_ARC
(11,19),-0.734267 # DEPENDENCYPART_ARC
(11,21),-0.622406 # DEPENDENCYPART_ARC
(11,23),-1.06239 # DEPENDENCYPART_ARC
(11,24),-1.11131 # DEPENDENCYPART_ARC
(12,8),-1.15644 # DEPENDENCYPART_ARC
(12,9),-1.2757 # DEPENDENCYPART_ARC
(12,10),-1.54715 # DEPENDENCYPART_ARC
(12,11),0.957614 # DEPENDENCYPART_ARC
(12,13),-0.703506 # DEPENDENCYPART_ARC
(12,14),-1.59252 # DEPENDENCYPART_ARC
(12,17),-1.7826 # DEPENDENCYPART_ARC
(12,18),-1.83305 # DEPENDENCYPART_ARC
(12,19),-2.12503 # DEPENDENCYPART_ARC
(12,21),-2.35633 # DEPENDENCYPART_ARC
(14,1),-1.64432 # DEPENDENCYPART_ARC
(14,3),-2.06896 # DEPENDENCYPART_ARC
(14,4),-1.81492 # DEPENDENCYPART_ARC
(14,5),-0.97905 # DEPENDENCYPART_ARC
(14,6),-2.95474 # DEPENDENCYPART_ARC
(14,9),-1.06062 # DEPENDENCYPART_ARC
(14,10),-0.963896 # DEPENDENCYPART_ARC
(14,11),-0.983609 # DEPENDENCYPART_ARC
(14,12),-0.682369 # DEPENDENCYPART_ARC
(14,13),0.104406 # DEPENDENCYPART_ARC
(14,16),-1.24879 # DEPENDENCYPART_ARC
(14,17),-1.36117 # DEPENDENCYPART_ARC
(14,18),-1.57197 # DEPENDENCYPART_ARC
(14,19),-0.629809 # DEPENDENCYPART_ARC
(14,21),-1.82552 # DEPENDENCYPART_ARC
(14,23),-2.06526 # DEPENDENCYPART_ARC
(14,24),-0.464407 # DEPENDENCYPART_ARC
(15,16),-0.469728 # DEPENDENCYPART_ARC
(15,18),-0.97515 # DEPENDENCYPART_ARC
(16,1),-2.93216 # DEPENDENCYPART_ARC
(16,14),-1.24266 # DEPENDENCYPART_ARC
(16,15),-0.635036 # DEPENDENCYPART_ARC
(17,1),-2.65176 # DEPENDENCYPART_ARC
(17,5),-1.65008 # DEPENDENCYPART_ARC
(17,6),-2.0331 # DEPENDENCYPART_ARC
