# _root_ A Gellért_Szálló igazgatója szerint Budapesten és környékén olyan sok panzió épült , hogy azokban hét-nyolcszor annyi férőhely van , mint a Gellértben .
#goldHeads=2,3,4,11,11,11,11,10,10,11,0,11,11,18,17,17,18,11,18,18,22,14,11,
#predictedHeads=2,3,4,11,11,11,11,10,10,11,0,11,11,18,18,17,18,11,18,18,22,14,11,
(0,4),-3.82521 # DEPENDENCYPART_ARC
(0,6),-3.29761 # DEPENDENCYPART_ARC
(0,8),-4.10056 # DEPENDENCYPART_ARC
(0,9),-3.98009 # DEPENDENCYPART_ARC
(0,10),-4.49802 # DEPENDENCYPART_ARC
(0,11),-2.00022 # DEPENDENCYPART_ARC
(0,13),-4.27977 # DEPENDENCYPART_ARC
(0,14),-4.67504 # DEPENDENCYPART_ARC
(0,15),-4.34355 # DEPENDENCYPART_ARC
(0,16),-4.68263 # DEPENDENCYPART_ARC
(0,18),-2.79391 # DEPENDENCYPART_ARC
(0,20),-4.42878 # DEPENDENCYPART_ARC
(2,1),1.12336 # DEPENDENCYPART_ARC
(2,20),-1.6045 # DEPENDENCYPART_ARC
(3,1),-0.182454 # DEPENDENCYPART_ARC
(3,2),2.85299 # DEPENDENCYPART_ARC
(3,5),-1.92637 # DEPENDENCYPART_ARC
(4,1),-0.606291 # DEPENDENCYPART_ARC
(4,2),0.826172 # DEPENDENCYPART_ARC
(4,3),2.86353 # DEPENDENCYPART_ARC
(4,5),-0.936277 # DEPENDENCYPART_ARC
(4,6),-1.20288 # DEPENDENCYPART_ARC
(4,7),-1.32042 # DEPENDENCYPART_ARC
(4,9),-1.43154 # DEPENDENCYPART_ARC
(5,1),-0.747708 # DEPENDENCYPART_ARC
(5,2),-1.52071 # DEPENDENCYPART_ARC
(5,3),-1.31077 # DEPENDENCYPART_ARC
(5,4),-0.189818 # DEPENDENCYPART_ARC
(5,7),-1.80089 # DEPENDENCYPART_ARC
(5,9),-1.4663 # DEPENDENCYPART_ARC
(5,13),-1.53281 # DEPENDENCYPART_ARC
(5,14),-2.17482 # DEPENDENCYPART_ARC
(5,16),-2.44472 # DEPENDENCYPART_ARC
(5,20),-1.59345 # DEPENDENCYPART_ARC
(6,1),-2.07754 # DEPENDENCYPART_ARC
(6,2),-1.37486 # DEPENDENCYPART_ARC
(6,3),-1.36537 # DEPENDENCYPART_ARC
(6,4),-1.06372 # DEPENDENCYPART_ARC
(6,5),-0.680552 # DEPENDENCYPART_ARC
(6,7),-1.15373 # DEPENDENCYPART_ARC
(6,8),-1.65208 # DEPENDENCYPART_ARC
(6,9),-1.5167 # DEPENDENCYPART_ARC
(6,10),-1.63726 # DEPENDENCYPART_ARC
(6,11),-0.861114 # DEPENDENCYPART_ARC
(6,12),-1.02568 # DEPENDENCYPART_ARC
(6,13),-1.54386 # DEPENDENCYPART_ARC
(6,14),-2.24671 # DEPENDENCYPART_ARC
(6,15),-1.86322 # DEPENDENCYPART_ARC
(6,16),-2.30046 # DEPENDENCYPART_ARC
(6,18),-2.14806 # DEPENDENCYPART_ARC
(6,19),-1.28231 # DEPENDENCYPART_ARC
(6,20),-1.82019 # DEPENDENCYPART_ARC
(6,22),-2.65986 # DEPENDENCYPART_ARC
(6,23),-1.87571 # DEPENDENCYPART_ARC
(7,1),-1.40792 # DEPENDENCYPART_ARC
(7,2),-0.395584 # DEPENDENCYPART_ARC
(7,3),-0.902079 # DEPENDENCYPART_ARC
(7,4),-1.18799 # DEPENDENCYPART_ARC
(7,5),-0.958099 # DEPENDENCYPART_ARC
(7,6),0.0335623 # DEPENDENCYPART_ARC
(7,8),-1.11006 # DEPENDENCYPART_ARC
(7,9),-1.33765 # DEPENDENCYPART_ARC
(7,10),-1.11705 # DEPENDENCYPART_ARC
(7,15),-1.78185 # DEPENDENCYPART_ARC
(7,18),-1.7362 # DEPENDENCYPART_ARC
(8,6),-0.776271 # DEPENDENCYPART_ARC
(8,7),-0.199176 # DEPENDENCYPART_ARC
(8,10),-0.797329 # DEPENDENCYPART_ARC
(8,11),-0.685665 # DEPENDENCYPART_ARC
(8,12),-0.769878 # DEPENDENCYPART_ARC
(8,14),-1.03229 # DEPENDENCYPART_ARC
(8,16),-1.10937 # DEPENDENCYPART_ARC
(8,17),-1.75691 # DEPENDENCYPART_ARC
(8,18),-1.09502 # DEPENDENCYPART_ARC
(8,19),-0.975611 # DEPENDENCYPART_ARC
(8,23),-1.48968 # DEPENDENCYPART_ARC
(9,5),-1.7594 # DEPENDENCYPART_ARC
(9,7),-1.55046 # DEPENDENCYPART_ARC
(9,8),-0.102682 # DEPENDENCYPART_ARC
(9,12),-1.13927 # DEPENDENCYPART_ARC
(9,15),-1.76971 # DEPENDENCYPART_ARC
(9,18),-1.18223 # DEPENDENCYPART_ARC
(9,19),-1.27531 # DEPENDENCYPART_ARC
(9,22),-2.3759 # DEPENDENCYPART_ARC
(9,23),-1.63646 # DEPENDENCYPART_ARC
(10,1),-1.34609 # DEPENDENCYPART_ARC
(10,2),-1.19563 # DEPENDENCYPART_ARC
(10,3),-2.75641 # DEPENDENCYPART_ARC
(10,4),-1.42702 # DEPENDENCYPART_ARC
(10,5),-1.5236 # DEPENDENCYPART_ARC
(10,6),-0.806082 # DEPENDENCYPART_ARC
(10,7),-2.47317 # DEPENDENCYPART_ARC
(10,8),0.207131 # DEPENDENCYPART_ARC
(10,9),1.92524 # DEPENDENCYPART_ARC
(11,1),-1.58561 # DEPENDENCYPART_ARC
(11,2),0.314316 # DEPENDENCYPART_ARC
(11,3),0.0808222 # DEPENDENCYPART_ARC
(11,4),0.595015 # DEPENDENCYPART_ARC
(11,5),1.23112 # DEPENDENCYPART_ARC
(11,6),0.539592 # DEPENDENCYPART_ARC
(11,7),1.78491 # DEPENDENCYPART_ARC
(11,8),0.891621 # DEPENDENCYPART_ARC
(11,9),0.22694 # DEPENDENCYPART_ARC
(11,10),2.7289 # DEPENDENCYPART_ARC
(11,12),0.396799 # DEPENDENCYPART_ARC
(11,13),2.08902 # DEPENDENCYPART_ARC
(11,14),-1.07172 # DEPENDENCYPART_ARC
(11,15),-0.480898 # DEPENDENCYPART_ARC
(11,16),-1.43209 # DEPENDENCYPART_ARC
(11,17),-1.76417 # DEPENDENCYPART_ARC
(11,18),0.312862 # DEPENDENCYPART_ARC
(11,19),-0.827096 # DEPENDENCYPART_ARC
(11,20),-0.0592696 # DEPENDENCYPART_ARC
(11,22),-2.49564 # DEPENDENCYPART_ARC
(11,23),-0.932502 # DEPENDENCYPART_ARC
(13,2),-1.95906 # DEPENDENCYPART_ARC
(13,3),-1.44791 # DEPENDENCYPART_ARC
(13,4),-1.26999 # DEPENDENCYPART_ARC
(13,5),-1.75318 # DEPENDENCYPART_ARC
(13,6),-0.738979 # DEPENDENCYPART_ARC
(13,7),-1.02421 # DEPENDENCYPART_ARC
(13,8),-1.037 # DEPENDENCYPART_ARC
(13,10),-0.480211 # DEPENDENCYPART_ARC
(13,11),-1.89291 # DEPENDENCYPART_ARC
(13,12),0.24147 # DEPENDENCYPART_ARC
(13,15),-0.995203 # DEPENDENCYPART_ARC
(13,17),-1.50849 # DEPENDENCYPART_ARC
(13,18),-0.434957 # DEPENDENCYPART_ARC
(13,19),-0.778978 # DEPENDENCYPART_ARC
(13,20),-0.836205 # DEPENDENCYPART_ARC
(13,23),0.0349649 # DEPENDENCYPART_ARC
(14,11),-1.0685 # DEPENDENCYPART_ARC
(14,13),-0.750094 # DEPENDENCYPART_ARC
(14,15),-0.413441 # DEPENDENCYPART_ARC
(14,16),-0.891183 # DEPENDENCYPART_ARC
(14,17),-0.324564 # DEPENDENCYPART_ARC
(14,18),0.787977 # DEPENDENCYPART_ARC
(14,19),-0.444063 # DEPENDENCYPART_ARC
(14,20),-0.0778283 # DEPENDENCYPART_ARC
(14,22),-0.773795 # DEPENDENCYPART_ARC
(14,23),-0.840147 # DEPENDENCYPART_ARC
(15,9),-1.0928 # DEPENDENCYPART_ARC
(15,10),-1.47961 # DEPENDENCYPART_ARC
(15,11),-1.07579 # DEPENDENCYPART_ARC
(15,12),-0.816055 # DEPENDENCYPART_ARC
(15,13),-0.455584 # DEPENDENCYPART_ARC
(15,14),-0.0127575 # DEPENDENCYPART_ARC
(15,17),-1.00072 # DEPENDENCYPART_ARC
(15,18),-0.547793 # DEPENDENCYPART_ARC
(15,19),-0.880848 # DEPENDENCYPART_ARC
(15,22),-1.67459 # DEPENDENCYPART_ARC
(15,23),-1.02493 # DEPENDENCYPART_ARC
