# _root_ Sarkad önkormányzata 6,6_millió forintos támogatást kapott , amelyből 50 közhasznú munkás foglalkoztatását tudja megoldani .
#goldHeads=2,6,4,5,6,0,6,14,11,11,12,14,6,13,6,
#predictedHeads=2,6,4,5,6,0,6,13,11,11,12,14,6,13,6,
(0,1),-2.78221 # DEPENDENCYPART_ARC
(0,2),-3.52434 # DEPENDENCYPART_ARC
(0,3),-3.3935 # DEPENDENCYPART_ARC
(0,4),-3.82341 # DEPENDENCYPART_ARC
(0,5),-4.43521 # DEPENDENCYPART_ARC
(0,6),-1.85574 # DEPENDENCYPART_ARC
(0,9),-4.06388 # DEPENDENCYPART_ARC
(0,13),-3.11947 # DEPENDENCYPART_ARC
(0,14),-4.71459 # DEPENDENCYPART_ARC
(1,2),-0.993625 # DEPENDENCYPART_ARC
(1,5),-1.66234 # DEPENDENCYPART_ARC
(1,6),-1.75225 # DEPENDENCYPART_ARC
(1,11),-1.84007 # DEPENDENCYPART_ARC
(1,13),-1.9291 # DEPENDENCYPART_ARC
(1,14),-1.85056 # DEPENDENCYPART_ARC
(1,15),-1.70917 # DEPENDENCYPART_ARC
(2,1),2.86822 # DEPENDENCYPART_ARC
(2,3),-1.07888 # DEPENDENCYPART_ARC
(2,4),-1.4251 # DEPENDENCYPART_ARC
(2,5),-1.40828 # DEPENDENCYPART_ARC
(2,6),-1.10732 # DEPENDENCYPART_ARC
(2,7),-0.894204 # DEPENDENCYPART_ARC
(2,9),-1.63007 # DEPENDENCYPART_ARC
(2,11),-1.53876 # DEPENDENCYPART_ARC
(2,12),-2.29942 # DEPENDENCYPART_ARC
(2,13),-1.82842 # DEPENDENCYPART_ARC
(2,14),-1.55858 # DEPENDENCYPART_ARC
(2,15),-1.37043 # DEPENDENCYPART_ARC
(3,1),-0.58586 # DEPENDENCYPART_ARC
(3,2),-0.139979 # DEPENDENCYPART_ARC
(3,4),-0.948124 # DEPENDENCYPART_ARC
(3,6),-0.786621 # DEPENDENCYPART_ARC
(3,7),-1.02326 # DEPENDENCYPART_ARC
(3,9),-1.54832 # DEPENDENCYPART_ARC
(3,11),-1.79589 # DEPENDENCYPART_ARC
(3,12),-2.12476 # DEPENDENCYPART_ARC
(3,13),-0.974253 # DEPENDENCYPART_ARC
(3,14),-1.53831 # DEPENDENCYPART_ARC
(3,15),-1.11539 # DEPENDENCYPART_ARC
(4,1),-0.753299 # DEPENDENCYPART_ARC
(4,2),-0.478102 # DEPENDENCYPART_ARC
(4,3),1.35956 # DEPENDENCYPART_ARC
(4,13),-1.87051 # DEPENDENCYPART_ARC
(4,14),-2.02696 # DEPENDENCYPART_ARC
(4,15),-1.76183 # DEPENDENCYPART_ARC
(5,1),-0.18108 # DEPENDENCYPART_ARC
(5,2),-1.04772 # DEPENDENCYPART_ARC
(5,3),0.930724 # DEPENDENCYPART_ARC
(5,4),2.41573 # DEPENDENCYPART_ARC
(5,7),-1.17147 # DEPENDENCYPART_ARC
(5,9),-1.92207 # DEPENDENCYPART_ARC
(5,11),-2.27895 # DEPENDENCYPART_ARC
(5,12),-2.69562 # DEPENDENCYPART_ARC
(5,13),-2.03253 # DEPENDENCYPART_ARC
(5,14),-1.7845 # DEPENDENCYPART_ARC
(5,15),-1.62373 # DEPENDENCYPART_ARC
(6,1),1.07708 # DEPENDENCYPART_ARC
(6,2),1.3571 # DEPENDENCYPART_ARC
(6,3),-0.049023 # DEPENDENCYPART_ARC
(6,4),0.229149 # DEPENDENCYPART_ARC
(6,5),2.44732 # DEPENDENCYPART_ARC
(6,7),0.675651 # DEPENDENCYPART_ARC
(6,8),-0.796652 # DEPENDENCYPART_ARC
(6,9),-1.03952 # DEPENDENCYPART_ARC
(6,10),-0.9518 # DEPENDENCYPART_ARC
(6,11),-0.908426 # DEPENDENCYPART_ARC
(6,12),-1.08382 # DEPENDENCYPART_ARC
(6,13),0.0724141 # DEPENDENCYPART_ARC
(6,14),0.750473 # DEPENDENCYPART_ARC
(6,15),-1.15567 # DEPENDENCYPART_ARC
(8,10),-0.872509 # DEPENDENCYPART_ARC
(8,11),-0.598377 # DEPENDENCYPART_ARC
(8,12),-1.28563 # DEPENDENCYPART_ARC
(9,6),-1.13637 # DEPENDENCYPART_ARC
(9,7),-1.5222 # DEPENDENCYPART_ARC
(9,8),-0.571373 # DEPENDENCYPART_ARC
(9,10),-1.09829 # DEPENDENCYPART_ARC
(9,11),-1.23337 # DEPENDENCYPART_ARC
(9,12),-1.73581 # DEPENDENCYPART_ARC
(9,13),-0.835282 # DEPENDENCYPART_ARC
(9,14),-1.59476 # DEPENDENCYPART_ARC
(9,15),-1.22929 # DEPENDENCYPART_ARC
(10,3),-1.18453 # DEPENDENCYPART_ARC
(10,4),-1.71071 # DEPENDENCYPART_ARC
(10,5),-1.26057 # DEPENDENCYPART_ARC
(10,6),-1.69543 # DEPENDENCYPART_ARC
(10,7),-0.772005 # DEPENDENCYPART_ARC
(10,8),-0.407749 # DEPENDENCYPART_ARC
(10,9),0.927742 # DEPENDENCYPART_ARC
(10,12),-1.79621 # DEPENDENCYPART_ARC
(11,1),-1.28325 # DEPENDENCYPART_ARC
(11,2),-2.7299 # DEPENDENCYPART_ARC
(11,3),-1.15173 # DEPENDENCYPART_ARC
(11,4),-0.651181 # DEPENDENCYPART_ARC
(11,5),-3.09718 # DEPENDENCYPART_ARC
(11,6),-0.588171 # DEPENDENCYPART_ARC
(11,7),-0.662291 # DEPENDENCYPART_ARC
(11,8),-1.20195 # DEPENDENCYPART_ARC
(11,9),0.955969 # DEPENDENCYPART_ARC
(11,10),2.46484 # DEPENDENCYPART_ARC
(11,12),-1.70469 # DEPENDENCYPART_ARC
(12,1),-1.33121 # DEPENDENCYPART_ARC
(12,2),-1.8865 # DEPENDENCYPART_ARC
(12,3),-1.28586 # DEPENDENCYPART_ARC
(12,4),-1.63071 # DEPENDENCYPART_ARC
(12,5),-3.1499 # DEPENDENCYPART_ARC
(12,6),-2.88396 # DEPENDENCYPART_ARC
(12,7),-0.776898 # DEPENDENCYPART_ARC
(12,8),-1.87799 # DEPENDENCYPART_ARC
(12,9),0.1107 # DEPENDENCYPART_ARC
(12,10),0.729322 # DEPENDENCYPART_ARC
(12,11),3.26336 # DEPENDENCYPART_ARC
(12,13),-1.51923 # DEPENDENCYPART_ARC
(12,14),-1.26915 # DEPENDENCYPART_ARC
(12,15),-1.39708 # DEPENDENCYPART_ARC
(13,1),-1.45148 # DEPENDENCYPART_ARC
(13,2),-1.44462 # DEPENDENCYPART_ARC
(13,3),-2.02887 # DEPENDENCYPART_ARC
(13,4),-2.48941 # DEPENDENCYPART_ARC
(13,5),-0.965715 # DEPENDENCYPART_ARC
(13,6),-1.13099 # DEPENDENCYPART_ARC
(13,7),-0.850432 # DEPENDENCYPART_ARC
(13,8),0.632515 # DEPENDENCYPART_ARC
(13,9),-1.07652 # DEPENDENCYPART_ARC
(13,10),-1.22334 # DEPENDENCYPART_ARC
(13,11),0.467448 # DEPENDENCYPART_ARC
(13,12),1.79309 # DEPENDENCYPART_ARC
(13,14),3.15751 # DEPENDENCYPART_ARC
(13,15),-0.196158 # DEPENDENCYPART_ARC
(14,1),-1.58823 # DEPENDENCYPART_ARC
(14,2),-1.04308 # DEPENDENCYPART_ARC
(14,3),-1.07652 # DEPENDENCYPART_ARC
(14,4),-0.791925 # DEPENDENCYPART_ARC
(14,5),0.918255 # DEPENDENCYPART_ARC
(14,6),-1.93286 # DEPENDENCYPART_ARC
(14,7),-0.427567 # DEPENDENCYPART_ARC
(14,8),0.52463 # DEPENDENCYPART_ARC
(14,9),-0.333379 # DEPENDENCYPART_ARC
(14,10),0.0681558 # DEPENDENCYPART_ARC
(14,11),0.296691 # DEPENDENCYPART_ARC
(14,12),2.80234 # DEPENDENCYPART_ARC
(14,13),0.0434875 # DEPENDENCYPART_ARC
(14,15),-0.66383 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0661097 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0394506 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0326388 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0641745 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.11179 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0402203 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.103091 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.107523 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0394506 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0326388 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0641745 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.11179 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0402203 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.103091 # DEPENDENCYPART_SIBL
