# _root_ Az ÁPTF 1997 szeptemberében nem járult hozzá , hogy Happy_Bank néven egy vállalkozás alakuljon , mivel semmilyen banki tevékenységet nem végzett volna .
#goldHeads=2,6,4,6,6,0,6,6,6,11,14,13,14,6,6,6,19,19,21,21,6,21,6,
#predictedHeads=2,6,4,6,6,0,6,6,6,11,14,13,14,6,6,6,19,19,21,21,6,21,6,
(0,2),-2.93214 # DEPENDENCYPART_ARC
(0,3),-3.28023 # DEPENDENCYPART_ARC
(0,5),-3.73223 # DEPENDENCYPART_ARC
(0,6),-1.84733 # DEPENDENCYPART_ARC
(0,7),-4.02423 # DEPENDENCYPART_ARC
(0,9),-3.53309 # DEPENDENCYPART_ARC
(0,14),-3.38775 # DEPENDENCYPART_ARC
(0,16),-3.18892 # DEPENDENCYPART_ARC
(0,21),-3.22721 # DEPENDENCYPART_ARC
(0,22),-3.58361 # DEPENDENCYPART_ARC
(2,1),1.44498 # DEPENDENCYPART_ARC
(2,3),-0.69807 # DEPENDENCYPART_ARC
(2,4),-1.27481 # DEPENDENCYPART_ARC
(2,6),-1.1703 # DEPENDENCYPART_ARC
(2,21),-1.74831 # DEPENDENCYPART_ARC
(2,23),-1.54286 # DEPENDENCYPART_ARC
(3,1),-0.847893 # DEPENDENCYPART_ARC
(3,2),-0.0787395 # DEPENDENCYPART_ARC
(3,6),-1.08918 # DEPENDENCYPART_ARC
(3,10),-2.10167 # DEPENDENCYPART_ARC
(3,21),-1.87801 # DEPENDENCYPART_ARC
(3,23),-1.55492 # DEPENDENCYPART_ARC
(4,1),-0.813693 # DEPENDENCYPART_ARC
(4,2),1.03443 # DEPENDENCYPART_ARC
(4,3),1.62681 # DEPENDENCYPART_ARC
(5,4),-0.0728756 # DEPENDENCYPART_ARC
(5,8),-0.95292 # DEPENDENCYPART_ARC
(5,9),-1.06957 # DEPENDENCYPART_ARC
(5,14),-1.51028 # DEPENDENCYPART_ARC
(5,16),-1.1186 # DEPENDENCYPART_ARC
(5,21),-1.70679 # DEPENDENCYPART_ARC
(6,1),-1.15905 # DEPENDENCYPART_ARC
(6,2),1.30748 # DEPENDENCYPART_ARC
(6,3),-0.107132 # DEPENDENCYPART_ARC
(6,4),2.20134 # DEPENDENCYPART_ARC
(6,5),2.51444 # DEPENDENCYPART_ARC
(6,7),1.89579 # DEPENDENCYPART_ARC
(6,8),0.573851 # DEPENDENCYPART_ARC
(6,9),1.79164 # DEPENDENCYPART_ARC
(6,10),-0.462678 # DEPENDENCYPART_ARC
(6,11),0.0826968 # DEPENDENCYPART_ARC
(6,13),-0.988098 # DEPENDENCYPART_ARC
(6,14),0.766517 # DEPENDENCYPART_ARC
(6,15),-0.385987 # DEPENDENCYPART_ARC
(6,16),0.946758 # DEPENDENCYPART_ARC
(6,18),-1.78816 # DEPENDENCYPART_ARC
