# _root_ A bíróságot nem annyira ez utóbbi zavarta , mint inkább a képrongálás , amelynek divatja úgy tűnik feltartóztathatatlan .
#goldHeads=2,7,7,7,6,7,0,7,7,5,12,5,5,18,18,17,18,5,7,
#predictedHeads=2,7,7,7,6,7,0,7,7,17,12,15,7,17,17,17,7,17,7,
(0,2),-3.43414 # DEPENDENCYPART_ARC
(0,3),-3.4282 # DEPENDENCYPART_ARC
(0,4),-3.57628 # DEPENDENCYPART_ARC
(0,5),-3.86636 # DEPENDENCYPART_ARC
(0,6),-4.03951 # DEPENDENCYPART_ARC
(0,7),-1.39712 # DEPENDENCYPART_ARC
(0,9),-3.00611 # DEPENDENCYPART_ARC
(0,10),-3.92327 # DEPENDENCYPART_ARC
(0,16),-4.37397 # DEPENDENCYPART_ARC
(0,17),-2.62728 # DEPENDENCYPART_ARC
(0,18),-4.04492 # DEPENDENCYPART_ARC
(2,1),1.65922 # DEPENDENCYPART_ARC
(2,4),-1.45225 # DEPENDENCYPART_ARC
(2,7),-1.52802 # DEPENDENCYPART_ARC
(2,10),-1.77427 # DEPENDENCYPART_ARC
(3,2),-0.47435 # DEPENDENCYPART_ARC
(3,6),-1.20535 # DEPENDENCYPART_ARC
(3,7),-1.0281 # DEPENDENCYPART_ARC
(3,8),-1.07833 # DEPENDENCYPART_ARC
(3,9),-0.913877 # DEPENDENCYPART_ARC
(3,12),-1.91551 # DEPENDENCYPART_ARC
(3,17),-1.58682 # DEPENDENCYPART_ARC
(3,19),-1.76272 # DEPENDENCYPART_ARC
(4,2),-0.624801 # DEPENDENCYPART_ARC
(4,5),-0.360035 # DEPENDENCYPART_ARC
(4,6),-0.726036 # DEPENDENCYPART_ARC
(4,7),-0.620595 # DEPENDENCYPART_ARC
(4,8),-0.684808 # DEPENDENCYPART_ARC
(4,12),-1.50937 # DEPENDENCYPART_ARC
(4,13),-0.91017 # DEPENDENCYPART_ARC
(4,15),-1.89341 # DEPENDENCYPART_ARC
(4,17),-1.19594 # DEPENDENCYPART_ARC
(4,19),-1.54843 # DEPENDENCYPART_ARC
(5,2),-1.72465 # DEPENDENCYPART_ARC
(5,3),-1.11654 # DEPENDENCYPART_ARC
(5,4),-0.483429 # DEPENDENCYPART_ARC
(5,6),-0.574347 # DEPENDENCYPART_ARC
(5,7),-0.135351 # DEPENDENCYPART_ARC
(5,8),-0.348541 # DEPENDENCYPART_ARC
(5,9),-0.734888 # DEPENDENCYPART_ARC
(5,10),-1.10859 # DEPENDENCYPART_ARC
(5,12),-1.02398 # DEPENDENCYPART_ARC
(5,13),-0.543832 # DEPENDENCYPART_ARC
(5,14),-1.15906 # DEPENDENCYPART_ARC
(5,15),-1.0759 # DEPENDENCYPART_ARC
(5,16),-0.861014 # DEPENDENCYPART_ARC
(5,17),0.215682 # DEPENDENCYPART_ARC
(5,18),-1.06014 # DEPENDENCYPART_ARC
(5,19),-1.73766 # DEPENDENCYPART_ARC
(6,1),-1.05009 # DEPENDENCYPART_ARC
(6,2),-2.92005 # DEPENDENCYPART_ARC
(6,3),-0.930122 # DEPENDENCYPART_ARC
(6,4),-0.487065 # DEPENDENCYPART_ARC
(6,5),1.57386 # DEPENDENCYPART_ARC
(6,8),-0.957241 # DEPENDENCYPART_ARC
(6,10),-1.57847 # DEPENDENCYPART_ARC
(6,17),-1.42743 # DEPENDENCYPART_ARC
(6,19),-1.71314 # DEPENDENCYPART_ARC
(7,1),-1.60825 # DEPENDENCYPART_ARC
(7,2),0.873238 # DEPENDENCYPART_ARC
(7,3),0.764187 # DEPENDENCYPART_ARC
(7,4),1.01939 # DEPENDENCYPART_ARC
(7,5),1.41045 # DEPENDENCYPART_ARC
(7,6),2.86105 # DEPENDENCYPART_ARC
(7,8),0.433384 # DEPENDENCYPART_ARC
(7,9),1.4809 # DEPENDENCYPART_ARC
(7,10),-0.620284 # DEPENDENCYPART_ARC
(7,11),-1.88562 # DEPENDENCYPART_ARC
(7,12),-0.986337 # DEPENDENCYPART_ARC
(7,13),-0.235546 # DEPENDENCYPART_ARC
(7,14),-1.57588 # DEPENDENCYPART_ARC
(7,15),-2.25817 # DEPENDENCYPART_ARC
(7,16),-1.3711 # DEPENDENCYPART_ARC
(7,17),0.151224 # DEPENDENCYPART_ARC
(7,18),-1.7172 # DEPENDENCYPART_ARC
(7,19),-0.933012 # DEPENDENCYPART_ARC
(9,2),-1.86611 # DEPENDENCYPART_ARC
(9,3),-1.55364 # DEPENDENCYPART_ARC
(9,4),-1.17625 # DEPENDENCYPART_ARC
(9,5),-0.875268 # DEPENDENCYPART_ARC
(9,6),-0.840003 # DEPENDENCYPART_ARC
(9,7),-2.35222 # DEPENDENCYPART_ARC
(9,8),0.166896 # DEPENDENCYPART_ARC
(9,10),-1.08537 # DEPENDENCYPART_ARC
(9,12),-1.43983 # DEPENDENCYPART_ARC
(9,13),-1.01014 # DEPENDENCYPART_ARC
(9,15),-1.88548 # DEPENDENCYPART_ARC
(9,17),-0.930413 # DEPENDENCYPART_ARC
(9,18),-1.77754 # DEPENDENCYPART_ARC
(9,19),-0.669159 # DEPENDENCYPART_ARC
(10,2),-1.84245 # DEPENDENCYPART_ARC
(10,3),-1.28151 # DEPENDENCYPART_ARC
(10,4),-1.21244 # DEPENDENCYPART_ARC
(10,6),-1.39245 # DEPENDENCYPART_ARC
(10,7),-1.02376 # DEPENDENCYPART_ARC
(10,8),-1.1656 # DEPENDENCYPART_ARC
(10,9),-0.328844 # DEPENDENCYPART_ARC
(10,12),-0.825824 # DEPENDENCYPART_ARC
