# _root_ Koszovó székhelyének , Pristinának egyik kerületében összegyűjtik az embereket , majd vonatokon és autóbuszokon elindítják őket Macedónia felé .
#goldHeads=2,4,4,7,6,7,11,9,7,11,0,15,15,15,11,15,18,15,11,
#predictedHeads=2,7,7,7,6,7,11,9,7,11,0,15,15,15,11,15,18,15,11,
(0,1),-2.73882 # DEPENDENCYPART_ARC
(0,2),-3.81054 # DEPENDENCYPART_ARC
(0,4),-3.95472 # DEPENDENCYPART_ARC
(0,5),-4.28922 # DEPENDENCYPART_ARC
(0,6),-4.75857 # DEPENDENCYPART_ARC
(0,7),-2.3381 # DEPENDENCYPART_ARC
(0,11),-2.67156 # DEPENDENCYPART_ARC
(0,13),-3.44051 # DEPENDENCYPART_ARC
(0,15),-3.21685 # DEPENDENCYPART_ARC
(0,16),-5.14618 # DEPENDENCYPART_ARC
(1,2),-1.23097 # DEPENDENCYPART_ARC
(1,3),-1.09245 # DEPENDENCYPART_ARC
(1,4),-1.82995 # DEPENDENCYPART_ARC
(1,5),-2.05126 # DEPENDENCYPART_ARC
(1,6),-2.06701 # DEPENDENCYPART_ARC
(1,7),-1.36421 # DEPENDENCYPART_ARC
(1,19),-1.994 # DEPENDENCYPART_ARC
(2,1),3.08645 # DEPENDENCYPART_ARC
(2,3),-0.866749 # DEPENDENCYPART_ARC
(2,4),-1.43407 # DEPENDENCYPART_ARC
(2,6),-2.2389 # DEPENDENCYPART_ARC
(2,7),-1.88959 # DEPENDENCYPART_ARC
(2,11),-1.75665 # DEPENDENCYPART_ARC
(2,15),-2.43289 # DEPENDENCYPART_ARC
(2,18),-2.11603 # DEPENDENCYPART_ARC
(2,19),-2.03563 # DEPENDENCYPART_ARC
(4,1),-0.879666 # DEPENDENCYPART_ARC
(4,2),-0.984362 # DEPENDENCYPART_ARC
(4,3),-0.319834 # DEPENDENCYPART_ARC
(4,5),-1.36533 # DEPENDENCYPART_ARC
(4,6),-1.23123 # DEPENDENCYPART_ARC
(4,7),-1.1139 # DEPENDENCYPART_ARC
(4,9),-1.54345 # DEPENDENCYPART_ARC
(4,10),-0.722507 # DEPENDENCYPART_ARC
(4,12),-2.19293 # DEPENDENCYPART_ARC
(4,14),-2.30041 # DEPENDENCYPART_ARC
(4,15),-1.8139 # DEPENDENCYPART_ARC
(4,19),-1.66418 # DEPENDENCYPART_ARC
(5,6),-0.582237 # DEPENDENCYPART_ARC
(5,7),-0.492632 # DEPENDENCYPART_ARC
(5,9),-1.66128 # DEPENDENCYPART_ARC
(5,10),-1.02075 # DEPENDENCYPART_ARC
(5,11),-0.544145 # DEPENDENCYPART_ARC
(5,12),-1.63454 # DEPENDENCYPART_ARC
(5,13),-0.777057 # DEPENDENCYPART_ARC
(5,14),-1.67302 # DEPENDENCYPART_ARC
(5,15),-0.12899 # DEPENDENCYPART_ARC
(5,17),-1.59321 # DEPENDENCYPART_ARC
(5,19),-1.79128 # DEPENDENCYPART_ARC
(6,1),-0.486123 # DEPENDENCYPART_ARC
(6,2),-2.62657 # DEPENDENCYPART_ARC
(6,3),-0.627778 # DEPENDENCYPART_ARC
(6,4),-0.3984 # DEPENDENCYPART_ARC
(6,5),1.58787 # DEPENDENCYPART_ARC
(6,9),-1.48996 # DEPENDENCYPART_ARC
(6,15),-2.50849 # DEPENDENCYPART_ARC
(6,18),-1.93844 # DEPENDENCYPART_ARC
(7,1),-0.613046 # DEPENDENCYPART_ARC
(7,2),-0.339242 # DEPENDENCYPART_ARC
(7,3),-0.0735668 # DEPENDENCYPART_ARC
(7,4),0.903319 # DEPENDENCYPART_ARC
(7,5),0.379791 # DEPENDENCYPART_ARC
(7,6),2.57572 # DEPENDENCYPART_ARC
(7,8),-1.10749 # DEPENDENCYPART_ARC
(7,9),2.42042 # DEPENDENCYPART_ARC
(7,10),0.155893 # DEPENDENCYPART_ARC
(7,11),-0.101131 # DEPENDENCYPART_ARC
(7,12),-0.0541311 # DEPENDENCYPART_ARC
(7,13),-0.232433 # DEPENDENCYPART_ARC
(7,14),-0.773308 # DEPENDENCYPART_ARC
(7,15),-0.162536 # DEPENDENCYPART_ARC
(7,16),-1.38503 # DEPENDENCYPART_ARC
(7,17),-2.4572 # DEPENDENCYPART_ARC
(7,18),-0.775238 # DEPENDENCYPART_ARC
(7,19),-0.822897 # DEPENDENCYPART_ARC
(9,4),-2.64639 # DEPENDENCYPART_ARC
(9,5),-1.08597 # DEPENDENCYPART_ARC
(9,6),-3.2261 # DEPENDENCYPART_ARC
(9,8),1.87533 # DEPENDENCYPART_ARC
(9,10),-0.804523 # DEPENDENCYPART_ARC
(9,11),-1.69236 # DEPENDENCYPART_ARC
(9,12),-2.11931 # DEPENDENCYPART_ARC
(9,13),-1.56738 # DEPENDENCYPART_ARC
(9,14),-2.40107 # DEPENDENCYPART_ARC
(9,15),-2.21346 # DEPENDENCYPART_ARC
(9,18),-1.90489 # DEPENDENCYPART_ARC
(11,1),-2.37108 # DEPENDENCYPART_ARC
(11,2),-2.57768 # DEPENDENCYPART_ARC
(11,3),-1.93068 # DEPENDENCYPART_ARC
(11,4),-2.1218 # DEPENDENCYPART_ARC
(11,5),-2.20333 # DEPENDENCYPART_ARC
(11,6),-2.02941 # DEPENDENCYPART_ARC
(11,7),0.16967 # DEPENDENCYPART_ARC
(11,8),-1.39846 # DEPENDENCYPART_ARC
(11,9),-1.62073 # DEPENDENCYPART_ARC
(11,10),0.168657 # DEPENDENCYPART_ARC
(11,12),-1.26816 # DEPENDENCYPART_ARC
(11,13),-1.23668 # DEPENDENCYPART_ARC
(11,14),-1.78067 # DEPENDENCYPART_ARC
(11,15),-0.456508 # DEPENDENCYPART_ARC
(11,17),-1.84289 # DEPENDENCYPART_ARC
(11,18),-1.68668 # DEPENDENCYPART_ARC
(11,19),-0.539714 # DEPENDENCYPART_ARC
(12,1),-3.58006 # DEPENDENCYPART_ARC
(12,5),-2.24785 # DEPENDENCYPART_ARC
(12,7),-2.69557 # DEPENDENCYPART_ARC
(12,8),-0.563333 # DEPENDENCYPART_ARC
(12,9),-2.67659 # DEPENDENCYPART_ARC
(12,10),-0.928268 # DEPENDENCYPART_ARC
(12,11),-0.104623 # DEPENDENCYPART_ARC
(12,13),-1.38276 # DEPENDENCYPART_ARC
(12,14),-1.77206 # DEPENDENCYPART_ARC
(12,18),-1.74301 # DEPENDENCYPART_ARC
(13,2),-2.64228 # DEPENDENCYPART_ARC
(13,3),-1.90942 # DEPENDENCYPART_ARC
(13,5),-2.48216 # DEPENDENCYPART_ARC
(13,7),-0.403144 # DEPENDENCYPART_ARC
(13,8),-1.90946 # DEPENDENCYPART_ARC
(13,9),-1.85024 # DEPENDENCYPART_ARC
(13,10),-0.585677 # DEPENDENCYPART_ARC
(13,11),-0.57694 # DEPENDENCYPART_ARC
(13,12),-0.680506 # DEPENDENCYPART_ARC
(13,14),-1.12029 # DEPENDENCYPART_ARC
(13,15),-0.505123 # DEPENDENCYPART_ARC
(13,17),-1.4439 # DEPENDENCYPART_ARC
(13,18),-1.70278 # DEPENDENCYPART_ARC
(13,19),-1.41229 # DEPENDENCYPART_ARC
(14,1),-3.77698 # DEPENDENCYPART_ARC
