# _root_ Krőzsel pénzügyi okokkal magyarázta , hogy az ORFK vezetése csökkentette a MESZ létszámát , pedig elégedett volt az eddigi tevékenységével .
#goldHeads=4,3,4,0,4,4,8,9,10,4,12,13,10,4,4,17,4,20,20,17,4,
#predictedHeads=4,3,4,0,4,4,8,9,10,4,12,13,10,10,17,17,4,20,20,17,4,
(0,1),-2.74102 # DEPENDENCYPART_ARC
(0,3),-4.23788 # DEPENDENCYPART_ARC
(0,4),-1.37546 # DEPENDENCYPART_ARC
(0,6),-3.0903 # DEPENDENCYPART_ARC
(0,10),-2.40949 # DEPENDENCYPART_ARC
(0,15),-2.54944 # DEPENDENCYPART_ARC
(0,17),-3.20297 # DEPENDENCYPART_ARC
(1,2),-1.04333 # DEPENDENCYPART_ARC
(1,3),-1.54507 # DEPENDENCYPART_ARC
(1,4),-1.23723 # DEPENDENCYPART_ARC
(1,5),-0.937078 # DEPENDENCYPART_ARC
(1,6),-1.40534 # DEPENDENCYPART_ARC
(1,8),-1.72811 # DEPENDENCYPART_ARC
(1,10),-1.75002 # DEPENDENCYPART_ARC
(1,14),-1.16999 # DEPENDENCYPART_ARC
(1,17),-2.1366 # DEPENDENCYPART_ARC
(1,20),-2.53825 # DEPENDENCYPART_ARC
(1,21),-1.63449 # DEPENDENCYPART_ARC
(2,1),0.459963 # DEPENDENCYPART_ARC
(2,5),-1.22854 # DEPENDENCYPART_ARC
(2,10),-1.78376 # DEPENDENCYPART_ARC
(2,21),-1.64861 # DEPENDENCYPART_ARC
(3,1),0.58727 # DEPENDENCYPART_ARC
(3,2),2.81139 # DEPENDENCYPART_ARC
(3,5),-1.17524 # DEPENDENCYPART_ARC
(3,10),-2.24224 # DEPENDENCYPART_ARC
(3,17),-2.53804 # DEPENDENCYPART_ARC
(3,21),-1.96554 # DEPENDENCYPART_ARC
(4,1),1.37471 # DEPENDENCYPART_ARC
(4,2),0.224599 # DEPENDENCYPART_ARC
(4,3),1.82171 # DEPENDENCYPART_ARC
(4,5),0.529729 # DEPENDENCYPART_ARC
(4,6),1.86925 # DEPENDENCYPART_ARC
(4,7),-1.67026 # DEPENDENCYPART_ARC
(4,8),-1.22446 # DEPENDENCYPART_ARC
(4,9),-1.11455 # DEPENDENCYPART_ARC
(4,10),0.479764 # DEPENDENCYPART_ARC
(4,11),-2.18398 # DEPENDENCYPART_ARC
(4,12),-2.24839 # DEPENDENCYPART_ARC
(4,13),-0.645743 # DEPENDENCYPART_ARC
(4,14),-0.346991 # DEPENDENCYPART_ARC
(4,15),-0.990592 # DEPENDENCYPART_ARC
(4,16),-2.00635 # DEPENDENCYPART_ARC
(4,17),-0.159288 # DEPENDENCYPART_ARC
(4,19),-2.21673 # DEPENDENCYPART_ARC
(4,20),-2.37158 # DEPENDENCYPART_ARC
(4,21),-0.769295 # DEPENDENCYPART_ARC
(6,1),-0.746407 # DEPENDENCYPART_ARC
(6,2),-0.657868 # DEPENDENCYPART_ARC
(6,3),-0.902962 # DEPENDENCYPART_ARC
(6,4),-2.00852 # DEPENDENCYPART_ARC
(6,5),0.148562 # DEPENDENCYPART_ARC
(6,8),-0.971678 # DEPENDENCYPART_ARC
(6,9),-1.36199 # DEPENDENCYPART_ARC
(6,10),-0.320226 # DEPENDENCYPART_ARC
(6,12),-1.56981 # DEPENDENCYPART_ARC
(6,13),-1.84611 # DEPENDENCYPART_ARC
(6,14),-1.16763 # DEPENDENCYPART_ARC
