# _root_ Fémlemezzel borított , falra és oszlopokra hasonlító elemek szolgálnak díszletül a Kár,_hogy_ká című John_Ford-dráma előadásához .
#goldHeads=2,8,8,7,7,7,8,9,0,9,14,13,14,15,9,9,
#predictedHeads=2,8,8,9,8,7,8,9,0,9,14,13,14,15,9,9,
(0,1),-3.34418 # DEPENDENCYPART_ARC
(0,2),-3.57707 # DEPENDENCYPART_ARC
(0,4),-4.3472 # DEPENDENCYPART_ARC
(0,5),-3.56788 # DEPENDENCYPART_ARC
(0,7),-4.14192 # DEPENDENCYPART_ARC
(0,8),-4.95436 # DEPENDENCYPART_ARC
(0,9),-2.73659 # DEPENDENCYPART_ARC
(0,10),-4.97209 # DEPENDENCYPART_ARC
(1,2),-1.41757 # DEPENDENCYPART_ARC
(1,9),-1.86859 # DEPENDENCYPART_ARC
(1,14),-2.40272 # DEPENDENCYPART_ARC
(1,15),-2.93529 # DEPENDENCYPART_ARC
(1,16),-1.71949 # DEPENDENCYPART_ARC
(2,1),1.44424 # DEPENDENCYPART_ARC
(2,3),-0.320626 # DEPENDENCYPART_ARC
(2,4),-1.01076 # DEPENDENCYPART_ARC
(2,5),-1.41635 # DEPENDENCYPART_ARC
(2,6),-1.57416 # DEPENDENCYPART_ARC
(2,8),-2.05756 # DEPENDENCYPART_ARC
(2,9),-1.40009 # DEPENDENCYPART_ARC
(2,10),-1.92628 # DEPENDENCYPART_ARC
(2,14),-2.15759 # DEPENDENCYPART_ARC
(2,15),-2.19469 # DEPENDENCYPART_ARC
(2,16),-1.59166 # DEPENDENCYPART_ARC
(4,1),-2.04125 # DEPENDENCYPART_ARC
(4,2),0.547723 # DEPENDENCYPART_ARC
(4,3),0.161537 # DEPENDENCYPART_ARC
(4,6),-1.75906 # DEPENDENCYPART_ARC
(4,8),-1.6487 # DEPENDENCYPART_ARC
(4,9),-1.95503 # DEPENDENCYPART_ARC
(4,14),-2.25067 # DEPENDENCYPART_ARC
(4,16),-2.11451 # DEPENDENCYPART_ARC
(5,1),-1.59457 # DEPENDENCYPART_ARC
(5,2),-1.40561 # DEPENDENCYPART_ARC
(5,3),-0.729262 # DEPENDENCYPART_ARC
(5,4),-1.00518 # DEPENDENCYPART_ARC
(5,6),-1.18148 # DEPENDENCYPART_ARC
(5,7),-1.41497 # DEPENDENCYPART_ARC
(5,8),-1.31714 # DEPENDENCYPART_ARC
(5,9),-1.14128 # DEPENDENCYPART_ARC
(5,10),-1.81047 # DEPENDENCYPART_ARC
(5,12),-1.80619 # DEPENDENCYPART_ARC
(5,14),-1.90379 # DEPENDENCYPART_ARC
(5,15),-2.15299 # DEPENDENCYPART_ARC
(5,16),-2.79197 # DEPENDENCYPART_ARC
(6,1),-2.82556 # DEPENDENCYPART_ARC
(6,2),-1.13249 # DEPENDENCYPART_ARC
(6,3),-0.575921 # DEPENDENCYPART_ARC
(6,4),-0.86428 # DEPENDENCYPART_ARC
(6,5),-0.0106761 # DEPENDENCYPART_ARC
(6,7),-1.08439 # DEPENDENCYPART_ARC
(6,8),-1.14063 # DEPENDENCYPART_ARC
(6,9),-1.56537 # DEPENDENCYPART_ARC
(6,10),-2.05113 # DEPENDENCYPART_ARC
(6,12),-2.10487 # DEPENDENCYPART_ARC
(6,14),-2.17888 # DEPENDENCYPART_ARC
(6,15),-2.95284 # DEPENDENCYPART_ARC
(6,16),-1.391 # DEPENDENCYPART_ARC
(7,1),-0.67312 # DEPENDENCYPART_ARC
(7,2),-1.45392 # DEPENDENCYPART_ARC
(7,3),-0.677246 # DEPENDENCYPART_ARC
(7,4),0.151263 # DEPENDENCYPART_ARC
(7,5),-0.0329496 # DEPENDENCYPART_ARC
(7,6),1.25103 # DEPENDENCYPART_ARC
(7,12),-1.85106 # DEPENDENCYPART_ARC
(8,1),-2.83177 # DEPENDENCYPART_ARC
(8,2),-0.0420895 # DEPENDENCYPART_ARC
(8,3),0.342455 # DEPENDENCYPART_ARC
(8,4),-1.61739 # DEPENDENCYPART_ARC
(8,5),-0.155576 # DEPENDENCYPART_ARC
(8,6),-0.514646 # DEPENDENCYPART_ARC
(8,7),2.57934 # DEPENDENCYPART_ARC
(8,9),-0.945837 # DEPENDENCYPART_ARC
(8,10),-1.93304 # DEPENDENCYPART_ARC
(8,12),-1.84429 # DEPENDENCYPART_ARC
(8,14),-1.96371 # DEPENDENCYPART_ARC
(8,15),-2.77153 # DEPENDENCYPART_ARC
(8,16),-1.67395 # DEPENDENCYPART_ARC
(9,1),-0.440819 # DEPENDENCYPART_ARC
(9,2),-1.6319 # DEPENDENCYPART_ARC
(9,3),-0.274178 # DEPENDENCYPART_ARC
(9,4),0.488427 # DEPENDENCYPART_ARC
(9,5),0.484182 # DEPENDENCYPART_ARC
(9,6),1.71853 # DEPENDENCYPART_ARC
(9,7),-0.188935 # DEPENDENCYPART_ARC
(9,8),2.7541 # DEPENDENCYPART_ARC
(9,10),1.45324 # DEPENDENCYPART_ARC
(9,11),-1.38382 # DEPENDENCYPART_ARC
(9,12),-0.613129 # DEPENDENCYPART_ARC
(9,13),-0.971567 # DEPENDENCYPART_ARC
(9,14),-0.0325415 # DEPENDENCYPART_ARC
(9,15),0.643416 # DEPENDENCYPART_ARC
(9,16),-0.558107 # DEPENDENCYPART_ARC
(10,2),-2.15534 # DEPENDENCYPART_ARC
(10,3),-0.930846 # DEPENDENCYPART_ARC
(10,5),-1.38044 # DEPENDENCYPART_ARC
(10,6),-3.18188 # DEPENDENCYPART_ARC
(10,7),-0.815171 # DEPENDENCYPART_ARC
(10,8),-1.35327 # DEPENDENCYPART_ARC
(10,9),-0.773981 # DEPENDENCYPART_ARC
(10,11),-1.3314 # DEPENDENCYPART_ARC
(10,12),-1.41687 # DEPENDENCYPART_ARC
(10,13),-1.55474 # DEPENDENCYPART_ARC
(10,14),-1.67655 # DEPENDENCYPART_ARC
(10,15),-2.36899 # DEPENDENCYPART_ARC
(10,16),-1.18294 # DEPENDENCYPART_ARC
(11,12),-0.761017 # DEPENDENCYPART_ARC
(11,13),-0.919811 # DEPENDENCYPART_ARC
(12,10),-2.37788 # DEPENDENCYPART_ARC
(12,11),1.07057 # DEPENDENCYPART_ARC
(12,14),-0.859965 # DEPENDENCYPART_ARC
(12,15),-1.64692 # DEPENDENCYPART_ARC
(12,16),-1.50049 # DEPENDENCYPART_ARC
(13,1),-1.11861 # DEPENDENCYPART_ARC
(13,4),-0.510104 # DEPENDENCYPART_ARC
(13,5),-0.28741 # DEPENDENCYPART_ARC
(13,6),-0.605306 # DEPENDENCYPART_ARC
(13,8),-1.32378 # DEPENDENCYPART_ARC
(13,9),-0.624969 # DEPENDENCYPART_ARC
(13,10),-0.0432151 # DEPENDENCYPART_ARC
(13,11),-0.232553 # DEPENDENCYPART_ARC
(13,12),1.54539 # DEPENDENCYPART_ARC
(13,15),-1.56863 # DEPENDENCYPART_ARC
(14,1),-4.25911 # DEPENDENCYPART_ARC
(14,2),-1.76516 # DEPENDENCYPART_ARC
(14,3),-0.0189969 # DEPENDENCYPART_ARC
(14,4),-3.29243 # DEPENDENCYPART_ARC
(14,5),-0.793738 # DEPENDENCYPART_ARC
(14,6),-3.28561 # DEPENDENCYPART_ARC
(14,7),-1.04901 # DEPENDENCYPART_ARC
(14,8),-2.46518 # DEPENDENCYPART_ARC
(14,9),-1.14018 # DEPENDENCYPART_ARC
(14,10),-2.01552 # DEPENDENCYPART_ARC
(14,11),0.536574 # DEPENDENCYPART_ARC
(14,12),1.63439 # DEPENDENCYPART_ARC
(14,13),2.50159 # DEPENDENCYPART_ARC
(14,15),-1.76738 # DEPENDENCYPART_ARC
(15,3),-0.46196 # DEPENDENCYPART_ARC
(15,4),-3.18229 # DEPENDENCYPART_ARC
(15,5),-0.512516 # DEPENDENCYPART_ARC
(15,6),-2.74107 # DEPENDENCYPART_ARC
(15,8),-0.701987 # DEPENDENCYPART_ARC
(15,10),-2.22223 # DEPENDENCYPART_ARC
(15,11),-0.674945 # DEPENDENCYPART_ARC
(15,12),0.919153 # DEPENDENCYPART_ARC
(15,13),0.623025 # DEPENDENCYPART_ARC
(15,14),3.26562 # DEPENDENCYPART_ARC
(15,16),-1.15065 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0326239 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0661097 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.120009 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0326246 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0661278 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.107919 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0661097 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0345846 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0987385 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0623101 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0345933 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0886342 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0345846 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.120009 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0326246 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0661278 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.107919 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0661097 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0894222 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0674034 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.123342 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0674034 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0345963 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0888163 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0345876 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.107939 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0661356 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.110025 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.055862 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0547467 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0547467 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.106008 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.0764114 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.0764114 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.211972 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.00471394 # DEPENDENCYPART_SIBL
(1,14),(1,16),0.0485651 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.0485651 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0211606 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0205572 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.014166 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0205572 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0204696 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0112537 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0205572 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0205572 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0205572 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0621801 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.162399 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0624659 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.162399 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.162362 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.377669 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.162399 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.162399 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.162399 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0898977 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0213319 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.000574103 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.000609317 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0433604 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.000574103 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.000574103 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.000574103 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0136211 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.00682381 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.00681269 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0354437 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.00682381 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.00682381 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.00682381 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.000828537 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.000609317 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0433604 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.000574103 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.000574103 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.000574103 # DEPENDENCYPART_SIBL
