# _root_ Az internacionális BEK-döntő első mérkőzésén a magyar bajnok 4:2-re győzött , s ha csak ezt tekintjük , a Marczibányi téri visszavágó nem ígér különösebb izgalmakat .
#goldHeads=3,3,5,5,10,8,8,10,10,12,12,0,23,16,16,23,23,21,20,21,23,23,12,25,23,12,
#predictedHeads=3,3,5,5,10,8,8,10,10,12,12,0,23,16,16,12,23,19,20,21,23,23,12,25,23,12,
(0,4),-3.45622 # DEPENDENCYPART_ARC
(0,9),-3.51792 # DEPENDENCYPART_ARC
(0,10),-1.75783 # DEPENDENCYPART_ARC
(0,12),-2.11801 # DEPENDENCYPART_ARC
(0,13),-3.9548 # DEPENDENCYPART_ARC
(0,15),-4.85886 # DEPENDENCYPART_ARC
(0,16),-2.86181 # DEPENDENCYPART_ARC
(0,23),-3.62307 # DEPENDENCYPART_ARC
(1,2),-0.552774 # DEPENDENCYPART_ARC
(1,4),-0.809516 # DEPENDENCYPART_ARC
(1,5),-1.54228 # DEPENDENCYPART_ARC
(2,1),-0.312263 # DEPENDENCYPART_ARC
(3,1),1.24247 # DEPENDENCYPART_ARC
(3,2),2.24868 # DEPENDENCYPART_ARC
(3,5),-1.799 # DEPENDENCYPART_ARC
(3,8),-1.23915 # DEPENDENCYPART_ARC
(3,9),-1.67069 # DEPENDENCYPART_ARC
(3,11),-1.00359 # DEPENDENCYPART_ARC
(3,26),-1.74789 # DEPENDENCYPART_ARC
(4,3),-0.0928075 # DEPENDENCYPART_ARC
(4,8),-1.60433 # DEPENDENCYPART_ARC
(5,1),-0.999951 # DEPENDENCYPART_ARC
(5,2),-0.420965 # DEPENDENCYPART_ARC
(5,3),1.26545 # DEPENDENCYPART_ARC
(5,4),2.13691 # DEPENDENCYPART_ARC
(5,6),-1.70955 # DEPENDENCYPART_ARC
(5,7),-1.70117 # DEPENDENCYPART_ARC
(5,8),-1.07942 # DEPENDENCYPART_ARC
(5,9),-1.84474 # DEPENDENCYPART_ARC
(5,11),-1.14345 # DEPENDENCYPART_ARC
(5,16),-2.53345 # DEPENDENCYPART_ARC
(5,23),-2.14789 # DEPENDENCYPART_ARC
(5,26),-1.75441 # DEPENDENCYPART_ARC
(6,7),-0.551513 # DEPENDENCYPART_ARC
(7,3),-2.53329 # DEPENDENCYPART_ARC
(7,5),-1.09591 # DEPENDENCYPART_ARC
(7,6),-0.918655 # DEPENDENCYPART_ARC
(8,1),-0.775813 # DEPENDENCYPART_ARC
(8,2),-0.746066 # DEPENDENCYPART_ARC
(8,3),-1.34581 # DEPENDENCYPART_ARC
(8,4),-0.244917 # DEPENDENCYPART_ARC
(8,5),-2.56912 # DEPENDENCYPART_ARC
(8,6),1.40868 # DEPENDENCYPART_ARC
(8,7),2.33309 # DEPENDENCYPART_ARC
(8,9),-1.42525 # DEPENDENCYPART_ARC
(9,2),-0.746959 # DEPENDENCYPART_ARC
(9,7),0.00339912 # DEPENDENCYPART_ARC
(9,8),0.655688 # DEPENDENCYPART_ARC
(9,10),-0.476007 # DEPENDENCYPART_ARC
(9,11),-0.562316 # DEPENDENCYPART_ARC
(9,16),-1.04631 # DEPENDENCYPART_ARC
(9,17),-0.713383 # DEPENDENCYPART_ARC
(10,1),-1.53162 # DEPENDENCYPART_ARC
(10,2),-1.20606 # DEPENDENCYPART_ARC
(10,3),0.438692 # DEPENDENCYPART_ARC
(10,4),-0.900987 # DEPENDENCYPART_ARC
(10,5),1.43098 # DEPENDENCYPART_ARC
(10,6),-1.36959 # DEPENDENCYPART_ARC
(10,7),-0.425928 # DEPENDENCYPART_ARC
(10,8),1.49657 # DEPENDENCYPART_ARC
(10,9),1.17704 # DEPENDENCYPART_ARC
(10,11),0.548382 # DEPENDENCYPART_ARC
(10,12),-0.0454803 # DEPENDENCYPART_ARC
(10,13),0.874822 # DEPENDENCYPART_ARC
(10,14),-0.96809 # DEPENDENCYPART_ARC
(10,15),-1.47157 # DEPENDENCYPART_ARC
(10,16),-0.238158 # DEPENDENCYPART_ARC
(10,17),-1.05043 # DEPENDENCYPART_ARC
(10,18),-2.42757 # DEPENDENCYPART_ARC
(10,20),-1.96793 # DEPENDENCYPART_ARC
