# _root_ Sarkad önkormányzata 6,6_millió forintos támogatást kapott , amelyből 50 közhasznú munkás foglalkoztatását tudja megoldani .
#goldHeads=2,6,4,5,6,0,6,14,11,11,12,14,6,13,6,
#predictedHeads=2,6,4,5,6,0,6,14,11,11,12,14,6,13,13,
(0,1),-1.9961 # DEPENDENCYPART_ARC
(0,2),-2.34177 # DEPENDENCYPART_ARC
(0,3),-2.30813 # DEPENDENCYPART_ARC
(0,4),-2.71072 # DEPENDENCYPART_ARC
(0,5),-3.65078 # DEPENDENCYPART_ARC
(0,6),-0.701038 # DEPENDENCYPART_ARC
(0,9),-3.19817 # DEPENDENCYPART_ARC
(0,10),-3.40299 # DEPENDENCYPART_ARC
(0,11),-4.11262 # DEPENDENCYPART_ARC
(0,12),-4.64126 # DEPENDENCYPART_ARC
(0,13),-2.27455 # DEPENDENCYPART_ARC
(0,14),-2.63197 # DEPENDENCYPART_ARC
(1,2),-0.371216 # DEPENDENCYPART_ARC
(1,3),-0.670501 # DEPENDENCYPART_ARC
(1,4),-0.818348 # DEPENDENCYPART_ARC
(1,5),-0.974613 # DEPENDENCYPART_ARC
(1,6),-0.919716 # DEPENDENCYPART_ARC
(1,7),-0.209607 # DEPENDENCYPART_ARC
(1,8),-2.07226 # DEPENDENCYPART_ARC
(1,9),-1.04235 # DEPENDENCYPART_ARC
(1,10),-1.36173 # DEPENDENCYPART_ARC
(1,11),-1.18599 # DEPENDENCYPART_ARC
(1,12),-2.3037 # DEPENDENCYPART_ARC
(1,13),-0.810828 # DEPENDENCYPART_ARC
(1,14),-0.573986 # DEPENDENCYPART_ARC
(1,15),0.257641 # DEPENDENCYPART_ARC
(2,1),3.94736 # DEPENDENCYPART_ARC
(2,3),-0.326933 # DEPENDENCYPART_ARC
(2,4),-0.345616 # DEPENDENCYPART_ARC
(2,5),-0.79716 # DEPENDENCYPART_ARC
(2,6),-0.425975 # DEPENDENCYPART_ARC
(2,7),0.166093 # DEPENDENCYPART_ARC
(2,8),-2.40256 # DEPENDENCYPART_ARC
(2,9),-0.805463 # DEPENDENCYPART_ARC
(2,10),-0.993913 # DEPENDENCYPART_ARC
(2,11),-0.887495 # DEPENDENCYPART_ARC
(2,12),-1.86811 # DEPENDENCYPART_ARC
(2,13),-1.09706 # DEPENDENCYPART_ARC
(2,14),-0.225634 # DEPENDENCYPART_ARC
(2,15),0.737598 # DEPENDENCYPART_ARC
(3,1),0.110316 # DEPENDENCYPART_ARC
(3,2),0.321249 # DEPENDENCYPART_ARC
(3,4),-0.362874 # DEPENDENCYPART_ARC
(3,5),-0.973277 # DEPENDENCYPART_ARC
(3,6),-0.406175 # DEPENDENCYPART_ARC
(3,7),-0.376751 # DEPENDENCYPART_ARC
(3,8),-1.57274 # DEPENDENCYPART_ARC
(3,9),-1.19695 # DEPENDENCYPART_ARC
(3,10),-1.2135 # DEPENDENCYPART_ARC
(3,11),-1.32235 # DEPENDENCYPART_ARC
(3,12),-2.17941 # DEPENDENCYPART_ARC
(3,13),-0.380683 # DEPENDENCYPART_ARC
(3,14),-0.885805 # DEPENDENCYPART_ARC
(3,15),0.434226 # DEPENDENCYPART_ARC
(4,1),-0.0699104 # DEPENDENCYPART_ARC
(4,2),-0.0816669 # DEPENDENCYPART_ARC
(4,3),2.65663 # DEPENDENCYPART_ARC
(4,5),-1.18364 # DEPENDENCYPART_ARC
(4,6),-0.810803 # DEPENDENCYPART_ARC
(4,7),-0.632307 # DEPENDENCYPART_ARC
(4,8),-2.07704 # DEPENDENCYPART_ARC
(4,9),-1.27683 # DEPENDENCYPART_ARC
(4,10),-1.85156 # DEPENDENCYPART_ARC
(4,11),-1.83947 # DEPENDENCYPART_ARC
(4,12),-2.57867 # DEPENDENCYPART_ARC
(4,13),-1.26787 # DEPENDENCYPART_ARC
(4,14),-1.34595 # DEPENDENCYPART_ARC
(4,15),-0.364513 # DEPENDENCYPART_ARC
(5,1),0.813871 # DEPENDENCYPART_ARC
(5,2),-0.29042 # DEPENDENCYPART_ARC
(5,3),1.79311 # DEPENDENCYPART_ARC
(5,4),3.69199 # DEPENDENCYPART_ARC
(5,6),-0.95386 # DEPENDENCYPART_ARC
(5,7),-0.710246 # DEPENDENCYPART_ARC
(5,8),-2.44731 # DEPENDENCYPART_ARC
(5,9),-1.61892 # DEPENDENCYPART_ARC
(5,10),-1.60073 # DEPENDENCYPART_ARC
(5,11),-2.04999 # DEPENDENCYPART_ARC
(5,12),-2.19741 # DEPENDENCYPART_ARC
(5,13),-1.25999 # DEPENDENCYPART_ARC
(5,14),-0.971863 # DEPENDENCYPART_ARC
(5,15),0.032151 # DEPENDENCYPART_ARC
(6,1),2.19599 # DEPENDENCYPART_ARC
(6,2),2.68786 # DEPENDENCYPART_ARC
(6,3),0.804575 # DEPENDENCYPART_ARC
(6,4),1.03714 # DEPENDENCYPART_ARC
(6,5),3.47116 # DEPENDENCYPART_ARC
(6,7),1.62538 # DEPENDENCYPART_ARC
(6,8),-0.118906 # DEPENDENCYPART_ARC
(6,9),-0.327962 # DEPENDENCYPART_ARC
(6,10),-0.316434 # DEPENDENCYPART_ARC
(6,11),-0.197016 # DEPENDENCYPART_ARC
(6,12),-0.586554 # DEPENDENCYPART_ARC
(6,13),1.42557 # DEPENDENCYPART_ARC
(6,14),1.49419 # DEPENDENCYPART_ARC
(6,15),1.99267 # DEPENDENCYPART_ARC
(8,2),-0.968784 # DEPENDENCYPART_ARC
(8,4),-0.609296 # DEPENDENCYPART_ARC
(8,5),-1.41222 # DEPENDENCYPART_ARC
(8,10),-0.494152 # DEPENDENCYPART_ARC
(8,11),-0.195474 # DEPENDENCYPART_ARC
(8,12),-0.998871 # DEPENDENCYPART_ARC
(9,1),-1.88684 # DEPENDENCYPART_ARC
(9,2),-2.34615 # DEPENDENCYPART_ARC
(9,3),-1.7316 # DEPENDENCYPART_ARC
(9,4),-2.14346 # DEPENDENCYPART_ARC
(9,5),-2.3444 # DEPENDENCYPART_ARC
(9,6),-0.85952 # DEPENDENCYPART_ARC
(9,7),-1.07591 # DEPENDENCYPART_ARC
(9,8),-0.292766 # DEPENDENCYPART_ARC
(9,10),-0.464472 # DEPENDENCYPART_ARC
(9,11),-0.357085 # DEPENDENCYPART_ARC
(9,12),-1.58842 # DEPENDENCYPART_ARC
(9,13),-0.282476 # DEPENDENCYPART_ARC
(9,14),-1.05195 # DEPENDENCYPART_ARC
(9,15),-0.101514 # DEPENDENCYPART_ARC
(10,1),-2.20626 # DEPENDENCYPART_ARC
(10,2),-2.58181 # DEPENDENCYPART_ARC
(10,3),-0.629641 # DEPENDENCYPART_ARC
(10,4),-1.34495 # DEPENDENCYPART_ARC
(10,5),-1.50408 # DEPENDENCYPART_ARC
(10,6),-1.34871 # DEPENDENCYPART_ARC
(10,7),-0.377413 # DEPENDENCYPART_ARC
(10,8),0.25986 # DEPENDENCYPART_ARC
(10,9),1.6191 # DEPENDENCYPART_ARC
(10,11),-0.715124 # DEPENDENCYPART_ARC
(10,12),-1.60619 # DEPENDENCYPART_ARC
(10,13),-0.93846 # DEPENDENCYPART_ARC
(10,14),-1.20164 # DEPENDENCYPART_ARC
(10,15),-0.943357 # DEPENDENCYPART_ARC
(11,1),-0.999299 # DEPENDENCYPART_ARC
(11,2),-2.67176 # DEPENDENCYPART_ARC
(11,3),-0.152637 # DEPENDENCYPART_ARC
(11,4),0.772361 # DEPENDENCYPART_ARC
(11,5),-3.48898 # DEPENDENCYPART_ARC
(11,6),0.0244985 # DEPENDENCYPART_ARC
(11,7),0.0234701 # DEPENDENCYPART_ARC
(11,8),-0.782287 # DEPENDENCYPART_ARC
(11,9),1.90445 # DEPENDENCYPART_ARC
(11,10),3.81624 # DEPENDENCYPART_ARC
(11,12),-1.24299 # DEPENDENCYPART_ARC
(11,13),-0.639925 # DEPENDENCYPART_ARC
(11,14),-0.598958 # DEPENDENCYPART_ARC
(11,15),-0.389439 # DEPENDENCYPART_ARC
(12,1),-0.585448 # DEPENDENCYPART_ARC
(12,2),-1.85368 # DEPENDENCYPART_ARC
(12,3),-0.410699 # DEPENDENCYPART_ARC
(12,4),-0.390067 # DEPENDENCYPART_ARC
(12,5),-2.96936 # DEPENDENCYPART_ARC
(12,6),-2.19312 # DEPENDENCYPART_ARC
(12,7),-0.0612098 # DEPENDENCYPART_ARC
(12,8),-1.32216 # DEPENDENCYPART_ARC
(12,9),0.963626 # DEPENDENCYPART_ARC
(12,10),1.89865 # DEPENDENCYPART_ARC
(12,11),4.44593 # DEPENDENCYPART_ARC
(12,13),-1.35329 # DEPENDENCYPART_ARC
(12,14),-0.620652 # DEPENDENCYPART_ARC
(12,15),-0.331324 # DEPENDENCYPART_ARC
(13,1),-0.69985 # DEPENDENCYPART_ARC
(13,2),-0.838098 # DEPENDENCYPART_ARC
(13,3),-1.48584 # DEPENDENCYPART_ARC
(13,4),-2.07805 # DEPENDENCYPART_ARC
(13,5),-0.346283 # DEPENDENCYPART_ARC
(13,6),-0.711033 # DEPENDENCYPART_ARC
(13,7),-0.178331 # DEPENDENCYPART_ARC
(13,8),1.28942 # DEPENDENCYPART_ARC
(13,9),-0.35152 # DEPENDENCYPART_ARC
(13,10),-0.663725 # DEPENDENCYPART_ARC
(13,11),1.16426 # DEPENDENCYPART_ARC
(13,12),2.30796 # DEPENDENCYPART_ARC
(13,14),4.0106 # DEPENDENCYPART_ARC
(13,15),2.10321 # DEPENDENCYPART_ARC
(14,1),-1.57128 # DEPENDENCYPART_ARC
(14,2),-1.05369 # DEPENDENCYPART_ARC
(14,3),-0.477796 # DEPENDENCYPART_ARC
(14,4),-0.469597 # DEPENDENCYPART_ARC
(14,5),1.61347 # DEPENDENCYPART_ARC
(14,6),-0.587792 # DEPENDENCYPART_ARC
(14,7),0.257103 # DEPENDENCYPART_ARC
(14,8),1.68791 # DEPENDENCYPART_ARC
(14,9),0.402683 # DEPENDENCYPART_ARC
(14,10),0.540327 # DEPENDENCYPART_ARC
(14,11),0.63816 # DEPENDENCYPART_ARC
(14,12),3.73634 # DEPENDENCYPART_ARC
(14,13),1.22291 # DEPENDENCYPART_ARC
(14,15),0.269947 # DEPENDENCYPART_ARC
