# _root_ Egyelőre az autó nem saját tulajdon , egy cseh cégtől bérlik , akik a szervizszerelőket és a programozó mérnököt is adják .
#goldHeads=4,3,4,0,6,4,4,10,10,11,4,11,21,15,21,21,19,19,21,21,11,4,
#predictedHeads=11,3,1,11,6,11,11,10,10,11,0,11,21,15,21,21,19,19,21,21,11,11,
(0,1),-1.96569 # DEPENDENCYPART_ARC
(0,3),-2.93919 # DEPENDENCYPART_ARC
(0,4),-2.236 # DEPENDENCYPART_ARC
(0,6),-3.41589 # DEPENDENCYPART_ARC
(0,9),-2.91164 # DEPENDENCYPART_ARC
(0,10),-4.27716 # DEPENDENCYPART_ARC
(0,11),-1.61706 # DEPENDENCYPART_ARC
(0,15),-5.33646 # DEPENDENCYPART_ARC
(0,16),-2.25579 # DEPENDENCYPART_ARC
(0,18),-3.25392 # DEPENDENCYPART_ARC
(0,19),-5.4359 # DEPENDENCYPART_ARC
(0,20),-3.73568 # DEPENDENCYPART_ARC
(0,21),-2.40843 # DEPENDENCYPART_ARC
(1,2),-0.245856 # DEPENDENCYPART_ARC
(1,3),0.419415 # DEPENDENCYPART_ARC
(1,4),-0.133607 # DEPENDENCYPART_ARC
(1,5),-0.489952 # DEPENDENCYPART_ARC
(1,6),0.142369 # DEPENDENCYPART_ARC
(1,7),0.370272 # DEPENDENCYPART_ARC
(1,9),-0.643505 # DEPENDENCYPART_ARC
(1,10),-0.470726 # DEPENDENCYPART_ARC
(1,11),0.490125 # DEPENDENCYPART_ARC
(1,12),0.152575 # DEPENDENCYPART_ARC
(1,13),-0.857826 # DEPENDENCYPART_ARC
(1,14),-0.945767 # DEPENDENCYPART_ARC
(1,15),-1.38732 # DEPENDENCYPART_ARC
(1,16),-0.242658 # DEPENDENCYPART_ARC
(1,17),-0.993992 # DEPENDENCYPART_ARC
(1,18),-1.2734 # DEPENDENCYPART_ARC
(1,19),-1.42576 # DEPENDENCYPART_ARC
(1,20),-1.37725 # DEPENDENCYPART_ARC
(1,21),-0.277875 # DEPENDENCYPART_ARC
(1,22),1.4825 # DEPENDENCYPART_ARC
(2,3),-0.531413 # DEPENDENCYPART_ARC
(2,5),-1.01335 # DEPENDENCYPART_ARC
(2,6),-1.16642 # DEPENDENCYPART_ARC
(2,7),-0.68833 # DEPENDENCYPART_ARC
(2,9),-1.06672 # DEPENDENCYPART_ARC
(2,10),-1.80158 # DEPENDENCYPART_ARC
(2,12),-0.787202 # DEPENDENCYPART_ARC
(2,15),-2.22406 # DEPENDENCYPART_ARC
(2,16),-1.44793 # DEPENDENCYPART_ARC
(2,18),-1.62346 # DEPENDENCYPART_ARC
(2,19),-2.25922 # DEPENDENCYPART_ARC
(2,20),-1.85706 # DEPENDENCYPART_ARC
(3,1),-0.571088 # DEPENDENCYPART_ARC
(3,2),3.06036 # DEPENDENCYPART_ARC
(3,4),-0.824572 # DEPENDENCYPART_ARC
(3,5),-1.62209 # DEPENDENCYPART_ARC
(3,6),-0.748768 # DEPENDENCYPART_ARC
