# _root_ A marseille-i és a párizsi , a Gare_de_l'Esten működő toborzóirodákban manapság sokszor többen jelentkeznek egy-egy nap , mint ahányat egyáltalán felvehetnek .
#goldHeads=2,10,10,5,10,10,8,9,10,14,14,14,14,0,16,14,14,14,21,21,14,14,
#predictedHeads=2,10,10,10,10,10,8,9,10,14,14,14,14,0,14,14,14,14,21,21,14,14,
(0,1),-2.09317 # DEPENDENCYPART_ARC
(0,2),-1.75528 # DEPENDENCYPART_ARC
(0,3),-2.18665 # DEPENDENCYPART_ARC
(0,4),-2.46063 # DEPENDENCYPART_ARC
(0,5),-2.02528 # DEPENDENCYPART_ARC
(0,6),-2.58586 # DEPENDENCYPART_ARC
(0,7),-2.69576 # DEPENDENCYPART_ARC
(0,8),-2.75246 # DEPENDENCYPART_ARC
(0,9),-2.36962 # DEPENDENCYPART_ARC
(0,10),-3.53046 # DEPENDENCYPART_ARC
(0,11),-2.17884 # DEPENDENCYPART_ARC
(0,12),-3.54173 # DEPENDENCYPART_ARC
(0,13),-3.63972 # DEPENDENCYPART_ARC
(0,14),-1.48246 # DEPENDENCYPART_ARC
(0,15),-3.169 # DEPENDENCYPART_ARC
(0,16),-2.46449 # DEPENDENCYPART_ARC
(0,17),-3.17079 # DEPENDENCYPART_ARC
(0,18),-1.97841 # DEPENDENCYPART_ARC
(0,19),-3.84054 # DEPENDENCYPART_ARC
(0,20),-2.6373 # DEPENDENCYPART_ARC
(0,21),-2.35704 # DEPENDENCYPART_ARC
(0,22),-3.86651 # DEPENDENCYPART_ARC
(1,2),0.273363 # DEPENDENCYPART_ARC
(1,3),-0.610595 # DEPENDENCYPART_ARC
(1,4),-0.720544 # DEPENDENCYPART_ARC
(1,5),-0.553865 # DEPENDENCYPART_ARC
(1,6),-0.484776 # DEPENDENCYPART_ARC
(1,7),-0.930036 # DEPENDENCYPART_ARC
(1,8),-1.40271 # DEPENDENCYPART_ARC
(1,9),-1.10364 # DEPENDENCYPART_ARC
(1,10),-1.79064 # DEPENDENCYPART_ARC
(1,11),-1.01357 # DEPENDENCYPART_ARC
(1,12),-1.03649 # DEPENDENCYPART_ARC
(1,13),-1.06028 # DEPENDENCYPART_ARC
(1,14),-1.63716 # DEPENDENCYPART_ARC
(1,15),-1.04605 # DEPENDENCYPART_ARC
(1,16),-1.13618 # DEPENDENCYPART_ARC
(1,17),-0.800274 # DEPENDENCYPART_ARC
(1,18),-1.28693 # DEPENDENCYPART_ARC
(1,19),-1.49054 # DEPENDENCYPART_ARC
(1,20),-1.18488 # DEPENDENCYPART_ARC
(1,21),-1.84409 # DEPENDENCYPART_ARC
(1,22),-1.81001 # DEPENDENCYPART_ARC
(2,1),1.21246 # DEPENDENCYPART_ARC
(2,3),-0.939224 # DEPENDENCYPART_ARC
(2,4),-1.33535 # DEPENDENCYPART_ARC
(2,5),-1.16994 # DEPENDENCYPART_ARC
(2,6),-0.594707 # DEPENDENCYPART_ARC
(2,7),-1.57609 # DEPENDENCYPART_ARC
(2,8),-1.78909 # DEPENDENCYPART_ARC
(2,9),-1.60826 # DEPENDENCYPART_ARC
(2,10),-1.73487 # DEPENDENCYPART_ARC
(2,11),-1.29333 # DEPENDENCYPART_ARC
(2,12),-1.07253 # DEPENDENCYPART_ARC
(2,13),-1.09049 # DEPENDENCYPART_ARC
(2,14),-1.33558 # DEPENDENCYPART_ARC
(2,15),-1.30323 # DEPENDENCYPART_ARC
(2,16),-1.45953 # DEPENDENCYPART_ARC
(2,17),-1.02592 # DEPENDENCYPART_ARC
(2,18),-1.52942 # DEPENDENCYPART_ARC
(2,19),-2.13019 # DEPENDENCYPART_ARC
(2,20),-1.55142 # DEPENDENCYPART_ARC
(2,21),-1.60754 # DEPENDENCYPART_ARC
(2,22),0.152166 # DEPENDENCYPART_ARC
(3,1),-0.0440256 # DEPENDENCYPART_ARC
(3,2),0.167976 # DEPENDENCYPART_ARC
(3,4),-0.155499 # DEPENDENCYPART_ARC
(3,5),0.15004 # DEPENDENCYPART_ARC
(3,6),-0.00228307 # DEPENDENCYPART_ARC
(3,7),-0.505864 # DEPENDENCYPART_ARC
(3,8),0.153909 # DEPENDENCYPART_ARC
(3,9),-0.626716 # DEPENDENCYPART_ARC
(3,10),-0.480494 # DEPENDENCYPART_ARC
(3,11),-0.631625 # DEPENDENCYPART_ARC
(3,12),-0.397336 # DEPENDENCYPART_ARC
(3,13),-0.477488 # DEPENDENCYPART_ARC
(3,14),0.0834801 # DEPENDENCYPART_ARC
