# _root_ Az egynapos betétekre a múlt hét elején az üzletek zömét 13 7/8 százalékon kötötték , a hét vége felé viszont már a jegybank egynapos betéti kamatának szintjén , 12 3/4 százalékon .
#goldHeads=3,3,14,6,6,7,14,9,10,14,13,13,14,0,14,17,18,19,21,21,14,23,26,26,26,27,21,27,31,31,27,14,
#predictedHeads=3,3,14,6,6,7,14,9,10,14,13,13,14,0,14,17,18,19,14,26,24,23,26,26,26,27,14,14,31,31,21,14,
(0,2),-1.9805 # DEPENDENCYPART_ARC
(0,3),-2.60708 # DEPENDENCYPART_ARC
(0,5),-2.46973 # DEPENDENCYPART_ARC
(0,6),-3.33012 # DEPENDENCYPART_ARC
(0,7),-3.64727 # DEPENDENCYPART_ARC
(0,9),-3.99541 # DEPENDENCYPART_ARC
(0,10),-4.04911 # DEPENDENCYPART_ARC
(0,11),-3.26312 # DEPENDENCYPART_ARC
(0,12),-3.89497 # DEPENDENCYPART_ARC
(0,13),-4.64573 # DEPENDENCYPART_ARC
(0,14),-0.795628 # DEPENDENCYPART_ARC
(0,17),-4.52233 # DEPENDENCYPART_ARC
(0,18),-4.69173 # DEPENDENCYPART_ARC
(0,19),-4.1993 # DEPENDENCYPART_ARC
(0,20),-2.33716 # DEPENDENCYPART_ARC
(0,21),-2.68949 # DEPENDENCYPART_ARC
(0,23),-4.49727 # DEPENDENCYPART_ARC
(0,24),-3.2575 # DEPENDENCYPART_ARC
(0,25),-3.70451 # DEPENDENCYPART_ARC
(0,26),-5.5028 # DEPENDENCYPART_ARC
(0,27),-5.42383 # DEPENDENCYPART_ARC
(0,29),-6.01974 # DEPENDENCYPART_ARC
(0,30),-6.10846 # DEPENDENCYPART_ARC
(0,31),-6.31688 # DEPENDENCYPART_ARC
(1,2),-0.0073085 # DEPENDENCYPART_ARC
(1,3),-0.83075 # DEPENDENCYPART_ARC
(1,5),-0.66057 # DEPENDENCYPART_ARC
(1,6),-1.34029 # DEPENDENCYPART_ARC
(1,7),-1.94587 # DEPENDENCYPART_ARC
(1,9),-1.62602 # DEPENDENCYPART_ARC
(1,10),-2.04787 # DEPENDENCYPART_ARC
(1,13),-1.79767 # DEPENDENCYPART_ARC
(1,15),-0.963093 # DEPENDENCYPART_ARC
(1,17),-1.87477 # DEPENDENCYPART_ARC
(1,18),-2.09157 # DEPENDENCYPART_ARC
(1,20),-1.87733 # DEPENDENCYPART_ARC
(1,23),-1.92799 # DEPENDENCYPART_ARC
(1,24),-2.37548 # DEPENDENCYPART_ARC
(1,25),-2.12428 # DEPENDENCYPART_ARC
(1,26),-2.53236 # DEPENDENCYPART_ARC
(1,27),-2.55486 # DEPENDENCYPART_ARC
(1,28),-1.64995 # DEPENDENCYPART_ARC
(1,31),-2.24306 # DEPENDENCYPART_ARC
(2,1),0.835643 # DEPENDENCYPART_ARC
(2,3),-0.903275 # DEPENDENCYPART_ARC
(2,4),-1.63634 # DEPENDENCYPART_ARC
(2,5),-1.54283 # DEPENDENCYPART_ARC
(2,6),-1.43314 # DEPENDENCYPART_ARC
(2,7),-1.5937 # DEPENDENCYPART_ARC
(2,8),-1.86298 # DEPENDENCYPART_ARC
(2,9),-2.32702 # DEPENDENCYPART_ARC
(2,10),-2.60127 # DEPENDENCYPART_ARC
(2,11),-1.38574 # DEPENDENCYPART_ARC
(2,12),-1.38904 # DEPENDENCYPART_ARC
(2,13),-1.86724 # DEPENDENCYPART_ARC
(2,14),-1.70117 # DEPENDENCYPART_ARC
(2,15),-1.01807 # DEPENDENCYPART_ARC
(2,16),-2.17438 # DEPENDENCYPART_ARC
(2,17),-2.48874 # DEPENDENCYPART_ARC
(2,18),-2.61144 # DEPENDENCYPART_ARC
(2,19),-1.60485 # DEPENDENCYPART_ARC
(2,20),-1.77564 # DEPENDENCYPART_ARC
(2,21),-1.95128 # DEPENDENCYPART_ARC
(2,22),-2.29063 # DEPENDENCYPART_ARC
(2,23),-2.86357 # DEPENDENCYPART_ARC
(2,24),-2.38114 # DEPENDENCYPART_ARC
(2,25),-2.52378 # DEPENDENCYPART_ARC
(2,26),-2.84578 # DEPENDENCYPART_ARC
(2,27),-2.72428 # DEPENDENCYPART_ARC
(2,28),-1.37789 # DEPENDENCYPART_ARC
(2,29),-1.77863 # DEPENDENCYPART_ARC
(2,30),-1.86224 # DEPENDENCYPART_ARC
(2,31),-2.87468 # DEPENDENCYPART_ARC
(2,32),-0.91616 # DEPENDENCYPART_ARC
(3,1),2.71623 # DEPENDENCYPART_ARC
(3,2),3.50107 # DEPENDENCYPART_ARC
(3,4),-0.72984 # DEPENDENCYPART_ARC
(3,5),-0.0557283 # DEPENDENCYPART_ARC
(3,6),-0.495625 # DEPENDENCYPART_ARC
(3,7),-1.33045 # DEPENDENCYPART_ARC
(3,8),-0.986869 # DEPENDENCYPART_ARC
(3,9),-0.6481 # DEPENDENCYPART_ARC
(3,10),-1.26757 # DEPENDENCYPART_ARC
(3,11),-0.889571 # DEPENDENCYPART_ARC
(3,12),-0.886259 # DEPENDENCYPART_ARC
(3,13),-1.23301 # DEPENDENCYPART_ARC
(3,14),-0.962165 # DEPENDENCYPART_ARC
(3,15),-0.100234 # DEPENDENCYPART_ARC
(3,16),-1.38874 # DEPENDENCYPART_ARC
(3,17),-1.82162 # DEPENDENCYPART_ARC
(3,18),-1.91737 # DEPENDENCYPART_ARC
(3,19),-0.547939 # DEPENDENCYPART_ARC
(3,20),-0.891772 # DEPENDENCYPART_ARC
(3,21),-0.799796 # DEPENDENCYPART_ARC
(3,22),-1.44225 # DEPENDENCYPART_ARC
(3,23),-2.20327 # DEPENDENCYPART_ARC
(3,24),-1.63782 # DEPENDENCYPART_ARC
(3,25),-1.30516 # DEPENDENCYPART_ARC
(3,26),-2.49142 # DEPENDENCYPART_ARC
(3,27),-2.51094 # DEPENDENCYPART_ARC
(3,28),-0.54023 # DEPENDENCYPART_ARC
(3,29),-1.22669 # DEPENDENCYPART_ARC
(3,30),-1.17794 # DEPENDENCYPART_ARC
(3,31),-2.63812 # DEPENDENCYPART_ARC
(3,32),0.0494986 # DEPENDENCYPART_ARC
(4,2),-1.08234 # DEPENDENCYPART_ARC
(4,3),-1.35779 # DEPENDENCYPART_ARC
(4,5),0.320702 # DEPENDENCYPART_ARC
(4,6),-0.669667 # DEPENDENCYPART_ARC
(4,7),-1.48014 # DEPENDENCYPART_ARC
(4,9),-1.29155 # DEPENDENCYPART_ARC
(4,10),-1.9721 # DEPENDENCYPART_ARC
(4,13),-1.81278 # DEPENDENCYPART_ARC
(4,15),-0.848976 # DEPENDENCYPART_ARC
(4,17),-2.08684 # DEPENDENCYPART_ARC
(4,18),-2.37874 # DEPENDENCYPART_ARC
(4,20),-1.65584 # DEPENDENCYPART_ARC
(4,23),-2.18026 # DEPENDENCYPART_ARC
(4,24),-2.07485 # DEPENDENCYPART_ARC
(4,25),-2.03947 # DEPENDENCYPART_ARC
(4,26),-2.77568 # DEPENDENCYPART_ARC
(4,27),-2.9119 # DEPENDENCYPART_ARC
(4,28),-1.43115 # DEPENDENCYPART_ARC
(4,31),-2.77694 # DEPENDENCYPART_ARC
(5,1),-1.16301 # DEPENDENCYPART_ARC
(5,2),-1.5251 # DEPENDENCYPART_ARC
(5,3),-1.37438 # DEPENDENCYPART_ARC
(5,4),0.397699 # DEPENDENCYPART_ARC
(5,6),-0.731167 # DEPENDENCYPART_ARC
(5,7),-1.02545 # DEPENDENCYPART_ARC
(5,8),-1.67917 # DEPENDENCYPART_ARC
(5,9),-1.96831 # DEPENDENCYPART_ARC
(5,10),-2.28664 # DEPENDENCYPART_ARC
(5,11),-1.28166 # DEPENDENCYPART_ARC
(5,12),-1.33717 # DEPENDENCYPART_ARC
(5,13),-1.64534 # DEPENDENCYPART_ARC
(5,14),-1.54395 # DEPENDENCYPART_ARC
(5,15),-0.848598 # DEPENDENCYPART_ARC
(5,16),-2.05712 # DEPENDENCYPART_ARC
(5,17),-2.40037 # DEPENDENCYPART_ARC
(5,18),-2.56033 # DEPENDENCYPART_ARC
(5,19),-1.59669 # DEPENDENCYPART_ARC
(5,20),-1.63351 # DEPENDENCYPART_ARC
(5,21),-1.88048 # DEPENDENCYPART_ARC
(5,22),-2.12317 # DEPENDENCYPART_ARC
(5,23),-2.76943 # DEPENDENCYPART_ARC
(5,24),-2.31265 # DEPENDENCYPART_ARC
(5,25),-2.45051 # DEPENDENCYPART_ARC
(5,26),-2.81696 # DEPENDENCYPART_ARC
(5,27),-2.52763 # DEPENDENCYPART_ARC
(5,28),-1.26582 # DEPENDENCYPART_ARC
(5,29),-1.62478 # DEPENDENCYPART_ARC
(5,30),-1.76337 # DEPENDENCYPART_ARC
(5,31),-2.80425 # DEPENDENCYPART_ARC
(5,32),-0.31116 # DEPENDENCYPART_ARC
(6,1),0.574787 # DEPENDENCYPART_ARC
(6,2),0.860953 # DEPENDENCYPART_ARC
(6,3),-2.58537 # DEPENDENCYPART_ARC
(6,4),2.51762 # DEPENDENCYPART_ARC
(6,5),3.40858 # DEPENDENCYPART_ARC
(6,7),-1.55712 # DEPENDENCYPART_ARC
(6,8),-1.49188 # DEPENDENCYPART_ARC
(6,9),-1.36211 # DEPENDENCYPART_ARC
(6,10),-1.82169 # DEPENDENCYPART_ARC
(6,11),-1.32442 # DEPENDENCYPART_ARC
(6,12),-1.33724 # DEPENDENCYPART_ARC
(6,13),-1.94964 # DEPENDENCYPART_ARC
(6,14),-1.07697 # DEPENDENCYPART_ARC
(6,15),-0.544267 # DEPENDENCYPART_ARC
(6,16),-1.81 # DEPENDENCYPART_ARC
(6,17),-2.08262 # DEPENDENCYPART_ARC
(6,18),-2.19901 # DEPENDENCYPART_ARC
(6,19),-1.16644 # DEPENDENCYPART_ARC
(6,20),-1.45222 # DEPENDENCYPART_ARC
(6,21),-1.33227 # DEPENDENCYPART_ARC
(6,22),-2.03847 # DEPENDENCYPART_ARC
(6,23),-2.47179 # DEPENDENCYPART_ARC
(6,24),-2.75349 # DEPENDENCYPART_ARC
(6,25),-2.41092 # DEPENDENCYPART_ARC
(6,26),-2.945 # DEPENDENCYPART_ARC
(6,27),-3.30508 # DEPENDENCYPART_ARC
(6,28),-0.970691 # DEPENDENCYPART_ARC
(6,29),-1.70207 # DEPENDENCYPART_ARC
(6,30),-1.57915 # DEPENDENCYPART_ARC
(6,31),-3.40861 # DEPENDENCYPART_ARC
(6,32),-0.839337 # DEPENDENCYPART_ARC
(7,1),-0.509392 # DEPENDENCYPART_ARC
(7,2),-0.380018 # DEPENDENCYPART_ARC
(7,3),-1.93665 # DEPENDENCYPART_ARC
(7,4),0.847341 # DEPENDENCYPART_ARC
(7,5),1.30582 # DEPENDENCYPART_ARC
(7,6),3.442 # DEPENDENCYPART_ARC
(7,8),-0.875326 # DEPENDENCYPART_ARC
(7,9),-0.177324 # DEPENDENCYPART_ARC
(7,10),-0.942774 # DEPENDENCYPART_ARC
(7,11),-0.741751 # DEPENDENCYPART_ARC
(7,12),-0.767245 # DEPENDENCYPART_ARC
(7,13),-1.38039 # DEPENDENCYPART_ARC
(7,14),-0.836774 # DEPENDENCYPART_ARC
(7,15),-0.0476595 # DEPENDENCYPART_ARC
(7,16),-1.40651 # DEPENDENCYPART_ARC
(7,17),-1.50958 # DEPENDENCYPART_ARC
(7,18),-1.59205 # DEPENDENCYPART_ARC
(7,19),-0.690148 # DEPENDENCYPART_ARC
(7,20),-0.949479 # DEPENDENCYPART_ARC
(7,21),-0.903535 # DEPENDENCYPART_ARC
(7,22),-1.618 # DEPENDENCYPART_ARC
(7,23),-2.1483 # DEPENDENCYPART_ARC
(7,24),-2.30028 # DEPENDENCYPART_ARC
(7,25),-2.14584 # DEPENDENCYPART_ARC
(7,26),-2.19705 # DEPENDENCYPART_ARC
(7,27),-2.58793 # DEPENDENCYPART_ARC
(7,28),-0.546012 # DEPENDENCYPART_ARC
(7,29),-1.07778 # DEPENDENCYPART_ARC
(7,30),-1.14963 # DEPENDENCYPART_ARC
(7,31),-2.71694 # DEPENDENCYPART_ARC
(7,32),-0.34502 # DEPENDENCYPART_ARC
(8,2),-1.4855 # DEPENDENCYPART_ARC
(8,3),-2.45118 # DEPENDENCYPART_ARC
(8,5),-1.09653 # DEPENDENCYPART_ARC
(8,6),-1.90182 # DEPENDENCYPART_ARC
(8,7),-1.66017 # DEPENDENCYPART_ARC
(8,9),-0.239261 # DEPENDENCYPART_ARC
(8,10),-0.826271 # DEPENDENCYPART_ARC
(8,13),-0.895803 # DEPENDENCYPART_ARC
(8,15),-0.290993 # DEPENDENCYPART_ARC
(8,17),-1.29728 # DEPENDENCYPART_ARC
(8,18),-1.5219 # DEPENDENCYPART_ARC
(8,20),-1.31036 # DEPENDENCYPART_ARC
(8,23),-1.50322 # DEPENDENCYPART_ARC
