# _root_ Mi vagyunk a hátország , az elkövetkezendő években is az lesz a feladatunk , hogy segítsük a tehetséges fiatalok előbbre jutását .
#goldHeads=2,0,4,2,2,8,8,11,11,11,2,13,11,11,11,10,19,19,21,21,16,2,
#predictedHeads=2,0,4,2,11,8,8,11,11,11,2,13,11,11,11,10,19,19,21,21,16,2,
(0,1),-1.93661 # DEPENDENCYPART_ARC
(0,2),-0.640038 # DEPENDENCYPART_ARC
(0,3),-2.65996 # DEPENDENCYPART_ARC
(0,4),-2.97198 # DEPENDENCYPART_ARC
(0,5),-3.00704 # DEPENDENCYPART_ARC
(0,6),-2.92705 # DEPENDENCYPART_ARC
(0,7),-2.73279 # DEPENDENCYPART_ARC
(0,8),-4.07929 # DEPENDENCYPART_ARC
(0,9),-2.43443 # DEPENDENCYPART_ARC
(0,10),-3.39693 # DEPENDENCYPART_ARC
(0,11),-1.26367 # DEPENDENCYPART_ARC
(0,12),-3.23564 # DEPENDENCYPART_ARC
(0,13),-4.63392 # DEPENDENCYPART_ARC
(0,14),-3.64071 # DEPENDENCYPART_ARC
(0,15),-2.63205 # DEPENDENCYPART_ARC
(0,16),-2.23435 # DEPENDENCYPART_ARC
(0,17),-3.38276 # DEPENDENCYPART_ARC
(0,18),-2.91308 # DEPENDENCYPART_ARC
(0,19),-4.77008 # DEPENDENCYPART_ARC
(0,20),-3.15587 # DEPENDENCYPART_ARC
(0,21),-5.07444 # DEPENDENCYPART_ARC
(0,22),-5.17921 # DEPENDENCYPART_ARC
(1,2),-1.31249 # DEPENDENCYPART_ARC
(1,3),-0.583372 # DEPENDENCYPART_ARC
(1,4),0.0346034 # DEPENDENCYPART_ARC
(1,5),0.251058 # DEPENDENCYPART_ARC
(1,6),-0.555475 # DEPENDENCYPART_ARC
(1,7),-0.369907 # DEPENDENCYPART_ARC
(1,8),-0.250075 # DEPENDENCYPART_ARC
(1,9),-0.18436 # DEPENDENCYPART_ARC
(1,10),-0.158424 # DEPENDENCYPART_ARC
(1,11),-0.216428 # DEPENDENCYPART_ARC
(1,12),-0.591275 # DEPENDENCYPART_ARC
(1,13),-0.264705 # DEPENDENCYPART_ARC
(1,14),0.832906 # DEPENDENCYPART_ARC
(1,15),0.521627 # DEPENDENCYPART_ARC
(1,16),-0.751425 # DEPENDENCYPART_ARC
(1,17),-0.74738 # DEPENDENCYPART_ARC
(1,18),-0.415901 # DEPENDENCYPART_ARC
(1,19),-0.755358 # DEPENDENCYPART_ARC
(1,20),0.00471744 # DEPENDENCYPART_ARC
(1,21),-1.1404 # DEPENDENCYPART_ARC
(1,22),0.79797 # DEPENDENCYPART_ARC
(2,1),3.8682 # DEPENDENCYPART_ARC
(2,3),0.162245 # DEPENDENCYPART_ARC
(2,4),2.11288 # DEPENDENCYPART_ARC
(2,5),1.16879 # DEPENDENCYPART_ARC
(2,6),-0.195278 # DEPENDENCYPART_ARC
(2,7),-0.966606 # DEPENDENCYPART_ARC
(2,8),1.07936 # DEPENDENCYPART_ARC
(2,9),0.996009 # DEPENDENCYPART_ARC
(2,10),-0.661488 # DEPENDENCYPART_ARC
(2,11),0.257164 # DEPENDENCYPART_ARC
(2,12),-0.625601 # DEPENDENCYPART_ARC
(2,13),-0.745107 # DEPENDENCYPART_ARC
(2,14),1.14512 # DEPENDENCYPART_ARC
(2,15),1.30902 # DEPENDENCYPART_ARC
(2,16),1.21935 # DEPENDENCYPART_ARC
(2,17),-0.883231 # DEPENDENCYPART_ARC
(2,18),-2.13442 # DEPENDENCYPART_ARC
(2,19),-1.83979 # DEPENDENCYPART_ARC
(2,20),-0.631623 # DEPENDENCYPART_ARC
(2,21),-1.23639 # DEPENDENCYPART_ARC
(2,22),2.6682 # DEPENDENCYPART_ARC
(3,1),-1.70903 # DEPENDENCYPART_ARC
(3,2),-0.858265 # DEPENDENCYPART_ARC
(3,4),-0.104608 # DEPENDENCYPART_ARC
(3,5),-0.153919 # DEPENDENCYPART_ARC
(3,6),-0.717814 # DEPENDENCYPART_ARC
(3,7),-0.495293 # DEPENDENCYPART_ARC
(3,8),-1.26665 # DEPENDENCYPART_ARC
(3,9),-1.00125 # DEPENDENCYPART_ARC
(3,10),-1.19279 # DEPENDENCYPART_ARC
(3,11),-1.34289 # DEPENDENCYPART_ARC
(3,12),-1.05662 # DEPENDENCYPART_ARC
(3,13),-1.5468 # DEPENDENCYPART_ARC
(3,14),-0.55178 # DEPENDENCYPART_ARC
(3,15),-1.18686 # DEPENDENCYPART_ARC
(3,16),-1.61835 # DEPENDENCYPART_ARC
(3,17),-1.16211 # DEPENDENCYPART_ARC
(3,18),-1.50085 # DEPENDENCYPART_ARC
(3,19),-1.85083 # DEPENDENCYPART_ARC
(3,20),-1.10213 # DEPENDENCYPART_ARC
(3,21),-2.36 # DEPENDENCYPART_ARC
(3,22),-2.07713 # DEPENDENCYPART_ARC
(4,1),-1.71473 # DEPENDENCYPART_ARC
(4,2),-1.10234 # DEPENDENCYPART_ARC
(4,3),3.22992 # DEPENDENCYPART_ARC
(4,5),0.359442 # DEPENDENCYPART_ARC
(4,6),-0.879226 # DEPENDENCYPART_ARC
(4,7),-0.688989 # DEPENDENCYPART_ARC
(4,8),-0.597856 # DEPENDENCYPART_ARC
(4,9),-0.929833 # DEPENDENCYPART_ARC
(4,10),-1.38336 # DEPENDENCYPART_ARC
(4,11),-0.364552 # DEPENDENCYPART_ARC
(4,12),-1.1305 # DEPENDENCYPART_ARC
(4,13),-1.34266 # DEPENDENCYPART_ARC
(4,14),-0.501697 # DEPENDENCYPART_ARC
(4,15),-0.725864 # DEPENDENCYPART_ARC
(4,16),-1.63765 # DEPENDENCYPART_ARC
(4,17),-1.3448 # DEPENDENCYPART_ARC
(4,18),-1.5742 # DEPENDENCYPART_ARC
(4,19),-1.70857 # DEPENDENCYPART_ARC
(4,20),-0.806818 # DEPENDENCYPART_ARC
(4,21),-2.95769 # DEPENDENCYPART_ARC
(4,22),0.640709 # DEPENDENCYPART_ARC
(5,1),-2.00514 # DEPENDENCYPART_ARC
(5,2),-1.59873 # DEPENDENCYPART_ARC
(5,3),-0.979312 # DEPENDENCYPART_ARC
(5,4),-1.53581 # DEPENDENCYPART_ARC
(5,6),-0.750858 # DEPENDENCYPART_ARC
(5,7),-0.80661 # DEPENDENCYPART_ARC
(5,8),-1.59305 # DEPENDENCYPART_ARC
(5,9),-0.899196 # DEPENDENCYPART_ARC
(5,10),-1.33296 # DEPENDENCYPART_ARC
(5,11),-1.17786 # DEPENDENCYPART_ARC
(5,12),-1.26046 # DEPENDENCYPART_ARC
(5,13),-2.16404 # DEPENDENCYPART_ARC
(5,14),-0.995714 # DEPENDENCYPART_ARC
(5,15),-0.976527 # DEPENDENCYPART_ARC
(5,16),-1.3871 # DEPENDENCYPART_ARC
(5,17),-1.37039 # DEPENDENCYPART_ARC
(5,18),-1.5778 # DEPENDENCYPART_ARC
(5,19),-2.40624 # DEPENDENCYPART_ARC
(5,20),-1.27847 # DEPENDENCYPART_ARC
(5,21),-2.51969 # DEPENDENCYPART_ARC
(5,22),-1.26186 # DEPENDENCYPART_ARC
(6,1),-1.87667 # DEPENDENCYPART_ARC
(6,2),-1.10426 # DEPENDENCYPART_ARC
(6,3),-0.67681 # DEPENDENCYPART_ARC
(6,4),-1.52379 # DEPENDENCYPART_ARC
(6,5),-0.27282 # DEPENDENCYPART_ARC
(6,7),0.575404 # DEPENDENCYPART_ARC
(6,8),-0.415049 # DEPENDENCYPART_ARC
(6,9),-0.493025 # DEPENDENCYPART_ARC
(6,10),-0.636891 # DEPENDENCYPART_ARC
(6,11),-0.680255 # DEPENDENCYPART_ARC
(6,12),-0.653607 # DEPENDENCYPART_ARC
(6,13),-1.31556 # DEPENDENCYPART_ARC
(6,14),-0.197431 # DEPENDENCYPART_ARC
(6,15),-0.702725 # DEPENDENCYPART_ARC
(6,16),-0.903624 # DEPENDENCYPART_ARC
(6,17),-0.763797 # DEPENDENCYPART_ARC
(6,18),-0.820854 # DEPENDENCYPART_ARC
(6,19),-1.62715 # DEPENDENCYPART_ARC
(6,20),-0.985136 # DEPENDENCYPART_ARC
(6,21),-2.04267 # DEPENDENCYPART_ARC
(6,22),-1.24343 # DEPENDENCYPART_ARC
(7,1),-1.8725 # DEPENDENCYPART_ARC
(7,2),-1.02811 # DEPENDENCYPART_ARC
(7,3),-0.709748 # DEPENDENCYPART_ARC
(7,4),-1.74579 # DEPENDENCYPART_ARC
(7,5),-0.636479 # DEPENDENCYPART_ARC
(7,6),0.770936 # DEPENDENCYPART_ARC
(7,8),-0.55501 # DEPENDENCYPART_ARC
(7,9),-1.36869 # DEPENDENCYPART_ARC
(7,10),-1.78877 # DEPENDENCYPART_ARC
(7,11),-0.96714 # DEPENDENCYPART_ARC
(7,12),-1.67015 # DEPENDENCYPART_ARC
(7,13),-1.68188 # DEPENDENCYPART_ARC
(7,14),-0.779625 # DEPENDENCYPART_ARC
(7,15),-1.15326 # DEPENDENCYPART_ARC
(7,16),-1.61034 # DEPENDENCYPART_ARC
(7,17),-1.71568 # DEPENDENCYPART_ARC
(7,18),-1.91372 # DEPENDENCYPART_ARC
(7,19),-2.46797 # DEPENDENCYPART_ARC
(7,20),-1.50582 # DEPENDENCYPART_ARC
(7,21),-3.11194 # DEPENDENCYPART_ARC
(7,22),-0.322868 # DEPENDENCYPART_ARC
(8,1),-1.12196 # DEPENDENCYPART_ARC
(8,2),-2.52046 # DEPENDENCYPART_ARC
(8,3),0.914792 # DEPENDENCYPART_ARC
(8,4),-1.55678 # DEPENDENCYPART_ARC
(8,5),-0.257966 # DEPENDENCYPART_ARC
(8,6),2.90297 # DEPENDENCYPART_ARC
(8,7),3.66917 # DEPENDENCYPART_ARC
(8,9),-0.800588 # DEPENDENCYPART_ARC
