# _root_ Ám csak egy banktól lehet igényelni a termények — búza , kukorica , rozs és árpa — termelési költségeire felvett éven belüli hitel törlesztésének halasztását .
#goldHeads=5,6,4,6,0,5,8,19,19,16,16,16,16,16,16,19,19,19,20,23,22,23,24,5,6,5,
#predictedHeads=5,6,4,6,0,5,8,19,12,12,24,19,16,19,16,19,19,19,20,21,22,23,24,25,6,5,
(0,1),-1.92536 # DEPENDENCYPART_ARC
(0,2),-1.6435 # DEPENDENCYPART_ARC
(0,3),-1.61025 # DEPENDENCYPART_ARC
(0,4),-2.68628 # DEPENDENCYPART_ARC
(0,5),-1.14476 # DEPENDENCYPART_ARC
(0,6),-1.99934 # DEPENDENCYPART_ARC
(0,7),-2.88506 # DEPENDENCYPART_ARC
(0,8),-3.25119 # DEPENDENCYPART_ARC
(0,9),-2.92736 # DEPENDENCYPART_ARC
(0,10),-3.05392 # DEPENDENCYPART_ARC
(0,11),-3.2958 # DEPENDENCYPART_ARC
(0,12),-3.26954 # DEPENDENCYPART_ARC
(0,13),-3.62582 # DEPENDENCYPART_ARC
(0,14),-3.52554 # DEPENDENCYPART_ARC
(0,15),-1.73656 # DEPENDENCYPART_ARC
(0,16),-3.34188 # DEPENDENCYPART_ARC
(0,17),-3.39014 # DEPENDENCYPART_ARC
(0,18),-3.21701 # DEPENDENCYPART_ARC
(0,19),-3.85461 # DEPENDENCYPART_ARC
(0,20),-3.39398 # DEPENDENCYPART_ARC
(0,21),-3.98068 # DEPENDENCYPART_ARC
(0,22),-3.49478 # DEPENDENCYPART_ARC
(0,23),-4.12063 # DEPENDENCYPART_ARC
(0,24),-4.24168 # DEPENDENCYPART_ARC
(0,25),-4.74278 # DEPENDENCYPART_ARC
(0,26),-6.5196 # DEPENDENCYPART_ARC
(1,2),-0.088274 # DEPENDENCYPART_ARC
(1,3),-0.154178 # DEPENDENCYPART_ARC
(1,4),-0.465076 # DEPENDENCYPART_ARC
(1,5),1.06066 # DEPENDENCYPART_ARC
(1,6),0.303648 # DEPENDENCYPART_ARC
(1,7),-0.740747 # DEPENDENCYPART_ARC
(1,8),-0.248878 # DEPENDENCYPART_ARC
(1,9),0.906414 # DEPENDENCYPART_ARC
(1,10),-0.473122 # DEPENDENCYPART_ARC
(1,11),0.920973 # DEPENDENCYPART_ARC
(1,12),-0.773011 # DEPENDENCYPART_ARC
(1,13),0.75735 # DEPENDENCYPART_ARC
(1,14),-1.30975 # DEPENDENCYPART_ARC
(1,15),-0.135603 # DEPENDENCYPART_ARC
(1,16),-1.22965 # DEPENDENCYPART_ARC
