# _root_ Elsősorban nekik köszönhető , hogy a különböző korosztályos megyei válogatottak eljuthatnak külföldre , és rendszeresek a Pest_megyében tartott nemzetközi tornák is .
#goldHeads=5,5,5,5,0,10,8,10,10,11,14,11,14,5,21,20,18,20,20,21,14,5,
#predictedHeads=11,3,5,10,11,10,10,10,10,11,14,11,14,0,11,20,18,20,20,21,11,14,
(0,1),-1.3829 # DEPENDENCYPART_ARC
(0,2),-1.40247 # DEPENDENCYPART_ARC
(0,3),-1.61465 # DEPENDENCYPART_ARC
(0,4),-2.42547 # DEPENDENCYPART_ARC
(0,5),-0.210762 # DEPENDENCYPART_ARC
(0,6),-2.64481 # DEPENDENCYPART_ARC
(0,7),-2.22934 # DEPENDENCYPART_ARC
(0,8),-2.3821 # DEPENDENCYPART_ARC
(0,9),-2.52052 # DEPENDENCYPART_ARC
(0,10),-3.4391 # DEPENDENCYPART_ARC
(0,11),-1.37459 # DEPENDENCYPART_ARC
(0,12),-3.45143 # DEPENDENCYPART_ARC
(0,13),-3.25721 # DEPENDENCYPART_ARC
(0,14),-0.318356 # DEPENDENCYPART_ARC
(0,15),-2.47224 # DEPENDENCYPART_ARC
(0,16),-3.10743 # DEPENDENCYPART_ARC
(0,17),-3.26316 # DEPENDENCYPART_ARC
(0,18),-2.69241 # DEPENDENCYPART_ARC
(0,19),-2.90258 # DEPENDENCYPART_ARC
(0,20),-4.51178 # DEPENDENCYPART_ARC
(0,21),-2.13187 # DEPENDENCYPART_ARC
(0,22),-4.49731 # DEPENDENCYPART_ARC
(1,2),0.0393368 # DEPENDENCYPART_ARC
(1,3),0.271086 # DEPENDENCYPART_ARC
(1,4),0.0167786 # DEPENDENCYPART_ARC
(1,5),-0.027922 # DEPENDENCYPART_ARC
(1,6),-0.745854 # DEPENDENCYPART_ARC
(1,7),-0.71716 # DEPENDENCYPART_ARC
(1,8),-0.728726 # DEPENDENCYPART_ARC
(1,9),-0.730747 # DEPENDENCYPART_ARC
(1,10),-0.791481 # DEPENDENCYPART_ARC
(1,11),-0.0894575 # DEPENDENCYPART_ARC
(1,12),-1.05573 # DEPENDENCYPART_ARC
(1,13),-0.564469 # DEPENDENCYPART_ARC
(1,14),-0.683377 # DEPENDENCYPART_ARC
(1,15),-1.22218 # DEPENDENCYPART_ARC
(1,16),-1.0367 # DEPENDENCYPART_ARC
(1,17),-1.51939 # DEPENDENCYPART_ARC
(1,18),-1.46232 # DEPENDENCYPART_ARC
(1,19),-1.5002 # DEPENDENCYPART_ARC
(1,20),-1.55806 # DEPENDENCYPART_ARC
(1,21),-1.61648 # DEPENDENCYPART_ARC
(1,22),-0.306487 # DEPENDENCYPART_ARC
(2,1),0.530111 # DEPENDENCYPART_ARC
(2,3),0.290121 # DEPENDENCYPART_ARC
(2,4),-0.120233 # DEPENDENCYPART_ARC
(2,5),0.0565252 # DEPENDENCYPART_ARC
(2,6),-0.705201 # DEPENDENCYPART_ARC
(2,7),-0.584551 # DEPENDENCYPART_ARC
(2,8),-0.651317 # DEPENDENCYPART_ARC
(2,9),-0.635199 # DEPENDENCYPART_ARC
(2,10),-0.731299 # DEPENDENCYPART_ARC
(2,11),-0.263981 # DEPENDENCYPART_ARC
(2,12),-0.938367 # DEPENDENCYPART_ARC
(2,13),-0.540018 # DEPENDENCYPART_ARC
(2,14),-0.638661 # DEPENDENCYPART_ARC
(2,15),-1.35688 # DEPENDENCYPART_ARC
(2,16),-1.0936 # DEPENDENCYPART_ARC
(2,17),-1.64868 # DEPENDENCYPART_ARC
(2,18),-1.51896 # DEPENDENCYPART_ARC
(2,19),-1.30133 # DEPENDENCYPART_ARC
(2,20),-1.74456 # DEPENDENCYPART_ARC
(2,21),-1.55133 # DEPENDENCYPART_ARC
(2,22),-0.441421 # DEPENDENCYPART_ARC
(3,1),0.888237 # DEPENDENCYPART_ARC
(3,2),1.83598 # DEPENDENCYPART_ARC
(3,4),0.313827 # DEPENDENCYPART_ARC
