# _root_ Budapesten és a vidéki nagyvárosokban túlzsúfoltak a temetők , nem érik el az ideális 30-40 hektáros nagyságot , kihasználtságuk így gyakran 90 százalék feletti .
#goldHeads=6,6,5,5,6,0,8,6,6,11,6,11,17,17,16,17,11,6,21,21,6,23,24,21,6,
#predictedHeads=11,11,5,5,6,11,8,11,11,11,0,11,17,17,16,17,11,11,20,11,24,23,24,20,11,
(0,1),-2.25219 # DEPENDENCYPART_ARC
(0,2),-2.51233 # DEPENDENCYPART_ARC
(0,3),-2.65501 # DEPENDENCYPART_ARC
(0,4),-2.26678 # DEPENDENCYPART_ARC
(0,5),-2.87487 # DEPENDENCYPART_ARC
(0,6),-2.44396 # DEPENDENCYPART_ARC
(0,7),-3.03996 # DEPENDENCYPART_ARC
(0,8),-4.07021 # DEPENDENCYPART_ARC
(0,9),-3.48494 # DEPENDENCYPART_ARC
(0,10),-2.20207 # DEPENDENCYPART_ARC
(0,11),-1.25589 # DEPENDENCYPART_ARC
(0,12),-2.39778 # DEPENDENCYPART_ARC
(0,13),-3.17707 # DEPENDENCYPART_ARC
(0,14),-2.64146 # DEPENDENCYPART_ARC
(0,15),-3.61973 # DEPENDENCYPART_ARC
(0,16),-2.83217 # DEPENDENCYPART_ARC
(0,17),-4.79007 # DEPENDENCYPART_ARC
(0,18),-4.02119 # DEPENDENCYPART_ARC
(0,19),-4.72601 # DEPENDENCYPART_ARC
(0,20),-0.851086 # DEPENDENCYPART_ARC
(0,21),-2.95213 # DEPENDENCYPART_ARC
(0,22),-4.2329 # DEPENDENCYPART_ARC
(0,23),-4.65794 # DEPENDENCYPART_ARC
(0,24),-3.11795 # DEPENDENCYPART_ARC
(0,25),-5.49315 # DEPENDENCYPART_ARC
(1,2),-0.923337 # DEPENDENCYPART_ARC
(1,3),-1.39186 # DEPENDENCYPART_ARC
(1,4),-1.12317 # DEPENDENCYPART_ARC
(1,5),-1.28446 # DEPENDENCYPART_ARC
(1,6),-1.31292 # DEPENDENCYPART_ARC
(1,7),-1.52495 # DEPENDENCYPART_ARC
(1,8),-1.39888 # DEPENDENCYPART_ARC
(1,9),-0.816047 # DEPENDENCYPART_ARC
(1,10),-1.37199 # DEPENDENCYPART_ARC
(1,11),-1.57617 # DEPENDENCYPART_ARC
(1,12),-1.25231 # DEPENDENCYPART_ARC
(1,13),-1.83568 # DEPENDENCYPART_ARC
(1,14),-2.01593 # DEPENDENCYPART_ARC
(1,15),-1.30458 # DEPENDENCYPART_ARC
(1,16),-1.82529 # DEPENDENCYPART_ARC
(1,17),-2.04418 # DEPENDENCYPART_ARC
(1,18),-1.01121 # DEPENDENCYPART_ARC
(1,19),-2.4526 # DEPENDENCYPART_ARC
(1,20),-1.58555 # DEPENDENCYPART_ARC
(1,21),-1.42544 # DEPENDENCYPART_ARC
(1,22),-1.4062 # DEPENDENCYPART_ARC
(1,23),-2.58514 # DEPENDENCYPART_ARC
(1,24),-2.46196 # DEPENDENCYPART_ARC
(1,25),-0.692709 # DEPENDENCYPART_ARC
(2,1),0.827443 # DEPENDENCYPART_ARC
(2,3),-0.252359 # DEPENDENCYPART_ARC
(2,4),0.110854 # DEPENDENCYPART_ARC
(2,5),0.626116 # DEPENDENCYPART_ARC
(2,6),-0.050098 # DEPENDENCYPART_ARC
(2,7),-0.667124 # DEPENDENCYPART_ARC
(2,8),0.521179 # DEPENDENCYPART_ARC
(2,9),-0.27379 # DEPENDENCYPART_ARC
(2,10),-0.48491 # DEPENDENCYPART_ARC
(2,11),-0.0711937 # DEPENDENCYPART_ARC
(2,12),-0.736302 # DEPENDENCYPART_ARC
(2,13),-0.739932 # DEPENDENCYPART_ARC
(2,14),-1.00799 # DEPENDENCYPART_ARC
(2,15),-0.755393 # DEPENDENCYPART_ARC
(2,16),-1.13814 # DEPENDENCYPART_ARC
(2,17),-0.51432 # DEPENDENCYPART_ARC
(2,18),-0.1536 # DEPENDENCYPART_ARC
(2,19),-1.4883 # DEPENDENCYPART_ARC
(2,20),-0.808372 # DEPENDENCYPART_ARC
(2,21),-1.02127 # DEPENDENCYPART_ARC
(2,22),-0.917907 # DEPENDENCYPART_ARC
(2,23),-1.65738 # DEPENDENCYPART_ARC
(2,24),-1.38357 # DEPENDENCYPART_ARC
(2,25),1.01202 # DEPENDENCYPART_ARC
(3,1),-1.72516 # DEPENDENCYPART_ARC
(3,2),-0.297354 # DEPENDENCYPART_ARC
(3,4),0.324345 # DEPENDENCYPART_ARC
(3,5),-0.64022 # DEPENDENCYPART_ARC
(3,6),-0.44972 # DEPENDENCYPART_ARC
(3,7),-0.758834 # DEPENDENCYPART_ARC
(3,8),-1.17189 # DEPENDENCYPART_ARC
(3,9),-0.419306 # DEPENDENCYPART_ARC
(3,10),-0.941331 # DEPENDENCYPART_ARC
(3,11),-1.32388 # DEPENDENCYPART_ARC
(3,12),-0.990629 # DEPENDENCYPART_ARC
(3,13),-0.998334 # DEPENDENCYPART_ARC
(3,14),-1.20249 # DEPENDENCYPART_ARC
(3,15),-0.992681 # DEPENDENCYPART_ARC
(3,16),-1.32365 # DEPENDENCYPART_ARC
(3,17),-2.02802 # DEPENDENCYPART_ARC
(3,18),-0.741255 # DEPENDENCYPART_ARC
(3,19),-2.11314 # DEPENDENCYPART_ARC
(3,20),-1.37055 # DEPENDENCYPART_ARC
(3,21),-1.19972 # DEPENDENCYPART_ARC
(3,22),-1.12463 # DEPENDENCYPART_ARC
(3,23),-2.0241 # DEPENDENCYPART_ARC
(3,24),-1.95689 # DEPENDENCYPART_ARC
(3,25),-2.32842 # DEPENDENCYPART_ARC
(4,1),-0.713602 # DEPENDENCYPART_ARC
(4,2),-0.27184 # DEPENDENCYPART_ARC
(4,3),0.983809 # DEPENDENCYPART_ARC
(4,5),-0.631412 # DEPENDENCYPART_ARC
(4,6),-0.925679 # DEPENDENCYPART_ARC
(4,7),-1.45981 # DEPENDENCYPART_ARC
(4,8),-1.50775 # DEPENDENCYPART_ARC
(4,9),-0.764103 # DEPENDENCYPART_ARC
(4,10),-1.14553 # DEPENDENCYPART_ARC
(4,11),-1.09525 # DEPENDENCYPART_ARC
(4,12),-1.35946 # DEPENDENCYPART_ARC
(4,13),-1.75034 # DEPENDENCYPART_ARC
(4,14),-1.8127 # DEPENDENCYPART_ARC
(4,15),-1.25077 # DEPENDENCYPART_ARC
(4,16),-1.94442 # DEPENDENCYPART_ARC
(4,17),-2.39766 # DEPENDENCYPART_ARC
(4,18),-0.892405 # DEPENDENCYPART_ARC
(4,19),-2.48472 # DEPENDENCYPART_ARC
(4,20),-1.6364 # DEPENDENCYPART_ARC
(4,21),-1.44581 # DEPENDENCYPART_ARC
(4,22),-1.39883 # DEPENDENCYPART_ARC
(4,23),-2.56905 # DEPENDENCYPART_ARC
(4,24),-2.20802 # DEPENDENCYPART_ARC
(4,25),-0.466689 # DEPENDENCYPART_ARC
(5,1),-0.567121 # DEPENDENCYPART_ARC
(5,2),0.314681 # DEPENDENCYPART_ARC
(5,3),3.20933 # DEPENDENCYPART_ARC
(5,4),4.07591 # DEPENDENCYPART_ARC
(5,6),0.0385395 # DEPENDENCYPART_ARC
(5,7),-0.932515 # DEPENDENCYPART_ARC
(5,8),-0.537693 # DEPENDENCYPART_ARC
(5,9),-0.123697 # DEPENDENCYPART_ARC
(5,10),-0.850268 # DEPENDENCYPART_ARC
(5,11),-1.19191 # DEPENDENCYPART_ARC
(5,12),-0.709289 # DEPENDENCYPART_ARC
(5,13),-1.20081 # DEPENDENCYPART_ARC
(5,14),-1.25813 # DEPENDENCYPART_ARC
(5,15),-0.971922 # DEPENDENCYPART_ARC
(5,16),-1.17429 # DEPENDENCYPART_ARC
(5,17),-1.61207 # DEPENDENCYPART_ARC
(5,18),-0.47318 # DEPENDENCYPART_ARC
(5,19),-2.74458 # DEPENDENCYPART_ARC
(5,20),-0.864234 # DEPENDENCYPART_ARC
(5,21),-0.829569 # DEPENDENCYPART_ARC
(5,22),-1.12871 # DEPENDENCYPART_ARC
(5,23),-2.59873 # DEPENDENCYPART_ARC
(5,24),-1.67485 # DEPENDENCYPART_ARC
(5,25),-0.0968104 # DEPENDENCYPART_ARC
(6,1),1.20252 # DEPENDENCYPART_ARC
(6,2),1.43867 # DEPENDENCYPART_ARC
(6,3),2.18437 # DEPENDENCYPART_ARC
(6,4),1.69331 # DEPENDENCYPART_ARC
(6,5),2.62722 # DEPENDENCYPART_ARC
(6,7),0.382724 # DEPENDENCYPART_ARC
(6,8),0.864824 # DEPENDENCYPART_ARC
(6,9),0.844072 # DEPENDENCYPART_ARC
(6,10),0.327685 # DEPENDENCYPART_ARC
(6,11),1.02254 # DEPENDENCYPART_ARC
(6,12),0.208792 # DEPENDENCYPART_ARC
(6,13),-0.108512 # DEPENDENCYPART_ARC
(6,14),-0.17834 # DEPENDENCYPART_ARC
(6,15),0.231506 # DEPENDENCYPART_ARC
(6,16),-0.178067 # DEPENDENCYPART_ARC
(6,17),0.0905294 # DEPENDENCYPART_ARC
(6,18),0.580432 # DEPENDENCYPART_ARC
(6,19),-0.591472 # DEPENDENCYPART_ARC
(6,20),-0.0719889 # DEPENDENCYPART_ARC
(6,21),0.0254512 # DEPENDENCYPART_ARC
(6,22),0.0908366 # DEPENDENCYPART_ARC
(6,23),-0.631932 # DEPENDENCYPART_ARC
(6,24),-0.569027 # DEPENDENCYPART_ARC
(6,25),1.59686 # DEPENDENCYPART_ARC
(7,1),-2.26255 # DEPENDENCYPART_ARC
(7,2),-1.17591 # DEPENDENCYPART_ARC
(7,3),-1.06359 # DEPENDENCYPART_ARC
(7,4),-1.16143 # DEPENDENCYPART_ARC
(7,5),-1.68334 # DEPENDENCYPART_ARC
(7,6),-0.556592 # DEPENDENCYPART_ARC
(7,8),-0.359628 # DEPENDENCYPART_ARC
(7,9),-0.274905 # DEPENDENCYPART_ARC
(7,10),-0.846039 # DEPENDENCYPART_ARC
(7,11),-1.14994 # DEPENDENCYPART_ARC
(7,12),-1.01289 # DEPENDENCYPART_ARC
(7,13),-1.04592 # DEPENDENCYPART_ARC
(7,14),-1.065 # DEPENDENCYPART_ARC
(7,15),-0.874456 # DEPENDENCYPART_ARC
(7,16),-1.13544 # DEPENDENCYPART_ARC
(7,17),-1.73561 # DEPENDENCYPART_ARC
(7,18),-0.672287 # DEPENDENCYPART_ARC
(7,19),-2.06981 # DEPENDENCYPART_ARC
(7,20),-1.41591 # DEPENDENCYPART_ARC
(7,21),-1.2485 # DEPENDENCYPART_ARC
(7,22),-1.12005 # DEPENDENCYPART_ARC
(7,23),-1.83622 # DEPENDENCYPART_ARC
(7,24),-1.79026 # DEPENDENCYPART_ARC
(7,25),-2.12627 # DEPENDENCYPART_ARC
(8,1),-2.09893 # DEPENDENCYPART_ARC
(8,2),-0.846496 # DEPENDENCYPART_ARC
(8,3),0.151298 # DEPENDENCYPART_ARC
(8,4),-0.575074 # DEPENDENCYPART_ARC
(8,5),-1.99698 # DEPENDENCYPART_ARC
(8,6),-1.76461 # DEPENDENCYPART_ARC
(8,7),3.25538 # DEPENDENCYPART_ARC
(8,9),0.0915397 # DEPENDENCYPART_ARC
(8,10),-0.716562 # DEPENDENCYPART_ARC
(8,11),-0.291956 # DEPENDENCYPART_ARC
(8,12),-0.669883 # DEPENDENCYPART_ARC
(8,13),-1.05776 # DEPENDENCYPART_ARC
(8,14),-1.16885 # DEPENDENCYPART_ARC
(8,15),-0.858285 # DEPENDENCYPART_ARC
(8,16),-1.06519 # DEPENDENCYPART_ARC
(8,17),-1.55741 # DEPENDENCYPART_ARC
(8,18),-0.0839988 # DEPENDENCYPART_ARC
(8,19),-2.5237 # DEPENDENCYPART_ARC
(8,20),-0.920503 # DEPENDENCYPART_ARC
(8,21),-0.860022 # DEPENDENCYPART_ARC
(8,22),-1.10545 # DEPENDENCYPART_ARC
(8,23),-2.15825 # DEPENDENCYPART_ARC
(8,24),-1.64958 # DEPENDENCYPART_ARC
(8,25),-0.00342214 # DEPENDENCYPART_ARC
(9,1),-2.87892 # DEPENDENCYPART_ARC
(9,2),-1.6668 # DEPENDENCYPART_ARC
(9,3),-1.74817 # DEPENDENCYPART_ARC
(9,4),-2.16885 # DEPENDENCYPART_ARC
(9,5),-2.56997 # DEPENDENCYPART_ARC
(9,6),-1.82755 # DEPENDENCYPART_ARC
(9,7),-1.11664 # DEPENDENCYPART_ARC
(9,8),-1.6229 # DEPENDENCYPART_ARC
(9,10),-0.901399 # DEPENDENCYPART_ARC
(9,11),-0.95875 # DEPENDENCYPART_ARC
(9,12),-1.19811 # DEPENDENCYPART_ARC
(9,13),-1.2759 # DEPENDENCYPART_ARC
(9,14),-1.40077 # DEPENDENCYPART_ARC
(9,15),-1.30388 # DEPENDENCYPART_ARC
(9,16),-1.55809 # DEPENDENCYPART_ARC
(9,17),-2.18092 # DEPENDENCYPART_ARC
(9,18),-1.07796 # DEPENDENCYPART_ARC
(9,19),-2.24774 # DEPENDENCYPART_ARC
(9,20),-1.15214 # DEPENDENCYPART_ARC
(9,21),-1.459 # DEPENDENCYPART_ARC
(9,22),-1.55284 # DEPENDENCYPART_ARC
(9,23),-2.60067 # DEPENDENCYPART_ARC
(9,24),-1.76766 # DEPENDENCYPART_ARC
(9,25),-1.40497 # DEPENDENCYPART_ARC
(10,1),-0.00447773 # DEPENDENCYPART_ARC
(10,2),-0.35832 # DEPENDENCYPART_ARC
(10,3),-0.925288 # DEPENDENCYPART_ARC
(10,4),-0.654029 # DEPENDENCYPART_ARC
(10,5),-0.212083 # DEPENDENCYPART_ARC
(10,6),-0.474152 # DEPENDENCYPART_ARC
(10,7),-0.252678 # DEPENDENCYPART_ARC
(10,8),-0.294745 # DEPENDENCYPART_ARC
(10,9),0.286529 # DEPENDENCYPART_ARC
(10,11),0.608358 # DEPENDENCYPART_ARC
(10,12),-0.493522 # DEPENDENCYPART_ARC
(10,13),-0.662671 # DEPENDENCYPART_ARC
(10,14),-0.48818 # DEPENDENCYPART_ARC
(10,15),-0.566493 # DEPENDENCYPART_ARC
(10,16),-0.670271 # DEPENDENCYPART_ARC
(10,17),-0.726805 # DEPENDENCYPART_ARC
(10,18),-0.326962 # DEPENDENCYPART_ARC
(10,19),-1.37573 # DEPENDENCYPART_ARC
(10,20),-0.288253 # DEPENDENCYPART_ARC
(10,21),-0.748944 # DEPENDENCYPART_ARC
(10,22),-0.987182 # DEPENDENCYPART_ARC
(10,23),-1.76214 # DEPENDENCYPART_ARC
(10,24),-1.24497 # DEPENDENCYPART_ARC
(10,25),0.0407444 # DEPENDENCYPART_ARC
(11,1),1.97934 # DEPENDENCYPART_ARC
(11,2),1.689 # DEPENDENCYPART_ARC
(11,3),-0.243977 # DEPENDENCYPART_ARC
(11,4),-0.39873 # DEPENDENCYPART_ARC
(11,5),2.24555 # DEPENDENCYPART_ARC
(11,6),1.44862 # DEPENDENCYPART_ARC
(11,7),-0.15896 # DEPENDENCYPART_ARC
(11,8),1.87232 # DEPENDENCYPART_ARC
(11,9),1.63851 # DEPENDENCYPART_ARC
(11,10),3.44461 # DEPENDENCYPART_ARC
(11,12),3.4802 # DEPENDENCYPART_ARC
(11,13),0.453148 # DEPENDENCYPART_ARC
(11,14),0.116236 # DEPENDENCYPART_ARC
(11,15),0.418454 # DEPENDENCYPART_ARC
(11,16),-0.0947899 # DEPENDENCYPART_ARC
(11,17),3.04069 # DEPENDENCYPART_ARC
(11,18),1.76009 # DEPENDENCYPART_ARC
(11,19),0.521525 # DEPENDENCYPART_ARC
(11,20),1.77615 # DEPENDENCYPART_ARC
(11,21),0.719996 # DEPENDENCYPART_ARC
(11,22),-0.231903 # DEPENDENCYPART_ARC
(11,23),-0.999596 # DEPENDENCYPART_ARC
(11,24),-0.394853 # DEPENDENCYPART_ARC
(11,25),2.65626 # DEPENDENCYPART_ARC
(12,1),-0.357341 # DEPENDENCYPART_ARC
(12,2),-0.227834 # DEPENDENCYPART_ARC
(12,3),-1.1976 # DEPENDENCYPART_ARC
(12,4),-0.370253 # DEPENDENCYPART_ARC
(12,5),-0.247281 # DEPENDENCYPART_ARC
