# _root_ — 1997 telén a szponzorokkal megállapodtunk , hogy a ' 98-as szezonra egy F2-es Opel_Astrát vásárolunk , amit egy jó nevű német cég készít fel a versenyekre — nyilatkozta az újdonsült bronzérmes .
#goldHeads=29,3,6,5,6,29,6,6,12,12,12,16,15,15,16,6,16,24,23,21,23,23,24,16,24,27,24,29,0,32,32,29,29,
#predictedHeads=29,3,6,5,6,29,29,6,12,12,12,16,14,15,16,29,16,24,23,21,23,23,24,29,24,27,24,29,0,32,32,29,29,
(0,1),-2.32211 # DEPENDENCYPART_ARC
(0,2),-1.77795 # DEPENDENCYPART_ARC
(0,3),-2.80463 # DEPENDENCYPART_ARC
(0,4),-2.65571 # DEPENDENCYPART_ARC
(0,5),-3.48649 # DEPENDENCYPART_ARC
(0,6),-1.13728 # DEPENDENCYPART_ARC
(0,7),-2.99098 # DEPENDENCYPART_ARC
(0,8),-1.19412 # DEPENDENCYPART_ARC
(0,9),-3.00651 # DEPENDENCYPART_ARC
(0,10),-2.81717 # DEPENDENCYPART_ARC
(0,11),-2.74235 # DEPENDENCYPART_ARC
(0,12),-3.78625 # DEPENDENCYPART_ARC
(0,13),-2.69702 # DEPENDENCYPART_ARC
(0,14),-2.51548 # DEPENDENCYPART_ARC
(0,15),-3.97019 # DEPENDENCYPART_ARC
(0,16),-1.75754 # DEPENDENCYPART_ARC
(0,17),-3.69582 # DEPENDENCYPART_ARC
(0,18),-4.02202 # DEPENDENCYPART_ARC
(0,19),-2.67037 # DEPENDENCYPART_ARC
(0,20),-3.29472 # DEPENDENCYPART_ARC
(0,21),-3.36252 # DEPENDENCYPART_ARC
(0,22),-3.46724 # DEPENDENCYPART_ARC
(0,23),-5.12603 # DEPENDENCYPART_ARC
(0,24),-2.0697 # DEPENDENCYPART_ARC
(0,25),-3.49021 # DEPENDENCYPART_ARC
(0,26),-3.77183 # DEPENDENCYPART_ARC
(0,27),-5.69139 # DEPENDENCYPART_ARC
(0,28),-3.95064 # DEPENDENCYPART_ARC
(0,29),2.29846 # DEPENDENCYPART_ARC
(0,30),-3.80062 # DEPENDENCYPART_ARC
(0,31),-3.66697 # DEPENDENCYPART_ARC
(0,32),-6.03634 # DEPENDENCYPART_ARC
(0,33),-6.33545 # DEPENDENCYPART_ARC
(1,2),-0.634192 # DEPENDENCYPART_ARC
(1,3),-1.17611 # DEPENDENCYPART_ARC
(1,4),-1.06026 # DEPENDENCYPART_ARC
(1,5),-1.75963 # DEPENDENCYPART_ARC
(1,6),-1.17238 # DEPENDENCYPART_ARC
(1,7),-0.910025 # DEPENDENCYPART_ARC
(1,8),-0.945079 # DEPENDENCYPART_ARC
(1,9),-1.34272 # DEPENDENCYPART_ARC
(1,10),-1.02264 # DEPENDENCYPART_ARC
(1,11),-1.48522 # DEPENDENCYPART_ARC
(1,12),-2.31155 # DEPENDENCYPART_ARC
(1,13),-1.45983 # DEPENDENCYPART_ARC
(1,14),-1.34047 # DEPENDENCYPART_ARC
(1,15),-2.49619 # DEPENDENCYPART_ARC
(1,16),-1.47784 # DEPENDENCYPART_ARC
(1,17),-1.16306 # DEPENDENCYPART_ARC
(1,18),-1.54095 # DEPENDENCYPART_ARC
(1,19),-1.50773 # DEPENDENCYPART_ARC
(1,20),-1.60405 # DEPENDENCYPART_ARC
(1,21),-1.69998 # DEPENDENCYPART_ARC
(1,22),-1.6834 # DEPENDENCYPART_ARC
(1,23),-2.63397 # DEPENDENCYPART_ARC
(1,24),-1.75785 # DEPENDENCYPART_ARC
(1,25),-1.45202 # DEPENDENCYPART_ARC
(1,26),-1.6161 # DEPENDENCYPART_ARC
(1,27),-2.94215 # DEPENDENCYPART_ARC
(1,28),-1.54416 # DEPENDENCYPART_ARC
(1,29),-1.87414 # DEPENDENCYPART_ARC
(1,30),-1.64945 # DEPENDENCYPART_ARC
(1,31),-1.84055 # DEPENDENCYPART_ARC
(1,32),-3.09746 # DEPENDENCYPART_ARC
(1,33),-1.96488 # DEPENDENCYPART_ARC
(2,1),0.332088 # DEPENDENCYPART_ARC
(2,3),-0.623227 # DEPENDENCYPART_ARC
(2,4),-0.931383 # DEPENDENCYPART_ARC
(2,5),-1.52421 # DEPENDENCYPART_ARC
(2,6),-0.967369 # DEPENDENCYPART_ARC
(2,7),-0.443395 # DEPENDENCYPART_ARC
(2,8),-0.669924 # DEPENDENCYPART_ARC
(2,9),-1.29316 # DEPENDENCYPART_ARC
(2,10),-0.383154 # DEPENDENCYPART_ARC
(2,11),-1.21775 # DEPENDENCYPART_ARC
(2,12),-1.91125 # DEPENDENCYPART_ARC
(2,13),-1.25114 # DEPENDENCYPART_ARC
(2,14),-1.0558 # DEPENDENCYPART_ARC
(2,15),-3.02864 # DEPENDENCYPART_ARC
(2,16),-1.35546 # DEPENDENCYPART_ARC
(2,17),-0.743031 # DEPENDENCYPART_ARC
(2,18),-1.9981 # DEPENDENCYPART_ARC
(2,19),-1.2845 # DEPENDENCYPART_ARC
(2,20),-1.44763 # DEPENDENCYPART_ARC
(2,21),-1.43654 # DEPENDENCYPART_ARC
(2,22),-1.54179 # DEPENDENCYPART_ARC
(2,23),-2.0363 # DEPENDENCYPART_ARC
(2,24),-1.34159 # DEPENDENCYPART_ARC
(2,25),-1.84464 # DEPENDENCYPART_ARC
(2,26),-1.68283 # DEPENDENCYPART_ARC
(2,27),-2.96476 # DEPENDENCYPART_ARC
(2,28),-1.41493 # DEPENDENCYPART_ARC
(2,29),-1.86134 # DEPENDENCYPART_ARC
(2,30),-1.96957 # DEPENDENCYPART_ARC
(2,31),-1.70207 # DEPENDENCYPART_ARC
(2,32),-2.53556 # DEPENDENCYPART_ARC
